genotype,fer1,biorep,IC50,level,SE,CI_lower,CI_upper
WT,Vehicle,1,122.55772635984125,biorep,NA,NA,NA
WT,Vehicle,2,125.04531360434252,biorep,NA,NA,NA
WT,Vehicle,3,155.27943851100108,biorep,NA,NA,NA
WT,Fer-1 (30 µM),1,120.90341973785617,biorep,NA,NA,NA
WT,Fer-1 (30 µM),2,125.38731998057484,biorep,NA,NA,NA
WT,Fer-1 (30 µM),3,123.6477545435845,biorep,NA,NA,NA
RDH12,Vehicle,1,214.87421518980528,biorep,NA,NA,NA
RDH12,Vehicle,2,215.20232186736627,biorep,NA,NA,NA
RDH12,Vehicle,3,230.89690703761696,biorep,NA,NA,NA
RDH12,Fer-1 (30 µM),1,345.93239115458863,biorep,NA,NA,NA
RDH12,Fer-1 (30 µM),2,355.17157911363813,biorep,NA,NA,NA
RDH12,Fer-1 (30 µM),3,353.8114118989893,biorep,NA,NA,NA
WT,Vehicle,NA,133.67088591795454,"group (pooled, 95% CI)",3.312503275347315,126.990586402645,140.35118543326408
WT,Fer-1 (30 µM),NA,123.53399998416808,"group (pooled, 95% CI)",4.742526446439071,113.60777805310354,133.4602219152326
RDH12,Vehicle,NA,220.15966097246374,"group (pooled, 95% CI)",3.3538434174732643,213.39599111501383,226.92333082991365
RDH12,Fer-1 (30 µM),NA,351.50198561458035,"group (pooled, 95% CI)",9.907425243929628,330.7655062617835,372.2384649673772
