name,ID,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
A2M,P01023,0.012278054445589907,0.2827412489179123,5.3689398787884056e-5,0.30406123260854395,0.006222348529064462,1.3728365832077003e-4,0.005490271039308795,2.237711666684396e-8,0.0153,0.86,5.82e-5,0.276,0.135,0.242,0.0187,8.22e-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-0.598,-0.24,-1.11,0.229,-0.665,-1.02,0.677,-1.94,-0.655,-0.296,-0.0567,1.81,-1.77,2.22,-1.32,2.06,-2
ABCA3,Q99758,0.012856627386187569,0.0787631272241626,0.8561790388488997,0.05840038625263138,0.25802088627358166,0.7795462330487313,0.5164917279193411,0.3741308738086281,0.0166,0.784,0.841,0.0054,0.67,0.91,0.833,0.816,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.86,2.61,0.259,2.83,-1.64,-0.4,0.932,1.28,1.18,-0.0596,-2.67,1.58,1.44,1.75,-0.46,-1.37,-1.39
ABCB1,P08183,0.811851337337255,0.5330548994593443,0.12096507893459633,0.06679714916369198,0.5861351190403108,0.7506731207981037,0.817281969569602,0.9385321196610665,0.871,0.889,0.412,0.00808,0.804,0.908,0.899,0.912,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.222,0.583,-1.49,-1.78,0.509,-0.296,0.215,0.0718,0.13,0.935,0.352,1,-1.36,0.516,0.639,-2.64,0.424
ABHD5,Q8WTS1,0.9825297547210177,0.3871981245339766,0.005477350856597266,0.3711943917389877,0.15826019050967496,0.03061703895055183,0.4703600751423235,0.041498835627277346,0.899,0.875,0.0484,0.382,0.569,0.741,0.815,0.369,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0154,0.614,-2.17,-0.636,-1.02,-1.62,0.511,-1.51,0.575,1.17,0.559,0.725,-1.59,-0.445,-0.444,0.404,-0.956
ABI1,Q8IZP0,0.6623287584479309,7.698406060369285e-5,0.4989533934523567,0.7294510609742446,0.16091253132949102,1.2108152790030804e-6,0.08801337987293713,0.9171641221803686,0.831,0.212,0.745,0.794,0.572,0.0429,0.314,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.0809,-0.905,-0.126,-0.064,0.266,1.25,0.327,0.0192,0.155,-0.831,0.0742,-0.0568,0.0295,-0.331,0.421,0.446,0.0934
ACAD11,Q709F0,0.016856986266634948,0.008584895621146857,0.9489586799617669,0.9018814050712132,0.5747989722288013,0.39059233750406297,0.45612820120563335,0.011142225943168105,0.0255,0.583,0.855,0.861,0.801,0.883,0.809,0.211,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.76,3.09,0.0686,-0.132,-0.604,-0.929,-0.804,2.96,0.363,0.688,-2.4,0.438,0.432,0.829,-0.241,-0.674,0.564
ACVR1B,P36896,0.468950669409384,0.6600545424115365,0.06237027009117749,0.044103370792464826,0.13721625338326926,0.7196127782458827,0.1003038846637012,0.3720782805037185,0.738,0.898,0.296,0.00224,0.537,0.907,0.347,0.816,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.49,-0.296,-1.31,-1.43,-1.03,-0.242,-1.14,0.606,-0.421,-1.21,-0.911,3.16,-1.73,2.62,-1.45,0.243,-0.305
ACVR2A,P27037,0.9416655175763695,0.8128490045178272,0.8450600632778575,0.06987300016811018,0.7979955494287245,0.5727941793937967,0.027851065356934546,0.05489439979538067,0.893,0.907,0.839,0.00915,0.842,0.898,0.118,0.419,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0525,-0.17,-0.14,1.36,0.184,0.406,1.68,-1.44,-0.652,-0.874,-0.704,2.7,-0.792,2.57,-0.468,0.373,-2.15
ADAMTS1,Q9UHI8,0.17554686269639752,3.171673574865021e-8,0.06113994485994848,0.32963178288649864,0.010791525343572854,2.137415406617177e-4,0.8661912957462747,2.8947399000950086e-4,0.405,0.00435,0.292,0.31,0.172,0.277,0.906,0.0106,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.238,1.48,0.336,-0.169,0.477,-0.766,-0.0289,0.744,-0.938,0.305,-1.18,1.18,-0.601,1.09,-0.461,1.03,-0.432
AEBP2,Q6ZN18,0.011970025261577382,0.5825921844483535,0.008252317957127034,0.8141674058469913,0.08319807829475039,0.14908777602356943,0.19269982498210417,0.6890013813372977,0.0146,0.893,0.0711,0.832,0.424,0.839,0.563,0.887,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.81,0.366,1.92,-0.156,1.2,-0.984,-0.884,0.266,-1.92,0.257,-0.11,-0.0895,3.68e-4,0.685,-0.727,1.75,0.157
AGA,P20933,0.15741688514038218,0.5575200242936605,0.4580157904999733,0.037294289164231734,0.2648299281146814,0.00440229373615087,0.016375868281244908,0.9950649227785884,0.374,0.891,0.726,0.0013,0.675,0.565,0.0666,0.916,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.5,0.609,-0.773,-2.28,-1.17,-3.28,-2.68,0.0064,-1.24,0.867,0.257,0.715,-2.02,1.28,-2.41,2.29,0.264
AIFM2,Q9BRQ8,0.33117271449337526,0.10322338003004372,0.15009614332158794,0.054055127855151666,0.03623256348607574,0.007823754173551254,0.011192646617711301,0.13770539158313824,0.608,0.802,0.453,0.0043,0.3,0.624,0.0452,0.631,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1.2,2.06,-1.81,-2.47,-2.71,-3.57,-3.37,1.87,-0.169,0.69,-1.37,1.49,-1.98,1.63,-2.88,2.09,0.496
AKIRIN2,Q53H80,0.18436532724834637,1.1668408437569831e-5,0.06884081041638372,0.5831482380980441,0.001393962246287143,9.628922111976038e-8,0.2325781044829872,0.2817221474500475,0.419,0.119,0.313,0.687,0.0586,0.0112,0.627,0.773,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-0.469,-1.98,0.657,-0.19,1.27,2.78,0.42,0.378,-0.235,-1.75,0.234,-0.735,0.422,-0.663,1.03,1.08,0.612
AKTIP,Q9H8T0,0.3575186025800303,0.4399042508767379,0.8843567574999381,0.022513456315268007,0.9813431771845842,0.8977556153835848,0.029201854649781266,0.003876368297548639,0.639,0.881,0.845,2.19e-4,0.864,0.915,0.123,0.108,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.478,-0.4,0.0748,1.26,0.012,-0.0661,1.19,-1.66,-0.187,-0.109,0.291,0.551,-0.112,0.699,-0.175,0.412,-1.37
ALDH18A1,P54886,0.48584638573225325,5.163159012491645e-4,0.007327754979862671,0.9548193671945588,0.13014120651996092,0.0791021867508736,0.1582780246053115,0.0012640113278075543,0.749,0.322,0.0631,0.875,0.526,0.805,0.491,0.0409,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.258,1.5,1.08,-0.0208,0.573,-0.672,-0.532,1.36,-0.352,0.893,-0.61,-0.387,0.733,0.288,0.221,-1.54,0.754
ALDH1L2,Q3SY69,0.054056968569803146,0.6262768983982597,0.0010401818689149028,0.2952569941914552,0.020410048802317317,6.027259466401266e-4,0.02670392598225159,9.87628855150792e-7,0.139,0.896,0.00762,0.263,0.23,0.365,0.114,2.96e-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.343,0.0828,0.643,-0.18,0.422,0.682,-0.401,1.17,-0.0684,-0.328,-0.411,-0.285,0.574,-0.265,0.353,-0.323,0.754
ANO10,Q9NW15,0.777823184503166,0.18625484595303526,0.15039181657938241,0.08269174080110053,0.7742049369387303,0.43751457393631554,0.9678110575109604,0.543793562730704,0.863,0.838,0.454,0.0146,0.839,0.888,0.917,0.863,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.253,1.21,-1.32,-1.62,0.257,-0.701,-0.0361,0.546,0.41,1.37,0.157,0.523,-0.913,0.244,0.667,-3.16,0.703
ANXA4,P09525,0.23547292001505318,1.145573105074112e-6,0.6633872573516482,0.9534441002509215,0.6197663817569279,5.233214816710891e-6,0.9046278415015574,0.4104587106252875,0.486,0.0411,0.8,0.874,0.811,0.0792,0.91,0.829,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.185,1.04,-0.0667,-0.00892,-0.076,-0.931,-0.0183,0.127,-0.165,0.69,-0.35,0.0323,-0.232,0.634,-0.241,-0.145,-0.223
APLP1,P51693,9.522688647774143e-4,8.372974442793754e-4,0.6910551770336832,0.6893339121343914,0.19274323332596652,0.2108620022864527,0.043454584417198266,0.006113966609056734,4.51e-5,0.358,0.807,0.77,0.611,0.856,0.171,0.145,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-4.25,-4.31,0.442,-0.445,-1.48,-1.42,-2.37,-3.37,-3.3,-3.36,0.951,4.91,-2.86,5.36,-4.78,5.51,-2.42
APOB,P04114,0.8236881294851341,0.380822940568188,2.9044660143076915e-4,0.11266547721256676,0.001304679297221657,0.006075602385348558,0.03205236417761518,4.194239614942936e-6,0.873,0.874,0.00139,0.0336,0.0564,0.599,0.132,7.65e-6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-0.0716,-0.284,-1.39,0.526,-1.19,-0.974,0.731,-1.99,-0.652,-0.864,-0.58,3.25,-2.04,3.24,-1.84,2.05,-2.57
APOC3,P02656,0.9264039956960957,0.1391606104436685,0.30628426797655256,0.02232653722282341,0.12737533662192524,0.9660029013355194,0.8722918595975289,0.1970387181673957,0.891,0.821,0.626,2.14e-4,0.521,0.918,0.906,0.708,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.104,1.72,-1.17,-2.77,1.78,-0.0482,0.182,1.49,-2.6,-0.77,-2.49,2.72,-3.77,5.11,-0.819,3.61,-1
ARF3,P61204,0.02324473277883415,0.02719727810498394,0.8427330627368398,0.8598286444328689,0.6407620116155712,0.5895239059981563,0.9260824100080426,0.010200065180605528,0.043,0.699,0.838,0.848,0.815,0.899,0.912,0.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-6.45,-6.25,-0.527,0.469,-1.24,-1.44,-0.246,-7.44,-3.85,-3.65,2.6,6.73,-4.37,3.69,-5.09,8.77,-4.84
ARFRP1,Q13795,0.021049387121961846,0.8993391264587294,0.04191806182324671,0.5667667968091454,0.10154990967498209,0.5161975960087437,0.31062589304069677,0.8041134140712638,0.0367,0.911,0.236,0.671,0.469,0.894,0.716,0.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.76,-0.0902,1.53,-0.41,1.21,-0.465,-0.733,0.177,-1.91,-0.239,-0.149,0.195,-0.382,1.16,-0.704,2.01,0.0284
ARHGAP18,Q8N392,0.20879028364254118,0.4727408666102314,0.3966274363665392,0.08775709561165802,0.237700419945372,0.522948133666897,0.7764319287657007,0.7156436391499601,0.455,0.884,0.692,0.0172,0.654,0.895,0.894,0.89,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.728,-0.41,-0.485,-1.01,0.682,0.364,0.161,-0.207,-0.0501,0.268,0.678,-0.383,-0.535,-0.713,0.632,-0.366,0.471
ARL6IP1,Q15041,0.7885649938792773,0.014695742427763791,0.88035493780076,0.22435442579371595,0.028534420852127075,0.9691354935838778,0.0024816051587857285,0.41645245168294875,0.866,0.64,0.845,0.158,0.271,0.918,0.00535,0.831,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-0.23,-2.26,-0.129,-1.06,-2,0.0331,-2.93,0.702,0.0495,-1.98,0.279,1.31,-0.0795,0.917,-1.95,0.471,0.981
