name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
BPGM,P07738,2.1685873371040666e-11,0.043068005800695613,1.4425186244762418e-12,0.00573,0.731,1,TRUE,FALSE,FALSE,TRUE,-2.97,-0.478,-3.45,-0.316,-0.722,0.213,-0.199,-0.414,-0.677,-0.371,2.77,-0.283
C4A,P0C0L4,3.8484478179894126e-10,0.2328876409472561,6.399302426137008e-11,0.0281,0.84,1,TRUE,FALSE,FALSE,TRUE,8.48,0.916,9.4,-2.3,-2.12,-1.09,5.9,-1.37,6.82,-1.97,-2.58,-1.28
CDC16,Q13042,1.11027516879105e-10,0.06173072071279738,7.635555641961589e-12,0.0174,0.744,1,TRUE,FALSE,FALSE,TRUE,3.9,0.631,4.53,0.537,1.03,0.208,0.229,0.25,0.859,0.201,-3.67,0.352
CYREN,Q9BWK5,0.40720003121577375,3.0522578579418905e-7,6.009174710742584e-8,0.647,0.00722,1,FALSE,TRUE,FALSE,TRUE,-0.491,-4.37,-4.86,0.519,-3.74,1.67,0.287,1.12,-4.09,2.23,0.778,1.22
DCTD,P32321,5.693527431924129e-10,0.014812859564306509,1.2934553991986266e-11,0.0341,0.69,1,TRUE,FALSE,FALSE,TRUE,-2.63,-0.629,-3.26,-0.508,-0.844,-0.208,0.529,-0.72,-0.101,-0.56,3.15,-0.743
DOP1B,Q9Y3R5,1.547588713847856e-10,0.563707944997945,6.681021979613876e-11,0.02,0.893,1,TRUE,FALSE,FALSE,TRUE,-2.34,-0.114,-2.45,-0.0803,-0.54,-0.154,-0.473,-0.154,-0.588,-0.024,1.87,0.147
ERAP1,Q9NZ08,5.971241888392792e-11,0.275591977561915,1.3141132696664366e-11,0.013,0.851,1,TRUE,FALSE,FALSE,TRUE,5.2,0.46,5.65,0.418,1.07,0.358,0.36,0.672,0.819,0.501,-4.84,0.633
IQGAP3,Q86VI3,7.58514778940888e-14,0.05564435636004925,1.0398261693883935e-14,5.66e-7,0.74,1,TRUE,FALSE,FALSE,TRUE,3.82,0.426,4.25,0.276,0.32,0.174,0.599,0.365,1.02,0.246,-3.22,0.218
LDLRAP1,Q5SW96,5.163362199617982e-10,0.11405762907684525,4.646277622444402e-11,0.0326,0.784,1,TRUE,FALSE,FALSE,TRUE,2.26,0.334,2.6,0.0835,0.123,0.183,0.33,0.103,0.664,0.178,-1.93,0.267
METTL17,Q9H7H0,1.179773818968589e-10,0.008854699260171628,2.559575919733168e-12,0.0178,0.674,1,TRUE,FALSE,FALSE,TRUE,4.48,1.07,5.55,0.369,0.603,0.327,-0.414,1.29,0.653,0.801,-4.9,1.26
