name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_100_atRAL5hr_centered,RDH12_200_atRAL5hr_centered,RDH12_control_atRAL5hr_centered
AAAS,Q9NRG9,0.07966152572998118,0.8042193500791698,0.05343481022144648,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,0.895,0.114,1.01,0.26,0.375,-0.635
AACS,Q86V21,0.2887345711741189,0.42090536203074025,0.7807835206231444,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,1.78,-1.33,0.451,1.04,-0.293,-0.744
AAK1,Q2M2I8,0.01067127381524085,0.0057838415371135165,0.6870722449789555,0.988,0.983,1,FALSE,TRUE,FALSE,TRUE,0.584,-0.658,-0.0737,0.414,-0.244,-0.17
AAMDC,Q9H7C9,0.006730012177241474,0.770138037817029,0.004366331712315766,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.51,-0.126,-1.63,-0.461,-0.586,1.05
AAMP,Q13685,0.0017132077115934192,0.5954651888517288,0.00361246664032529,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,-1.36,0.163,-1.2,-0.508,-0.345,0.852
AAR2,Q9Y312,0.150472721855518,0.756089057188447,0.24030059086226427,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,1.21,-0.245,0.965,0.485,0.24,-0.725
AARS1,P49588,0.07702750677938619,0.15582897106947216,0.007007052532234747,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.47,-0.363,-0.833,-0.0357,-0.399,0.434
AARS2,Q5JTZ9,0.020057286669654645,0.4650968272800662,0.0661543623015893,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,0.875,-0.232,0.643,0.369,0.137,-0.506
AASS,Q9UDR5,0.012922795631419601,0.4132725522929307,0.0036903094800529632,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,1.87,0.508,2.38,0.455,0.963,-1.42
ABCB6,Q9NP58,0.7636272934280105,0.5548974506751969,0.7681531686106771,0.989,0.99,1,TRUE,TRUE,TRUE,TRUE,-1.21,2.39,1.18,-1.2,1.19,0.00799
ABCB7,O75027,0.14314420820034557,0.95745957804093,0.13175678704195837,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,1.19,0.0404,1.23,0.384,0.424,-0.808
ABCC1,P33527,0.3739090520387671,0.7777233371065799,0.2522957910727232,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,1.16,0.359,1.52,0.266,0.625,-0.891
ABCD3,P28288,0.5686820755745803,0.19177406083669368,0.07798812447568139,0.989,0.989,1,FALSE,FALSE,TRUE,TRUE,0.173,0.414,0.587,-0.0806,0.334,-0.253
ABCF2,Q9UG63,0.528294427802779,0.035553626804752096,0.0992199981119607,0.989,0.988,1,FALSE,TRUE,FALSE,TRUE,0.161,-0.615,-0.454,0.259,-0.357,0.0979
ABHD10,Q9NUJ1,0.09660482313845022,0.05140444533218911,0.003106951308124663,0.988,0.988,1,FALSE,FALSE,TRUE,TRUE,0.41,0.498,0.908,-0.0295,0.469,-0.439
ABHD11,Q8NFV4,0.0982588209429189,0.455747489002714,0.028998277632518457,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,0.572,0.239,0.811,0.111,0.35,-0.461
ABHD12,Q8N2K0,0.02852167910288758,0.6291258872439534,0.06243799347437594,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,0.997,-0.188,0.809,0.395,0.207,-0.602
ABHD14B,Q96IU4,0.49224845645391124,0.026352635334903236,0.08090312496989614,0.988,0.988,1,FALSE,TRUE,TRUE,TRUE,0.224,-0.847,-0.622,0.357,-0.49,0.133
ABHD17B,Q5VST6,0.07375499160218407,0.5397617518184715,0.1946375415466453,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,1.58,-0.492,1.09,0.691,0.198,-0.889
ABHD6,Q9BV23,0.00877948104913284,0.9138910719567872,0.00745188655546494,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,1.65,0.0534,1.7,0.531,0.584,-1.12
ABI1,Q8IZP0,0.051334288156098765,0.2469796511167527,0.007617789281551254,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.503,-0.274,-0.777,-0.0761,-0.351,0.427
ABITRAM,Q9NX38,0.05827214792594124,0.5140043558711862,0.020146201153231843,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.512,-0.158,-0.67,-0.118,-0.276,0.394
ABL1,P00519,0.07492429912533718,0.7399886296292549,0.12707602567572643,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,-0.909,0.153,-0.757,-0.354,-0.201,0.555
ABLIM1,O14639,0.021613615780288496,0.8107476890969479,0.03171526588966107,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.25,0.108,-1.14,-0.452,-0.343,0.795
ABLIM2,Q6H8Q1,0.12586694561185544,0.8718516092857954,0.16161940466249197,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.04,0.101,-0.938,-0.38,-0.279,0.659
ABRACL,Q9P1F3,0.015720109645417178,0.2072381968603719,0.0021982167940716828,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.17,-0.528,-1.7,-0.216,-0.744,0.959
ABT1,Q9ULW3,0.0771796818383703,0.05947486596997725,0.871284171548667,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-0.704,0.762,0.0581,-0.489,0.273,0.215
ACAA1,P09110,0.5559808726776369,0.009243975307691695,0.02345595727493042,0.989,0.986,1,FALSE,TRUE,FALSE,TRUE,-0.124,0.685,0.561,-0.269,0.415,-0.146
ACAA2,P42765,0.0041717717834352,0.028514483376269887,0.23249648700218223,0.988,0.988,1,TRUE,TRUE,TRUE,TRUE,-1.95,1.31,-0.637,-1.09,0.226,0.863
ACACA,Q13085,0.181124333818506,0.46952595921540174,0.5005554203234448,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,1.58,-0.819,0.761,0.8,-0.0193,-0.78
