name,ID,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
A2M,P01023,5.3689398787884056e-5,0.006222348529064462,1.3728365832077003e-4,2.237711666684396e-8,5.82e-5,0.135,0.242,8.22e-13,TRUE,FALSE,FALSE,TRUE,TRUE,-1.11,-0.665,-1.02,-1.94,-0.655,-0.296,-0.0567,1.81,-1.77,2.22,-1.32,2.06,-2
ABHD5,Q8WTS1,0.005477350856597266,0.15826019050967496,0.03061703895055183,0.041498835627277346,0.0484,0.569,0.741,0.369,TRUE,FALSE,FALSE,FALSE,TRUE,-2.17,-1.02,-1.62,-1.51,0.575,1.17,0.559,0.725,-1.59,-0.445,-0.444,0.404,-0.956
ABI1,Q8IZP0,0.4989533934523567,0.16091253132949102,1.2108152790030804e-6,0.9171641221803686,0.745,0.572,0.0429,0.91,FALSE,FALSE,TRUE,FALSE,TRUE,-0.126,0.266,1.25,0.0192,0.155,-0.831,0.0742,-0.0568,0.0295,-0.331,0.421,0.446,0.0934
AKIRIN2,Q53H80,0.06884081041638372,0.001393962246287143,9.628922111976038e-8,0.2817221474500475,0.313,0.0586,0.0112,0.773,FALSE,FALSE,TRUE,FALSE,TRUE,0.657,1.27,2.78,0.378,-0.235,-1.75,0.234,-0.735,0.422,-0.663,1.03,1.08,0.612
ALDH18A1,P54886,0.007327754979862671,0.13014120651996092,0.0791021867508736,0.0012640113278075543,0.0631,0.526,0.805,0.0409,FALSE,FALSE,FALSE,TRUE,TRUE,1.08,0.573,-0.672,1.36,-0.352,0.893,-0.61,-0.387,0.733,0.288,0.221,-1.54,0.754
ALDH1L2,Q3SY69,0.0010401818689149028,0.020410048802317317,6.027259466401266e-4,9.87628855150792e-7,0.00762,0.23,0.365,2.96e-7,FALSE,FALSE,FALSE,TRUE,TRUE,0.643,0.422,0.682,1.17,-0.0684,-0.328,-0.411,-0.285,0.574,-0.265,0.353,-0.323,0.754
APOB,P04114,2.9044660143076915e-4,0.001304679297221657,0.006075602385348558,4.194239614942936e-6,0.00139,0.0564,0.599,7.65e-6,TRUE,FALSE,FALSE,TRUE,TRUE,-1.39,-1.19,-0.974,-1.99,-0.652,-0.864,-0.58,3.25,-2.04,3.24,-1.84,2.05,-2.57
ARPC3,O15145,0.1839361638752524,0.008146302643960403,5.293157577511139e-7,0.2419155687375425,0.492,0.152,0.0282,0.747,FALSE,FALSE,TRUE,FALSE,TRUE,0.306,0.653,1.61,0.268,-0.213,-1.17,-0.131,0.162,0.0927,-0.124,0.44,0.811,0.137
ATF2,P15336,0.006480153104552663,8.866986605569648e-4,1.1854787793598612e-5,0.4548991719221167,0.0563,0.0436,0.104,0.842,FALSE,TRUE,FALSE,FALSE,TRUE,0.831,1.07,1.58,0.208,-0.255,-0.77,0.377,-0.928,0.576,-0.818,0.812,0.419,0.586
ATF3,P18847,0.002501669676296941,0.0017265471165962944,7.493421439859484e-4,0.6297616018691559,0.0223,0.0674,0.385,0.878,TRUE,FALSE,FALSE,FALSE,TRUE,-1.2,-1.26,-1.38,-0.17,0.424,0.549,-0.426,0.0373,-0.776,-0.203,-0.832,1.82,-0.596
