"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num"
"GO:0006886","intracellular protein transport","23/124","486/7610",0.0473251028806584,2.90438736227267,5.5842029440747,2.84283201745574e-06,0.00745106271775151,0.00664025710182558,"AP1B1/AP2A1/AP2M1/CLTC/COPA/COPB1/COPG1/CSE1L/IPO7/JUP/PRKACA/RAB3GAP2/SEC23B/SEC24C/STAT3/TNPO2/TNPO3/UBAP1/USO1/USP9X/XPO1/XPO5/XPOT",23,"intracellular protein transport",0.185483870967742
"GO:0060341","regulation of cellular localization","22/124","571/7610",0.0385288966725044,2.36455567482063,4.36318426749636,0.000116577461421656,0.0690562969484628,0.0615417670750975,"ORAI1/WWC1/AP2M1/CCT6A/CCT7/CLTC/DYNC1H1/FYN/GNA11/IPO7/JUP/LEPROT/PRKACA/PTPN9/SESN2/SLC12A2/SLC16A1/TCAF1/TCP1/TMBIM6/WWP2/XPO1",22,"regulation of cellular localization",0.17741935483871
"GO:0032880","regulation of protein localization","19/124","504/7610",0.0376984126984127,2.31358806963646,3.92745832450485,0.000474251562408367,0.0690562969484628,0.0615417670750975,"ORAI1/AP2M1/CCT6A/CCT7/CLTC/FYN/GNA11/IPO7/JUP/LEPROT/PRKACA/PTPN9/SESN2/SLC12A2/SLC16A1/TCAF1/TCP1/WWP2/XPO1",19,"regulation of protein localization",0.153225806451613
"GO:0044283","small molecule biosynthetic process","14/124","304/7610",0.0460526315789474,2.82629456706282,4.18232240304216,0.000402134900807103,0.0690562969484628,0.0615417670750975,"DAGLB/DHCR7/FASN/FDPS/GLS/GNE/MGST2/MGST3/MTHFD1/PRKACA/PRKAG1/SCD/SESN2/SPTLC1",14,"small molecule biosynthetic process",0.112903225806452
"GO:0006913","nucleocytoplasmic transport","13/124","249/7610",0.0522088353413655,3.20410674957896,4.55107101626067,0.00019467225052015,0.0690562969484628,0.0615417670750975,"CSE1L/IPO7/JUP/PRKACA/PRKAG1/RITA1/STAT3/TNPO2/TNPO3/WASHC4/XPO1/XPO5/XPOT",13,"nucleocytoplasmic transport",0.104838709677419
"GO:0051169","nuclear transport","13/124","249/7610",0.0522088353413655,3.20410674957896,4.55107101626067,0.00019467225052015,0.0690562969484628,0.0615417670750975,"CSE1L/IPO7/JUP/PRKACA/PRKAG1/RITA1/STAT3/TNPO2/TNPO3/WASHC4/XPO1/XPO5/XPOT",13,"nuclear transport",0.104838709677419
"GO:0070201","regulation of establishment of protein localization","13/124","271/7610",0.0479704797047971,2.94399476252827,4.19383186678301,0.000443804110293938,0.0690562969484628,0.0615417670750975,"ORAI1/CCT6A/FYN/GNA11/JUP/LEPROT/PRKACA/SLC12A2/SLC16A1/TCAF1/TCP1/WWP2/XPO1",13,"regulation of establishment of protein localization",0.104838709677419
"GO:0034504","protein localization to nucleus","12/124","227/7610",0.052863436123348,3.24428023305386,4.41797548801124,0.00030919695699402,0.0690562969484628,0.0615417670750975,"CCT6A/CCT7/CSE1L/FYN/IPO7/JUP/SESN2/STAT3/TCP1/TNPO2/TNPO3/XPO1",12,"protein localization to nucleus",0.0967741935483871
"GO:1900182","positive regulation of protein localization to nucleus","7/124","68/7610",0.102941176470588,6.31759962049336,5.66860963120594,0.000109444246450987,0.0690562969484628,0.0615417670750975,"CCT6A/CCT7/FYN/IPO7/JUP/SESN2/TCP1",7,"positive regulation of protein localization to nucleus",0.0564516129032258
"GO:0031623","receptor internalization","7/124","72/7610",0.0972222222222222,5.96662186379928,5.44940393399222,0.000157591645891713,0.0690562969484628,0.0615417670750975,"OPHN1/AP2A1/AP2M1/CLTC/DNM3/SCYL2/VAC14",7,"receptor internalization",0.0564516129032258
