"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"GO:0061640","cytoskeleton-dependent cytokinesis","17/599","104/7610",0.163461538461538,2.07669834339283,3.23142182703897,0.00290522956449783,0.207790957620776,0.201554711810667,"ALKBH4/ARF1/ARF6/ARL3/BIN3/CHMP4A/CHMP4B/CHMP4C/CHMP5/IST1/RHOA/RHOC/SEPTIN11/SEPTIN2/SEPTIN6/SEPTIN7/SEPTIN8",17,"cytoskeleton-dependent cytokinesis",FALSE,FALSE,FALSE,TRUE
"GO:0030036","actin cytoskeleton organization","47/599","399/7610",0.117794486215539,1.49652093505885,2.97792313927651,0.00308936521696422,0.210121123668122,0.203814944650063,"CARMIL2/DMTN/PDLIM2/TMSB10/ZBED3/ADD2/ALKBH4/ARF1/ARF6/ARPC5/ARPC5L/BAG4/BIN1/BIN3/BLOC1S6/BRK1/BRSK2/CALD1/CARMIL1/CDC42/CDC42EP4/CSRP1/CSRP2/CTTN/FHL3/GRB2/MICAL3/PAWR/PDLIM1/PDLIM5/PDLIM7/PHACTR4/PPP1R9B/RAC1/RAP2A/RDX/RFLNB/RHOA/RHOC/RND3/SHTN1/SORBS1/SPECC1/TRIP10/VASP/WIPF1/ZYX",47,"actin cytoskeleton organization",FALSE,FALSE,FALSE,TRUE
"GO:0009261","ribonucleotide catabolic process","14/599","79/7610",0.177215189873418,2.25143171107965,3.26799660935705,0.00311605032881483,0.210121123668122,0.203814944650063,"BPGM/HPRT1/ARL2/ENO1/ENO2/ENO3/GAPDH/GPI/HDAC4/NT5C2/NUDT10/PGAM1/PKM/TPI1",14,"ribonucleotide catabolic process",FALSE,FALSE,FALSE,TRUE
"GO:0046785","microtubule polymerization","14/599","79/7610",0.177215189873418,2.25143171107965,3.26799660935705,0.00311605032881483,0.210121123668122,0.203814944650063,"ARL2/BLOC1S2/CDKN1B/CLIP1/GOLGA2/MAP4/PSRC1/RAC1/RPS3/SLAIN2/SNCA/SSNA1/TPPP/TPPP3",14,"microtubule polymerization",FALSE,FALSE,FALSE,TRUE
"GO:0009166","nucleotide catabolic process","16/599","96/7610",0.166666666666667,2.11741791875348,3.22034849589073,0.00312234053062337,0.210121123668122,0.203814944650063,"BPGM/HPRT1/ARL2/DCTPP1/DUT/ENO1/ENO2/ENO3/GAPDH/GPI/HDAC4/NT5C2/NUDT10/PGAM1/PKM/TPI1",16,"nucleotide catabolic process",FALSE,FALSE,FALSE,TRUE
"GO:0043094","cellular metabolic compound salvage","7/599","26/7610",0.269230769230769,3.42044433029408,3.61343153103617,0.00316379407545032,0.210121123668122,0.203814944650063,"DCTD/HPRT1/ADI1/APIP/MTAP/NAPRT/PDXK",7,"cellular metabolic compound salvage",FALSE,FALSE,FALSE,TRUE
"GO:0120032","regulation of plasma membrane bounded cell projection assembly","18/599","114/7610",0.157894736842105,2.00597487039803,3.1630931994813,0.00327315008156063,0.212515951593709,0.206137898728069,"CARMIL2/DMTN/ARF4/ARF6/BIN3/BRK1/CDC42/CDC42EP4/CROCC/FNBP1L/IFT20/KCTD17/KLF5/MAP4/RAC1/RDX/SDCCAG8/SEPTIN7",18,"regulation of plasma membrane bounded cell projection assembly",FALSE,FALSE,FALSE,TRUE
"GO:0170035","L-amino acid catabolic process","8/599","33/7610",0.242424242424242,3.07988060909597,3.49972525870975,0.00333686404308081,0.212515951593709,0.206137898728069,"ASRGL1/DDAH1/GLUL/GOT1/GSTZ1/QDPR/RIDA/SHMT1",8,"l-amino acid catabolic process",FALSE,FALSE,FALSE,TRUE
"GO:0043069","negative regulation of programmed cell death","53/599","464/7610",0.114224137931034,1.45116141845605,2.93120813605777,0.00333698956040886,0.212515951593709,0.206137898728069,"DLX1/MSX2/ZFAND6/AKR1A1/AKR1B1/APIP/ARF4/ARHGDIA/BAD/BAG1/BAG4/BCL10/BCL11B/CAAP1/CAST/CDKN1A/CDKN1B/CFDP1/COPS5/CREB1/CSNK2A1/CTTN/DAD1/ENO1/FADD/GATA2/GFER/GLO1/GPI/GPX1/GPX4/MALT1/MIF/MITF/MNAT1/MNT/NACA/NME2/PA2G4/PEA15/PRDX3/RHOA/SELENOS/SET/SNCA/TFAP2D/TNFAIP8/TPT1/UBE2B/URI1/YBX3/ZNF385A/ZPR1",53,"negative regulation of programmed cell death",FALSE,FALSE,FALSE,TRUE
"GO:0009113","purine nucleobase biosynthetic process","4/599","9/7610",0.444444444444444,5.64644778334261,4.07656310027147,0.00347516815417443,0.215414089983425,0.208949057859414,"HPRT1/PPAT/PRPS1/SHMT1",4,"purine nucleobase biosynthetic process",FALSE,FALSE,FALSE,TRUE
