"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030150","protein import into mitochondrial matrix","2/25","16/7628",0.125,38.14,8.52720852162441,0.00120321422912794,0.226393329263629,0.196071929152583,"DNLZ/TIMM23",2
"GO:0072655","establishment of protein localization to mitochondrion","3/25","92/7628",0.0326086956521739,9.9495652173913,4.95199033350966,0.00322230528736624,0.226393329263629,0.196071929152583,"DNLZ/MAPK8/TIMM23",3
"GO:0070585","protein localization to mitochondrion","3/25","97/7628",0.0309278350515464,9.43670103092784,4.79497762587186,0.00374263049564741,0.226393329263629,0.196071929152583,"DNLZ/MAPK8/TIMM23",3
"GO:0044743","protein transmembrane import into intracellular organelle","2/25","29/7628",0.0689655172413793,21.0427586206897,6.20058485483035,0.0039660650596127,0.226393329263629,0.196071929152583,"DNLZ/TIMM23",2
"GO:0170036","import into the mitochondrion","2/25","33/7628",0.0606060606060606,18.4921212121212,5.77417498938565,0.00511666421697028,0.226393329263629,0.196071929152583,"DNLZ/TIMM23",2
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","2/25","36/7628",0.0555555555555556,16.9511111111111,5.50070650216761,0.00606854260268354,0.226393329263629,0.196071929152583,"FAT1/PCDHGA11",2
"GO:0018199","peptidyl-glutamine modification","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"QPCT",1
"GO:0034372","very-low-density lipoprotein particle remodeling","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0036015","response to interleukin-3","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"MT2A",1
"GO:0036016","cellular response to interleukin-3","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"MT2A",1
"GO:0051004","regulation of lipoprotein lipase activity","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0060004","reflex","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"USP46",1
"GO:0071830","triglyceride-rich lipoprotein particle clearance","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0110021","cardiac muscle myoblast proliferation","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"MEIS2",1
"GO:0110022","regulation of cardiac muscle myoblast proliferation","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"MEIS2",1
"GO:0110024","positive regulation of cardiac muscle myoblast proliferation","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"MEIS2",1
"GO:1903236","regulation of leukocyte tethering or rolling","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"GCNT1",1
"GO:1903238","positive regulation of leukocyte tethering or rolling","1/25","3/7628",0.333333333333333,101.706666666667,10.0035306459398,0.00980128914407818,0.226393329263629,0.196071929152583,"GCNT1",1
"GO:0010896","regulation of triglyceride catabolic process","1/25","4/7628",0.25,76.28,8.63520285989073,0.0130478422944251,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0010989","negative regulation of low-density lipoprotein particle clearance","1/25","4/7628",0.25,76.28,8.63520285989073,0.0130478422944251,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0032372","negative regulation of sterol transport","1/25","4/7628",0.25,76.28,8.63520285989073,0.0130478422944251,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0032375","negative regulation of cholesterol transport","1/25","4/7628",0.25,76.28,8.63520285989073,0.0130478422944251,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0034447","very-low-density lipoprotein particle clearance","1/25","4/7628",0.25,76.28,8.63520285989073,0.0130478422944251,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0048149","behavioral response to ethanol","1/25","4/7628",0.25,76.28,8.63520285989073,0.0130478422944251,0.226393329263629,0.196071929152583,"USP46",1
"GO:0071806","protein transmembrane transport","2/25","56/7628",0.0357142857142857,10.8971428571429,4.26238752559298,0.0142528850178463,0.226393329263629,0.196071929152583,"DNLZ/TIMM23",2
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","2/25","59/7628",0.0338983050847458,10.3430508474576,4.13094913897378,0.015741014655945,0.226393329263629,0.196071929152583,"FAT1/PCDHGA11",2
"GO:0001654","eye development","3/25","165/7628",0.0181818181818182,5.54763636363636,3.38629948138449,0.0161191639765096,0.226393329263629,0.196071929152583,"B9D1/FAT1/MEIS2",3
"GO:0150063","visual system development","3/25","165/7628",0.0181818181818182,5.54763636363636,3.38629948138449,0.0161191639765096,0.226393329263629,0.196071929152583,"B9D1/FAT1/MEIS2",3
"GO:0010273","detoxification of copper ion","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"MT2A",1
"GO:0010985","negative regulation of lipoprotein particle clearance","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0033700","phospholipid efflux","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0034379","very-low-density lipoprotein particle assembly","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0034384","high-density lipoprotein particle clearance","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0036017","response to erythropoietin","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"MT2A",1
"GO:0036018","cellular response to erythropoietin","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"MT2A",1
"GO:0043691","reverse cholesterol transport","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0045654","positive regulation of megakaryocyte differentiation","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"ZNF16",1
"GO:0060352","cell adhesion molecule production","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"GCNT1",1
"GO:0090209","negative regulation of triglyceride metabolic process","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"APOC3",1
"GO:1905279","regulation of retrograde transport, endosome to Golgi","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"RAB29",1
"GO:1990169","stress response to copper ion","1/25","5/7628",0.2,61.024,7.69841569172852,0.0162841754453489,0.226393329263629,0.196071929152583,"MT2A",1
"GO:0048880","sensory system development","3/25","167/7628",0.0179640718562874,5.48119760479042,3.35743948046582,0.0166444452937273,0.226393329263629,0.196071929152583,"B9D1/FAT1/MEIS2",3
"GO:0098754","detoxification","2/25","61/7628",0.0327868852459016,10.0039344262295,4.04845910135921,0.0167687861458682,0.226393329263629,0.196071929152583,"MT2A/RAB29",2
"GO:1990542","mitochondrial transmembrane transport","2/25","65/7628",0.0307692307692308,9.38830769230769,3.89438032911492,0.0189082463855425,0.226393329263629,0.196071929152583,"DNLZ/TIMM23",2
"GO:0009396","folic acid-containing compound biosynthetic process","1/25","6/7628",0.166666666666667,50.8533333333333,7.00470317957768,0.0195103194324754,0.226393329263629,0.196071929152583,"FPGS",1
"GO:0019433","triglyceride catabolic process","1/25","6/7628",0.166666666666667,50.8533333333333,7.00470317957768,0.0195103194324754,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0019731","antibacterial humoral response","1/25","6/7628",0.166666666666667,50.8533333333333,7.00470317957768,0.0195103194324754,0.226393329263629,0.196071929152583,"RNASE4",1
"GO:0032489","regulation of Cdc42 protein signal transduction","1/25","6/7628",0.166666666666667,50.8533333333333,7.00470317957768,0.0195103194324754,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0070508","cholesterol import","1/25","6/7628",0.166666666666667,50.8533333333333,7.00470317957768,0.0195103194324754,0.226393329263629,0.196071929152583,"APOC3",1
"GO:0071294","cellular response to zinc ion","1/25","6/7628",0.166666666666667,50.8533333333333,7.00470317957768,0.0195103194324754,0.226393329263629,0.196071929152583,"MT2A",1
"GO:2000288","positive regulation of myoblast proliferation","1/25","6/7628",0.166666666666667,50.8533333333333,7.00470317957768,0.0195103194324754,0.226393329263629,0.196071929152583,"MEIS2",1
"GO:0034368","protein-lipid complex remodeling","1/25","7/7628",0.142857142857143,43.5885714285714,6.46383845590244,0.0227263050024292,0.233139069968943,0.201914196669722,"APOC3",1
"GO:0050995","negative regulation of lipid catabolic process","1/25","7/7628",0.142857142857143,43.5885714285714,6.46383845590244,0.0227263050024292,0.233139069968943,0.201914196669722,"APOC3",1
"GO:0061687","detoxification of inorganic compound","1/25","7/7628",0.142857142857143,43.5885714285714,6.46383845590244,0.0227263050024292,0.233139069968943,0.201914196669722,"MT2A",1
"GO:0097501","stress response to metal ion","1/25","7/7628",0.142857142857143,43.5885714285714,6.46383845590244,0.0227263050024292,0.233139069968943,0.201914196669722,"MT2A",1
"GO:2000291","regulation of myoblast proliferation","1/25","7/7628",0.142857142857143,43.5885714285714,6.46383845590244,0.0227263050024292,0.233139069968943,0.201914196669722,"MEIS2",1
"GO:0009617","response to bacterium","3/25","188/7628",0.0159574468085106,4.86893617021277,3.07991268093442,0.0227452751189212,0.233139069968943,0.201914196669722,"MAPK8/RAB29/RNASE4",3
"GO:0010988","regulation of low-density lipoprotein particle clearance","1/25","8/7628",0.125,38.14,6.02648097002969,0.0259321628130756,0.253789582431153,0.219798936602762,"APOC3",1
"GO:1903441","protein localization to ciliary membrane","1/25","8/7628",0.125,38.14,6.02648097002969,0.0259321628130756,0.253789582431153,0.219798936602762,"RAB29",1
"GO:0006626","protein targeting to mitochondrion","2/25","79/7628",0.0253164556962025,7.72455696202532,3.44498148374355,0.027238226496942,0.253789582431153,0.219798936602762,"DNLZ/TIMM23",2
"GO:0010984","regulation of lipoprotein particle clearance","1/25","9/7628",0.111111111111111,33.9022222222222,5.66306936900708,0.0291279234337678,0.253789582431153,0.219798936602762,"APOC3",1
"GO:0034367","protein-containing complex remodeling","1/25","9/7628",0.111111111111111,33.9022222222222,5.66306936900708,0.0291279234337678,0.253789582431153,0.219798936602762,"APOC3",1
"GO:1904996","positive regulation of leukocyte adhesion to vascular endothelial cell","1/25","9/7628",0.111111111111111,33.9022222222222,5.66306936900708,0.0291279234337678,0.253789582431153,0.219798936602762,"GCNT1",1
"GO:0009612","response to mechanical stimulus","2/25","85/7628",0.0235294117647059,7.17929411764706,3.28496433095494,0.0311873250778081,0.253789582431153,0.219798936602762,"MAPK8/MEIS2",2
"GO:0032228","regulation of synaptic transmission, GABAergic","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"USP46",1
"GO:0032488","Cdc42 protein signal transduction","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"APOC3",1
"GO:0046461","neutral lipid catabolic process","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"APOC3",1
"GO:0046464","acylglycerol catabolic process","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"APOC3",1
"GO:0046655","folic acid metabolic process","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"FPGS",1
"GO:0050901","leukocyte tethering or rolling","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"GCNT1",1
"GO:0071276","cellular response to cadmium ion","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"MT2A",1
"GO:1904754","positive regulation of vascular associated smooth muscle cell migration","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"FAT1",1
"GO:1904994","regulation of leukocyte adhesion to vascular endothelial cell","1/25","10/7628",0.1,30.512,5.35466789466812,0.0323136173455879,0.253789582431153,0.219798936602762,"GCNT1",1
"GO:0001921","positive regulation of receptor recycling","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"RAB29",1
"GO:0031281","positive regulation of cyclase activity","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"MAPK8",1
"GO:0042559","pteridine-containing compound biosynthetic process","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"FPGS",1
"GO:0045717","negative regulation of fatty acid biosynthetic process","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"APOC3",1
"GO:0051450","myoblast proliferation","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"MEIS2",1
"GO:0055090","acylglycerol homeostasis","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"APOC3",1
"GO:0070328","triglyceride homeostasis","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"APOC3",1
"GO:0071280","cellular response to copper ion","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"MT2A",1
"GO:0141087","positive regulation of inflammasome-mediated signaling pathway","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"MAPK8",1
"GO:1900227","positive regulation of NLRP3 inflammasome complex assembly","1/25","11/7628",0.0909090909090909,27.7381818181818,5.08850984622952,0.0354892749415922,0.253789582431153,0.219798936602762,"MAPK8",1
"GO:0045637","regulation of myeloid cell differentiation","2/25","94/7628",0.0212765957446809,6.49191489361702,3.07205721340905,0.0375089533220289,0.255621288324063,0.221385317744075,"MEIS2/ZNF16",2
"GO:0002691","regulation of cellular extravasation","1/25","12/7628",0.0833333333333333,25.4266666666667,4.85563176163547,0.0386549265270535,0.255621288324063,0.221385317744075,"GCNT1",1
"GO:0006878","intracellular copper ion homeostasis","1/25","12/7628",0.0833333333333333,25.4266666666667,4.85563176163547,0.0386549265270535,0.255621288324063,0.221385317744075,"MT2A",1
"GO:0032369","negative regulation of lipid transport","1/25","12/7628",0.0833333333333333,25.4266666666667,4.85563176163547,0.0386549265270535,0.255621288324063,0.221385317744075,"APOC3",1
"GO:0050862","positive regulation of T cell receptor signaling pathway","1/25","12/7628",0.0833333333333333,25.4266666666667,4.85563176163547,0.0386549265270535,0.255621288324063,0.221385317744075,"RAB29",1
"GO:0060191","regulation of lipase activity","1/25","12/7628",0.0833333333333333,25.4266666666667,4.85563176163547,0.0386549265270535,0.255621288324063,0.221385317744075,"APOC3",1
"GO:0007423","sensory organ development","3/25","240/7628",0.0125,3.814,2.53992359687009,0.0424808090417475,0.264544104205312,0.22911307955137,"B9D1/FAT1/MEIS2",3
"GO:0006882","intracellular zinc ion homeostasis","1/25","14/7628",0.0714285714285714,21.7942857142857,4.46535478780765,0.044956332449974,0.264544104205312,0.22911307955137,"MT2A",1
