"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","translation","203/1729","546/7628",0.371794871794872,1.64028414230843,8.40574629459043,1.14676634814204e-15,4.97123211919573e-12,4.97123211919573e-12,"ATF4/C8orf88/CNBP/EIF1/EIF1B/EIF3C/EIF3CL/PAIP2/PDIK1L/RCHY1/AJUBA/ALKBH3/ALKBH5/APEH/C1QBP/CALR/CAPRIN1/CASC3/CHCHD1/CIRBP/CNOT3/COPS5/CSNK2A1/DAP3/DDRGK1/DENR/DHPS/EIF1AD/EIF1AX/EIF3J/EIF4B/EIF4H/EIF5A/EIF6/ELAC1/FAU/GADD45GIP1/GAPDH/HABP4/HNRNPD/HSPB1/IGFBP5/ITGA2/LARP1B/LSM14B/LTO1/MCTS1/METAP1/MRPL10/MRPL11/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL27/MRPL28/MRPL3/MRPL32/MRPL33/MRPL34/MRPL35/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL43/MRPL44/MRPL45/MRPL46/MRPL48/MRPL51/MRPL53/MRPL54/MRPL55/MRPL58/MRPS10/MRPS11/MRPS15/MRPS16/MRPS17/MRPS18B/MRPS18C/MRPS2/MRPS22/MRPS23/MRPS25/MRPS26/MRPS28/MRPS30/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MRRF/MTIF3/MTRES1/MTRFR/NACA/NCL/NGRN/NHLRC3/NOLC1/NPM1/OGFOD1/PA2G4/PKM/PML/PPP1CA/PYM1/QKI/RACK1/RBM8A/RIDA/RPL11/RPL12/RPL13/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL29/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL36AL/RPL37A/RPL38/RPL4/RPL5/RPL7A/RPL8/RPL9/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS24/RPS25/RPS26/RPS27/RPS27L/RPS28/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPS9/RPSA/RRBP1/RSL24D1/RWDD1/SARNP/SARS1/SARS2/SAYSD1/SERBP1/SH3BGRL/SHMT1/SHMT2/SLBP/SRP9/TARBP2/TCOF1/TPR/UNK/UPF3B/UQCC2/WFS1/YBX1/YBX3/ZC3H15/ZFP36L1/ZNF385A/ZNF706",203
"GO:0008380","RNA splicing","145/1729","396/7628",0.366161616161616,1.61543135227346,6.80899747244137,7.45306050590826e-11,8.07725432327808e-08,8.07725432327808e-08,"EIF1/ACIN1/AHNAK/AHNAK2/ALYREF/ARGLU1/ARL6IP4/ATXN7L3/BUD13/BUD31/C1QBP/C2orf49/C9orf78/CACTIN/CASC3/CD2BP2/CIR1/CIRBP/CLASRP/CRIPT/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ENY2/ESS2/FRA10AC1/FUS/GEMIN2/GEMIN6/HABP4/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LGALS3/LSM1/LSM10/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MBNL1/MFAP1/NCL/NSRP1/PDCD7/PLRG1/PNN/PPIE/PPIG/PPIH/PPIL1/PPIL3/PPP1R9B/PQBP1/PRKRIP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RP9/RPS13/RPS26/RSRC1/RSRP1/SAP18/SCAF1/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SGF29/SMN1/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP48/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SREK1IP1/SRRM1/SRRM2/SRSF1/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SUGP1/SUPT7L/SYF2/TADA3/TAF12/TAF15/THRAP3/TRA2A/TRA2B/UPF3B/WBP11/WBP4/YBX1/YJU2/ZBTB7A/ZC3H10/ZC3H13/ZCRB1/ZMAT2/ZMAT5/ZNF830/ZPR1/ZRANB2",145
"GO:0140053","mitochondrial gene expression","68/1729","154/7628",0.441558441558442,1.94806697062336,6.4343992046682,1.94929385534558e-09,1.30627232000145e-06,1.30627232000145e-06,"C1QBP/CHCHD1/DAP3/GADD45GIP1/KAT8/MRPL10/MRPL11/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL27/MRPL28/MRPL3/MRPL32/MRPL33/MRPL34/MRPL35/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL43/MRPL44/MRPL45/MRPL46/MRPL48/MRPL51/MRPL53/MRPL54/MRPL55/MRPL58/MRPS10/MRPS11/MRPS15/MRPS16/MRPS17/MRPS18B/MRPS18C/MRPS2/MRPS22/MRPS23/MRPS25/MRPS26/MRPS28/MRPS30/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTIF3/MTRES1/NGRN/SARS2/SHMT2/TFAM/UQCC2",68
"GO:0061644","protein localization to CENP-A containing chromatin","14/1729","15/7628",0.933333333333333,4.11767881241565,6.54311054813226,1.07458491069758e-08,4.65832558787399e-06,4.65832558787399e-06,"H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15",14
"GO:0006334","nucleosome assembly","35/1729","63/7628",0.555555555555556,2.45099929310456,6.26063206415949,1.42228817892357e-08,5.60510841421242e-06,5.60510841421242e-06,"ANP32B/ASF1A/BRD2/CHRAC1/DNAJC9/GRWD1/H1-0/H1-10/H1-2/H1-3/H1-4/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15/HMGB2/NAP1L1/NAP1L4/NPM1/POLE3/RBBP4/RSF1/SET/SOX9/SPTY2D1",35
"GO:0045653","negative regulation of megakaryocyte differentiation","14/1729","16/7628",0.875,3.86032388663968,6.20027548625407,6.79135641435359e-08,2.45337750468523e-05,2.45337750468523e-05,"H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15",14
"GO:0097212","lysosomal membrane organization","11/1729","12/7628",0.916666666666667,4.04414883362252,5.71318397148322,7.53541411688028e-07,0.000230312603521403,0.000230312603521403,"CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6/HSPA8",11
"GO:0034728","nucleosome organization","38/1729","80/7628",0.475,2.0956043956044,5.33295581546435,7.96929423949492e-07,0.000230312603521403,0.000230312603521403,"ANP32B/ASF1A/BRD2/CHRAC1/DNAJC9/GRWD1/H1-0/H1-10/H1-2/H1-3/H1-4/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15/HMGA1/HMGB2/MCM3AP/NAP1L1/NAP1L4/NPM1/POLE3/RBBP4/RSF1/SET/SMARCE1/SOX9/SPTY2D1",38
"GO:0065004","protein-DNA complex assembly","62/1729","156/7628",0.397435897435897,1.75340718660557,5.14705486757031,1.01215481065302e-06,0.000274230694011302,0.000274230694011302,"TAF13/ANP32B/ASF1A/BDP1/BRD2/CDT1/CENPF/CENPH/CENPK/CENPV/CHRAC1/DNAJC9/DR1/GMNN/GRWD1/GTF2A2/H1-0/H1-10/H1-2/H1-3/H1-4/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15/HJURP/HMGB1/HMGB2/ITGB3BP/MED10/MED15/MED19/MED26/MED30/MED4/MED9/MIS12/NAP1L1/NAP1L4/NPM1/POLE3/RBBP4/RNF4/RSF1/SET/SOX9/SPTY2D1/TAF11/TAF12/TAF3/TAF7/TP53",62
"GO:0071824","protein-DNA complex organization","66/1729","172/7628",0.383720930232558,1.69289951174896,4.9758433665026,1.9876204679504e-06,0.000506843219327352,0.000506843219327352,"TAF13/ANP32B/ASF1A/BDP1/BRD2/CDT1/CENPF/CENPH/CENPK/CENPV/CHRAC1/DNAJC9/DR1/GMNN/GRWD1/GTF2A2/H1-0/H1-10/H1-2/H1-3/H1-4/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15/HJURP/HMGA1/HMGB1/HMGB2/ITGB3BP/MCM3AP/MED10/MED15/MED19/MED26/MED30/MED4/MED9/MIS12/NAP1L1/NAP1L4/NPM1/POLE3/RBBP4/RNF4/RPL23/RSF1/SET/SMARCE1/SOX9/SPTY2D1/TAF11/TAF12/TAF3/TAF7/TP53",66
"GO:0051469","vesicle fusion with vacuole","10/1729","11/7628",0.909090909090909,4.01072611598927,5.40954560339087,3.06738048475231e-06,0.000699847073757961,0.000699847073757961,"CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6",10
"GO:0061763","multivesicular body-lysosome fusion","10/1729","11/7628",0.909090909090909,4.01072611598927,5.40954560339087,3.06738048475231e-06,0.000699847073757961,0.000699847073757961,"CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6",10
"GO:0022613","ribonucleoprotein complex biogenesis","136/1729","426/7628",0.31924882629108,1.40846156561501,4.69693565237395,3.83799800295345e-06,0.000765929021479835,0.000765929021479835,"EIF3C/EIF3CL/PTGES3/ZNHIT3/BUD13/C1D/C1orf131/C1QBP/CD2BP2/DDX39B/DDX51/DENR/DKC1/EBNA1BP2/EIF1AX/EIF3J/EIF6/EMG1/FAU/GEMIN2/GEMIN6/GLUL/GRWD1/ISY1/KRR1/LSM2/LSM4/LSM6/LTO1/LUC7L/LUC7L2/LUC7L3/LYAR/MCTS1/MPHOSPH6/MRPS2/MRPS7/NAF1/NGRN/NHP2/NIP7/NMD3/NOLC1/NOM1/NOP10/NOP16/NOP53/NOPCHAP1/NPM1/NUDT16/NUFIP1/PA2G4/PIN4/POP4/POP5/POP7/PSIP1/PWP1/RAN/RBIS/RBMX2/REXO1/RPL11/RPL24/RPL26/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7A/RPP25/RPP30/RPP38/RPP40/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS24/RPS25/RPS27/RPS27L/RPS28/RPS3A/RPS4X/RPS5/RPS7/RPS9/RPSA/RPUSD2/RRP1/RRP15/RRP36/RRP9/RRS1/RSL24D1/RSRP1/SCAF11/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SMN1/SMN2/SNIP1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SRSF1/SRSF12/SRSF5/SRSF6/SURF6/TARBP2/TMA16/USP36/WBP11/WDR55/YJU2/ZNF593/ZNF622",136
"GO:0001682","tRNA 5'-leader removal","11/1729","13/7628",0.846153846153846,3.7330604618054,5.33913784430651,3.88706769839824e-06,0.000765929021479835,0.000765929021479835,"POP1/POP4/POP5/POP7/RPP14/RPP21/RPP25/RPP25L/RPP30/RPP38/RPP40",11
"GO:0030219","megakaryocyte differentiation","24/1729","44/7628",0.545454545454545,2.40643566959356,5.0650323106469,4.20832166705685e-06,0.000793177148986584,0.000793177148986584,"MEIS1/ZNF16/EIF6/GATA2/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15/HMGB2/MAF/PITHD1/SP3/SRF/ZNF385A",24
