"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num"
"GO:0061644","protein localization to CENP-A containing chromatin","14/512","15/7628",0.933333333333333,13.9052083333333,13.4191997787557,4.48821061763055e-16,2.38054691159124e-12,1.89402488064009e-12,"H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15",14,"protein localization to cenp-a containing chromatin",0.02734375
"GO:0007155","cell adhesion","90/512","571/7628",0.157618213660245,2.34826510507881,8.98415371524776,2.93078823339292e-15,5.96066596725646e-12,4.74246047922743e-12,"ADAM9/APLP1/APOA1/APP/BMP4/CCN1/CCN2/CD151/CD81/COL1A1/DDR2/DGCR2/EDIL3/EPHA4/EPHA7/ERBB2/FAT1/FN1/FZD7/GCNT1/HABP2/HLA-A/IL6ST/LRP6/MFAP4/MFGE8/NDFIP1/NEO1/NTN1/PLPP3/PTPRS/SDC4/SERPINF2/SPINT2/SUSD5/THBS1/VTN/WNT5A/ADAM10/ADGRE5/ANTXR1/ANXA2/ATP1B1/C1QBP/CADM1/CALR/CAV1/CD276/CD46/CD47/CD55/CD83/CD99L2/CDH2/CDON/CHST10/CLSTN3/CNTN1/CXADR/DSC3/EGFR/EPHB4/ESAM/EXT1/F11R/FBLN1/FLRT3/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/JAM3/LAMC1/NECTIN2/NPTN/NRP2/P4HB/PCDH1/PCDH7/PCDH9/PML/PPP1CB/PTPRU/ROBO1/SGCE/STX3/TFRC/TPBG",90,"cell adhesion",0.17578125
"GO:0045653","negative regulation of megakaryocyte differentiation","14/512","16/7628",0.875,13.0361328125,12.9268127166677,3.37141740229438e-15,5.96066596725646e-12,4.74246047922743e-12,"H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15",14,"negative regulation of megakaryocyte differentiation",0.02734375
"GO:0009611","response to wounding","52/512","274/7628",0.18978102189781,2.82744069343066,8.26324527900796,3.35387862053579e-12,4.44724305083046e-09,3.53834194466526e-09,"APOE/APOH/CCN1/CCN2/CD151/DDR2/EPHA4/ERBB2/F5/FN1/FZD7/HGFAC/IL6ST/NEO1/PAX6/PLPP3/PROS1/PTPRS/RTN4RL2/SDC4/SERPIND1/SERPINF2/THBS1/TSKU/VTN/WNT5A/ANXA2/C1GALT1C1/CAV1/CD109/CD59/DCBLD2/EXT1/F11R/FBLN1/FLRT3/GRN/ITGAV/ITGB1/ITGB5/NOTCH2/P2RX4/PLA2G4A/PLAT/PLSCR1/RGMA/SCARB1/SMPD1/SULF2/SYT11/TIMP1/VEGFB",52,"response to wounding",0.1015625
"GO:0040017","positive regulation of locomotion","50/512","264/7628",0.189393939393939,2.82167376893939,8.07996653919603,9.77382709330156e-12,1.03680757805743e-08,8.24911006674652e-09,"ADAM9/ADAMTS1/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/FAT1/FLT1/FN1/NTN1/PAX6/PHPT1/PLPP3/PTGS2/SDCBP/SEMA3C/SLIT2/SPRY2/THBS1/VTN/WNT5A/ACVR1B/ADAM10/AKAP12/C1QBP/CALR/CAV1/CD47/CD99L2/CPNE3/EGFR/EMC10/FBLN1/GRN/HSPA5/IGSF8/ITGAV/ITGB1/JAM3/MET/NRP2/P2RX4/PGF/SCARB1/STX3/TPBG/VEGFB",50,"positive regulation of locomotion",0.09765625
"GO:0040011","locomotion","75/512","523/7628",0.1434034416826,2.13648721319312,7.2231601003956,1.02621931964965e-10,9.07177878570291e-08,7.21774254820254e-08,"ADAM9/ADAMTS1/APOA1/APOE/APOH/APP/BMP4/CCN1/CD151/CD81/COL1A1/DDR2/EPHA4/EPHA7/FAT1/FLT1/FN1/GCNT1/GJA1/NTN1/PAX6/PHPT1/PLPP3/PTGS2/RNF7/SDC4/SDCBP/SEMA3C/SERPIND1/SLIT2/SPINT2/SPRY2/THBS1/VTN/WNT5A/ACVR1B/ADAM10/ADIPOR1/AKAP12/ARRDC3/BMPR1A/C1QBP/CALR/CAV1/CD47/CD99L2/CPNE3/CXADR/EGFR/EMC10/FBLN1/FLRT3/GRN/HSPA5/IGSF8/ITGA1/ITGAV/ITGB1/JAM3/MET/NRP2/P2RX4/PGF/PLGRKT/PPIB/PTPRU/RAP2C/RGN/ROBO1/SCARB1/SERPINF1/STX3/TIMP1/TPBG/VEGFB",75,"locomotion",0.146484375
"GO:0008284","positive regulation of cell population proliferation","60/512","378/7628",0.158730158730159,2.36483134920635,7.30045233842897,1.64932983123136e-10,1.09350567810639e-07,8.70021485974544e-08,"ADAMTS1/BMP4/CCN1/CCPG1/CD81/CNBP/DDR2/EGR1/EPHA4/ERBB2/FGFR3/FLT1/FN1/FZD7/GJA1/GNG5/HLA-A/IL6ST/MEIS1/MEIS2/NTN1/PAX6/PTGS2/SDCBP/SERPINF2/THBS1/WNT5A/ZNF335/ADAM10/BAMBI/BMPR1A/CALR/CD276/CD320/CD46/CD47/CD55/CDON/EGFR/EMC10/FBLN1/GRN/HMGA2/ITGAV/ITGB1/LAMC1/MARCKSL1/NOTCH2/NRP2/PDCD2/PDF/PGF/PML/SHMT2/SLC25A5/STX3/TFRC/TIMP1/VEGFB/ZNF143",60,"positive regulation of cell population proliferation",0.1171875
"GO:0042060","wound healing","41/512","206/7628",0.199029126213592,2.96522299757282,7.66970847702079,1.62481551391053e-10,1.09350567810639e-07,8.70021485974544e-08,"APOE/APOH/CCN1/CD151/DDR2/ERBB2/F5/FN1/FZD7/HGFAC/IL6ST/PLPP3/PROS1/SDC4/SERPIND1/SERPINF2/THBS1/TSKU/VTN/WNT5A/ANXA2/C1GALT1C1/CAV1/CD109/CD59/DCBLD2/EXT1/F11R/FBLN1/ITGAV/ITGB1/ITGB5/NOTCH2/PLA2G4A/PLAT/PLSCR1/SCARB1/SMPD1/SYT11/TIMP1/VEGFB",41,"wound healing",0.080078125
"GO:2000147","positive regulation of cell motility","47/512","259/7628",0.181467181467181,2.70357746138996,7.48171866517468,1.97845713352395e-10,1.16597073735678e-07,9.27676567052342e-08,"ADAM9/ADAMTS1/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/FAT1/FLT1/FN1/NTN1/PAX6/PHPT1/PLPP3/PTGS2/SDCBP/SEMA3C/SPRY2/THBS1/VTN/WNT5A/ACVR1B/ADAM10/AKAP12/C1QBP/CALR/CAV1/CD47/CD99L2/CPNE3/EGFR/EMC10/FBLN1/GRN/HSPA5/IGSF8/ITGAV/ITGB1/JAM3/MET/NRP2/P2RX4/PGF/SCARB1/VEGFB",47,"positive regulation of cell motility",0.091796875
"GO:0045652","regulation of megakaryocyte differentiation","14/512","27/7628",0.518518518518518,7.72511574074074,9.38945019935929,2.82097142526659e-10,1.4962432439614e-07,1.1904499414625e-07,"H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4C16/H4C15",14,"regulation of megakaryocyte differentiation",0.02734375
