"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"GO:1902750","negative regulation of cell cycle G2/M phase transition","9/504","57/7628",0.157894736842105,2.38972431077694,2.80104215929214,0.0116896474561534,0.23561394948056,0.225940078311477,"BRCA1/CDKN1A/DTL/INIP/MIIP/MRNIP/RBBP8/SYF2/TICRR",9,"negative regulation of cell cycle g2/m phase transition",FALSE,FALSE,FALSE,TRUE
"GO:0044093","positive regulation of molecular function","46/504","498/7628",0.0923694779116466,1.39800471728183,2.44336479435936,0.0119022279898571,0.236473401610615,0.226764242933298,"ADD1/DACT1/EVI5/NDEL1/NKX6-1/PIDD1/USP6NL/ABL1/ABL2/ADD2/ARHGAP11A/ATF2/BAD/CCDC88A/CDKN1A/CDT1/CRTC1/CRTC2/CRTC3/DCP1B/ERC1/HDAC4/MAP3K7/MAPRE3/MAVS/MRNIP/PAK1/PDE5A/PHACTR4/PSRC1/PTK2/RALBP1/RAPGEF1/RIPK1/RNF25/SDHAF4/SRGAP2/STIM2/TAB2/TANK/TCF3/TFDP1/TPX2/UBE2L3/UBE2S/ZC4H2",46,"positive regulation of molecular function",FALSE,FALSE,FALSE,TRUE
"GO:0006930","substrate-dependent cell migration, cell extension","3/504","8/7628",0.375,5.67559523809524,3.51912425585112,0.01249852393203,0.236473401610615,0.226764242933298,"OPHN1/CD2AP/CTTN",3,"substrate-dependent cell migration, cell extension",FALSE,FALSE,FALSE,TRUE
"GO:0035519","protein K29-linked ubiquitination","3/504","8/7628",0.375,5.67559523809524,3.51912425585112,0.01249852393203,0.236473401610615,0.226764242933298,"UBE2T/TRAF7/UBE2S",3,"protein k29-linked ubiquitination",FALSE,FALSE,FALSE,TRUE
"GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","3/504","8/7628",0.375,5.67559523809524,3.51912425585112,0.01249852393203,0.236473401610615,0.226764242933298,"EIF4ENIF1/TNRC6A/TNRC6B",3,"positive regulation of nuclear-transcribed mrna poly(a) tail shortening",FALSE,FALSE,FALSE,TRUE
"GO:0003365","establishment of cell polarity involved in ameboidal cell migration","2/504","3/7628",0.666666666666667,10.0899470899471,4.18824660082744,0.0124987188086388,0.236473401610615,0.226764242933298,"AMOT/AMOTL1",2,"establishment of cell polarity involved in ameboidal cell migration",FALSE,FALSE,TRUE,TRUE
"GO:0033316","meiotic spindle assembly checkpoint signaling","2/504","3/7628",0.666666666666667,10.0899470899471,4.18824660082744,0.0124987188086388,0.236473401610615,0.226764242933298,"TTK/ZWINT",2,"meiotic spindle assembly checkpoint signaling",FALSE,FALSE,TRUE,TRUE
"GO:0050908","detection of light stimulus involved in visual perception","2/504","3/7628",0.666666666666667,10.0899470899471,4.18824660082744,0.0124987188086388,0.236473401610615,0.226764242933298,"CCDC66/CEP250",2,"detection of light stimulus involved in visual perception",FALSE,FALSE,TRUE,TRUE
"GO:0050962","detection of light stimulus involved in sensory perception","2/504","3/7628",0.666666666666667,10.0899470899471,4.18824660082744,0.0124987188086388,0.236473401610615,0.226764242933298,"CCDC66/CEP250",2,"detection of light stimulus involved in sensory perception",FALSE,FALSE,TRUE,TRUE
"GO:0097343","ripoptosome assembly","2/504","3/7628",0.666666666666667,10.0899470899471,4.18824660082744,0.0124987188086388,0.236473401610615,0.226764242933298,"BIRC2/RIPK1",2,"ripoptosome assembly",FALSE,FALSE,TRUE,TRUE
