"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","transmembrane transport","89/639","508/7628",0.175196850393701,2.09139526573263,7.69828006776078,4.39070677140365e-12,1.65749180620488e-08,1.64720830876659e-08,"ABCA3/ABCB10/CRBN/GHITM/MFSD8/PEX13/SFXN4/SLC11A2/SLC39A7/SLC46A3/TIMM23/TRIB3/ZDHHC13/ABCB1/ABCB7/ANO10/ANXA6/AP4M1/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/CPT2/GSDME/INPP5K/LRRC8E/MCU/MCUR1/MEF2A/MICU2/COX2/NDUFA9/NDUFS7/NIPSNAP2/PEX1/PHB2/PMPCB/PRKCE/SEC61A1/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A11/SLC25A12/SLC25A14/SLC25A15/SLC25A17/SLC25A19/SLC25A21/SLC25A3/SLC25A4/SLC25A5/SLC25A6/SLC30A5/SLC30A7/SLC31A1/SLC35E1/SLC35F2/SLC37A3/SLC37A4/SLC38A9/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SLC9A6/SPNS1/STOM/TAP1/TIMM21/TIMM50/TMEM63B/TMEM94/UQCRC1",89
"GO:0044255","cellular lipid metabolic process","69/639","439/7628",0.157175398633257,1.87626594800389,5.71812619289877,1.40073847006239e-07,0.000176259590816184,0.000175166031835171,"ABCA3/CHKA/GK/HDHD5/LPGAT1/MFSD8/MTMR12/NUDT8/PDK2/PDSS1/PEX13/PLPP3/SIRT3/TRIB3/ABHD16A/ACAD9/ACOX3/AGPAT3/AGPAT4/BCKDK/CERS5/CLN6/CPT2/CTDNEP1/DDHD1/DGKE/DPAGT1/DPM1/ECHS1/EPHX1/ERLIN1/ERLIN2/ETNK1/FADS1/GNPAT/GPAT4/HADHA/HADHB/HSD17B12/IMPA2/INPP5K/KAT5/LPCAT1/MLYCD/NUDT19/PCCA/PDK1/PECR/PEDS1/PHB2/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/RDH11/RDH14/RGN/SACM1L/SCAP/SCD5/SGPL1/SLC25A17/SLC27A3/SLC30A5/SPTLC2/TM9SF2/TYSND1/UGCG",69
"GO:0006811","monoatomic ion transport","62/639","394/7628",0.157360406091371,1.87847445643971,5.41386944632327,6.08776195400873e-07,0.000444907965033313,0.000442147643744504,"CRBN/GHITM/MFSD8/SFXN4/SLC11A2/SLC39A7/SLC46A3/ZDHHC13/ABCB1/ABCB7/ANO10/ANXA6/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/INPP5K/LRRC8E/MCU/MCUR1/MICU2/COX2/NDUFA9/NDUFS7/NIPSNAP2/PHB2/PMPCB/PRKCE/SEC61A1/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A12/SLC25A14/SLC25A3/SLC25A4/SLC25A5/SLC30A5/SLC30A7/SLC31A1/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC9A6/STOM/TFRC/TMEM63B/TMEM94/UQCRC1",62
"GO:0006487","protein N-linked glycosylation","15/639","48/7628",0.3125,3.73043818466354,5.73770409110126,4.7619740209693e-06,0.00179764519291591,0.00178649214849838,"ALG1/MGAT4B/ALG11/ALG2/ALG3/ALG8/ALG9/B4GALT7/DPAGT1/DPM1/ENTPD5/KRTCAP2/RPN1/STT3A/STT3B",15
"GO:1905039","carboxylic acid transmembrane transport","17/639","62/7628",0.274193548387097,3.27315866525317,5.43390709147565,8.17290686104233e-06,0.00257106028336957,0.00255510877655745,"ABCB1/CPT2/LRRC8E/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A11/SLC25A12/SLC25A15/SLC25A21/SLC38A9/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8",17
"GO:0015711","organic anion transport","28/639","141/7628",0.198581560283688,2.37054795280747,4.9667197693128,1.22406988703367e-05,0.00330061701682293,0.00328013915593082,"ABCB1/CPT2/G6PC3/LRRC8E/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A11/SLC25A12/SLC25A15/SLC25A17/SLC25A19/SLC25A21/SLC25A4/SLC25A5/SLC25A6/SLC27A3/SLC37A4/SLC38A9/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SYK",28
"GO:0006839","mitochondrial transport","25/639","120/7628",0.208333333333333,2.48695878977569,4.96417639963752,1.50715205237156e-05,0.00339242838759001,0.00337138090578481,"ABCB10/BNIP3/GHITM/SFXN4/TIMM23/ABCB7/BCL2L1/CPT2/MCU/MCUR1/MICU2/MTX2/PMPCB/SLC25A1/SLC25A12/SLC25A15/SLC25A21/SLC25A3/SLC25A4/SLC25A5/SLC25A6/TIMM21/TIMM29/TIMM50/TMEM102",25
"GO:0019217","regulation of fatty acid metabolic process","11/639","37/7628",0.297297297297297,3.54895740811234,4.69930601695481,0.000147907266821692,0.0214749973943034,0.0213417610911948,"LPGAT1/PDK2/TRIB3/BCKDK/ERLIN1/ERLIN2/MLYCD/PDK1/RGN/SCAP/TYSND1",11
"GO:0042180","cellular ketone metabolic process","19/639","92/7628",0.206521739130435,2.46533306116895,4.27542802022317,0.000177359762925827,0.024797522409074,0.0246436723223255,"LPGAT1/PDK2/PDSS1/TRIB3/BCKDK/COQ5/ERLIN1/ERLIN2/GGCX/GPD2/MLYCD/NDUFA9/PDK1/PRKCE/RGN/SCAP/SLC7A11/TYSND1/VKORC1",19
"GO:1901264","carbohydrate derivative transport","10/639","33/7628",0.303030303030303,3.6173946033101,4.55598269156741,0.000248455898582684,0.0312640339049877,0.0310700639490767,"G6PC3/LRRC8E/SLC19A1/SLC25A17/SLC25A19/SLC25A4/SLC25A5/SLC25A6/SLC37A4/SPNS1",10
