"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"GO:0099105","ion channel modulating, G protein-coupled receptor signaling pathway","2/124","3/7610",0.666666666666667,40.9139784946237,8.89874294161117,0.000781750179059819,0.0744648364620881,0.0663617631315382,"ORAI1/GNA11",2,"ion channel modulating, g protein-coupled receptor signaling pathway",FALSE,FALSE,TRUE,FALSE
"GO:1900126","negative regulation of hyaluronan biosynthetic process","2/124","3/7610",0.666666666666667,40.9139784946237,8.89874294161117,0.000781750179059819,0.0744648364620881,0.0663617631315382,"AP2A1/CLTC",2,"negative regulation of hyaluronan biosynthetic process",FALSE,FALSE,TRUE,FALSE
"GO:1904851","positive regulation of establishment of protein localization to telomere","2/124","3/7610",0.666666666666667,40.9139784946237,8.89874294161117,0.000781750179059819,0.0744648364620881,0.0663617631315382,"CCT6A/TCP1",2,"positive regulation of establishment of protein localization to telomere",FALSE,FALSE,TRUE,FALSE
"GO:0030213","hyaluronan biosynthetic process","2/124","4/7610",0.5,30.6854838709677,7.64268025786762,0.00154680669387492,0.0909375424475994,0.0810419513207988,"AP2A1/CLTC",2,"hyaluronan biosynthetic process",FALSE,FALSE,TRUE,FALSE
"GO:1900125","regulation of hyaluronan biosynthetic process","2/124","4/7610",0.5,30.6854838709677,7.64268025786762,0.00154680669387492,0.0909375424475994,0.0810419513207988,"AP2A1/CLTC",2,"regulation of hyaluronan biosynthetic process",FALSE,FALSE,TRUE,FALSE
"GO:1903423","positive regulation of synaptic vesicle recycling","2/124","4/7610",0.5,30.6854838709677,7.64268025786762,0.00154680669387492,0.0909375424475994,0.0810419513207988,"AP2M1/DNM3",2,"positive regulation of synaptic vesicle recycling",FALSE,FALSE,TRUE,FALSE
"GO:1904502","regulation of lipophagy","2/124","4/7610",0.5,30.6854838709677,7.64268025786762,0.00154680669387492,0.0909375424475994,0.0810419513207988,"SESN2/SPTLC1",2,"regulation of lipophagy",FALSE,FALSE,TRUE,FALSE
"GO:1904504","positive regulation of lipophagy","2/124","4/7610",0.5,30.6854838709677,7.64268025786762,0.00154680669387492,0.0909375424475994,0.0810419513207988,"SESN2/SPTLC1",2,"positive regulation of lipophagy",FALSE,FALSE,TRUE,FALSE
"GO:0009396","folic acid-containing compound biosynthetic process","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"FPGS/MTHFD1",2,"folic acid-containing compound biosynthetic process",FALSE,FALSE,TRUE,FALSE
"GO:0019370","leukotriene biosynthetic process","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"MGST2/MGST3",2,"leukotriene biosynthetic process",FALSE,FALSE,TRUE,FALSE
"GO:0019433","triglyceride catabolic process","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"DAGLB/DDHD2",2,"triglyceride catabolic process",FALSE,FALSE,TRUE,FALSE
"GO:0034380","high-density lipoprotein particle assembly","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"PRKACA/PRKACB",2,"high-density lipoprotein particle assembly",FALSE,FALSE,TRUE,FALSE
"GO:0043650","dicarboxylic acid biosynthetic process","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"GLS/MTHFD1",2,"dicarboxylic acid biosynthetic process",FALSE,FALSE,TRUE,FALSE
"GO:0070202","regulation of establishment of protein localization to chromosome","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"CCT6A/TCP1",2,"regulation of establishment of protein localization to chromosome",FALSE,FALSE,TRUE,FALSE
"GO:0070203","regulation of establishment of protein localization to telomere","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"CCT6A/TCP1",2,"regulation of establishment of protein localization to telomere",FALSE,FALSE,TRUE,FALSE
"GO:1900017","positive regulation of cytokine production involved in inflammatory response","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"MAPK9/STAT3",2,"positive regulation of cytokine production involved in inflammatory response",FALSE,FALSE,TRUE,FALSE
"GO:1904816","positive regulation of protein localization to chromosome, telomeric region","2/124","6/7610",0.333333333333333,20.4569892473118,6.13592345543627,0.0037850347314289,0.127186872193271,0.113346721579497,"CCT6A/TCP1",2,"positive regulation of protein localization to chromosome, telomeric region",FALSE,FALSE,TRUE,FALSE
"GO:0031000","response to caffeine","2/124","7/7610",0.285714285714286,17.5345622119816,5.63247079492109,0.00524268418327167,0.159779944701803,0.142393099176008,"TMEM38B/CAD",2,"response to caffeine",FALSE,FALSE,TRUE,FALSE
"GO:0061724","lipophagy","2/124","7/7610",0.285714285714286,17.5345622119816,5.63247079492109,0.00524268418327167,0.159779944701803,0.142393099176008,"SESN2/SPTLC1",2,"lipophagy",FALSE,FALSE,TRUE,FALSE
"GO:0002115","store-operated calcium entry","2/124","8/7610",0.25,15.3427419354839,5.22351647082865,0.00691598702085006,0.184967367159673,0.164839690647328,"CD84/ORAI1",2,"store-operated calcium entry",FALSE,FALSE,TRUE,FALSE
"GO:1990806","ligand-gated ion channel signaling pathway","2/124","8/7610",0.25,15.3427419354839,5.22351647082865,0.00691598702085006,0.184967367159673,0.164839690647328,"ORAI1/GNA11",2,"ligand-gated ion channel signaling pathway",FALSE,FALSE,TRUE,FALSE
"GO:0010498","proteasomal protein catabolic process","13/124","375/7610",0.0346666666666667,2.12752688172043,2.88186076392801,0.00785345836813705,0.203801132503834,0.18162401374566,"OPHN1/ASCC3/HECTD1/HECTD3/MAN1A1/MAPK9/PRKACA/PSMD2/PSMD3/PSMD6/USP9X/WWP2/XPO1",13,"proteasomal protein catabolic process",FALSE,FALSE,FALSE,TRUE
"GO:0001101","response to acid chemical","5/124","77/7610",0.0649350649350649,3.98512777545036,3.38823892563491,0.00822115683683398,0.208455545874101,0.185771945739726,"FYN/RRAGA/SESN2/SLC7A5/TMBIM6",5,"response to acid chemical",FALSE,FALSE,FALSE,TRUE
"GO:0009306","protein secretion","7/124","142/7610",0.0492957746478873,3.02532939572921,3.13535995293227,0.00833891976290996,0.208455545874101,0.185771945739726,"ORAI1/AP1B1/COPG1/GNA11/PRKACA/SLC12A2/SLC16A1",7,"protein secretion",FALSE,FALSE,FALSE,TRUE
"GO:1904062","regulation of monoatomic cation transmembrane transport","6/124","109/7610",0.055045871559633,3.37821840781296,3.21851194869811,0.00857508174302312,0.208455545874101,0.185771945739726,"GNB2/TMEM38B/FYN/PRKACA/TMBIM6/WWP2",6,"regulation of monoatomic cation transmembrane transport",FALSE,FALSE,FALSE,TRUE
"GO:0006813","potassium ion transport","4/124","50/7610",0.08,4.90967741935484,3.5695605534244,0.00867756490952303,0.208455545874101,0.185771945739726,"GNB2/TMEM38B/SLC12A2/WWP2",4,"potassium ion transport",FALSE,FALSE,FALSE,TRUE
"GO:0006691","leukotriene metabolic process","2/124","9/7610",0.222222222222222,13.6379928315412,4.88217920300302,0.00879764300988847,0.208455545874101,0.185771945739726,"MGST2/MGST3",2,"leukotriene metabolic process",FALSE,FALSE,TRUE,TRUE
"GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","2/124","9/7610",0.222222222222222,13.6379928315412,4.88217920300302,0.00879764300988847,0.208455545874101,0.185771945739726,"TMEM38B/PRKACA",2,"regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion",FALSE,FALSE,TRUE,TRUE
"GO:0070200","establishment of protein localization to telomere","2/124","9/7610",0.222222222222222,13.6379928315412,4.88217920300302,0.00879764300988847,0.208455545874101,0.185771945739726,"CCT6A/TCP1",2,"establishment of protein localization to telomere",FALSE,FALSE,TRUE,TRUE
"GO:0090594","inflammatory response to wounding","2/124","9/7610",0.222222222222222,13.6379928315412,4.88217920300302,0.00879764300988847,0.208455545874101,0.185771945739726,"MAPK9/STAT3",2,"inflammatory response to wounding",FALSE,FALSE,TRUE,TRUE
"GO:1902065","response to L-glutamate","2/124","9/7610",0.222222222222222,13.6379928315412,4.88217920300302,0.00879764300988847,0.208455545874101,0.185771945739726,"FYN/TMBIM6",2,"response to l-glutamate",FALSE,FALSE,TRUE,TRUE
"GO:0046903","secretion","13/124","381/7610",0.0341207349081365,2.09402252137838,2.81967699547705,0.00891898519407421,0.208455545874101,0.185771945739726,"CD84/ORAI1/TMEM38B/AP1B1/CAD/COPA/COPG1/EXOC4/GNA11/PDCD6IP/PRKACA/SLC12A2/SLC16A1",13,"secretion",FALSE,FALSE,FALSE,TRUE
"GO:0035592","establishment of protein localization to extracellular region","7/124","144/7610",0.0486111111111111,2.98331093189964,3.09227267067115,0.00897450840373145,0.208455545874101,0.185771945739726,"ORAI1/AP1B1/COPG1/GNA11/PRKACA/SLC12A2/SLC16A1",7,"establishment of protein localization to extracellular region",FALSE,FALSE,FALSE,TRUE
"GO:0009581","detection of external stimulus","3/124","27/7610",0.111111111111111,6.81899641577061,3.89815556817754,0.00928490268478066,0.208455545874101,0.185771945739726,"FYN/GNA11/JUP",3,"detection of external stimulus",FALSE,FALSE,FALSE,TRUE
"GO:0009582","detection of abiotic stimulus","3/124","27/7610",0.111111111111111,6.81899641577061,3.89815556817754,0.00928490268478066,0.208455545874101,0.185771945739726,"FYN/GNA11/JUP",3,"detection of abiotic stimulus",FALSE,FALSE,FALSE,TRUE
"GO:0048488","synaptic vesicle endocytosis","4/124","51/7610",0.0784313725490196,4.81340923466161,3.51654397371593,0.00929976916059218,0.208455545874101,0.185771945739726,"OPHN1/AP2A1/AP2M1/DNM3",4,"synaptic vesicle endocytosis",FALSE,FALSE,FALSE,TRUE
"GO:0071230","cellular response to amino acid stimulus","4/124","51/7610",0.0784313725490196,4.81340923466161,3.51654397371593,0.00929976916059218,0.208455545874101,0.185771945739726,"FYN/RRAGA/SESN2/SLC7A5",4,"cellular response to amino acid stimulus",FALSE,FALSE,FALSE,TRUE
"GO:0071692","protein localization to extracellular region","7/124","145/7610",0.0482758620689655,2.96273637374861,3.07100687925424,0.00930534104054552,0.208455545874101,0.185771945739726,"ORAI1/AP1B1/COPG1/GNA11/PRKACA/SLC12A2/SLC16A1",7,"protein localization to extracellular region",FALSE,FALSE,FALSE,TRUE
"GO:0001843","neural tube closure","4/124","52/7610",0.0769230769230769,4.72084367245658,3.4648893906325,0.00995036626506166,0.215536446121708,0.192082320506062,"APAF1/MTHFD1/PRKACA/PRKACB",4,"neural tube closure",FALSE,FALSE,FALSE,TRUE
"GO:0060606","tube closure","4/124","52/7610",0.0769230769230769,4.72084367245658,3.4648893906325,0.00995036626506166,0.215536446121708,0.192082320506062,"APAF1/MTHFD1/PRKACA/PRKACB",4,"tube closure",FALSE,FALSE,FALSE,TRUE
"GO:0140238","presynaptic endocytosis","4/124","52/7610",0.0769230769230769,4.72084367245658,3.4648893906325,0.00995036626506166,0.215536446121708,0.192082320506062,"OPHN1/AP2A1/AP2M1/DNM3",4,"presynaptic endocytosis",FALSE,FALSE,FALSE,TRUE
"GO:0006307","DNA alkylation repair","2/124","10/7610",0.2,12.2741935483871,4.59122327466581,0.0108805292465377,0.222795837149807,0.198551763141999,"ASCC3/USP9X",2,"dna alkylation repair",FALSE,FALSE,TRUE,TRUE
"GO:0030812","negative regulation of nucleotide catabolic process","2/124","10/7610",0.2,12.2741935483871,4.59122327466581,0.0108805292465377,0.222795837149807,0.198551763141999,"PRKACA/STAT3",2,"negative regulation of nucleotide catabolic process",FALSE,FALSE,TRUE,TRUE
