"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num"
"GO:0006397","mRNA processing","64/500","420/7628",0.152380952380952,2.32472380952381,7.39640405640717,8.10271683164502e-11,1.52979293781458e-07,1.48109134506859e-07,"ARB2A/CWC22/FIP1L1/NBDY/RAMAC/RBM38/SRSF9/TFIP11/ACIN1/ADARB1/AQR/BARD1/BCAS2/BUD13/CASC3/CIR1/CLASRP/CRNKL1/CWC15/DDX23/DDX47/DHX35/DHX8/DHX9/GEMIN8/GPATCH1/HNRNPH3/IK/LSM3/NOVA2/NSRP1/PAPOLG/PCF11/PRP4K/PRPF40A/PRPF40B/PRPF6/PRPF8/RBM14/RBM15B/RBM25/RBM6/RBPMS2/RPUSD3/RSRC1/SAFB/SCAF11/SFSWAP/SMU1/SNRNP200/SNRNP27/SNW1/SON/SREK1/SRRM2/SRSF12/SRSF3/SYF2/SYMPK/VIRMA/WDR33/XAB2/ZC3H13/ZNF830",64,"mrna processing",0.128
"GO:0008380","RNA splicing","62/500","396/7628",0.156565656565657,2.38856565656566,7.51558573980895,5.19882344148153e-11,1.52979293781458e-07,1.48109134506859e-07,"ARB2A/CLK3/CWC22/RBM38/SRSF9/TFIP11/ACIN1/AHNAK/AHNAK2/AQR/ATXN7L3/BCAS2/BUD13/C2orf49/CASC3/CCNL1/CIR1/CLASRP/CLK2/CRNKL1/CWC15/DDX23/DDX47/DHX35/DHX8/DHX9/GEMIN8/GPATCH1/HNRNPH3/IK/LSM3/NOVA2/NSRP1/PPIG/PRP4K/PRPF40A/PRPF40B/PRPF6/PRPF8/RBM14/RBM15B/RBM25/RBM6/RBPMS2/RSRC1/RTRAF/SCAF11/SFSWAP/SMU1/SNRNP200/SNRNP27/SNW1/SON/SREK1/SRRM2/SRSF12/SRSF3/SYF2/VIRMA/XAB2/ZC3H13/ZNF830",62,"rna splicing",0.124
"GO:0040029","epigenetic regulation of gene expression","36/500","181/7628",0.198895027624309,3.03434254143646,7.33585471030492,1.18658694071442e-09,1.49351742937921e-06,1.44597068249164e-06,"ARB2A/JARID2/PHF8/RIF1/TET2/ARID1A/ARID1B/ATAD2/ATAD2B/ATF2/ATRX/AXIN1/BEND3/CIZ1/DNMT3A/GLYR1/HDAC4/KMT2D/L3MBTL3/MBD3/MEN1/PHF2/PPHLN1/PPM1D/RBM14/RBM15B/RNF168/SMARCA1/SMARCA5/SPEN/SPTY2D1/SUV39H2/TASOR/TASOR2/TET1/VPS72",36,"epigenetic regulation of gene expression",0.072
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","45/500","268/7628",0.167910447761194,2.56164179104478,6.89267723738871,3.03007910282418e-09,2.28831573845282e-06,2.21546625770702e-06,"ARB2A/CWC22/SRSF9/TFIP11/ACIN1/AQR/BCAS2/BUD13/CASC3/CRNKL1/CWC15/DDX23/DHX35/DHX8/DHX9/GEMIN8/GPATCH1/HNRNPH3/IK/LSM3/NOVA2/NSRP1/PRP4K/PRPF40A/PRPF40B/PRPF6/PRPF8/RBM14/RBM15B/RBM25/RBM6/RBPMS2/RSRC1/SCAF11/SFSWAP/SMU1/SNRNP200/SNRNP27/SNW1/SON/SRRM2/SRSF12/SRSF3/SYF2/XAB2",45,"rna splicing, via transesterification reactions with bulged adenosine as nucleophile",0.09
"GO:0000398","mRNA splicing, via spliceosome","45/500","268/7628",0.167910447761194,2.56164179104478,6.89267723738871,3.03007910282418e-09,2.28831573845282e-06,2.21546625770702e-06,"ARB2A/CWC22/SRSF9/TFIP11/ACIN1/AQR/BCAS2/BUD13/CASC3/CRNKL1/CWC15/DDX23/DHX35/DHX8/DHX9/GEMIN8/GPATCH1/HNRNPH3/IK/LSM3/NOVA2/NSRP1/PRP4K/PRPF40A/PRPF40B/PRPF6/PRPF8/RBM14/RBM15B/RBM25/RBM6/RBPMS2/RSRC1/SCAF11/SFSWAP/SMU1/SNRNP200/SNRNP27/SNW1/SON/SRRM2/SRSF12/SRSF3/SYF2/XAB2",45,"mrna splicing, via spliceosome",0.09
"GO:0000375","RNA splicing, via transesterification reactions","45/500","272/7628",0.165441176470588,2.52397058823529,6.77825974362313,4.90148083102268e-09,3.08466526965694e-06,2.98646367125294e-06,"ARB2A/CWC22/SRSF9/TFIP11/ACIN1/AQR/BCAS2/BUD13/CASC3/CRNKL1/CWC15/DDX23/DHX35/DHX8/DHX9/GEMIN8/GPATCH1/HNRNPH3/IK/LSM3/NOVA2/NSRP1/PRP4K/PRPF40A/PRPF40B/PRPF6/PRPF8/RBM14/RBM15B/RBM25/RBM6/RBPMS2/RSRC1/SCAF11/SFSWAP/SMU1/SNRNP200/SNRNP27/SNW1/SON/SRRM2/SRSF12/SRSF3/SYF2/XAB2",45,"rna splicing, via transesterification reactions",0.09
"GO:0006338","chromatin remodeling","75/500","593/7628",0.126475548060708,1.92951096121417,6.24205859577445,1.14151821770679e-08,6.15767541437264e-06,5.96164326330179e-06,"ARB2A/BCOR/CABIN1/H1-6/JARID2/KDM5B/LATS2/MAST2/MSL1/NIPBL/PCGF2/PDIK1L/PHF8/RIF1/SETD5/SS18/TET2/UBN1/ARID1A/ARID1B/ATAD2/ATAD2B/ATF2/ATRX/AXIN1/BEND3/BRD2/BRD3/BRD4/CECR2/CHD1/CHD2/CHD6/CIZ1/DDX23/DNMT3A/DPF3/GLYR1/HDAC4/INO80E/KDM4D/KMT2D/L3MBTL3/LATS1/MBD3/MCM3AP/MEAF6/MEN1/MYBBP1A/NSD1/NSD3/PHC1/PHF2/PPHLN1/PPM1D/PRDM16/PRKDC/PRP4K/RBM14/RBM15B/RNF168/SATB1/SETD2/SMARCA1/SMARCA5/SPEN/SPTY2D1/SUV39H2/TASOR/TASOR2/TET1/TNK2/VPS72/WAC/ZNHIT1",75,"chromatin remodeling",0.15
"GO:0016071","mRNA metabolic process","72/500","589/7628",0.122241086587436,1.86491001697793,5.78696854236672,9.65679425624037e-08,4.55800688894546e-05,4.41290084893721e-05,"ARB2A/CWC22/FIP1L1/NBDY/PNRC1/RAMAC/RBM38/SRSF9/TAF13/TAF4B/TFIP11/ACIN1/ADARB1/AQR/ATF2/BARD1/BCAS2/BUD13/CASC3/CIR1/CLASRP/CRNKL1/CWC15/DDX23/DDX47/DHX35/DHX8/DHX9/GEMIN8/GPATCH1/HNRNPH3/IK/LSM3/NOVA2/NSRP1/PAPOLG/PCF11/PCID2/PRP4K/PRPF40A/PRPF40B/PRPF6/PRPF8/RBM14/RBM15B/RBM25/RBM6/RBPMS2/RPUSD3/RSRC1/SAFB/SCAF11/SECISBP2/SFSWAP/SMU1/SNRNP200/SNRNP27/SNW1/SON/SREK1/SRRM2/SRSF12/SRSF3/SYF2/SYMPK/TNKS1BP1/VIRMA/WDR33/XAB2/ZC3H13/ZC3H14/ZNF830",72,"mrna metabolic process",0.144
"GO:0000122","negative regulation of transcription by RNA polymerase II","63/500","518/7628",0.121621621621622,1.85545945945946,5.34081509347641,8.12701044460917e-07,0.00034097323820938,0.000330118213732487,"AMOT/BCOR/DACT1/HOXB13/JARID2/MAFK/MXD4/MXI1/NIPBL/NKX2-1/NKX6-1/PCGF2/PLAGL1/RARB/RBL1/RIF1/SFN/SREBF2/ZBTB39/ZBTB4/ATF2/BACH2/BATF3/BCL11A/BEND3/CBX2/CIR1/CUX1/DAB2IP/DNMT3A/GTF2IRD1/HDAC4/HEY1/HMBOX1/ING1/JAZF1/MAF/MAGED4B/MAGED4/MAX/MBD3/MEN1/MYPOP/NCOR1/NCOR2/NR2F6/NSD1/PCID2/PITX2/PRDM16/SAP130/SARNP/SATB1/SKI/SNW1/SP2/SPEN/SUV39H2/TET1/TLE5/VPS72/ZNF174/ZNF536",63,"negative regulation of transcription by rna polymerase ii",0.126
"GO:0045814","negative regulation of gene expression, epigenetic","23/500","121/7628",0.190082644628099,2.89990082644628,5.57915514895464,2.85807807892673e-06,0.00107921028260273,0.00104485317559079,"ARB2A/JARID2/PHF8/RIF1/ATRX/BEND3/CIZ1/DNMT3A/HDAC4/KMT2D/L3MBTL3/MBD3/PHF2/PPHLN1/PPM1D/RBM15B/SMARCA1/SMARCA5/SPEN/SPTY2D1/SUV39H2/TASOR/TASOR2",23,"negative regulation of gene expression, epigenetic",0.046
