"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007015","actin filament organization","58/760","264/7628",0.21969696969697,2.20506379585327,6.62862787170351,3.43396726964263e-09,9.21295282418039e-06,9.02499700007125e-06,"CARMIL2/DMTN/TMSB10/WASF2/ZBED3/ADD2/ARF1/ARF6/ARPC5/ARPC5L/ARRB1/BAG4/BIN1/BIN3/BLOC1S6/BRK1/CALD1/CAPG/CAPZB/CARMIL1/CD2AP/CDC42/CDC42EP4/CFL1/CNN2/CNN3/CTTN/ENAH/EVL/FLNA/GRB2/INF2/LIMD2/LMOD1/MICAL3/MTPN/NEBL/PAWR/PDLIM1/PFN3/PPP1R9B/RAC1/RDX/RFLNB/RHOA/RHOC/RND3/SHROOM1/SHTN1/SORBS1/TAGLN3/VASP/WASHC1/WASHC2A/WASHC2C/WASL/WIPF1/ZYX",58
"GO:0030036","actin cytoskeleton organization","77/760","399/7628",0.192982456140351,1.93693444136657,6.39477200895919,4.93595115144945e-09,9.21295282418039e-06,9.02499700007125e-06,"CARMIL2/DMTN/PDLIM2/TMSB10/WASF2/ZBED3/ADD2/ALKBH4/ARF1/ARF6/ARPC5/ARPC5L/ARRB1/BAG4/BIN1/BIN3/BLOC1S6/BRK1/BRSK2/CALD1/CAPG/CAPZB/CARMIL1/CD2AP/CDC42/CDC42EP4/CFL1/CNN2/CNN3/CRK/CSRP1/CSRP2/CTTN/DBNL/ENAH/EVL/FHL3/FLNA/FLNB/FLNC/GRB2/INF2/LIMD2/LMOD1/MICAL3/MTPN/NEBL/PACSIN2/PAWR/PDLIM1/PDLIM3/PDLIM5/PDLIM7/PFN3/PHACTR2/PHACTR4/PPP1R9B/RAC1/RAP2A/RDX/RFLNB/RHOA/RHOC/RND3/SHROOM1/SHTN1/SORBS1/SPECC1/TAGLN3/TRIP10/VASP/WASHC1/WASHC2A/WASHC2C/WASL/WIPF1/ZYX",77
"GO:0051258","protein polymerization","45/760","192/7628",0.234375,2.35238486842105,6.31320297899285,2.70606652263856e-08,3.36724877633659e-05,3.29855266654259e-05,"CARMIL2/DMTN/NDEL1/TMSB10/ADD2/ARF6/ARL2/ARPC5/ARPC5L/BAG4/BIN1/BLOC1S2/CAPG/CAPZB/CARMIL1/CD2AP/CDC42EP4/CDKN1B/CHMP4A/CHMP4B/CLIP1/CTTN/EVL/GOLGA2/GPX4/GRB2/HAUS4/INF2/LMOD1/MAP4/MTPN/PFN3/PSRC1/RAC1/RDX/RPS3/SLAIN2/SNCA/SSNA1/TPPP/TPPP3/UBE2K/VASP/WASHC2C/WASL",45
"GO:0030029","actin filament-based process","79/760","433/7628",0.182448036951501,1.83120213929744,5.92384555855766,4.18198431231144e-08,3.90283685946465e-05,3.82321407920261e-05,"CARMIL2/DMTN/PDLIM2/TMSB10/WASF2/ZBED3/ABRACL/ADD2/ALKBH4/ARF1/ARF6/ARPC5/ARPC5L/ARRB1/BAG4/BIN1/BIN3/BLOC1S6/BRK1/BRSK2/CALD1/CAPG/CAPZB/CARMIL1/CD2AP/CDC42/CDC42EP4/CFL1/CNN2/CNN3/CRK/CSRP1/CSRP2/CTTN/DBNL/ENAH/EVL/FHL3/FLNA/FLNB/FLNC/FNBP1L/GRB2/INF2/LIMD2/LMOD1/MICAL3/MTPN/NEBL/PACSIN2/PAWR/PDLIM1/PDLIM3/PDLIM5/PDLIM7/PFN3/PHACTR2/PHACTR4/PPP1R9B/RAC1/RAP2A/RDX/RFLNB/RHOA/RHOC/RND3/SHROOM1/SHTN1/SORBS1/SPECC1/TAGLN3/TRIP10/VASP/WASHC1/WASHC2A/WASHC2C/WASL/WIPF1/ZYX",79
"GO:0032273","positive regulation of protein polymerization","21/760","59/7628",0.355932203389831,3.57243532560214,6.59811292531478,9.33070370730207e-08,6.96630338787173e-05,6.82418203771945e-05,"CARMIL2/ARF6/ARL2/BAG4/BIN1/CARMIL1/CDC42EP4/CDKN1B/CLIP1/CTTN/EVL/GRB2/LMOD1/PSRC1/RAC1/RPS3/SLAIN2/TPPP/TPPP3/VASP/WASHC2C",21
"GO:0008154","actin polymerization or depolymerization","32/760","120/7628",0.266666666666667,2.67649122807018,6.15741325905843,1.24909894603674e-07,7.77147727592523e-05,7.61292936584495e-05,"CARMIL2/DMTN/TMSB10/ADD2/ARF6/ARPC5/ARPC5L/BAG4/BIN1/BRK1/CAPG/CAPZB/CARMIL1/CD2AP/CDC42EP4/CFL1/CTTN/ENAH/EVL/GRB2/INF2/LMOD1/MICAL3/MTPN/PFN3/PPP1R9B/RAC1/RDX/VASP/WASHC2C/WASL/WIPF1",32
"GO:0097435","supramolecular fiber organization","81/760","466/7628",0.17381974248927,1.74460131014231,5.51782753585098,2.45030850609941e-07,0.000130671452189558,0.000128005590228411,"CARMIL2/DMTN/NDEL1/TMSB10/WASF2/ZBED3/ADD2/ARF1/ARF6/ARL2/ARPC5/ARPC5L/ARRB1/BAG4/BIN1/BIN3/BLOC1S2/BLOC1S6/BRK1/CALD1/CAPG/CAPZB/CARMIL1/CD2AP/CDC42/CDC42EP4/CDKN1B/CFL1/CLIP1/CLIP2/CNN2/CNN3/CSRP1/CSRP2/CTTN/ENAH/EVL/FLNA/FLNC/GOLGA2/GPX1/GRB2/HAUS4/INF2/LIMD2/LMOD1/MAP4/MICAL3/MTPN/NCKAP5L/NEBL/PAWR/PDLIM1/PFDN6/PFN3/PPP1R9B/PSRC1/RAC1/RDX/RFLNB/RHOA/RHOC/RND3/RPS3/SHROOM1/SHTN1/SLAIN2/SNCA/SORBS1/SSNA1/TAGLN3/TPPP/TPPP3/VASP/VBP1/WASHC1/WASHC2A/WASHC2C/WASL/WIPF1/ZYX",81
"GO:0032271","regulation of protein polymerization","33/760","138/7628",0.239130434782609,2.40011441647597,5.52116451207872,1.22536375361567e-06,0.000571785361530911,0.000560120221060636,"CARMIL2/DMTN/TMSB10/ADD2/ARF6/ARL2/ARPC5/ARPC5L/BAG4/BIN1/CAPG/CAPZB/CARMIL1/CDC42EP4/CDKN1B/CLIP1/CTTN/EVL/GRB2/HAUS4/LMOD1/MTPN/PFN3/PSRC1/RAC1/RDX/RPS3/SLAIN2/SNCA/TPPP/TPPP3/VASP/WASHC2C",33
"GO:0030041","actin filament polymerization","26/760","101/7628",0.257425742574257,2.58374153204794,5.32969750605945,3.89207214192215e-06,0.00161434503397727,0.00158141036503363,"CARMIL2/DMTN/TMSB10/ADD2/ARF6/ARPC5/ARPC5L/BAG4/BIN1/CAPG/CAPZB/CARMIL1/CD2AP/CDC42EP4/CTTN/EVL/GRB2/INF2/LMOD1/MTPN/PFN3/RAC1/RDX/VASP/WASHC2C/WASL",26
"GO:0030833","regulation of actin filament polymerization","22/760","82/7628",0.268292682926829,2.69281129653402,5.12655475591868,1.04965478632629e-05,0.00358670162279359,0.00351352839894115,"CARMIL2/DMTN/TMSB10/ADD2/ARF6/ARPC5/ARPC5L/BAG4/BIN1/CAPG/CAPZB/CARMIL1/CDC42EP4/CTTN/EVL/GRB2/LMOD1/MTPN/PFN3/RDX/VASP/WASHC2C",22
