"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"GO:0009247","glycolipid biosynthetic process","6/639","20/7628",0.3,3.581220657277,3.49481877333536,0.00471354033382643,0.228123266156343,0.226707931845579,"DPM1/PIGG/PIGU/SLC30A5/TM9SF2/UGCG",6,"glycolipid biosynthetic process",FALSE,FALSE,FALSE,TRUE
"GO:0015695","organic cation transport","8/639","33/7628",0.242424242424242,2.89391568264808,3.29665502424451,0.00489542490203165,0.233926949432525,0.23247560760614,"SLC25A15/SLC25A17/SLC25A19/SLC38A9/SLC6A15/SLC6A9/SLC7A6/SLC7A8",8,"organic cation transport",FALSE,FALSE,FALSE,TRUE
"GO:0141198","protein branched polyubiquitination","5/639","15/7628",0.333333333333333,3.97913406364111,3.49202660590142,0.00599633235407439,0.275357923227008,0.273649533183982,"ANAPC16/ANAPC4/ANAPC7/CDC16/UBR5",5,"protein branched polyubiquitination",FALSE,FALSE,FALSE,TRUE
"GO:1901028","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","5/639","15/7628",0.333333333333333,3.97913406364111,3.49202660590142,0.00599633235407439,0.275357923227008,0.273649533183982,"BCL2L1/SLC25A4/SLC25A5/SLC25A6/TMEM102",5,"regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",FALSE,FALSE,FALSE,TRUE
"GO:0000423","mitophagy","12/639","64/7628",0.1875,2.23826291079812,3.00778558632144,0.00615909267243269,0.275357923227008,0.273649533183982,"BNIP3/TIMM23/AMBRA1/MFN2/NIPSNAP1/NIPSNAP2/OGT/PHB2/SLC25A4/SLC25A5/TSC2/ULK1",12,"mitophagy",FALSE,FALSE,FALSE,TRUE
"GO:0009084","glutamine family amino acid biosynthetic process","4/639","10/7628",0.4,4.77496087636933,3.61170069581114,0.00680011303842708,0.283958570270366,0.282196819642686,"ALDH18A1/GLUD1/PYCR1/PYCR2",4,"glutamine family amino acid biosynthetic process",FALSE,FALSE,FALSE,TRUE
"GO:0010894","negative regulation of steroid biosynthetic process","4/639","10/7628",0.4,4.77496087636933,3.61170069581114,0.00680011303842708,0.283958570270366,0.282196819642686,"ATP1A1/ERLIN1/ERLIN2/SCAP",4,"negative regulation of steroid biosynthetic process",FALSE,FALSE,FALSE,TRUE
"GO:0045939","negative regulation of steroid metabolic process","4/639","10/7628",0.4,4.77496087636933,3.61170069581114,0.00680011303842708,0.283958570270366,0.282196819642686,"ATP1A1/ERLIN1/ERLIN2/SCAP",4,"negative regulation of steroid metabolic process",FALSE,FALSE,FALSE,TRUE
"GO:0090407","organophosphate biosynthetic process","46/639","381/7628",0.120734908136483,1.44126115690938,2.67176858166997,0.00684579640359133,0.283958570270366,0.282196819642686,"CHKA/GK/HDHD5/LPGAT1/MOCS3/PDK2/TK2/AGPAT3/AGPAT4/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/BCKDK/DGKE/DPM1/ETNK1/FADS1/FPGT/GNPAT/GPAT4/HSD17B12/IMPA2/INPP5K/LPCAT1/MLYCD/NDUFA9/NDUFS7/NMRK1/NUDT12/PDK1/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/SACM1L/SLC25A10/SLC25A19/SLC30A5/SLC4A7/SPTLC2/STOML2/THTPA/UPP1",46,"organophosphate biosynthetic process",FALSE,FALSE,FALSE,TRUE
"GO:0009062","fatty acid catabolic process","12/639","65/7628",0.184615384615385,2.20382809678584,2.94709330271212,0.00699553563844874,0.283958570270366,0.282196819642686,"NUDT8/PEX13/ACOX3/CPT2/ECHS1/HADHA/HADHB/MLYCD/NUDT19/PCCA/SLC25A17/TYSND1",12,"fatty acid catabolic process",FALSE,FALSE,FALSE,TRUE
