"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","protein folding","54/1138","168/7628",0.321428571428571,2.15453175997991,6.3360233249365,1.041733464306e-08,6.7035548428091e-05,6.19118646260176e-05,"CHCHD4/CLU/DNAJB5/DNLZ/PTGES3/AIP/ANP32E/ARL2/ATF6/BAG1/BAG2/BAG4/CALR/CANX/CHORDC1/CSNK2A1/DNAJA1/DNAJB1/DNAJB11/DNAJB2/DNAJB4/FKBP5/GRN/HSPA1L/HSPA2/HSPA5/HSPA8/HSPB1/LMAN2L/MESD/NFYC/NUDC/NUDCD2/NUDCD3/P4HB/PDCL3/PFDN4/PPIB/PPIC/PPIE/PPIH/PPIL1/PPIL3/PRDX4/QSOX1/SDF2/SDF2L1/TBCB/TBCC/TTC1/TTC4/VBP1/WFS1/ZPR1",54
"GO:0001682","tRNA 5'-leader removal","11/1138","13/7628",0.846153846153846,5.67175882114371,7.05899366974393,4.55709061069774e-08,0.0001466243903992,0.000135417545199997,"POP1/POP4/POP5/POP7/RPP14/RPP21/RPP25/RPP30/RPP38/RPP40/SSB",11
"GO:0051346","negative regulation of hydrolase activity","34/1138","90/7628",0.377777777777778,2.53223979691467,6.12273667871656,7.47307992979066e-08,0.00016029756449401,0.000148045646609116,"APLP2/APOC3/APP/GPC3/ITIH2/ITIH4/LAMP3/LXN/PTGS2/PZP/SERPINF2/SPINT2/THBS1/TIMP3/VTN/ARFGEF1/ARL2/BAG4/CAST/CSNK2A1/CSTB/EGLN1/GAPDH/GPX1/RDX/RNF34/SERPINA7/SERPINB7/SERPINE2/SERPINF1/SNCA/TIMP1/TIMP2/URI1",34
"GO:0099116","tRNA 5'-end processing","12/1138","16/7628",0.75,5.02724077328647,6.75217753278641,1.17160713846833e-07,0.000188482298401092,0.000174076155362952,"POP1/POP4/POP5/POP7/RPP14/RPP21/RPP25/RPP30/RPP38/RPP40/SSB/THG1L",12
"GO:0010466","negative regulation of peptidase activity","27/1138","65/7628",0.415384615384615,2.78431796674327,6.04933356452734,1.71856473928851e-07,0.000221179281946431,0.000204274031958377,"APLP2/APP/GPC3/ITIH2/ITIH4/LAMP3/LXN/PTGS2/PZP/SERPINF2/SPINT2/THBS1/TIMP3/VTN/CAST/CSNK2A1/CSTB/GAPDH/GPX1/RNF34/SERPINA7/SERPINB7/SERPINE2/SERPINF1/SNCA/TIMP1/TIMP2",27
"GO:0040017","positive regulation of locomotion","71/1138","264/7628",0.268939393939394,1.80269744900676,5.55805208307903,2.10583270942451e-07,0.000225850558085779,0.000208588271533523,"ADAM9/ADAMTS1/APP/BMP4/CARMIL2/CCN1/CD151/COL1A1/EPHA4/FLT1/FN1/NFE2L2/NTN1/PAX6/PHPT1/PODXL/PTGS2/SDCBP/SEMA3C/SLIT2/SPRY2/THBS1/VTN/AAMP/ACTN4/ADAM10/AKAP12/ARF6/BAG4/BSG/C1QBP/CALR/CAV1/CCDC25/CDC42/CPNE3/CRK/EMC10/FADD/GATA2/GPI/GRN/HSPA5/HSPA8/HSPB1/IGFBP5/ITGA3/ITGA5/ITGAV/ITGB1/JAM3/KIT/LAMB1/MAZ/PGF/PTP4A1/RAB11A/RAC1/RACK1/RDX/RHOC/RRAS/SCARB1/SEMA4D/SHTN1/SP1/STX3/TPBG/TRADD/VEGFB/XBP1",71
"GO:0030162","regulation of proteolysis","82/1138","324/7628",0.253086419753086,1.69643515806375,5.36411976871757,4.06359303533798e-07,0.000373560302605713,0.000345008214699522,"ADAM9/APLP2/APOE/APP/CLU/EGLN3/EPHA4/EPHA7/GPC3/ITIH2/ITIH4/LAMP3/LXN/NFE2L2/PABIR1/PTGS2/PZP/RCHY1/SERPINF2/SPINT2/THBS1/TIMP3/VTN/ANP32B/BAG2/CAST/CAV1/CHFR/COMMD1/CSNK2A1/CSTB/DNAJB2/ENO1/FADD/GABARAP/GABARAPL2/GAPDH/GBA1/GIPC1/GLG1/GPX1/GRN/HSPA8/IST1/MALT1/NCSTN/NOP53/NUDT15/PARK7/PDCL3/PITHD1/PLAT/PMAIP1/PML/PSMA3/PSME3/RACK1/RBX1/REST/RNF34/ROBO1/RPL11/RPL5/RPS3/RPS7/SERPINA7/SERPINB7/SERPINE2/SERPINF1/SIRT6/SNCA/SOX2/SPOP/SUMO2/TIMP1/TIMP2/TMF1/UBE2K/UBQLN1/UBXN2A/WFS1/XBP1",82
"GO:0052547","regulation of peptidase activity","43/1138","137/7628",0.313868613138686,2.10385745256757,5.45920037454673,6.93970858347185e-07,0.000558212809183017,0.000515547298187922,"APLP2/APP/EGLN3/EPHA4/EPHA7/GPC3/ITIH2/ITIH4/LAMP3/LXN/PTGS2/PZP/SERPINF2/SPINT2/THBS1/TIMP3/VTN/ANP32B/CAST/CSNK2A1/CSTB/FADD/GAPDH/GPX1/GRN/MALT1/NCSTN/PMAIP1/PSMA3/PSME3/RACK1/REST/RNF34/ROBO1/RPS3/SERPINA7/SERPINB7/SERPINE2/SERPINF1/SNCA/SOX2/TIMP1/TIMP2",43
"GO:2000147","positive regulation of cell motility","68/1138","259/7628",0.262548262548263,1.75985777391753,5.20959030421237,9.97897859019547e-07,0.000713496969198976,0.000658962726552557,"ADAM9/ADAMTS1/APP/BMP4/CARMIL2/CCN1/CD151/COL1A1/EPHA4/FLT1/FN1/NFE2L2/NTN1/PAX6/PHPT1/PODXL/PTGS2/SDCBP/SEMA3C/SPRY2/THBS1/VTN/AAMP/ACTN4/ADAM10/AKAP12/ARF6/BAG4/BSG/C1QBP/CALR/CAV1/CCDC25/CDC42/CPNE3/CRK/EMC10/FADD/GATA2/GPI/GRN/HSPA5/HSPA8/HSPB1/IGFBP5/ITGA3/ITGA5/ITGAV/ITGB1/JAM3/KIT/LAMB1/MAZ/PGF/PTP4A1/RAB11A/RAC1/RACK1/RDX/RHOC/RRAS/SCARB1/SEMA4D/SHTN1/SP1/TRADD/VEGFB/XBP1",68
"GO:0006081","cellular aldehyde metabolic process","18/1138","38/7628",0.473684210526316,3.17509943575987,5.62827983155993,2.01346090929396e-06,0.00129566209513066,0.00119663160988144,"RPE/AKR1A1/ALDH1A1/ALDH3A2/ALDH7A1/ALPL/DHRS4/GATD1/GLO1/HAGH/IDH1/PARK7/PDXK/PNPO/REST/TALDO1/TKT/TPI1",18
"GO:0030335","positive regulation of cell migration","65/1138","253/7628",0.256916996047431,1.7221114638399,4.89112929932153,3.86520958351038e-06,0.00212783852475418,0.00196520284803698,"ADAM9/ADAMTS1/APP/BMP4/CARMIL2/CCN1/CD151/COL1A1/EPHA4/FLT1/FN1/NFE2L2/PAX6/PODXL/PTGS2/SDCBP/SEMA3C/SPRY2/THBS1/VTN/AAMP/ACTN4/ADAM10/AKAP12/ARF6/BAG4/BSG/C1QBP/CALR/CAV1/CDC42/CPNE3/CRK/EMC10/FADD/GATA2/GPI/GRN/HSPA5/HSPA8/HSPB1/IGFBP5/ITGA3/ITGA5/ITGAV/ITGB1/JAM3/KIT/LAMB1/MAZ/PGF/PTP4A1/RAB11A/RAC1/RACK1/RDX/RHOC/RRAS/SCARB1/SEMA4D/SHTN1/SP1/TRADD/VEGFB/XBP1",65
"GO:0002181","cytoplasmic translation","44/1138","150/7628",0.293333333333333,1.96620972466315,5.00437630591087,3.96799724895884e-06,0.00212783852475418,0.00196520284803698,"CNBP/EIF3C/EIF3CL/ALKBH3/DENR/EEF1D/EIF3G/EIF3J/FAU/MCTS1/PKM/RACK1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPL9/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/SARS1/YBX1/YBX3",44
"GO:0098869","cellular oxidant detoxification","18/1138","40/7628",0.45,3.01634446397188,5.35373311342662,5.04844557435123e-06,0.00249898055930386,0.00230797762856575,"APOE/NFE2L2/PTGS2/CCS/GPX1/GPX4/GSR/GSTO1/GSTZ1/MGST1/PARK7/PRDX3/PRDX4/PRDX5/SELENOS/TXNDC17/TXNRD1/TXNRD2",18
"GO:0045861","negative regulation of proteolysis","40/1138","134/7628",0.298507462686567,2.00089185006427,4.89450034632396,6.78774576109817e-06,0.00311993885519048,0.0028814746291098,"APLP2/APP/EPHA4/GPC3/ITIH2/ITIH4/LAMP3/LXN/PTGS2/PZP/SERPINF2/SPINT2/THBS1/TIMP3/VTN/CAST/CSNK2A1/CSTB/GABARAPL2/GAPDH/GIPC1/GLG1/GPX1/NOP53/PARK7/PDCL3/PLAT/PML/RNF34/RPL11/RPL5/RPS7/SERPINA7/SERPINB7/SERPINE2/SERPINF1/SNCA/TIMP1/TIMP2/UBXN2A",40
"GO:0051604","protein maturation","82/1138","349/7628",0.234957020057307,1.57491401493597,4.60368293643049,9.65053199122568e-06,0.00364983755022787,0.00337087192713967,"ADAM9/APOH/BACE1/CHCHD4/CLU/DNAJB5/DNLZ/HGFAC/PTGES3/SERPINF2/THBS1/ADAM10/AIP/ANP32E/ARL2/ATF6/BAG1/BAG2/BAG4/BOLA2/BOLA2B/CALR/CANX/CASP6/CAST/CCS/CHORDC1/CIAO2B/CPM/CSNK2A1/DHPS/DNAJA1/DNAJB1/DNAJB11/DNAJB2/DNAJB4/ENO1/FADD/FKBP5/GLG1/GRN/HSPA1L/HSPA2/HSPA5/HSPA8/HSPB1/LMAN2L/LTO1/MESD/METAP1/METAP2/NCSTN/NFYC/NUDC/NUDCD2/NUDCD3/P4HB/PDCL3/PFDN4/PLAT/PPIB/PPIC/PPIE/PPIH/PPIL1/PPIL3/PRDX4/PSEN2/QSOX1/SDF2/SDF2L1/SERPINE2/SNAPIN/TBCB/TBCC/TTC1/TTC4/UBAC1/VBP1/WFS1/XPNPEP3/ZPR1",82
"GO:1990748","cellular detoxification","21/1138","53/7628",0.39622641509434,2.65590078588719,5.06531646970477,9.83365317764272e-06,0.00364983755022787,0.00337087192713967,"ABCB6/APOE/NFE2L2/PTGS2/AKR1A1/ALDH1A1/CCS/GPX1/GPX4/GSR/GSTO1/GSTZ1/MGST1/PARK7/PRDX3/PRDX4/PRDX5/SELENOS/TXNDC17/TXNRD1/TXNRD2",21
"GO:0098754","detoxification","23/1138","61/7628",0.377049180327869,2.52735601717134,5.01497747306281,9.98225962710862e-06,0.00364983755022787,0.00337087192713967,"ABCB6/APOE/MT2A/NFE2L2/PTGS2/AKR1A1/ALDH1A1/CCS/GPX1/GPX4/GSR/GSTO1/GSTZ1/MGST1/OSCP1/PARK7/PRDX3/PRDX4/PRDX5/SELENOS/TXNDC17/TXNRD1/TXNRD2",23
"GO:0007264","small GTPase-mediated signal transduction","65/1138","260/7628",0.25,1.67574692442882,4.64217596801682,1.02429544299262e-05,0.00364983755022787,0.00337087192713967,"APOA1/APOC3/APOE/COL1A2/NTN1/RAP1B/RIT1/SDCBP/SLIT2/SPRY2/ARF6/ARFGEF1/ARFGEF2/ARHGDIA/ARL3/CADM4/CDC42/CDC42SE1/CDON/CFL1/CHM/CRK/F11R/GABARAP/GRB2/ITGA3/ITGAV/ITGB1/KRAS/MRAS/NKIRAS1/NRAS/NUCB1/PARK7/PPP2CB/RAB12/RAB18/RAB21/RAB35/RAB39A/RAB4A/RAB4B/RAB9A/RAB9B/RABIF/RAC1/RALA/RALB/RAP1A/RAP2A/RAP2B/RAP2C/RASA2/RASSF1/RDX/RHOC/RHOT2/RND3/ROBO1/RRAS/RTN4R/SEMA4D/SHTN1/STAMBP/TAX1BP3",65
"GO:0044403","biological process involved in symbiotic interaction","46/1138","165/7628",0.278787878787879,1.86871172178729,4.72374656089078,1.07765211273239e-05,0.00364983755022787,0.00337087192713967,"APOE/FN1/IGF2R/LDLR/UVRAG/ZDHHC20/ARL8B/BSG/CAV1/CD46/CD55/CDC42/CFL1/CHMP2A/CHMP3/CHMP4A/CHMP4C/CHMP6/CXADR/DAG1/EFNB3/F11R/GAPDH/GPX1/HMGA2/HSPA8/ITGA5/ITGAV/ITGB1/ITGB5/LAMP1/NECTIN1/NECTIN2/P4HB/PLSCR1/PPIB/RAB5A/RAB7A/RAB9A/REST/RPSA/SCARB1/SCARB2/SP1/TUSC2/VAMP8",46
"GO:0072524","pyridine-containing compound metabolic process","35/1138","116/7628",0.301724137931034,2.02245318465548,4.64643956512712,1.95569946673341e-05,0.00629246303421474,0.00581151536272465,"APP/BPGM/NAXD/RPE/ALPL/ARL2/DCXR/EIF6/ENO1/ENO2/ENO3/GAPDH/GPI/IDH1/KCNAB2/MDH2/NADK2/NADSYN1/NAMPT/NAPRT/NMNAT1/PDXK/PGAM1/PKLR/PKM/PNPO/PPP2CA/PRDX5/PRPS2/SIRT6/TALDO1/TKT/TP53I3/TPI1/ZBTB7A",35
"GO:0048167","regulation of synaptic plasticity","27/1138","81/7628",0.333333333333333,2.23432923257176,4.67640380018072,2.45119596816247e-05,0.00744001898453343,0.00687136092694978,"APOE/APP/ATF4/EPHA4/MAP1B/PRKAR1B/PTGS2/AKAP5/ARF1/DAG1/GIPC1/KIT/KRAS/MECP2/MEF2C/NCSTN/NPTN/RAB5A/RAB8A/SERPINE2/SNCA/SRF/STAU1/STX3/SYAP1/SYNGR1/YWHAG",27
"GO:0006749","glutathione metabolic process","13/1138","26/7628",0.5,3.35149384885765,5.02912284581047,2.6371913764008e-05,0.00744001898453343,0.00687136092694978,"GLRX2/GSTA4/NFE2L2/CHAC2/ETHE1/GLO1/GPX1/GSR/GSS/GSTO1/GSTZ1/HAGH/IDH1",13
"GO:0097237","cellular response to toxic substance","21/1138","56/7628",0.375,2.51362038664323,4.76026724693178,2.66047238544233e-05,0.00744001898453343,0.00687136092694978,"ABCB6/APOE/NFE2L2/PTGS2/AKR1A1/ALDH1A1/CCS/GPX1/GPX4/GSR/GSTO1/GSTZ1/MGST1/PARK7/PRDX3/PRDX4/PRDX5/SELENOS/TXNDC17/TXNRD1/TXNRD2",21
"GO:0001525","angiogenesis","56/1138","221/7628",0.253393665158371,1.69849462023555,4.4122863116489,2.77483225530384e-05,0.00744001898453343,0.00687136092694978,"ADAMTS1/APOH/BMP4/CCN1/CCN2/FLT1/FN1/MEIS1/MFGE8/NFE2L2/PTGS2/SLIT2/SPRY2/THBS1/UNC5B/AAMP/BMPER/BSG/CAV1/CDC42/DAG1/DDAH1/EGLN1/EMC10/GATA2/GLUL/GPX1/GRN/HMGA2/HSPB1/ITGA5/ITGAV/ITGB1/JAM3/JMJD6/KLF5/MECP2/MYDGF/NCL/NRXN3/PDCL3/PGF/PKM/PML/ROBO1/RRAS/SARS1/SERPINF1/SIRT6/SMAD1/SP1/SRF/VASH1/VEGFB/XBP1/YWHAZ",56
"GO:1902533","positive regulation of intracellular signal transduction","107/1138","498/7628",0.214859437751004,1.440200167983,4.25447294484035,3.07670095542566e-05,0.0076044457653363,0.0070232201842046,"ADAM9/APOA1/APOE/APP/BMP4/CCN2/CLU/EPHA4/FLT1/FN1/FZD7/GJA1/IFI35/MFAP3/NDFIP1/NDFIP2/PROS1/RAP1B/RELL1/SDCBP/SERINC3/SERPINF2/SPRY2/THBS1/TNFRSF10B/UNC5B/ACTN4/ADA/ADISSP/AGR2/AKAP12/AKAP5/ATF6/BAG4/BMPER/C1QBP/CA8/CALR/CAV1/CDC42/CDH2/CDON/CRK/DDT/F11R/FABP5/FADD/GAPDH/GPX1/HAX1/IGFBP5/ITGA1/ITGAV/ITGB1/KIT/KRAS/LAMTOR4/MALT1/MAT2A/MAZ/MEF2C/MIER1/MYDGF/NMNAT1/PAGR1/PARK7/PIAS4/PIP4P1/PMAIP1/PML/PPP2CA/PPP5C/RAC1/RACK1/RAP1A/RB1CC1/RBX1/RHOC/RNF13/RNF167/ROBO1/ROR1/RPL11/RPL26/RPS15/RPS20/RPS3/RPS7/RTN4R/SEMA4D/SOX2/TAOK2/TAOK3/TERF2IP/TFG/TMEM9B/TPBG/TPD52L1/TRADD/TRIM44/TRIM56/TWSG1/UBE2V1/VEGFB/WBP2/XBP1/ZNF622",107
"GO:0001568","blood vessel development","73/1138","311/7628",0.234726688102894,1.57337010267915,4.32289181057981,3.10016296463101e-05,0.0076044457653363,0.0070232201842046,"ADAMTS1/APOE/APOH/BMP4/CCN1/CCN2/COL1A1/COL1A2/EGR1/FLT1/FN1/GJA1/GPC3/LDLR/MEIS1/MFGE8/NFE2L2/PAX6/PTGS2/SEMA3C/SERPINF2/SLIT2/SPRY2/THBS1/UNC5B/AAMP/BMPER/BSG/CAV1/CDC42/CDH2/DAG1/DDAH1/EGLN1/EMC10/GAA/GATA2/GLUL/GPX1/GRN/HIF1AN/HMGA2/HSPB1/ITGA5/ITGAV/ITGB1/JAM3/JMJD6/KLF5/MECP2/MEF2C/MYDGF/NCL/NRXN3/PDCL3/PGF/PKM/PML/RAP1A/ROBO1/RRAS/SARS1/SERPINB7/SERPINF1/SIRT6/SMAD1/SP1/SRF/VASH1/VEGFB/XBP1/YWHAZ/ZBTB14",73
"GO:2000145","regulation of cell motility","99/1138","454/7628",0.218061674008811,1.46166471822426,4.24716938532796,3.32492713205915e-05,0.0076044457653363,0.0070232201842046,"ADAM9/ADAMTS1/APOE/APOH/APP/BMP4/CARMIL2/CCN1/CD151/COL1A1/EPHA4/FLT1/FN1/GJA1/NFE2L2/NTN1/PAX6/PHPT1/PODXL/PTGS2/RNF7/SDCBP/SEMA3C/SLIT2/SPINT2/SPRY2/THBS1/VTN/AAMP/ACTN4/ADA/ADAM10/ADIPOR1/AKAP12/ARF6/BAG4/BMPER/BSG/C1QBP/CADM4/CALR/CAV1/CCDC25/CDC42/CPNE3/CRK/DAG1/DDT/EMC10/FADD/GATA2/GLUL/GPI/GRN/HSPA5/HSPA8/HSPB1/IGFBP5/INPP5F/ITGA3/ITGA5/ITGAV/ITGB1/JAM3/KIT/LAMB1/MAZ/MECP2/MEF2C/MSN/PGF/PTP4A1/PTPRU/RAB11A/RAC1/RACK1/RAP2A/RAP2B/RAP2C/RBBP4/RBBP7/RDX/RHOC/ROBO1/RRAS/SCARB1/SEMA4D/SERPINE2/SERPINF1/SHTN1/SP1/SRF/STK10/TIMP1/TRADD/UNC5C/VASH1/VEGFB/XBP1",99
"GO:0040012","regulation of locomotion","102/1138","471/7628",0.21656050955414,1.45160243135236,4.23669180001775,3.39386920977752e-05,0.0076044457653363,0.0070232201842046,"ADAM9/ADAMTS1/APOE/APOH/APP/BMP4/CARMIL2/CCN1/CD151/COL1A1/EPHA4/FLT1/FN1/GJA1/NFE2L2/NTN1/PAX6/PHPT1/PODXL/PTGS2/RNF7/SDCBP/SEMA3C/SLIT2/SPINT2/SPRY2/THBS1/VTN/AAMP/ACTN4/ADA/ADAM10/ADIPOR1/AKAP12/ARF6/BAG4/BMPER/BSG/C1QBP/CADM4/CALR/CAV1/CCDC25/CDC42/CPNE3/CRK/DAG1/DDT/EMC10/FADD/GATA2/GLUL/GPI/GRN/HSPA5/HSPA8/HSPB1/IGFBP5/INPP5F/ITGA3/ITGA5/ITGAV/ITGB1/JAM3/KIT/LAMB1/MAZ/MECP2/MEF2C/MSN/PGF/PTP4A1/PTPRU/RAB11A/RAC1/RACK1/RAP2A/RAP2B/RAP2C/RBBP4/RBBP7/RDX/RHOC/ROBO1/RRAS/SCARB1/SEMA4D/SERPINE2/SERPINF1/SHTN1/SNCA/SP1/SRF/STK10/STX3/TIMP1/TPBG/TRADD/UNC5C/VASH1/VEGFB/XBP1",102
"GO:0001944","vasculature development","76/1138","328/7628",0.231707317073171,1.55313129581208,4.2877492425449,3.42702295562941e-05,0.0076044457653363,0.0070232201842046,"ADAMTS1/APOE/APOH/BMP4/CCN1/CCN2/COL1A1/COL1A2/EGR1/FLT1/FN1/GJA1/GPC3/LDLR/MEIS1/MFGE8/NFE2L2/PAX6/PTGS2/SEMA3C/SERPINF2/SLIT2/SPRY2/THBS1/UNC5B/AAMP/ADAM10/ANP32B/BMPER/BSG/CAV1/CDC42/CDH2/DAG1/DDAH1/EGLN1/EMC10/GAA/GATA2/GLUL/GPX1/GRN/HIF1AN/HMGA2/HSPB1/ITGA5/ITGAV/ITGB1/JAM3/JMJD6/KIT/KLF5/MECP2/MEF2C/MYDGF/NCL/NRXN3/PDCL3/PGF/PKM/PML/RAP1A/ROBO1/RRAS/SARS1/SERPINB7/SERPINF1/SIRT6/SMAD1/SP1/SRF/VASH1/VEGFB/XBP1/YWHAZ/ZBTB14",76
"GO:0043086","negative regulation of catalytic activity","54/1138","214/7628",0.252336448598131,1.69140811063844,4.29576703942939,4.3533778698008e-05,0.00933799553072272,0.00862427068522643,"APLP2/APOC3/APOE/APP/GPC3/ITIH2/ITIH4/LAMP3/LRP6/LXN/PHPT1/PTGS2/PZP/SERPINF2/SPINT2/THBS1/TIMP3/VTN/AIDA/AKAP5/ARFGEF1/ARL2/BAG2/BAG4/CAST/CAV1/CHMP6/CHORDC1/CSNK2A1/CSTB/DNAJA1/EGLN1/GAPDH/GBA1/GPX1/HSPB1/NPM1/PRDX3/PRDX5/RDX/RNF34/RPL11/RPL5/RPS7/SERPINA7/SERPINB7/SERPINE2/SERPINF1/SNCA/TARBP2/TIMP1/TIMP2/URI1/YWHAG",54
"GO:0006575","cellular modified amino acid metabolic process","28/1138","88/7628",0.318181818181818,2.13276881290941,4.47530462893864,4.55904593122583e-05,0.00946369695723814,0.00874036445762345,"GLRX2/GSTA4/NFE2L2/SERINC1/SLC46A1/ACADM/ALDH4A1/ALDH7A1/CHAC2/CKB/ETHE1/GLO1/GOT2/GPX1/GSR/GSS/GSTO1/GSTZ1/HAGH/IDH1/MTHFD2/MTHFS/OSBPL10/P4HB/PARK7/PLSCR1/SHMT1/SHMT2",28
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","31/1138","102/7628",0.303921568627451,2.03718253558014,4.41569257833227,4.93731785122951e-05,0.00992863761645684,0.00916976861448744,"APP/FLT1/FN1/PROS1/SPRY2/THBS1/UNC5B/BAG4/C1QBP/CDC42/DAG1/GPX1/HAX1/IGFBP5/INPP5F/ITGB1/KIT/MAZ/MYDGF/NOP53/PARK7/PPP2CA/RACK1/ROR1/RRAS/SEMA4D/SERPINE2/STAMBP/TPBG/VEGFB/XBP1",31
