"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120031","plasma membrane bounded cell projection assembly","48/567","280/7601",0.171428571428571,2.29811035525321,6.28351375645518,3.01786926688503e-08,2.8796508544617e-05,2.75166143050086e-05,"B9D1/CARMIL2/CBY1/CCDC28B/CCDC66/CDC42EP1/CEP41/ENKD1/ENTR1/IFT81/PIBF1/SCLT1/WASF2/AJUBA/ARL3/BIN3/BLOC1S6/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CENPJ/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/CTTN/DNAL1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MAP4/ODF2/PCNT/PPP1R35/SHTN1/TCHP/TPGS1/TRAF3IP1/TTC39C/WASF3",48
"GO:0030031","cell projection assembly","48/567","286/7601",0.167832167832168,2.24989824989825,6.11712922192647,5.99484751410317e-08,4.76690291496437e-05,4.55503238308436e-05,"B9D1/CARMIL2/CBY1/CCDC28B/CCDC66/CDC42EP1/CEP41/ENKD1/ENTR1/IFT81/PIBF1/SCLT1/WASF2/AJUBA/ARL3/BIN3/BLOC1S6/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CENPJ/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/CTTN/DNAL1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MAP4/ODF2/PCNT/PPP1R35/SHTN1/TCHP/TPGS1/TRAF3IP1/TTC39C/WASF3",48
"GO:0030036","actin cytoskeleton organization","56/567","398/7601",0.14070351758794,1.88622122960481,5.15613312382599,2.03678356241622e-06,0.000883408579662524,0.000844144460174605,"CARMIL2/CDC42EP1/EFNA5/MRTFA/NAA80/PDLIM2/PXN/SDC4/TMSB10/WASF1/WASF2/ZBED3/ARHGEF18/ARPC3/BAIAP2/BIN1/BIN3/BLOC1S6/CALD1/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CNN2/CNN3/CSRP2/CTTN/ENAH/FLNA/FLNC/LATS1/LIMCH1/LMOD1/MTPN/MYH9/PACSIN2/PAWR/PCLO/PDLIM1/PDLIM3/PDLIM5/PHACTR2/PHACTR4/RFLNB/RHOA/SH3KBP1/SHTN1/TAGLN2/TRIP10/WASF3/WASH6P/WASHC2A/WASHC2C/WIPF1/WIPF3/ZYX",56
"GO:0099518","vesicle cytoskeletal trafficking","14/567","47/7601",0.297872340425532,3.99317047543998,5.84371510675373,4.79393241117847e-06,0.0017593731949025,0.00168117581156388,"BLOC1S4/CCDC186/KIF5B/BLOC1S1/BLOC1S5/BLOC1S6/BORCS5/CDR2L/DYNC1I1/F8A3/FNBP1L/KIF5A/NDE1/SNAPIN",14
"GO:1905515","non-motile cilium assembly","11/567","30/7601",0.366666666666667,4.91540270429159,6.10038977271555,5.32880071963315e-06,0.00181597915952641,0.00173526585840084,"ENKD1/PIBF1/CENPJ/CEP131/CEP135/CEP250/CEP290/CEP350/GORAB/IFT74/MAP4",11
"GO:0031122","cytoplasmic microtubule organization","14/567","48/7601",0.291666666666667,3.90997942386831,5.74179837553691,6.31133696507424e-06,0.00200742591069128,0.00191820353654291,"STMN3/CAMSAP2/CCDC88A/CCDC88C/CENPJ/CLIP1/CLIP2/CRIPT/HOOK2/HOOK3/KATNBL1/RHOA/TBCB/TPPP",14
"GO:0007018","microtubule-based movement","33/567","199/7601",0.165829145728643,2.2230464491771,4.96354647353148,9.68672795664934e-06,0.00271855171065729,0.00259772252509277,"BLOC1S4/DNAL4/IFT81/KIF5B/KLC4/KXD1/ARL3/BAG3/BICD2/BLOC1S1/BLOC1S5/BLOC1S6/BORCS5/BORCS7/CCDC88C/CDR2L/CENPE/CEP131/CFAP298/DYNC1I1/DYNLRB1/IFT74/KIF5A/KLC1/KLC2/KLC3/MAP1A/MAP4/NDE1/SNAPIN/TPGS1/TRAF3IP1/UXT",33
"GO:0099111","microtubule-based transport","24/567","136/7601",0.176470588235294,2.36570183629007,4.56254945656426,5.74527116998892e-05,0.0126732384825706,0.0121099616913619,"BLOC1S4/IFT81/KIF5B/KXD1/ARL3/BAG3/BICD2/BLOC1S1/BLOC1S5/BLOC1S6/BORCS5/BORCS7/CCDC88C/CDR2L/CEP131/DYNC1I1/IFT74/KIF5A/KLC3/MAP1A/NDE1/SNAPIN/TRAF3IP1/UXT",24
"GO:0051493","regulation of cytoskeleton organization","45/567","333/7601",0.135135135135135,1.81157347824015,4.29971477364214,5.92815481161052e-05,0.0126732384825706,0.0121099616913619,"CARMIL2/CDC42EP1/EFNA5/NAA80/PXN/SDC4/STMN3/TMSB10/WASF1/WASF2/ARHGEF18/ARPC3/BAIAP2/BICD2/BIN1/CAMSAP2/CARMIL1/CCDC88A/CCDC88C/CD2AP/CDC42EP4/CDKN1B/CENPJ/CHMP4A/CLIP1/CTTN/FLNA/KATNBL1/LATS1/LIMCH1/LMOD1/MAP1A/MTPN/PHLDB1/PPP1R35/PSRC1/RHOA/SKA1/TACC3/TPPP/TRAF3IP1/WASF3/WASH6P/WASHC2A/WASHC2C",45
"GO:0010970","transport along microtubule","23/567","128/7601",0.1796875,2.40882660934744,4.56364845981441,6.10950503246958e-05,0.0126732384825706,0.0121099616913619,"BLOC1S4/IFT81/KIF5B/KXD1/ARL3/BAG3/BICD2/BLOC1S1/BLOC1S5/BLOC1S6/BORCS5/BORCS7/CDR2L/CEP131/DYNC1I1/IFT74/KIF5A/KLC3/MAP1A/NDE1/SNAPIN/TRAF3IP1/UXT",23
