"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","transmembrane transport","25/121","501/7601",0.0499001996007984,3.13463981128652,6.28728251815454,2.22941862998598e-07,0.000514995703526761,0.000468177912297055,"ABCA3/ABCB10/NDUFA1/SEC63/SLC26A11/SLC46A1/TIMM23/TMED10/TOMM40L/ABCD3/ANO10/ATP5F1A/ATP5F1C/ATP5MF/MAIP1/PHB2/SLC19A1/SLC19A2/SLC25A1/SLC25A12/SLC25A13/SLC25A17/SLC30A9/SLC37A3/SLC7A2",25
"GO:0015849","organic acid transport","11/121","113/7601",0.0973451327433628,6.11504424778761,6.96713749259935,1.55679472348747e-06,0.00119873193708535,0.00108975630644123,"SLC26A11/SLC46A1/ABCD3/PLA2G4A/SLC19A1/SLC19A2/SLC25A1/SLC25A12/SLC25A13/SLC25A17/SLC7A2",11
"GO:0046942","carboxylic acid transport","11/121","113/7601",0.0973451327433628,6.11504424778761,6.96713749259935,1.55679472348747e-06,0.00119873193708535,0.00108975630644123,"SLC26A11/SLC46A1/ABCD3/PLA2G4A/SLC19A1/SLC19A2/SLC25A1/SLC25A12/SLC25A13/SLC25A17/SLC7A2",11
"GO:0015711","organic anion transport","11/121","141/7601",0.0780141843971631,4.90070921985816,5.94610264260463,1.35316311012968e-05,0.00718929836450186,0.00653572578591078,"SLC26A11/SLC46A1/ABCD3/PLA2G4A/SLC19A1/SLC19A2/SLC25A1/SLC25A12/SLC25A13/SLC25A17/SLC7A2",11
"GO:0015884","folic acid transport","3/121","4/7601",0.75,47.1136363636364,11.7324033537037,1.55612518712161e-05,0.00718929836450186,0.00653572578591078,"SLC46A1/SLC19A1/SLC19A2",3
"GO:0006835","dicarboxylic acid transport","6/121","39/7601",0.153846153846154,9.66433566433567,6.89918702818815,3.0515676135314e-05,0.0117485353120959,0.0106804866473599,"SLC26A11/SLC46A1/SLC19A1/SLC19A2/SLC25A12/SLC25A13",6
"GO:1903825","organic acid transmembrane transport","7/121","62/7601",0.112903225806452,7.09237536656891,6.1259621469719,5.18439303472996e-05,0.0149699348877828,0.0136090317161662,"SLC46A1/ABCD3/SLC19A1/SLC25A1/SLC25A12/SLC25A13/SLC7A2",7
"GO:1905039","carboxylic acid transmembrane transport","7/121","62/7601",0.112903225806452,7.09237536656891,6.1259621469719,5.18439303472996e-05,0.0149699348877828,0.0136090317161662,"SLC46A1/ABCD3/SLC19A1/SLC25A1/SLC25A12/SLC25A13/SLC7A2",7
"GO:0006650","glycerophospholipid metabolic process","10/121","145/7601",0.0689655172413793,4.33228840125392,5.15255119164806,9.71653241814936e-05,0.02493909987325,0.0226719089756818,"ABCA3/LPGAT1/PIGX/PIPSL/DHRS7B/MTMR4/PHB2/PLA2G4A/SACM1L/SMPD4",10
"GO:0046471","phosphatidylglycerol metabolic process","4/121","17/7601",0.235294117647059,14.7807486631016,7.23430463579577,0.000123884257003652,0.0276075605299863,0.0250977822999875,"ABCA3/LPGAT1/PHB2/PLA2G4A",4
"GO:0006855","xenobiotic transmembrane transport","3/121","7/7601",0.428571428571429,26.9220779220779,8.7263417596047,0.000131464573952316,0.0276075605299863,0.0250977822999875,"ABCA3/SLC19A1/SLC37A3",3
"GO:1902600","proton transmembrane transport","8/121","101/7601",0.0792079207920792,4.97569756975698,5.115546984701,0.000192112123509153,0.036981583775512,0.0336196216141018,"NDUFA1/SLC46A1/ATP5F1A/ATP5F1C/ATP5MF/PHB2/SLC25A12/SLC25A13",8
"GO:0045333","cellular respiration","10/121","163/7601",0.0613496932515337,3.85387618516453,4.68435203023909,0.000255160740195774,0.0453401007578645,0.0412182734162405,"CISD1/NDUFA1/TEFM/TRAP1/ATP5F1A/ATP5F1C/ATP5MF/SLC25A12/SLC25A13/STOML2",10
"GO:0035461","vitamin transmembrane transport","3/121","9/7601",0.333333333333333,20.9393939393939,7.61208783841566,0.000308230068787219,0.0508579613498911,0.0462345103180828,"SLC46A1/SLC19A1/SLC19A2",3
"GO:0046486","glycerolipid metabolic process","10/121","173/7601",0.0578034682080925,3.63110877561745,4.45219922292917,0.00041173991319175,0.0628350240707113,0.0571227491551921,"ABCA3/LPGAT1/PIGX/PIPSL/DHRS7B/MTMR4/PHB2/PLA2G4A/SACM1L/SMPD4",10
"GO:0009084","glutamine family amino acid biosynthetic process","3/121","10/7601",0.3,18.8454545454545,7.18169242034411,0.000435220945944321,0.0628350240707113,0.0571227491551921,"ALDH18A1/GLUD1/PYCR1",3
"GO:1990542","mitochondrial transmembrane transport","6/121","65/7601",0.0923076923076923,5.7986013986014,4.94139523439931,0.00055160358205727,0.0749531926207232,0.0681392660188393,"TIMM23/TOMM40L/MAIP1/SLC25A1/SLC25A12/SLC25A13",6
"GO:0006644","phospholipid metabolic process","10/121","185/7601",0.0540540540540541,3.3955773955774,4.19526976816423,0.000698130389998867,0.0820801944156618,0.0746183585596925,"ABCA3/LPGAT1/PIGX/PIPSL/DHRS7B/MTMR4/PHB2/PLA2G4A/SACM1L/SMPD4",10
"GO:0006754","ATP biosynthetic process","6/121","68/7601",0.0882352941176471,5.5427807486631,4.78564998341419,0.000703155168127469,0.0820801944156618,0.0746183585596925,"NDUFA1/ATP5F1A/ATP5F1C/ATP5MF/SLC25A13/STOML2",6
"GO:0043686","co-translational protein modification","2/121","3/7601",0.666666666666667,41.8787878787879,9.0065336282748,0.000746183585596925,0.0820801944156618,0.0746183585596925,"STT3A/STT3B",2
"GO:0098838","folate transmembrane transport","2/121","3/7601",0.666666666666667,41.8787878787879,9.0065336282748,0.000746183585596925,0.0820801944156618,0.0746183585596925,"SLC46A1/SLC19A1",2
"GO:1901137","carbohydrate derivative biosynthetic process","14/121","335/7601",0.0417910447761194,2.62523744911805,3.86936955317343,0.000833532400745034,0.0875209020782286,0.0795644564347533,"GALNT10/NDUFA1/PIGX/TYW1/ATP5F1A/ATP5F1C/ATP5MF/C1GALT1/RPN1/SLC25A13/STOML2/STT3A/STT3B/UGCG",14
"GO:0046470","phosphatidylcholine metabolic process","4/121","28/7601",0.142857142857143,8.97402597402597,5.37614985300614,0.000930882224836576,0.0934929538857605,0.0849935944416004,"ABCA3/LPGAT1/DHRS7B/PLA2G4A",4
