"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072110","glomerular mesangial cell proliferation","2/31","4/7601",0.5,122.596774193548,15.5657728875182,9.6103110188991e-05,0.0475139687286442,0.0360226952949265,"BMP4/EGR1",2
"GO:0072109","glomerular mesangium development","2/31","5/7601",0.4,98.0774193548387,13.8947408198182,0.000159764521616154,0.0475139687286442,0.0360226952949265,"BMP4/EGR1",2
"GO:1901722","regulation of cell proliferation involved in kidney development","2/31","6/7601",0.333333333333333,81.7311827956989,12.6588063081683,0.000239037477821614,0.0507783899315343,0.0384976148491652,"BMP4/EGR1",2
"GO:0072012","glomerulus vasculature development","2/31","8/7601",0.25,61.2983870967742,10.9190207762593,0.000443937974227588,0.0555551921791167,0.0421191454527548,"BMP4/EGR1",2
"GO:0051247","positive regulation of protein metabolic process","9/31","600/7601",0.015,3.67790322580645,4.37351044515655,0.000464756195218326,0.0555551921791167,0.0421191454527548,"BMP4/CCN1/EGR1/HERPUD1/MAPK8/NDFIP1/PABIR1/SPRY2/TRIB3",9
"GO:0061437","renal system vasculature development","2/31","9/7601",0.222222222222222,54.4874551971326,10.273887220376,0.000569327152201225,0.0555551921791167,0.0421191454527548,"BMP4/EGR1",2
"GO:0061440","kidney vasculature development","2/31","9/7601",0.222222222222222,54.4874551971326,10.273887220376,0.000569327152201225,0.0555551921791167,0.0421191454527548,"BMP4/EGR1",2
"GO:0072111","cell proliferation involved in kidney development","2/31","9/7601",0.222222222222222,54.4874551971326,10.273887220376,0.000569327152201225,0.0555551921791167,0.0421191454527548,"BMP4/EGR1",2
"GO:0070585","protein localization to mitochondrion","4/31","97/7601",0.0412371134020619,10.1110741602927,5.77894737134452,0.000602073990706325,0.0555551921791167,0.0421191454527548,"DNLZ/MAPK8/TIMM23/TOMM40L",4
"GO:1901873","regulation of post-translational protein modification","5/31","179/7601",0.0279329608938547,6.84898179852226,5.06740964469869,0.000707749709925551,0.0555551921791167,0.0421191454527548,"EGR1/HERPUD1/NDFIP1/SPRY2/TRIB3",5
"GO:0072210","metanephric nephron development","2/31","10/7601",0.2,49.0387096774194,9.72705880260451,0.000709851144185083,0.0555551921791167,0.0421191454527548,"BMP4/EGR1",2
"GO:0060602","branch elongation of an epithelium","2/31","12/7601",0.166666666666667,40.8655913978495,8.84374600591048,0.00103583409463577,0.0733469189868282,0.0556079356067625,"BMP4/SPRY2",2
"GO:0031399","regulation of protein modification process","8/31","544/7601",0.0147058823529412,3.60578747628084,4.036157331519,0.00118161155252701,0.079866199027621,0.0605505250122692,"BMP4/CCN1/EGR1/HERPUD1/NDFIP1/SPRY2/TRIB3/UVRAG",8
"GO:0031401","positive regulation of protein modification process","6/31","313/7601",0.0191693290734824,4.70019581572709,4.27791742993507,0.00142995441645128,0.091151609830042,0.0691065544388029,"BMP4/CCN1/EGR1/NDFIP1/SPRY2/TRIB3",6
"GO:0071806","protein transmembrane transport","3/31","56/7601",0.0535714285714286,13.1353686635945,5.83253118018136,0.00147117594883726,0.091151609830042,0.0691065544388029,"DNLZ/TIMM23/TOMM40L",3
"GO:0072594","establishment of protein localization to organelle","6/31","322/7601",0.0186335403726708,4.56882388298938,4.1875200171266,0.00165412471253749,0.0946032095208943,0.0717233832845205,"BMP4/DNLZ/HERPUD1/MAPK8/TIMM23/TOMM40L",6
"GO:0045732","positive regulation of protein catabolic process","4/31","134/7601",0.0298507462686567,7.31921039961483,4.72260738998236,0.00200856070219509,0.101019215337779,0.0765876753808522,"HERPUD1/NDFIP1/PABIR1/TRIB3",4
"GO:0060441","epithelial tube branching involved in lung morphogenesis","2/31","17/7601",0.117647058823529,28.8462998102467,7.35499694272021,0.00210750315926615,0.101019215337779,0.0765876753808522,"BMP4/SPRY2",2
"GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","3/31","64/7601",0.046875,11.4934475806452,5.39446810966508,0.00216302981750835,0.101019215337779,0.0765876753808522,"HERPUD1/PABIR1/TRIB3",3
"GO:0031396","regulation of protein ubiquitination","4/31","141/7601",0.0283687943262411,6.9558453443148,4.56797015514979,0.00241929142071761,0.105464612168408,0.0799579511077516,"HERPUD1/NDFIP1/SPRY2/TRIB3",4
"GO:1901800","positive regulation of proteasomal protein catabolic process","3/31","74/7601",0.0405405405405405,9.94027898866609,4.94533454876803,0.00327404725940486,0.121712706868376,0.0922764372321738,"HERPUD1/PABIR1/TRIB3",3
"GO:0030509","BMP signaling pathway","3/31","75/7601",0.04,9.80774193548387,4.90515583654,0.00340109748777642,0.122228671512264,0.0926676156087032,"BMP4/CCN1/EGR1",3
"GO:0009894","regulation of catabolic process","8/31","650/7601",0.0123076923076923,3.01776674937965,3.44226022323081,0.00366999418888674,0.124029121792604,0.0940326262272178,"HERPUD1/MAPK8/NDFIP1/PABIR1/PLEKHF1/TRIB3/TRIM23/UVRAG",8
