"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"GO:0051241","negative regulation of multicellular organismal process","40/268","418/7601",0.0956937799043062,2.71406127258445,6.89120073796912,4.98862744346741e-09,1.1950364524928e-05,9.46142983519725e-06,"ADAMTS1/APOA1/APOC3/APOE/APOH/APP/BMP4/CD84/CHSY1/EPHA4/EPHA7/FZD7/GJA1/IFRD1/LDLR/MSX2/NDFIP1/NTN1/PRKAR1A/PROS1/PTGS2/PTPRS/SERPINF2/SPRY2/THBS1/VTN/ADIPOR1/ARRDC3/BMPR1A/CD83/CLSTN3/LPIN1/PCTP/RBX1/RGMA/RGN/ROBO1/STC2/TIMP1/VASN",40,"negative regulation of multicellular organismal process",0.149253731343284,2.71406127258445
"GO:0010466","negative regulation of peptidase activity","15/268","66/7601",0.227272727272727,6.44589552238806,8.49440562129591,5.847988512321e-09,1.1950364524928e-05,9.46142983519725e-06,"APLP2/APP/GPC3/ITIH2/ITIH4/PTGS2/PZP/SERPIND1/SERPINF2/SPINT2/THBS1/TIMP3/VTN/RNF34/TIMP1",15,"negative regulation of peptidase activity",0.0559701492537313,6.44589552238806
"GO:0040011","locomotion","45/268","521/7601",0.0863723608445297,2.4496877417137,6.55405452492467,1.2253293093472e-08,1.669306962434e-05,1.3216358936608e-05,"ADAMTS1/APOA1/APOE/APOH/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/EPHA7/FAT1/FLT1/GCNT1/GJA1/HMOX1/NTN1/PHPT1/PLPP3/PTGS2/RNF7/SDCBP/SEMA3C/SERPIND1/SLIT2/SPINT2/SPRY2/THBS1/VTN/ACVR1B/ADAM10/ADIPOR1/ARRDC3/BMPR1A/CAV1/NRP2/PLGRKT/PTPRU/RGN/ROBO1/STX3/TGFBR3/TIMP1/TPBG",45,"locomotion",0.167910447761194,2.4496877417137
"GO:0007155","cell adhesion","47/268","573/7601",0.0820244328097731,2.32637206636972,6.31190061802587,2.83212676866491e-08,2.38722625596269e-05,1.89003219729548e-05,"APLP1/APOA1/APP/BMP4/CCN1/CCN2/CD151/CD84/COL1A1/CSPG5/DDR2/DGCR2/EDIL3/EPHA4/EPHA7/FAT1/FZD7/GCNT1/HABP2/HLA-A/LRP6/MFGE8/NDFIP1/NEO1/NTN1/PLPP3/PRKAR1A/PTPRS/SERPINF2/SPINT2/THBS1/VTN/ADAM10/CAV1/CD83/CDON/CHST10/CLSTN3/DDR1/DSC3/NRP2/PCDH7/PTPRU/ROBO1/STX3/TFRC/TPBG",47,"cell adhesion",0.175373134328358,2.32637206636972
"GO:1902533","positive regulation of intracellular signal transduction","43/268","499/7601",0.0861723446893788,2.44401489546257,6.37918155558894,2.92051169068105e-08,2.38722625596269e-05,1.89003219729548e-05,"APOA1/APOE/APP/BMP4/CCN2/CLU/DDR2/EPHA4/FLT1/FZD7/GJA1/HMOX1/IFI35/MAPK8/MFAP3/NDFIP1/NDFIP2/PLEKHF1/PROS1/RELL1/SDCBP/SERINC3/SERPINF2/SPRY2/THBS1/TNFRSF10B/UNC5B/ACVR2A/ARRDC3/BMPR1A/CAV1/CDON/DDR1/DSTYK/LAMTOR4/RBX1/ROBO1/SLC19A1/SLC20A1/TFRC/TGFBR3/TPBG/WBP2",43,"positive regulation of intracellular signal transduction",0.16044776119403,2.44401489546257
"GO:0040012","regulation of locomotion","41/268","469/7601",0.0874200426439232,2.47940203035993,6.32266708759354,4.29759652451483e-08,2.92737949928202e-05,2.31768626602782e-05,"ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/FAT1/FLT1/GCNT1/GJA1/HMOX1/NTN1/PHPT1/PLPP3/PTGS2/RNF7/SDCBP/SEMA3C/SLIT2/SPINT2/SPRY2/THBS1/VTN/ACVR1B/ADAM10/ADIPOR1/ARRDC3/BMPR1A/CAV1/NRP2/PTPRU/RGN/ROBO1/STX3/TGFBR3/TIMP1/TPBG",41,"regulation of locomotion",0.152985074626866,2.47940203035993
"GO:0042127","regulation of cell population proliferation","52/268","693/7601",0.075036075036075,2.12816868040749,5.95522044486748,8.94708999372812e-08,4.39578901162793e-05,3.48026616402309e-05,"ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CCPG1/CLU/CNBP/DDR2/EGR1/EPHA4/FLT1/FZD7/GJA1/GPC3/HLA-A/HMOX1/IFI35/MEIS2/MSX2/NDFIP1/NTN1/OGN/PRKAR1A/PTGS2/SDCBP/SERPINF2/SPINT2/SPRY2/THBS1/ZNF16/ADAM10/BAMBI/BMPR1A/CAV1/CD320/CDON/DDR1/HMGA2/JTB/NRP2/PDCD2/PTPRU/RGN/RNF126/ROBO1/STX3/TFRC/TGFBR3/TIMP1/TPBG",52,"regulation of cell population proliferation",0.194029850746269,2.12816868040749
"GO:0030162","regulation of proteolysis","32/268","324/7601",0.0987654320987654,2.80117928874148,6.33412475405886,9.67998558958928e-08,4.39578901162793e-05,3.48026616402309e-05,"APLP2/APOE/APP/CLU/EPHA4/EPHA7/GPC3/HERPUD1/ITIH2/ITIH4/PABIR1/PTGS2/PZP/RCHY1/SERPIND1/SERPINF2/SPINT2/THBS1/TIMP3/TRIB3/VTN/CAV1/GABARAP/GABARAPL2/PDCD2/PLGRKT/RBX1/RGMA/RGN/RNF34/ROBO1/TIMP1",32,"regulation of proteolysis",0.119402985074627,2.80117928874148
"GO:0051346","negative regulation of hydrolase activity","16/268","91/7601",0.175824175824176,4.98671477775955,7.31390380894757,8.82455079286387e-08,4.39578901162793e-05,3.48026616402309e-05,"APLP2/APOC3/APP/GPC3/ITIH2/ITIH4/PTGS2/PZP/SERPIND1/SERPINF2/SPINT2/THBS1/TIMP3/VTN/RNF34/TIMP1",16,"negative regulation of hydrolase activity",0.0597014925373134,4.98671477775955
"GO:0009611","response to wounding","28/268","275/7601",0.101818181818182,2.88776119402985,6.09555556681196,3.48127803100707e-07,0.000118566527606049,9.38723567308397e-05,"APOE/APOH/BNIP3/CCN1/CCN2/CD151/CSPG5/DDR2/EPHA4/F5/FZD7/HGFAC/HMOX1/MSX2/NEO1/PLPP3/PROS1/PTPRS/SERPIND1/SERPINF2/THBS1/VTN/C1GALT1C1/CAV1/DDR1/PLSCR1/RGMA/TIMP1",28,"response to wounding",0.104477611940299,2.88776119402985
