"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","translation","201/1705","544/7601",0.369485294117647,1.64718927893738,8.42385641820018,1.05553489365155e-15,7.10797197384955e-12,7.10797197384955e-12,"ATF4/C8orf88/CNBP/EIF1/EIF1B/EIF3C/PAIP2/PDIK1L/RCHY1/AJUBA/ALKBH3/ALKBH5/APEH/C1QBP/CALR/CAPRIN1/CASC3/CHCHD1/CIRBP/CNOT3/COPS5/CSNK2A1/DAP3/DDRGK1/DENR/DHPS/EIF1AD/EIF1AX/EIF3J/EIF4B/EIF4H/EIF5A/EIF6/ELAC1/FAU/GADD45GIP1/GAPDH/HABP4/HNRNPD/HSPB1/IGFBP5/ITGA2/LARP1B/LSM14B/LTO1/MCTS1/METAP1/MRPL10/MRPL11/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL27/MRPL28/MRPL3/MRPL32/MRPL33/MRPL34/MRPL35/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL43/MRPL44/MRPL45/MRPL46/MRPL48/MRPL51/MRPL53/MRPL54/MRPL55/MRPL58/MRPS10/MRPS11/MRPS15/MRPS16/MRPS17/MRPS18B/MRPS18C/MRPS2/MRPS22/MRPS23/MRPS25/MRPS26/MRPS28/MRPS30/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MRRF/MTIF3/MTRES1/MTRFR/NACA/NCL/NGRN/NHLRC3/NOLC1/NPM1/OGFOD1/PA2G4/PKM/PML/PPP1CA/PYM1/QKI/RACK1/RBM8A/RIDA/RPL11/RPL12/RPL13/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL29/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL36AL/RPL37A/RPL38/RPL4/RPL5/RPL7A/RPL8/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS24/RPS25/RPS26/RPS27/RPS27L/RPS28/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPS9/RPSA/RRBP1/RSL24D1/RWDD1/SARNP/SARS1/SARS2/SAYSD1/SERBP1/SH3BGRL/SHMT1/SHMT2/SLBP/SRP9/TARBP2/TCOF1/TPR/UNK/UPF3B/UQCC2/WFS1/YBX1/YBX3/ZC3H15/ZFP36L1/ZNF385A/ZNF706",201
"GO:0008380","RNA splicing","144/1705","395/7601",0.364556962025316,1.62521845651286,6.86235939654014,5.59338478055103e-11,9.41646327805766e-08,9.41646327805766e-08,"EIF1/ACIN1/AHNAK/AHNAK2/ALYREF/ARGLU1/ARL6IP4/ATXN7L3/BUD13/BUD31/C1QBP/C2orf49/C9orf78/CACTIN/CASC3/CD2BP2/CIR1/CIRBP/CLASRP/CRIPT/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ENY2/ESS2/FRA10AC1/FUS/GEMIN2/GEMIN6/HABP4/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LGALS3/LSM1/LSM10/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MBNL1/MFAP1/NCL/NSRP1/PDCD7/PLRG1/PNN/PPIE/PPIG/PPIH/PPIL1/PPIL3/PPP1R9B/PQBP1/PRKRIP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RP9/RPS13/RPS26/RSRC1/RSRP1/SAP18/SCAF1/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SGF29/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP48/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SREK1IP1/SRRM1/SRRM2/SRSF1/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SUGP1/SUPT7L/SYF2/TADA3/TAF12/TAF15/THRAP3/TRA2A/TRA2B/UPF3B/WBP11/WBP4/YBX1/YJU2/ZBTB7A/ZC3H10/ZC3H13/ZCRB1/ZMAT2/ZMAT5/ZNF830/ZPR1/ZRANB2",144
"GO:0000375","RNA splicing, via transesterification reactions","104/1705","271/7601",0.383763837638376,1.71084394714915,6.40762634381848,1.19186369691884e-09,1.36821982958998e-06,1.36821982958999e-06,"EIF1/ACIN1/ARGLU1/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIRBP/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LSM1/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MFAP1/NCL/NSRP1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RSRC1/RSRP1/SAP18/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SRRM1/SRRM2/SRSF1/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP4/YJU2/ZBTB7A/ZCRB1/ZMAT2",104
"GO:0140053","mitochondrial gene expression","68/1705","154/7601",0.441558441558442,1.96849602010892,6.52916695995836,1.21908508724976e-09,1.36821982958998e-06,1.36821982958999e-06,"C1QBP/CHCHD1/DAP3/GADD45GIP1/KAT8/MRPL10/MRPL11/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL27/MRPL28/MRPL3/MRPL32/MRPL33/MRPL34/MRPL35/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL43/MRPL44/MRPL45/MRPL46/MRPL48/MRPL51/MRPL53/MRPL54/MRPL55/MRPL58/MRPS10/MRPS11/MRPS15/MRPS16/MRPS17/MRPS18B/MRPS18C/MRPS2/MRPS22/MRPS23/MRPS25/MRPS26/MRPS28/MRPS30/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTIF3/MTRES1/NGRN/SARS2/SHMT2/TFAM/UQCC2",68
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","102/1705","267/7601",0.382022471910112,1.70308082638637,6.28898679391076,2.31405475241952e-09,1.94785558784913e-06,1.94785558784913e-06,"EIF1/ACIN1/ARGLU1/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIRBP/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MFAP1/NCL/NSRP1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RSRC1/RSRP1/SAP18/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SNIP1/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SRRM1/SRRM2/SRSF1/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP4/YJU2/ZBTB7A/ZCRB1/ZMAT2",102
"GO:0000398","mRNA splicing, via spliceosome","102/1705","267/7601",0.382022471910112,1.70308082638637,6.28898679391076,2.31405475241952e-09,1.94785558784913e-06,1.94785558784913e-06,"EIF1/ACIN1/ARGLU1/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIRBP/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MFAP1/NCL/NSRP1/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RSRC1/RSRP1/SAP18/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SMN2/SNIP1/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SRRM1/SRRM2/SRSF1/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP4/YJU2/ZBTB7A/ZCRB1/ZMAT2",102
"GO:0006397","mRNA processing","144/1705","419/7601",0.343675417661098,1.53212718454077,6.0254572228194,6.09638805043692e-09,4.56145301462691e-06,4.56145301462691e-06,"EIF1/FIP1L1/NBDY/ACIN1/ALKBH5/ALYREF/ARGLU1/ARL6IP4/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CD2BP2/CIR1/CIRBP/CLASRP/CPSF6/CPSF7/CRIPT/CSTF1/CWC15/CWC25/CWC27/DDX39A/DDX39B/DNAJC17/ESS2/FRA10AC1/GEMIN2/GEMIN6/HABP4/HNRNPC/HNRNPUL1/HSPA8/IK/ISY1/KAT8/LEO1/LGALS3/LSM1/LSM10/LSM11/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MBNL1/MFAP1/NCBP3/NCL/NSRP1/NUDT21/PABPN1/PCF11/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRKRIP1/PSIP1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RNF113A/RNPC3/RNPS1/RPUSD2/RSRC1/RSRP1/SAFB/SAFB2/SAP18/SCAF1/SCAF11/SCNM1/SDE2/SF1/SF3A1/SF3A2/SFSWAP/SLBP/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP48/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SREK1IP1/SRRM1/SRRM2/SRSF1/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SUGP1/SYF2/THRAP3/TRA2A/TRA2B/UPF3B/WBP11/WBP4/YBX1/YJU2/ZBTB7A/ZC3H13/ZCRB1/ZFP36L1/ZMAT2/ZMAT5/ZNF830/ZPR1/ZRANB2",144
"GO:0097212","lysosomal membrane organization","11/1705","12/7601",0.916666666666667,4.08655913978495,5.75391178946543,6.73392698239983e-07,0.000453462642994805,0.000453462642994805,"CHMP1A/CHMP1B/CHMP2A/CHMP2B/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CHMP6/HSPA8",11
"GO:0045892","negative regulation of DNA-templated transcription","207/1705","696/7601",0.297413793103448,1.32588987764182,4.85047086100365,1.52212492357782e-06,0.000931817203215728,0.000931817203215728,"AKIRIN2/ATF3/ATF4/CNBP/DACT1/DKK1/DLX1/JARID2/MAFK/MSX2/MXD4/MXI1/PAX6/PCGF2/PLAGL1/RARB/RBL1/SREBF2/ZBTB39/AEBP2/AJUBA/AMOTL2/APEX1/ARK2N/ASAH1/ATF2/ATF7/BACH2/BAHD1/BASP1/BATF3/BCL11A/BCLAF1/BIN1/BIRC5/BRMS1/C1D/C1QBP/CALR/CBFA2T2/CBX1/CBX3/CBX4/CBX5/CCDC85B/CDKN1B/CDX2/CENPF/CGGBP1/CIR1/CREB1/CXXC5/DAB2IP/DEAF1/DNAJB4/DNAJC17/DPF2/DR1/DRAP1/E2F6/ENO1/FLYWCH1/GATA2/GATA3/GATA6/GMNN/GZF1/HDAC4/HDGF/HES1/HEXIM1/HEXIM2/HEY1/HIF1AN/HMG20A/HMGA1/HMGA2/HMGB1/HMGB2/HSPA8/ID4/ING1/ING2/ING4/JUN/JUND/KAT8/KDM2A/KDM5C/KLF16/KLF3/KLF5/KMT5A/LANCL2/LIN37/LRRFIP1/LYAR/MAF/MAFF/MAFG/MAX/MBD1/MBD2/MBD3/MECOM/MECP2/MITF/MNT/MNX1/MOSPD1/MTDH/NACA/NELFE/NFATC3/NFIL3/NFX1/NIF3L1/NKAP/NMNAT1/NOP53/NR2C1/NSMCE3/PA2G4/PAWR/PBXIP1/PEX14/PHC2/PIAS4/PITX1/PLCB1/PML/POLE3/PRDX5/RBBP4/RBBP8/RBPJ/RERE/REST/RING1/RNF2/RPL23/RPS14/RREB1/RSF1/RYBP/SALL1/SAP18/SAP30/SARNP/SARS1/SCAF8/SET/SF1/SGF29/SINHCAF/SIRT6/SMARCE1/SNCA/SNW1/SOX2/SOX9/SP3/SPINDOC/SRF/SRSF2/TADA3/TAF3/TAF7/TAF9B/TCF7L2/TFAP4/TGIF2/TP53/TPR/TXNIP/URI1/UXT/VAX2/VPS72/WDR5/WFS1/YBX1/YBX3/YY1/ZBTB1/ZBTB14/ZBTB2/ZBTB7A/ZBTB7B/ZC3H4/ZC3H8/ZEB1/ZEB2/ZFTA/ZIC2/ZKSCAN3/ZNF131/ZNF148/ZNF219/ZNF282/ZNF423/ZNF536/ZNF589/ZNF653/ZNF668/ZNF706/ZNF8",207
"GO:0016071","mRNA metabolic process","179/1705","589/7601",0.303904923599321,1.35482775617504,4.82108211832877,1.89227915983113e-06,0.00106188398852524,0.00106188398852524,"ATF4/EIF1/FIP1L1/NBDY/PNRC1/TAF13/ACIN1/ALKBH5/ALYREF/APEX1/ARGLU1/ARL6IP4/ATF2/BAG4/BUD13/BUD31/C1QBP/C9orf78/CACTIN/CAPRIN1/CARHSP1/CASC3/CD2BP2/CIR1/CIRBP/CLASRP/CNOT3/CPSF6/CPSF7/CREB1/CRIPT/CSTF1/CWC15/CWC25/CWC27/DDX39A/DDX39B/DKC1/DNAJB11/DNAJC17/DXO/ESS2/FRA10AC1/FTO/FUS/GEMIN2/GEMIN6/HABP4/HNRNPAB/HNRNPC/HNRNPD/HNRNPUL1/HSPA8/IK/ISY1/KAT8/LARP1B/LEO1/LGALS3/LSM1/LSM10/LSM11/LSM14B/LSM2/LSM3/LSM4/LSM6/LSM7/LSM8/LUC7L/LUC7L2/LUC7L3/MBNL1/MFAP1/NCBP3/NCL/NPM1/NSRP1/NUDT16/NUDT21/PABPN1/PCF11/PIAS4/PLRG1/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRKRIP1/PSIP1/PYM1/QKI/RBM42/RBM8A/RBMX2/RBPMS/REST/RIDA/RNF113A/RNPC3/RNPS1/RPUSD2/RSRC1/RSRP1/SAFB/SAFB2/SAP18/SCAF1/SCAF11/SCNM1/SDE2/SERBP1/SF1/SF3A1/SF3A2/SFSWAP/SLBP/SMN2/SMNDC1/SNIP1/SNRNP27/SNRNP48/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SNW1/SON/SREK1IP1/SRRM1/SRRM2/SRSF1/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SUGP1/SYF2/TAF11/TAF12/TAF15/TAF3/TAF7/THRAP3/TNKS1BP1/TP53/TRA2A/TRA2B/UPF3B/WBP11/WBP4/YBX1/YBX3/YJU2/ZBTB1/ZBTB7A/ZC3H13/ZC3H14/ZCRB1/ZFP36L1/ZMAT2/ZMAT5/ZNF830/ZPR1/ZRANB2",179
