"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","wound healing","41/496","207/7601",0.198067632850242,3.03530660744896,7.84405960977009,7.86042304440063e-11,5.95258607976682e-08,4.70088758610245e-08,"APOE/APOH/CCN1/CD151/DDR2/ERBB2/F5/FN1/FZD7/HGFAC/IL6ST/PLPP3/PROS1/SDC4/SERPIND1/SERPINF2/THBS1/TSKU/VTN/WNT5A/ANXA2/C1GALT1C1/CAV1/CD109/CD59/DCBLD2/EXT1/F11R/FBLN1/ITGAV/ITGB1/ITGB5/NOTCH2/PLA2G4A/PLAT/PLSCR1/SCARB1/SMPD1/SYT11/TIMP1/VEGFB",41
"GO:0030335","positive regulation of cell migration","45/496","252/7601",0.178571428571429,2.73653513824885,7.40688011712072,3.35886492120991e-10,2.22566786841672e-07,1.75765865679629e-07,"ADAM9/ADAMTS1/APP/BMP4/CCN1/CD151/COL1A1/DDR2/EPHA4/FAT1/FLT1/FN1/PAX6/PLPP3/PTGS2/SDCBP/SEMA3C/SPRY2/THBS1/VTN/WNT5A/ACVR1B/ADAM10/AKAP12/C1QBP/CALR/CAV1/CD47/CD99L2/CPNE3/EGFR/EMC10/FBLN1/GRN/HSPA5/IGSF8/ITGAV/ITGB1/JAM3/MET/NRP2/P2RX4/PGF/SCARB1/VEGFB",45
"GO:0040012","regulation of locomotion","67/496","469/7601",0.142857142857143,2.18922811059908,7.02443686943021,4.05995098463612e-10,2.39131112995068e-07,1.88847076794127e-07,"ADAM9/ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CD151/CD81/COL1A1/DDR2/EPHA4/FAT1/FLT1/FN1/GCNT1/GJA1/NTN1/PAX6/PHPT1/PLPP3/PTGS2/RNF7/SDC4/SDCBP/SEMA3C/SLIT2/SPINT2/SPRY2/THBS1/VTN/WNT5A/ACVR1B/ADAM10/ADIPOR1/AKAP12/ARRDC3/BMPR1A/C1QBP/CALR/CAV1/CD47/CD99L2/CPNE3/EGFR/EMC10/FBLN1/GRN/HSPA5/IGSF8/ITGAV/ITGB1/JAM3/MET/NRP2/P2RX4/PGF/PTPRU/RAP2C/RGN/ROBO1/SCARB1/SERPINF1/STX3/TIMP1/TPBG/VEGFB",67
"GO:0001568","blood vessel development","50/496","311/7601",0.160771704180064,2.46376153925941,6.96389726204352,1.52475240180647e-09,5.78188926547495e-07,4.56608457367406e-07,"ADAMTS1/APOE/APOH/BMP4/CCN1/CCN2/COL1A1/CUL7/EGR1/ERBB2/FLT1/FN1/GJA1/GPC3/LDLR/MEIS1/MFGE8/PAX6/PLPP3/PTGS2/SEMA3C/SERPINF2/SLIT2/SPRY2/THBS1/UNC5B/WNT5A/ANTXR1/ANXA2/BMPR1A/CAV1/CD47/CDH2/EMC10/EPHB4/GRN/HMGA2/HTATIP2/ITGAV/ITGB1/JAM3/NOTCH2/NRP2/PGF/PML/ROBO1/SERPINF1/SLC31A1/TMED2/VEGFB",50
"GO:2000145","regulation of cell motility","64/496","452/7601",0.141592920353982,2.16985441050528,6.77554101959396,1.52700339024051e-09,5.78188926547495e-07,4.56608457367406e-07,"ADAM9/ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CD151/CD81/COL1A1/DDR2/EPHA4/FAT1/FLT1/FN1/GCNT1/GJA1/NTN1/PAX6/PHPT1/PLPP3/PTGS2/RNF7/SDC4/SDCBP/SEMA3C/SLIT2/SPINT2/SPRY2/THBS1/VTN/WNT5A/ACVR1B/ADAM10/ADIPOR1/AKAP12/BMPR1A/C1QBP/CALR/CAV1/CD47/CD99L2/CPNE3/EGFR/EMC10/FBLN1/GRN/HSPA5/IGSF8/ITGAV/ITGB1/JAM3/MET/NRP2/P2RX4/PGF/PTPRU/RAP2C/RGN/ROBO1/SCARB1/SERPINF1/TIMP1/VEGFB",64
"GO:0098609","cell-cell adhesion","55/496","362/7601",0.151933701657459,2.32832271431117,6.84201763693386,1.8677464429498e-09,6.60061592938459e-07,5.2126509499027e-07,"ADAM9/APOA1/BMP4/CCN1/CD81/EPHA7/ERBB2/FAT1/GCNT1/HLA-A/IL6ST/LRP6/NDFIP1/NEO1/NTN1/PLPP3/PTPRS/SDC4/SERPINF2/SPINT2/WNT5A/ANXA2/CADM1/CAV1/CD276/CD46/CD47/CD55/CD83/CDH2/CDON/CLSTN3/CNTN1/CXADR/DSC3/EGFR/ESAM/EXT1/F11R/FLRT3/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/JAM3/NECTIN2/NPTN/PCDH1/PCDH7/PCDH9/PTPRU/ROBO1/TFRC",55
"GO:0042127","regulation of cell population proliferation","85/496","693/7601",0.122655122655123,1.87964029697901,6.41743033153158,3.59508380196451e-09,1.18594770449084e-06,9.36568873948327e-07,"ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CCPG1/CD81/CLU/CNBP/DDR2/EGR1/EPHA4/ERBB2/FGFR3/FLT1/FN1/FZD7/GJA1/GNG5/GPC3/HLA-A/IL6ST/MEIS1/MEIS2/NDFIP1/NTN1/OGN/PAX6/PTGS2/SDC4/SDCBP/SERPINF2/SHCBP1/SPINT2/SPRY2/THBS1/WNT5A/ZNF335/ADAM10/BAMBI/BMPR1A/CALR/CAV1/CD109/CD276/CD320/CD46/CD47/CD55/CDH2/CDON/CTCF/EGFR/EMC10/FBLN1/GRN/HMGA2/ITGA1/ITGAV/ITGB1/JTB/LAMC1/MARCKSL1/NOTCH2/NRP2/PDCD2/PDF/PGF/PLA2G4A/PML/PTPRU/RGN/ROBO1/SERPINF1/SHMT2/SLC25A5/STX3/SULF2/TFRC/TIMP1/TMEM127/TPBG/VEGFB/ZNF143",85
"GO:0030334","regulation of cell migration","61/496","432/7601",0.141203703703704,2.16388982228196,6.58097205968677,4.31438232102063e-09,1.27058559354058e-06,1.00340926846193e-06,"ADAM9/ADAMTS1/APOE/APOH/APP/BMP4/CCN1/CD151/CD81/COL1A1/DDR2/EPHA4/FAT1/FLT1/FN1/GCNT1/GJA1/NTN1/PAX6/PLPP3/PTGS2/RNF7/SDC4/SDCBP/SEMA3C/SLIT2/SPRY2/THBS1/VTN/WNT5A/ACVR1B/ADAM10/ADIPOR1/AKAP12/BMPR1A/C1QBP/CALR/CAV1/CD47/CD99L2/CPNE3/EGFR/EMC10/FBLN1/GRN/HSPA5/IGSF8/ITGAV/ITGB1/JAM3/MET/NRP2/P2RX4/PGF/PTPRU/RAP2C/ROBO1/SCARB1/SERPINF1/TIMP1/VEGFB",61
"GO:0042330","taxis","30/496","143/7601",0.20979020979021,3.21495037220844,7.06458121885818,7.34079486338729e-09,1.9456776785408e-06,1.53654427219428e-06,"APOA1/APP/BMP4/CCN1/EPHA7/FLT1/NTN1/SEMA3C/SERPIND1/SLIT2/THBS1/WNT5A/ADAM10/C1QBP/CALR/CXADR/FLRT3/ITGA1/ITGAV/JAM3/MET/NRP2/P2RX4/PGF/PLGRKT/PPIB/ROBO1/STX3/TPBG/VEGFB",30
"GO:0035239","tube morphogenesis","55/496","379/7601",0.145118733509235,2.22388607541067,6.45799121476206,1.01220219888663e-08,2.55508755061811e-06,2.017808593971e-06,"ADAMTS1/APOE/APOH/BMP4/CCN1/CCN2/CUL7/EPHA4/EPHA7/ERBB2/FLT1/FN1/GJA1/GPC3/LDLR/LGR4/MEIS1/MFGE8/NTN1/PTGS2/SDC4/SERPINF2/SLIT2/SPINT2/SPRY2/THBS1/TMEM59L/UNC5B/WNT5A/ANXA2/BMPR1A/CAV1/CD47/CDH2/EGFR/EMC10/EPHB4/EXT1/GRN/HMGA2/HTATIP2/ITGAV/ITGB1/JAM3/MET/NOTCH2/NRP2/PGF/PML/RGMA/ROBO1/SERPINF1/SLC31A1/TMED2/VEGFB",55
