"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"GO:0055085","transmembrane transport","88/637","501/7601",0.17564870259481,2.09592745435346,7.67571120678103,5.17374867154437e-12,2.62516007594161e-08,2.57434841793581e-08,"ABCA3/ABCB10/CRBN/GHITM/MFSD8/PEX13/SFXN4/SLC11A2/SLC39A7/SLC46A3/TIMM23/TRIB3/ZDHHC13/ABCB1/ABCB7/ANO10/ANXA6/AP4M1/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/CPT2/GSDME/INPP5K/LRRC8E/MCU/MCUR1/MEF2A/MICU2/NDUFA9/NDUFS7/NIPSNAP2/PEX1/PHB2/PMPCB/PRKCE/SEC61A1/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A11/SLC25A12/SLC25A14/SLC25A15/SLC25A17/SLC25A19/SLC25A21/SLC25A3/SLC25A4/SLC25A5/SLC25A6/SLC30A5/SLC30A7/SLC31A1/SLC35E1/SLC35F2/SLC37A3/SLC37A4/SLC38A9/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SLC9A6/SPNS1/STOM/TAP1/TIMM21/TIMM50/TMEM63B/TMEM94/UQCRC1",88,"transmembrane transport",0.138147566718995,2.09592745435346
"GO:0044255","cellular lipid metabolic process","69/637","439/7601",0.157175398633257,1.87549482733342,5.71499450774124,1.41829006287428e-07,0.000239880125967471,0.000235237092182693,"ABCA3/CHKA/GK/HDHD5/LPGAT1/MFSD8/MTMR12/NUDT8/PDK2/PDSS1/PEX13/PLPP3/SIRT3/TRIB3/ABHD16A/ACAD9/ACOX3/AGPAT3/AGPAT4/BCKDK/CERS5/CLN6/CPT2/CTDNEP1/DDHD1/DGKE/DPAGT1/DPM1/ECHS1/EPHX1/ERLIN1/ERLIN2/ETNK1/FADS1/GNPAT/GPAT4/HADHA/HADHB/HSD17B12/IMPA2/INPP5K/KAT5/LPCAT1/MLYCD/NUDT19/PCCA/PDK1/PECR/PEDS1/PHB2/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/RDH11/RDH14/RGN/SACM1L/SCAP/SCD5/SGPL1/SLC25A17/SLC27A3/SLC30A5/SPTLC2/TM9SF2/TYSND1/UGCG",69,"cellular lipid metabolic process",0.108320251177394,1.87549482733342
"GO:0006487","protein N-linked glycosylation","15/637","48/7601",0.3125,3.72890502354788,5.73583207499115,4.78460592702609e-06,0.00220700822488458,0.00216429016431123,"ALG1/MGAT4B/ALG11/ALG2/ALG3/ALG8/ALG9/B4GALT7/DPAGT1/DPM1/ENTPD5/KRTCAP2/RPN1/STT3A/STT3B",15,"protein n-linked glycosylation",0.0235478806907378,3.72890502354788
"GO:1905039","carboxylic acid transmembrane transport","17/637","62/7601",0.274193548387097,3.2718134400162,5.43198758495061,8.21466731072853e-06,0.00320624784112589,0.00314418885650314,"ABCB1/CPT2/LRRC8E/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A11/SLC25A12/SLC25A15/SLC25A21/SLC38A9/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8",17,"carboxylic acid transmembrane transport",0.0266875981161695,3.2718134400162
"GO:0042180","cellular ketone metabolic process","19/637","93/7601",0.204301075268817,2.4378217788356,4.21921378149866,0.000206872406990376,0.037488235466756,0.0367626266106582,"LPGAT1/PDK2/PDSS1/TRIB3/BCKDK/COQ5/ERLIN1/ERLIN2/GGCX/GPD2/MLYCD/NDUFA9/PDK1/PRKCE/RGN/SCAP/SLC7A11/TYSND1/VKORC1",19,"cellular ketone metabolic process",0.0298273155416013,2.4378217788356
"GO:0060071","Wnt signaling pathway, planar cell polarity pathway","8/637","22/7601",0.363636363636364,4.33908948194662,4.74329980494791,0.000257806642928218,0.0408784658193055,0.0400872368790028,"VANGL2/WNT5A/DVL3/FZD6/MED12/TIAM1/VANGL1/ZNRF3",8,"wnt signaling pathway, planar cell polarity pathway",0.0125588697017268,4.33908948194662
"GO:0035795","negative regulation of mitochondrial membrane permeability","5/637","9/7601",0.555555555555556,6.62916448630734,5.11015678779564,0.00038549733613948,0.0558860995306206,0.0548043882084608,"BNIP3/BCL2L1/SLC25A4/SLC25A5/SLC25A6",5,"negative regulation of mitochondrial membrane permeability",0.00784929356357928,6.62916448630734
"GO:0043413","macromolecule glycosylation","21/637","115/7601",0.182608695652174,2.17897754419494,3.85280184405017,0.000497210696611326,0.0663907124896281,0.0651056776421534,"ALG1/GALNT10/MGAT4B/ALG11/ALG2/ALG3/ALG8/ALG9/B4GALT7/COG3/DPAGT1/DPM1/EDEM3/ENTPD5/EXT1/GALNT16/KRTCAP2/OGT/RPN1/STT3A/STT3B",21,"macromolecule glycosylation",0.032967032967033,2.17897754419494
"GO:0070455","positive regulation of heme biosynthetic process","3/637","3/7601",1,11.9324960753532,5.72766282316845,0.000586043028443302,0.0675814165073026,0.0662733348194136,"ABCB10/ABCB7/SLC6A9",3,"positive regulation of heme biosynthetic process",0.00470957613814757,11.9324960753532
"GO:2001294","malonyl-CoA catabolic process","3/637","3/7601",1,11.9324960753532,5.72766282316845,0.000586043028443302,0.0675814165073026,0.0662733348194136,"NUDT8/MLYCD/NUDT19",3,"malonyl-coa catabolic process",0.00470957613814757,11.9324960753532
"GO:0030003","intracellular monoatomic cation homeostasis","32/637","211/7601",0.151658767772512,1.8096676512384,3.60722247109964,0.000673533916704703,0.0746656669300887,0.0732204650288425,"BNIP3/GHITM/SLC11A2/SLC39A7/WNT5A/ABCB7/ANXA6/ATP13A1/ATP1A1/ATP2A2/ATP5F1B/ATP6V0A1/ATP6V0A2/ATP7A/CLN6/MCU/MCUR1/MICU2/PRKCE/RGN/SLC30A5/SLC30A7/SLC31A1/SLC39A14/SLC4A7/SLC9A6/SPNS1/STOML2/SYPL2/TFRC/THADA/TMEM94",32,"intracellular monoatomic cation homeostasis",0.0502354788069074,1.8096676512384
"GO:1905709","negative regulation of membrane permeability","5/637","10/7601",0.5,5.96624803767661,4.75254285634778,0.000717979785220311,0.0758964464626637,0.0744274220336932,"BNIP3/BCL2L1/SLC25A4/SLC25A5/SLC25A6",5,"negative regulation of membrane permeability",0.00784929356357928,5.96624803767661
"GO:1901137","carbohydrate derivative biosynthetic process","45/637","335/7601",0.134328358208955,1.602872607137,3.41308723872361,0.000936714258030096,0.0905955582362411,0.088842023065517,"ALG1/BMPR2/GALNT10/GK/MGAT4B/TK2/ALG11/ALG2/ALG3/ALG8/ALG9/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP7A/B4GALT7/CHST12/COG3/DPAGT1/DPM1/EDEM3/ENTPD5/EXT1/EXTL2/FPGT/GALNT16/GLCE/KRTCAP2/NDUFA9/NDUFS7/OGT/PIGG/PIGU/RPN1/SLC25A10/SLC30A5/SOAT1/STOML2/STT3A/STT3B/TM9SF2/UGCG/UPP1",45,"carbohydrate derivative biosynthetic process",0.0706436420722135,1.602872607137
"GO:0045333","cellular respiration","26/637","163/7601",0.159509202453988,1.90334293226493,3.52586351807493,0.000989871583701338,0.0905955582362411,0.088842023065517,"BNIP3/GHITM/MFSD8/MTFR2/SIRT3/TEFM/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP7A/CS/GPD2/IDH3B/IDH3G/MFN2/MYBBP1A/NDUFA9/NDUFS7/NIPSNAP2/SLC25A12/SLC25A14/STOML2/UQCRC1/UQCRC2",26,"cellular respiration",0.0408163265306122,1.90334293226493
"GO:0070085","glycosylation","22/637","129/7601",0.170542635658915,2.03499933068039,3.58561473208723,0.000968571583600009,0.0905955582362411,0.088842023065517,"ALG1/GALNT10/MGAT4B/ALG11/ALG2/ALG3/ALG8/ALG9/B4GALT7/COG1/COG3/DPAGT1/DPM1/EDEM3/ENTPD5/EXT1/GALNT16/KRTCAP2/OGT/RPN1/STT3A/STT3B",22,"glycosylation",0.0345368916797488,2.03499933068039
