"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","transmembrane transport","88/639","501/7601",0.17564870259481,2.08936743102215,7.64283161261615,6.17400909036516e-12,3.13269221245128e-08,3.07205694422696e-08,"ABCA3/ABCB10/CRBN/GHITM/MFSD8/PEX13/SFXN4/SLC11A2/SLC39A7/SLC46A3/TIMM23/TRIB3/ZDHHC13/ABCB1/ABCB7/ANO10/ANXA6/AP4M1/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/CPT2/GSDME/INPP5K/LRRC8E/MCU/MCUR1/MEF2A/MICU2/NDUFA9/NDUFS7/NIPSNAP2/PEX1/PHB2/PMPCB/PRKCE/SEC61A1/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A11/SLC25A12/SLC25A14/SLC25A15/SLC25A17/SLC25A19/SLC25A21/SLC25A3/SLC25A4/SLC25A5/SLC25A6/SLC30A5/SLC30A7/SLC31A1/SLC35E1/SLC35F2/SLC37A3/SLC37A4/SLC38A9/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SLC9A6/SPNS1/STOM/TAP1/TIMM21/TIMM50/TMEM63B/TMEM94/UQCRC1",88
"GO:0034220","monoatomic ion transmembrane transport","55/639","318/7601",0.172955974842767,2.05733703408431,5.835284900019,1.3443763286064e-07,0.000271161214623251,0.000265912715292431,"CRBN/GHITM/MFSD8/SFXN4/SLC11A2/SLC39A7/SLC46A3/ZDHHC13/ABCB7/ANO10/ANXA6/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/LRRC8E/MCU/MCUR1/MICU2/NDUFA9/NDUFS7/NIPSNAP2/PHB2/PMPCB/PRKCE/SEC61A1/SLC19A1/SLC25A12/SLC25A14/SLC25A3/SLC25A4/SLC25A5/SLC30A5/SLC30A7/SLC31A1/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC9A6/STOM/TMEM63B/TMEM94/UQCRC1",55
"GO:0044255","cellular lipid metabolic process","69/639","439/7601",0.157175398633257,1.86962473397714,5.68639731475089,1.60323934542718e-07,0.000271161214623251,0.000265912715292431,"ABCA3/CHKA/GK/HDHD5/LPGAT1/MFSD8/MTMR12/NUDT8/PDK2/PDSS1/PEX13/PLPP3/SIRT3/TRIB3/ABHD16A/ACAD9/ACOX3/AGPAT3/AGPAT4/BCKDK/CERS5/CLN6/CPT2/CTDNEP1/DDHD1/DGKE/DPAGT1/DPM1/ECHS1/EPHX1/ERLIN1/ERLIN2/ETNK1/FADS1/GNPAT/GPAT4/HADHA/HADHB/HSD17B12/IMPA2/INPP5K/KAT5/LPCAT1/MLYCD/NUDT19/PCCA/PDK1/PECR/PEDS1/PHB2/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/RDH11/RDH14/RGN/SACM1L/SCAP/SCD5/SGPL1/SLC25A17/SLC27A3/SLC30A5/SPTLC2/TM9SF2/TYSND1/UGCG",69
"GO:0098660","inorganic ion transmembrane transport","51/639","295/7601",0.172881355932203,2.05644943104957,5.60673594914468,3.98334726793162e-07,0.000505287600937126,0.000495507435145073,"CRBN/GHITM/MFSD8/SLC11A2/SLC39A7/SLC46A3/ZDHHC13/ABCB7/ANO10/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/MCU/MCUR1/MICU2/NDUFA9/NDUFS7/NIPSNAP2/PHB2/PMPCB/PRKCE/SEC61A1/SLC25A10/SLC25A11/SLC25A12/SLC25A14/SLC25A3/SLC25A4/SLC25A5/SLC30A5/SLC30A7/SLC31A1/SLC37A4/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC9A6/TMEM94/UQCRC1",51
"GO:0006811","monoatomic ion transport","61/639","386/7601",0.158031088082902,1.87980328719583,5.37466352198438,7.3284615994999e-07,0.000736229299576108,0.00072197910899659,"CRBN/GHITM/MFSD8/SFXN4/SLC11A2/SLC39A7/SLC46A3/ZDHHC13/ABCB1/ABCB7/ANO10/ANXA6/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/INPP5K/LRRC8E/MCU/MCUR1/MICU2/NDUFA9/NDUFS7/NIPSNAP2/PHB2/PMPCB/PRKCE/SEC61A1/SLC19A1/SLC23A2/SLC25A1/SLC25A10/SLC25A12/SLC25A14/SLC25A3/SLC25A4/SLC25A5/SLC30A5/SLC30A7/SLC31A1/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC9A6/STOM/TFRC/TMEM63B/TMEM94/UQCRC1",61
"GO:1990542","mitochondrial transmembrane transport","19/639","65/7601",0.292307692307692,3.47704345732515,6.0758924127209,8.70590421256729e-07,0.000736229299576108,0.00072197910899659,"GHITM/SFXN4/TIMM23/ABCB7/CPT2/MCU/MCUR1/MICU2/PMPCB/SLC25A1/SLC25A12/SLC25A15/SLC25A21/SLC25A3/SLC25A4/SLC25A5/SLC25A6/TIMM21/TIMM50",19
"GO:0098655","monoatomic cation transmembrane transport","48/639","279/7601",0.172043010752688,2.04647719050263,5.39519594015566,1.02539061087034e-06,0.000743261708508012,0.000728875401140462,"CRBN/GHITM/SLC11A2/SLC39A7/SLC46A3/ZDHHC13/ABCB7/ANO10/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/MCU/MCUR1/MICU2/NDUFA9/NDUFS7/NIPSNAP2/PHB2/PMPCB/PRKCE/SEC61A1/SLC25A12/SLC25A14/SLC25A3/SLC25A4/SLC25A5/SLC30A5/SLC30A7/SLC31A1/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC9A6/TMEM63B/TMEM94/UQCRC1",48
"GO:0006629","lipid metabolic process","82/639","591/7601",0.138747884940778,1.65042671899039,4.98796411784084,2.29606180428349e-06,0.0014562771993668,0.00142809001958527,"ABCA3/CHKA/GK/HDHD5/LPGAT1/MFSD8/MTMR12/NUDT8/PDK2/PDSS1/PEX13/PLPP3/SIRT3/TRIB3/ABHD16A/ACAD9/ACOX3/ACSS3/AGPAT3/AGPAT4/ATP1A1/ATP5F1A/ATP5F1B/BCKDK/CERS5/CLN6/CPT2/CTDNEP1/DDHD1/DGKE/DPAGT1/DPM1/ECHS1/EPHX1/ERLIN1/ERLIN2/ETNK1/FADS1/GNPAT/GPAT4/HADHA/HADHB/HPS6/HSD17B12/IMPA2/INPP5K/KAT5/KBTBD2/LDAH/LDLRAP1/LPCAT1/MLYCD/NSDHL/NUDT19/OGT/PCCA/PDK1/PECR/PEDS1/PHB2/PIGG/PIGU/PRKCE/PTDSS1/PTEN/PTGR3/PTPMT1/RDH11/RDH14/RGN/SACM1L/SCAP/SCD5/SGPL1/SLC25A17/SLC27A3/SLC30A5/SOAT1/SPTLC2/TM9SF2/TYSND1/UGCG",82
"GO:0098662","inorganic cation transmembrane transport","46/639","273/7601",0.168498168498169,2.00431076487415,5.11972845083629,3.13126021248181e-06,0.00176533492423697,0.00173116573384813,"CRBN/GHITM/SLC11A2/SLC39A7/SLC46A3/ZDHHC13/ABCB7/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PO/ATP6V0A1/ATP6V0A2/ATP7A/CACNB3/MCU/MCUR1/MICU2/NDUFA9/NDUFS7/NIPSNAP2/PHB2/PMPCB/PRKCE/SEC61A1/SLC25A12/SLC25A14/SLC25A3/SLC25A4/SLC25A5/SLC30A5/SLC30A7/SLC31A1/SLC39A1/SLC39A11/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC9A6/TMEM94/UQCRC1",46
"GO:0035434","copper ion transmembrane transport","5/639","5/7601",1,11.8951486697966,7.38271155409926,4.13913532252885e-06,0.00210019726265114,0.00205954659679936,"SLC11A2/SLC46A3/ATP7A/SLC31A1/SLC39A11",5
