"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062149","detection of stimulus involved in sensory perception of pain","2/37","8/7601",0.25,51.3581081081081,9.96642946474126,0.000633826168524489,0.24396336284012,0.207841762329335,"BACE1/LXN",2
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","3/37","51/7601",0.0588235294117647,12.0842607313196,5.55456743043186,0.00188295393282637,0.24396336284012,0.207841762329335,"BMP4/CCN2/MFAP3",3
"GO:0030501","positive regulation of bone mineralization","2/37","19/7601",0.105263157894737,21.624466571835,6.29505506462935,0.0037425145595404,0.24396336284012,0.207841762329335,"BMP4/CCN1",2
"GO:0032330","regulation of chondrocyte differentiation","2/37","21/7601",0.0952380952380952,19.5649935649936,5.95801710443693,0.00456803131821387,0.24396336284012,0.207841762329335,"BMP4/CCN2",2
"GO:0030513","positive regulation of BMP signaling pathway","2/37","22/7601",0.0909090909090909,18.6756756756757,5.80648501026432,0.00500949031913895,0.24396336284012,0.207841762329335,"BMP4/CCN1",2
"GO:0045778","positive regulation of ossification","2/37","24/7601",0.0833333333333333,17.1193693693694,5.53142365250693,0.00594888250925748,0.24396336284012,0.207841762329335,"BMP4/CCN1",2
"GO:0001658","branching involved in ureteric bud morphogenesis","2/37","26/7601",0.0769230769230769,15.8024948024948,5.28764354869038,0.00696235230950158,0.24396336284012,0.207841762329335,"BMP4/TMEM59L",2
"GO:0009581","detection of external stimulus","2/37","27/7601",0.0740740740740741,15.2172172172172,5.17565987745463,0.0074964130247786,0.24396336284012,0.207841762329335,"BACE1/LXN",2
"GO:0032945","negative regulation of mononuclear cell proliferation","2/37","32/7601",0.0625,12.839527027027,4.69377197807322,0.0104328459034312,0.24396336284012,0.207841762329335,"BMP4/NDFIP1",2
"GO:0045669","positive regulation of osteoblast differentiation","2/37","33/7601",0.0606060606060606,12.4504504504505,4.61021180120143,0.0110721300337891,0.24396336284012,0.207841762329335,"BMP4/CCN1",2
"GO:0032092","positive regulation of protein binding","2/37","35/7601",0.0571428571428571,11.7389961389961,4.45344853642428,0.0124013137794572,0.24396336284012,0.207841762329335,"BMP4/TRIB3",2
"GO:0002890","negative regulation of immunoglobulin mediated immune response","1/37","3/7601",0.333333333333333,68.4774774774775,8.17526275236878,0.0145342741435993,0.24396336284012,0.207841762329335,"NDFIP1",1
"GO:0036305","ameloblast differentiation","1/37","3/7601",0.333333333333333,68.4774774774775,8.17526275236878,0.0145342741435993,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0061046","regulation of branching involved in lung morphogenesis","1/37","3/7601",0.333333333333333,68.4774774774775,8.17526275236878,0.0145342741435993,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0180011","cytosolic mRNA polyadenylation","1/37","3/7601",0.333333333333333,68.4774774774775,8.17526275236878,0.0145342741435993,0.24396336284012,0.207841762329335,"APLP1",1
"GO:1904238","pericyte cell differentiation","1/37","3/7601",0.333333333333333,68.4774774774775,8.17526275236878,0.0145342741435993,0.24396336284012,0.207841762329335,"BMP4",1
"GO:1905331","negative regulation of morphogenesis of an epithelium","1/37","3/7601",0.333333333333333,68.4774774774775,8.17526275236878,0.0145342741435993,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0003253","cardiac neural crest cell migration involved in outflow tract morphogenesis","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0032713","negative regulation of interleukin-4 production","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"NDFIP1",1
"GO:0033088","negative regulation of immature T cell proliferation in thymus","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0034486","vacuolar transmembrane transport","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"SLC46A3",1
"GO:0035723","interleukin-15-mediated signaling pathway","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"MFAP3",1
"GO:0050965","detection of temperature stimulus involved in sensory perception of pain","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"LXN",1
"GO:0050966","detection of mechanical stimulus involved in sensory perception of pain","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"BACE1",1
"GO:0060134","prepulse inhibition","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"BACE1",1
"GO:0060710","chorio-allantoic fusion","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"CCN1",1
"GO:0061626","pharyngeal arch artery morphogenesis","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0070244","negative regulation of thymocyte apoptotic process","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0072124","regulation of glomerular mesangial cell proliferation","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"BMP4",1
"GO:1901098","positive regulation of autophagosome maturation","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"UVRAG",1
"GO:1903292","protein localization to Golgi membrane","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"ARL5B",1
"GO:1903566","positive regulation of protein localization to cilium","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"ENTR1",1
"GO:2000304","positive regulation of ceramide biosynthetic process","1/37","4/7601",0.25,51.3581081081081,7.04547432161618,0.0193331991049949,0.24396336284012,0.207841762329335,"CCN1",1
"GO:0061448","connective tissue development","3/37","120/7601",0.025,5.13581081081081,3.19376794620435,0.0201862620421549,0.24396336284012,0.207841762329335,"BMP4/CCN1/CCN2",3
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","2/37","46/7601",0.0434782608695652,8.93184488836663,3.77370365378747,0.0208623832417442,0.24396336284012,0.207841762329335,"ARF3/UVRAG",2
"GO:0009896","positive regulation of catabolic process","5/37","340/7601",0.0147058823529412,3.02106518282989,2.66657288521105,0.023366149361131,0.24396336284012,0.207841762329335,"MEX3D/NDFIP1/PABIR1/TRIB3/UVRAG",5
"GO:0002829","negative regulation of type 2 immune response","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"NDFIP1",1
"GO:0003129","heart induction","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0003163","sinoatrial node development","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0021978","telencephalon regionalization","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0035434","copper ion transmembrane transport","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"SLC46A3",1
"GO:0070672","response to interleukin-15","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"MFAP3",1
"GO:0071287","cellular response to manganese ion","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"BACE1",1
"GO:0072201","negative regulation of mesenchymal cell proliferation","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0072378","blood coagulation, fibrin clot formation","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"APOH",1
"GO:1903800","positive regulation of miRNA processing","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"BMP4",1
"GO:1905770","regulation of mesodermal cell differentiation","1/37","5/7601",0.2,41.0864864864865,6.27079227924679,0.0241093833399709,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","2/37","50/7601",0.04,8.2172972972973,3.58087581892999,0.0243943469232131,0.24396336284012,0.207841762329335,"PABIR1/TRIB3",2
"GO:1903038","negative regulation of leukocyte cell-cell adhesion","2/37","50/7601",0.04,8.2172972972973,3.58087581892999,0.0243943469232131,0.24396336284012,0.207841762329335,"BMP4/NDFIP1",2
"GO:0001502","cartilage condensation","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"CCN2",1
"GO:0001964","startle response","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"BACE1",1
"GO:0002701","negative regulation of production of molecular mediator of immune response","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"NDFIP1",1
"GO:0048302","regulation of isotype switching to IgG isotypes","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"NDFIP1",1
"GO:0051918","negative regulation of fibrinolysis","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"APOH",1
"GO:0060272","embryonic skeletal joint morphogenesis","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0060426","lung vasculature development","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0060973","cell migration involved in heart development","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"BMP4",1
"GO:0098743","cell aggregation","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"CCN2",1
"GO:0106072","negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"APLP1",1
"GO:1901331","positive regulation of odontoblast differentiation","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"BMP4",1
"GO:2000727","positive regulation of cardiac muscle cell differentiation","1/37","6/7601",0.166666666666667,34.2387387387387,5.69623856911517,0.0288629316307061,0.24396336284012,0.207841762329335,"BMP4",1
