"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num"
"GO:0006487","protein N-linked glycosylation","17/808","48/7601",0.354166666666667,3.33170895214521,5.588778346882,4.1942311811094e-06,0.0111440722482077,0.0111440722482077,"ALG1/DOLK/MGAT4B/ALG11/ALG2/ALG3/ALG5/ALG8/ALG9/DDOST/ENTPD5/KRTCAP2/RFT1/RPN1/RPN2/STT3A/UGGT1",17,"protein n-linked glycosylation",0.021039603960396
"GO:0018279","protein N-linked glycosylation via asparagine","14/808","33/7601",0.424242424242424,3.99092409240924,5.93818151251458,2.4879725264468e-06,0.0111440722482077,0.0111440722482077,"ALG1/DOLK/ALG11/ALG2/ALG3/ALG5/ALG8/ALG9/DDOST/RFT1/RPN1/RPN2/STT3A/UGGT1",14,"protein n-linked glycosylation via asparagine",0.0173267326732673
"GO:0006364","rRNA processing","43/808","206/7601",0.20873786407767,1.9636342881861,4.83568981159597,9.08921242474104e-06,0.0140569828588226,0.0140569828588226,"NAT10/TFB2M/UTP20/ZCCHC4/DCAF13/DDX18/DDX47/DDX52/DDX56/FCF1/GEMIN4/HEATR1/IMP4/LAS1L/METTL15/MTREX/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOP56/NOP58/NOP9/NSUN4/PDCD11/PELP1/PRKDC/PWP2/TBL3/TFB1M/TRMT2B/URB1/UTP15/UTP18/UTP25/UTP4/WDR3/WDR36/WDR43/WDR46/WDR75",43,"rrna processing",0.0532178217821782
"GO:0006650","glycerophospholipid metabolic process","33/808","145/7601",0.227586206896552,2.14094400819392,4.78384448083026,1.57425676228619e-05,0.0140569828588226,0.0140569828588226,"ABCA3/EFR3A/HDHD5/LPGAT1/MTMR12/PIGX/ABHD12/ABHD16A/AGPAT3/AGPAT4/AGPAT5/CDIPT/CDS2/DDHD1/DGKE/GNPAT/GPAT4/GPCPD1/IMPA2/INPP5K/LPCAT1/LPCAT4/PHB2/PIGG/PIGU/PNPLA6/PTDSS1/PTEN/PTPMT1/SACM1L/SLC30A5/SYNJ1/VAC14",33,"glycerophospholipid metabolic process",0.0408415841584158
"GO:0045017","glycerolipid biosynthetic process","29/808","121/7601",0.239669421487603,2.25461296129613,4.79770262123355,1.81792642811026e-05,0.0140569828588226,0.0140569828588226,"EFR3A/GK/HDHD5/LPGAT1/PIGX/AGPAT3/AGPAT4/AGPAT5/CDIPT/CDS2/CTDNEP1/DGKE/GNPAT/GPAT4/IMPA2/INPP5K/KAT5/LPCAT1/LPCAT4/PCK2/PIGG/PIGU/PTDSS1/PTEN/PTPMT1/SACM1L/SLC30A5/SYNJ1/VAC14",29,"glycerolipid biosynthetic process",0.0358910891089109
"GO:0042274","ribosomal small subunit biogenesis","26/808","103/7601",0.252427184466019,2.37462751129482,4.84409436746408,1.85169138147833e-05,0.0140569828588226,0.0140569828588226,"METTL17/NAT10/UTP20/DCAF13/DDX52/FCF1/HEATR1/IMP4/NOL10/NOL11/NOL6/NOP56/NOP58/NOP9/PRKDC/PWP2/TBL3/UTP15/UTP18/UTP25/UTP4/WDR3/WDR36/WDR43/WDR46/WDR75",26,"ribosomal small subunit biogenesis",0.0321782178217822
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process","9/808","17/7601",0.529411764705882,4.98027082119977,5.6659089422383,1.83146460122384e-05,0.0140569828588226,0.0140569828588226,"ALG1/DOLK/ALG11/ALG2/ALG3/ALG5/ALG8/ALG9/RFT1",9,"dolichol-linked oligosaccharide biosynthetic process",0.0111386138613861
"GO:0046486","glycerolipid metabolic process","37/808","173/7601",0.213872832369942,2.01193985005437,4.64326501686618,2.17382859666185e-05,0.0144396564533263,0.0144396564533263,"ABCA3/EFR3A/GK/HDHD5/LPGAT1/MTMR12/PIGX/ABHD12/ABHD16A/AGPAT3/AGPAT4/AGPAT5/CDIPT/CDS2/CTDNEP1/DDHD1/DGKE/GNPAT/GPAT4/GPCPD1/IMPA2/INPP5K/KAT5/LPCAT1/LPCAT4/PCK2/PHB2/PIGG/PIGU/PNPLA6/PTDSS1/PTEN/PTPMT1/SACM1L/SLC30A5/SYNJ1/VAC14",37,"glycerolipid metabolic process",0.0457920792079208
"GO:0016072","rRNA metabolic process","46/808","238/7601",0.19327731092437,1.8181941093269,4.4228182803682,3.59769363417495e-05,0.0212423821911174,0.0212423821911174,"NAT10/TFB2M/UTP20/ZCCHC4/DCAF13/DDX18/DDX47/DDX52/DDX56/FCF1/GEMIN4/GTF3C3/GTF3C4/HEATR1/IMP4/LAS1L/METTL15/MTREX/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOP56/NOP58/NOP9/NSUN4/PDCD11/PELP1/POLR1B/PRKDC/PWP2/TBL3/TFB1M/TRMT2B/URB1/UTP15/UTP18/UTP25/UTP4/WDR3/WDR36/WDR43/WDR46/WDR75",46,"rrna metabolic process",0.0569306930693069
"GO:0006644","phospholipid metabolic process","38/808","185/7601",0.205405405405405,1.93228525555258,4.42722392346477,4.36499663815352e-05,0.0231955921351478,0.0231955921351478,"ABCA3/DOLK/EFR3A/HDHD5/LPGAT1/MTMR12/PIGX/TMEM38B/ABHD12/ABHD16A/AGPAT3/AGPAT4/AGPAT5/CDIPT/CDS2/DDHD1/DGKE/FADS1/GNPAT/GPAT4/GPCPD1/IMPA2/INPP5K/LPCAT1/LPCAT4/PHB2/PIGG/PIGU/PLPP6/PNPLA6/PTDSS1/PTEN/PTPMT1/SACM1L/SLC30A5/SPTLC2/SYNJ1/VAC14",38,"phospholipid metabolic process",0.047029702970297
