"contrast","status","n_sig_ids","n_universe_ids","n_sig_entrez","n_universe_entrez","n_raw_terms","n_simplified_terms","n_semantic_removed_terms","pct_semantic_removed","n_manual_terms"
"GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_down","OK",51,8043,51,8018,379,146,233,61.5,1
"GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_up","OK",25,8043,25,8018,158,64,94,59.5,0
"GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_down","OK",240,8043,240,8018,13,5,8,61.5,0
"GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_up","OK",75,8043,75,8018,224,105,119,53.1,15
"GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_down","OK",623,8043,622,8018,147,69,78,53.1,15
"GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_up","OK",127,8043,127,8018,120,43,77,64.2,15
"RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_down","OK",35,8043,35,8018,970,239,731,75.4,15
"RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_up","OK",47,8043,45,8018,7,3,4,57.1,0
"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr_down","OK",285,8043,284,8018,1445,295,1150,79.6,15
"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr_up","OK",541,8043,535,8018,109,33,76,69.7,15
"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_down","OK",32,8043,32,8018,153,79,74,48.4,0
"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_up","No enrichment",30,8043,29,8018,NA,NA,NA,NA,NA
"RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_down","OK",1827,8043,1818,8018,92,42,50,54.3,15
"RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_up","OK",534,8043,533,8018,96,32,64,66.7,15
"RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_down","OK",119,8043,118,8018,186,66,120,64.5,15
"RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_up","OK",985,8043,982,8018,258,80,178,69,15
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr_down","OK",52,8043,52,8018,572,191,381,66.6,0
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr_up","OK",33,8043,33,8018,254,98,156,61.4,8
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr_down","OK",522,8043,520,8018,1708,281,1427,83.5,15
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr_up","OK",560,8043,558,8018,218,56,162,74.3,15
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_down","OK",52,8043,52,8018,683,201,482,70.6,0
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr_up","OK",31,8043,30,8018,245,104,141,57.6,3
"RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_down","No enrichment",23,8043,23,8018,NA,NA,NA,NA,NA
"RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_up","No enrichment",54,8043,53,8018,NA,NA,NA,NA,NA
"RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_down","OK",813,8043,813,8018,111,46,65,58.6,15
"RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_up","OK",666,8043,664,8018,129,36,93,72.1,15
"RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_down","OK",41,8043,41,8018,489,165,324,66.3,0
"RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_up","OK",36,8043,36,8018,198,88,110,55.6,0
"RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr_down","OK",1198,8043,1193,8018,585,203,382,65.3,15
"RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr_up","OK",848,8043,845,8018,40,13,27,67.5,11
