"name","ID","log2fc_100_vs_vehicle","log2fc_200_vs_vehicle","pvalue_100_vs_vehicle","pvalue_200_vs_vehicle","direction_100","direction_200","sig_100","sig_200","significance_group","same_direction","combined_abs_log2fc","min_pvalue"
"LPC 18:1","522.355925 -> 184.07",0.278,1.09,0.060254717231238,1.80944686299184e-05,"NS","Up",FALSE,TRUE,"200uM only","dose-specific or opposite",1.368,1.80944686299184e-05
"PC 32:0","734.606325 -> 184.07",0.434,0.856,0.0100766008910817,0.000140338421297444,"Up","Up",TRUE,TRUE,"Significant in both","same",1.29,0.000140338421297444
"PC O-32:0","720.590725 -> 184.07",0.149,0.674,0.437381915173036,0.00542052602034584,"NS","Up",FALSE,TRUE,"200uM only","dose-specific or opposite",0.823,0.00542052602034584
"[CE 16:0 +H]","625.592325 -> 369.2",0.478,0.137,0.0216182793602841,0.443334896918051,"Up","NS",TRUE,FALSE,"100uM only","dose-specific or opposite",0.615,0.0216182793602841
"[CE 16:0 +NH4]","642.61887 -> 369.2",-0.0602,-0.176,0.524570745920172,0.0865696979571321,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2362,0.0865696979571321
"[CE 16:1 +NH4]","640.60327 -> 369.2",0.146,-0.0431,0.249647317934619,0.724704295206998,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1891,0.249647317934619
"[CE 18:1 +NH4]","668.63457 -> 369.2",0.121,-0.127,0.535533452616593,0.513645266908517,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.248,0.513645266908517
"[CE 18:2 +NH4]","666.61887 -> 369.2",0.0396,-0.0442,0.628733573477844,0.590431634476146,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0838,0.590431634476146
"[CE 18:3 +Na]","669.55867 -> 369.2",-0.0458,-0.102,0.74949002652501,0.484106872377139,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1478,0.484106872377139
"[CE 20:1 +Na]","701.623625 -> 369.2",0.43,0.218,0.0422593066303759,0.258848796708077,"Up","NS",TRUE,FALSE,"100uM only","dose-specific or opposite",0.648,0.0422593066303759
"[CE 22:6 +NH4]","714.61887 -> 369.2",0.0996,-0.034,0.401904900042951,0.770579744416854,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1336,0.401904900042951
"[CE 24:1 +Na]","757.68387 -> 369.2",0.429,0.239,0.153266780077548,0.407202041733917,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.668,0.153266780077548
"[DG 38:1","668.56177 -> 369.26177",-0.079,-0.161,0.478566942968522,0.168145152221605,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.24,0.168145152221605
"[TG24:2]","484.36377 -> 323.222191",0.0263,-0.224,0.913444580007039,0.366977365496335,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2503,0.366977365496335
"[TG34:2] NL 20:0","624.52027 -> 295.190891",0.225,0.075,0.214986545791997,0.66621364978521,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.3,0.214986545791997
