"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"LPC 18:1",0.816,0.000164220215709938,0.8,0,"0.8","<0.01","Up","LPC 18:1"
"PC 32:0",0.422,0.0116063393462622,0.4,0.01,"0.4","0.01","Up","PC 32:0"
"PC O-32:0",0.525,0.0192238004468396,0.5,0.02,"0.5","0.02","Up",NA
"[CE 16:0 +H]",-0.341,0.0784238859693879,-0.3,0.08,"-0.3","0.08","NS",NA
"[CE 16:0 +NH4]",-0.115,0.236945118331485,-0.1,0.24,"-0.1","0.24","NS",NA
"[CE 16:1 +NH4]",-0.189,0.145961088791704,-0.2,0.15,"-0.2","0.15","NS",NA
"[CE 18:1 +NH4]",-0.248,0.218791835392766,-0.2,0.22,"-0.2","0.22","NS",NA
"[CE 18:2 +NH4]",-0.0838,0.317883570106811,-0.1,0.32,"-0.1","0.32","NS",NA
"[CE 18:3 +Na]",-0.0558,0.697874550250742,-0.1,0.7,"-0.1","0.70","NS",NA
"[CE 20:1 +Na]",-0.212,0.271906883356781,-0.2,0.27,"-0.2","0.27","NS",NA
"[CE 22:6 +NH4]",-0.134,0.268598843460649,-0.1,0.27,"-0.1","0.27","NS",NA
"[CE 24:1 +Na]",-0.19,0.505408024426918,-0.2,0.51,"-0.2","0.51","NS",NA
"[DG 38:1",-0.0815,0.465201840487706,-0.1,0.47,"-0.1","0.47","NS",NA
"[TG24:2]",-0.25,0.3162231341222,-0.2,0.32,"-0.2","0.32","NS",NA
"[TG34:2] NL 20:0",-0.15,0.39661275670687,-0.1,0.4,"-0.1","0.40","NS",NA
"[TG38:0] NL 20:0",0.187,0.718333773868935,0.2,0.72,"0.2","0.72","NS",NA
"[TG44:1]",-0.00455,0.94953399436372,0,0.95,"-0.0","0.95","NS",NA
"[TG44:4] NL 20:0",0.094,0.78813425223118,0.1,0.79,"0.1","0.79","NS",NA
"[TG44:5] NL 20:0",0.317,0.366778198610213,0.3,0.37,"0.3","0.37","NS",NA
"[TG46:0] NL 16:0",-0.133,0.206212297987941,-0.1,0.21,"-0.1","0.21","NS",NA
"[TG48:7",-0.0558,0.702969807998283,-0.1,0.7,"-0.1","0.70","NS",NA
