"Experiment","Genotype","Treatment","Condition","Lipid","LipidClass","n_total","n_detected","mean_intensity","sd_intensity","CV_percent","mean_log2Intensity","CV_percent_capped"
"Acute","RDH12","Veh","Acute | RDH12 | Veh","CAR 20:1","CAR",3,3,4130.18695066667,211.799273501524,5.12807957681763,12.0107315279152,5.12807957681763
"Acute","RDH12","Veh","Acute | RDH12 | Veh","CAR 22:0","CAR",3,3,3742.94026533333,253.715044962258,6.77849570061635,11.8677116567869,6.77849570061635
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d14:1/16:0)","Cer",3,3,1349.906756,49.4595074100691,3.66392028117749,10.3979946815109,3.66392028117749
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d14:1/20:0)","Cer",3,3,2217.86680366667,472.660605725137,21.3114964768721,11.0922274130772,21.3114964768721
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d14:1/24:0(2OH))","Cer",3,3,1500.726766,109.647140314861,7.30626938887159,10.54887864821,7.30626938887159
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d14:2/16:0)","Cer",3,3,1475.94676866667,43.1987401824797,2.9268494704253,10.527010206403,2.9268494704253
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d14:2/20:0)","Cer",3,3,3512.166916,1148.83143279066,32.7100465401303,11.7265340155018,32.7100465401303
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d18:0/20:0(2OH))","Cer",3,3,3605.20689766667,639.254393143538,17.7314204507173,11.8005318645274,17.7314204507173
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d18:0/20:0)","Cer",3,3,1387.840098,54.9013314363152,3.95588306717992,10.437872253209,3.95588306717992
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d18:1/16:0)","Cer",3,3,2655.95353066667,397.791374477125,14.9773469258431,11.3635977738077,14.9773469258431
"Acute","RDH12","Veh","Acute | RDH12 | Veh","Cer(d18:1/18:0)","Cer",3,3,1631.44678966667,247.387832918301,15.1637083406715,10.6613198452772,15.1637083406715
