"Lipid","LipidClass","sample","Intensity","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition","Detected","log2Intensity"
"CAR 20:1","CAR","s1",4351.800289,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.0873966352116
"CAR 20:1","CAR","s2",4108.960293,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.0045576737296
"CAR 20:1","CAR","s3",3929.80027,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.9402402748043
"CAR 20:1","CAR","s4",3932.260273,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.9411431002722
"CAR 20:1","CAR","s5",3834.88026,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.9049658164969
"CAR 20:1","CAR","s6",3802.060268,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.8925656855743
"CAR 20:1","CAR","s7",10874.96076,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,13.4087225748597
"CAR 20:1","CAR","s8",4090.260311,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.9979769462737
"CAR 20:1","CAR","s9",4004.900291,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.9675506093259
"CAR 22:0","CAR","s1",3966.140266,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.953519985296
"CAR 22:0","CAR","s2",3795.68029,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.8901427639926
"CAR 22:0","CAR","s3",3467.00024,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.7594722210721
"CAR 22:0","CAR","s4",3900.680271,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.9295100337688
"CAR 22:0","CAR","s5",3580.560272,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.8059696370658
"CAR 22:0","CAR","s6",3979.420292,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.9583425639809
"CAR 22:0","CAR","s7",6332.680439,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.6286005643364
"CAR 22:0","CAR","s8",3695.520245,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.8515617619019
"CAR 22:0","CAR","s9",3905.780273,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.9313950746523
"[CE 16:0 +H]","CE","s1",2008.340134,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.9717879105639
"[CE 16:0 +H]","CE","s2",1887.880131,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.8825514498375
"[CE 16:0 +H]","CE","s3",2082.420151,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0240454621425
"[CE 16:0 +H]","CE","s4",2446.16016,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.2563031506996
"[CE 16:0 +H]","CE","s5",2028.040146,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9858704961068
"[CE 16:0 +H]","CE","s6",3168.420254,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.6295479894454
"[CE 16:0 +H]","CE","s7",2073.220154,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0176576081619
"[CE 16:0 +H]","CE","s8",2692.30019,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.3946235632876
"[CE 16:0 +H]","CE","s9",1958.320133,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9354009109617
"[CE 16:1 +NH4]","CE","s1",2082.740158,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0242671450928
"[CE 16:1 +NH4]","CE","s2",1799.42012,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.8133163441141
"[CE 16:1 +NH4]","CE","s3",1971.400127,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.9450049086602
"[CE 16:1 +NH4]","CE","s4",1882.420113,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8783729251108
"[CE 16:1 +NH4]","CE","s5",2243.080166,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.1312654668446
"[CE 16:1 +NH4]","CE","s6",1747.920143,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7714235587857
"[CE 16:1 +NH4]","CE","s7",1892.480145,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8860624488835
"[CE 16:1 +NH4]","CE","s8",1939.600117,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9215435305348
"[CE 16:1 +NH4]","CE","s9",1915.660137,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9036259155918
"[CE 16:0 +NH4]","CE","s1",2400.500156,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.2291193144142
"[CE 16:0 +NH4]","CE","s2",1781.180115,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.7986176954748
"[CE 16:0 +NH4]","CE","s3",2295.440178,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1645551187915
"[CE 16:0 +NH4]","CE","s4",1824.260151,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8330957662453
"[CE 16:0 +NH4]","CE","s5",1786.800125,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8031625453432
"[CE 16:0 +NH4]","CE","s6",1957.980145,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9351504199534
"[CE 16:0 +NH4]","CE","s7",1742.060116,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.7665786947978
"[CE 16:0 +NH4]","CE","s8",1909.980141,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8993419225934
"[CE 16:0 +NH4]","CE","s9",2131.22015,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0574639124653
"[CE 18:2 +NH4]","CE","s1",2189.66016,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0964912624669
"[CE 18:2 +NH4]","CE","s2",1806.640121,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.8190934375959
"[CE 18:2 +NH4]","CE","s3",1866.56012,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.866166261789
"[CE 18:2 +NH4]","CE","s4",1651.160114,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.6892643107119
"[CE 18:2 +NH4]","CE","s5",1888.760124,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.883223773106
"[CE 18:2 +NH4]","CE","s6",1894.780132,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8878147341791
"[CE 18:2 +NH4]","CE","s7",2003.360153,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.968206088858
"[CE 18:2 +NH4]","CE","s8",1823.10014,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8321780931667
