"sample","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition"
"s1","Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh"
"s2","Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh"
"s3","Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh"
"s4","100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM"
"s5","100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM"
"s6","100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM"
"s7","200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM"
"s8","200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM"
"s9","200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM"
"s1","Veh","1","WT","Veh","Control","Recovery","Recovery | WT | Veh"
"s2","Veh","2","WT","Veh","Control","Recovery","Recovery | WT | Veh"
"s3","Veh","3","WT","Veh","Control","Recovery","Recovery | WT | Veh"
"s4","100 µM","1","WT","100","Control","Recovery","Recovery | WT | 100 µM"
"s5","100 µM","2","WT","100","Control","Recovery","Recovery | WT | 100 µM"
"s6","100 µM","3","WT","100","Control","Recovery","Recovery | WT | 100 µM"
"s7","200 µM","1","WT","200","Control","Recovery","Recovery | WT | 200 µM"
"s8","200 µM","2","WT","200","Control","Recovery","Recovery | WT | 200 µM"
"s9","200 µM","3","WT","200","Control","Recovery","Recovery | WT | 200 µM"
"s10","Veh","1","RDH12","Veh","RDH12 ","Recovery","Recovery | RDH12 | Veh"
"s11","Veh","2","RDH12","Veh","RDH12 ","Recovery","Recovery | RDH12 | Veh"
"s12","Veh","3","RDH12","Veh","RDH12 ","Recovery","Recovery | RDH12 | Veh"
"s13","100 µM","1","RDH12","100","RDH12 ","Recovery","Recovery | RDH12 | 100 µM"
"s14","100 µM","2","RDH12","100","RDH12 ","Recovery","Recovery | RDH12 | 100 µM"
"s15","100 µM","3","RDH12","100","RDH12 ","Recovery","Recovery | RDH12 | 100 µM"
"s16","200 µM","1","RDH12","200","RDH12 ","Recovery","Recovery | RDH12 | 200 µM"
"s17","200 µM","2","RDH12","200","RDH12 ","Recovery","Recovery | RDH12 | 200 µM"
"s18","200 µM","3","RDH12","200","RDH12 ","Recovery","Recovery | RDH12 | 200 µM"
