"lipid_class","unsat_class","reference_prop","reference_total","comparison_prop","comparison_total","Comparison","ComparisonType","ReferenceGroup","ComparisonGroup","delta_prop","delta_label","p_value","p_adj_BH","significance"
"CE","MUFA",0.5,4,0.181818181818182,11,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.318181818181818,"-0.32",0.604395604395606,1,""
"CE","PUFA",0.25,4,0.454545454545455,11,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.204545454545455,"+0.20",0.604395604395606,1,""
"CE","SFA",0.25,4,0.363636363636364,11,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.113636363636364,"+0.11",0.604395604395606,1,""
"DG","MUFA",0.333333333333333,18,0.285714285714286,21,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0476190476190476,"-0.05",0.823300206914857,1,""
"DG","PUFA",0.555555555555556,18,0.523809523809524,21,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0317460317460317,"-0.03",0.823300206914857,1,""
"DG","SFA",0.111111111111111,18,0.19047619047619,21,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.0793650793650794,"+0.08",0.823300206914857,1,""
"PC","MUFA",0.164835164835165,91,0.174757281553398,103,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.00992211671823323,"+0.01",0.951049438304206,1,""
"PC","PUFA",0.681318681318681,91,0.689320388349515,103,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.00800170703083325,"+0.01",0.951049438304206,1,""
"PC","SFA",0.153846153846154,91,0.135922330097087,103,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0179238237490665,"-0.02",0.951049438304206,1,""
"PE","MUFA",0.2,30,0.205128205128205,39,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.00512820512820511,"+0.01",0.999999999999997,1,""
"PE","PUFA",0.733333333333333,30,0.717948717948718,39,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0153846153846153,"-0.02",0.999999999999997,1,""
"PE","SFA",0.0666666666666667,30,0.0769230769230769,39,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.0102564102564103,"+0.01",0.999999999999997,1,""
"PS","MUFA",0.266666666666667,15,0.235294117647059,17,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0313725490196078,"-0.03",1,1,""
"PS","PUFA",0.666666666666667,15,0.647058823529412,17,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0196078431372548,"-0.02",1,1,""
"PS","SFA",0.0666666666666667,15,0.117647058823529,17,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.0509803921568627,"+0.05",1,1,""
"TG","MUFA",0.222222222222222,9,0.166666666666667,18,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0555555555555556,"-0.06",1,1,""
"TG","PUFA",0.555555555555556,9,0.666666666666667,18,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",0.111111111111111,"+0.11",1,1,""
"TG","SFA",0.222222222222222,9,0.166666666666667,18,"RDH12 EtOH vs WT EtOH","RDH12 vs WT matched dose","Control_Veh","RDH12_Veh",-0.0555555555555556,"-0.06",1,1,""
"CE","MUFA",0.4,5,0.333333333333333,6,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",-0.0666666666666667,"-0.07",1,1,""
"CE","PUFA",0.2,5,0.333333333333333,6,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",0.133333333333333,"+0.13",1,1,""
"CE","SFA",0.4,5,0.333333333333333,6,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",-0.0666666666666667,"-0.07",1,1,""
"DG","MUFA",0.176470588235294,17,0.260869565217391,23,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",0.0843989769820972,"+0.08",0.751981701903829,1,""
"DG","PUFA",0.647058823529412,17,0.521739130434783,23,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",-0.125319693094629,"-0.13",0.751981701903829,1,""
"DG","SFA",0.176470588235294,17,0.217391304347826,23,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",0.040920716112532,"+0.04",0.751981701903829,1,""
"PC","MUFA",0.163265306122449,98,0.188679245283019,106,"RDH12 100 vs WT 100","RDH12 vs WT matched dose","Control_100","RDH12_100",0.0254139391605699,"+0.03",0.835855493348491,1,""
