"Group","lipid_class","unsat_class","distinct_precursor","Genotype","Treatment","class_total","prop"
"Control_100","CAR","MUFA",0,"WT","100 uM",0,0
"Control_100","CAR","PUFA",0,"WT","100 uM",0,0
"Control_100","CAR","SFA",0,"WT","100 uM",0,0
"Control_100","CE","MUFA",2,"WT","100 uM",5,0.4
"Control_100","CE","PUFA",1,"WT","100 uM",5,0.2
"Control_100","CE","SFA",2,"WT","100 uM",5,0.4
"Control_100","Cer","MUFA",3,"WT","100 uM",6,0.5
"Control_100","Cer","PUFA",2,"WT","100 uM",6,0.333333333333333
"Control_100","Cer","SFA",1,"WT","100 uM",6,0.166666666666667
"Control_100","DG","MUFA",3,"WT","100 uM",17,0.176470588235294
"Control_100","DG","PUFA",11,"WT","100 uM",17,0.647058823529412
"Control_100","DG","SFA",3,"WT","100 uM",17,0.176470588235294
"Control_100","LPC","MUFA",3,"WT","100 uM",9,0.333333333333333
"Control_100","LPC","PUFA",3,"WT","100 uM",9,0.333333333333333
"Control_100","LPC","SFA",3,"WT","100 uM",9,0.333333333333333
"Control_100","LPE","MUFA",1,"WT","100 uM",2,0.5
"Control_100","LPE","PUFA",0,"WT","100 uM",2,0
"Control_100","LPE","SFA",1,"WT","100 uM",2,0.5
"Control_100","PC","MUFA",16,"WT","100 uM",98,0.163265306122449
"Control_100","PC","PUFA",67,"WT","100 uM",98,0.683673469387755
"Control_100","PC","SFA",15,"WT","100 uM",98,0.153061224489796
"Control_100","PE","MUFA",7,"WT","100 uM",33,0.212121212121212
"Control_100","PE","PUFA",23,"WT","100 uM",33,0.696969696969697
"Control_100","PE","SFA",3,"WT","100 uM",33,0.0909090909090909
"Control_100","PG","MUFA",2,"WT","100 uM",3,0.666666666666667
"Control_100","PG","PUFA",1,"WT","100 uM",3,0.333333333333333
"Control_100","PG","SFA",0,"WT","100 uM",3,0
"Control_100","PI","MUFA",6,"WT","100 uM",22,0.272727272727273
"Control_100","PI","PUFA",14,"WT","100 uM",22,0.636363636363636
"Control_100","PI","SFA",2,"WT","100 uM",22,0.0909090909090909
"Control_100","PS","MUFA",6,"WT","100 uM",19,0.315789473684211
"Control_100","PS","PUFA",11,"WT","100 uM",19,0.578947368421053
"Control_100","PS","SFA",2,"WT","100 uM",19,0.105263157894737
"Control_100","SM","MUFA",8,"WT","100 uM",23,0.347826086956522
"Control_100","SM","PUFA",9,"WT","100 uM",23,0.391304347826087
"Control_100","SM","SFA",6,"WT","100 uM",23,0.260869565217391
"Control_100","TG","MUFA",2,"WT","100 uM",8,0.25
"Control_100","TG","PUFA",3,"WT","100 uM",8,0.375
"Control_100","TG","SFA",3,"WT","100 uM",8,0.375
"Control_200","CAR","MUFA",0,"WT","200 uM",0,0
"Control_200","CAR","PUFA",0,"WT","200 uM",0,0
"Control_200","CAR","SFA",0,"WT","200 uM",0,0
"Control_200","CE","MUFA",1,"WT","200 uM",3,0.333333333333333
"Control_200","CE","PUFA",1,"WT","200 uM",3,0.333333333333333
"Control_200","CE","SFA",1,"WT","200 uM",3,0.333333333333333
"Control_200","Cer","MUFA",3,"WT","200 uM",6,0.5
"Control_200","Cer","PUFA",2,"WT","200 uM",6,0.333333333333333
"Control_200","Cer","SFA",1,"WT","200 uM",6,0.166666666666667
"Control_200","DG","MUFA",2,"WT","200 uM",13,0.153846153846154
"Control_200","DG","PUFA",8,"WT","200 uM",13,0.615384615384615
"Control_200","DG","SFA",3,"WT","200 uM",13,0.230769230769231
"Control_200","LPC","MUFA",3,"WT","200 uM",7,0.428571428571429
"Control_200","LPC","PUFA",1,"WT","200 uM",7,0.142857142857143
"Control_200","LPC","SFA",3,"WT","200 uM",7,0.428571428571429
"Control_200","LPE","MUFA",0,"WT","200 uM",1,0
"Control_200","LPE","PUFA",1,"WT","200 uM",1,1
"Control_200","LPE","SFA",0,"WT","200 uM",1,0
"Control_200","PC","MUFA",14,"WT","200 uM",89,0.157303370786517
"Control_200","PC","PUFA",62,"WT","200 uM",89,0.696629213483146
"Control_200","PC","SFA",13,"WT","200 uM",89,0.146067415730337
"Control_200","PE","MUFA",5,"WT","200 uM",24,0.208333333333333
"Control_200","PE","PUFA",17,"WT","200 uM",24,0.708333333333333
"Control_200","PE","SFA",2,"WT","200 uM",24,0.0833333333333333
"Control_200","PG","MUFA",0,"WT","200 uM",2,0
"Control_200","PG","PUFA",1,"WT","200 uM",2,0.5
"Control_200","PG","SFA",1,"WT","200 uM",2,0.5
"Control_200","PI","MUFA",2,"WT","200 uM",8,0.25
"Control_200","PI","PUFA",6,"WT","200 uM",8,0.75
"Control_200","PI","SFA",0,"WT","200 uM",8,0
"Control_200","PS","MUFA",4,"WT","200 uM",10,0.4
"Control_200","PS","PUFA",5,"WT","200 uM",10,0.5
"Control_200","PS","SFA",1,"WT","200 uM",10,0.1
"Control_200","SM","MUFA",5,"WT","200 uM",12,0.416666666666667
"Control_200","SM","PUFA",4,"WT","200 uM",12,0.333333333333333
"Control_200","SM","SFA",3,"WT","200 uM",12,0.25
"Control_200","TG","MUFA",1,"WT","200 uM",6,0.166666666666667
"Control_200","TG","PUFA",4,"WT","200 uM",6,0.666666666666667
"Control_200","TG","SFA",1,"WT","200 uM",6,0.166666666666667
"Control_Veh","CAR","MUFA",0,"WT","Veh",0,0
"Control_Veh","CAR","PUFA",0,"WT","Veh",0,0
"Control_Veh","CAR","SFA",0,"WT","Veh",0,0
"Control_Veh","CE","MUFA",2,"WT","Veh",4,0.5
"Control_Veh","CE","PUFA",1,"WT","Veh",4,0.25
"Control_Veh","CE","SFA",1,"WT","Veh",4,0.25
"Control_Veh","Cer","MUFA",3,"WT","Veh",6,0.5
