"Group","LipidClass","Genotype","Treatment","Count","TotalPrecursors","Proportion"
"Control_100","CE","WT","100 uM",5,245,0.0204081632653061
"Control_100","Cer","WT","100 uM",6,245,0.0244897959183673
"Control_100","DG","WT","100 uM",17,245,0.0693877551020408
"Control_100","LPC","WT","100 uM",9,245,0.036734693877551
"Control_100","LPE","WT","100 uM",2,245,0.00816326530612245
"Control_100","PC","WT","100 uM",94,245,0.383673469387755
"Control_100","PC Ether","WT","100 uM",4,245,0.0163265306122449
"Control_100","PE","WT","100 uM",33,245,0.13469387755102
"Control_100","PG","WT","100 uM",3,245,0.0122448979591837
"Control_100","PI","WT","100 uM",22,245,0.0897959183673469
"Control_100","PS","WT","100 uM",19,245,0.0775510204081633
"Control_100","SM","WT","100 uM",23,245,0.0938775510204082
"Control_100","TG","WT","100 uM",8,245,0.0326530612244898
"Control_200","CE","WT","200 uM",3,181,0.0165745856353591
"Control_200","Cer","WT","200 uM",6,181,0.0331491712707182
"Control_200","DG","WT","200 uM",13,181,0.0718232044198895
"Control_200","LPC","WT","200 uM",7,181,0.0386740331491713
"Control_200","LPE","WT","200 uM",1,181,0.00552486187845304
"Control_200","PC","WT","200 uM",85,181,0.469613259668508
"Control_200","PC Ether","WT","200 uM",4,181,0.0220994475138122
"Control_200","PE","WT","200 uM",24,181,0.132596685082873
"Control_200","PG","WT","200 uM",2,181,0.0110497237569061
"Control_200","PI","WT","200 uM",8,181,0.0441988950276243
"Control_200","PS","WT","200 uM",10,181,0.0552486187845304
"Control_200","SM","WT","200 uM",12,181,0.0662983425414365
"Control_200","TG","WT","200 uM",6,181,0.0331491712707182
"Control_Veh","CE","WT","Veh",4,219,0.0182648401826484
"Control_Veh","Cer","WT","Veh",6,219,0.0273972602739726
"Control_Veh","DG","WT","Veh",17,219,0.0776255707762557
"Control_Veh","LPC","WT","Veh",6,219,0.0273972602739726
"Control_Veh","LPE","WT","Veh",1,219,0.0045662100456621
"Control_Veh","PC","WT","Veh",87,219,0.397260273972603
"Control_Veh","PC Ether","WT","Veh",4,219,0.0182648401826484
"Control_Veh","PE","WT","Veh",30,219,0.136986301369863
"Control_Veh","PG","WT","Veh",2,219,0.0091324200913242
"Control_Veh","PI","WT","Veh",19,219,0.0867579908675799
"Control_Veh","PS","WT","Veh",15,219,0.0684931506849315
"Control_Veh","SM","WT","Veh",19,219,0.0867579908675799
"Control_Veh","TG","WT","Veh",9,219,0.0410958904109589
"RDH12_100","CE","RDH12","100 uM",6,273,0.021978021978022
"RDH12_100","Cer","RDH12","100 uM",6,273,0.021978021978022
"RDH12_100","DG","RDH12","100 uM",22,273,0.0805860805860806
"RDH12_100","LPC","RDH12","100 uM",9,273,0.032967032967033
"RDH12_100","LPE","RDH12","100 uM",1,273,0.00366300366300366
"RDH12_100","PC","RDH12","100 uM",102,273,0.373626373626374
"RDH12_100","PC Ether","RDH12","100 uM",4,273,0.0146520146520147
"RDH12_100","PE","RDH12","100 uM",44,273,0.161172161172161
"RDH12_100","PG","RDH12","100 uM",3,273,0.010989010989011
"RDH12_100","PI","RDH12","100 uM",22,273,0.0805860805860806
"RDH12_100","PS","RDH12","100 uM",17,273,0.0622710622710623
"RDH12_100","SM","RDH12","100 uM",19,273,0.0695970695970696
"RDH12_100","TG","RDH12","100 uM",18,273,0.0659340659340659
"RDH12_200","CE","RDH12","200 uM",4,261,0.0153256704980843
"RDH12_200","Cer","RDH12","200 uM",6,261,0.0229885057471264
"RDH12_200","DG","RDH12","200 uM",15,261,0.0574712643678161
"RDH12_200","LPC","RDH12","200 uM",8,261,0.0306513409961686
"RDH12_200","LPE","RDH12","200 uM",2,261,0.00766283524904215
"RDH12_200","PC","RDH12","200 uM",106,261,0.406130268199234
"RDH12_200","PC Ether","RDH12","200 uM",6,261,0.0229885057471264
"RDH12_200","PE","RDH12","200 uM",44,261,0.168582375478927
"RDH12_200","PG","RDH12","200 uM",3,261,0.0114942528735632
"RDH12_200","PI","RDH12","200 uM",20,261,0.0766283524904215
"RDH12_200","PS","RDH12","200 uM",18,261,0.0689655172413793
"RDH12_200","SM","RDH12","200 uM",15,261,0.0574712643678161
"RDH12_200","TG","RDH12","200 uM",14,261,0.053639846743295
"RDH12_Veh","CE","RDH12","Veh",11,269,0.0408921933085502
"RDH12_Veh","Cer","RDH12","Veh",6,269,0.0223048327137546
"RDH12_Veh","DG","RDH12","Veh",20,269,0.0743494423791822
"RDH12_Veh","LPC","RDH12","Veh",9,269,0.033457249070632
"RDH12_Veh","LPE","RDH12","Veh",1,269,0.00371747211895911
"RDH12_Veh","PC","RDH12","Veh",99,269,0.368029739776952
"RDH12_Veh","PC Ether","RDH12","Veh",4,269,0.0148698884758364
"RDH12_Veh","PE","RDH12","Veh",39,269,0.144981412639405
"RDH12_Veh","PG","RDH12","Veh",3,269,0.0111524163568773
"RDH12_Veh","PI","RDH12","Veh",21,269,0.0780669144981413
"RDH12_Veh","PS","RDH12","Veh",17,269,0.0631970260223048
"RDH12_Veh","SM","RDH12","Veh",21,269,0.0780669144981413
"RDH12_Veh","TG","RDH12","Veh",18,269,0.0669144981412639
