"ContrastID","Contrast","ComparisonType","Class","Direction","EnrichedIn","Count","SignedCount"
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","CE","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","CE","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","Cer","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","Cer","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","DG","Down","WT EtOH",4,-4
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","DG","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","LPC","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","LPC","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","LPE","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","LPE","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","Other","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","Other","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","Oxidized PC","Down","WT EtOH",2,-2
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","Oxidized PC","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PC","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PC","Up","WT 100",3,3
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PC ether","Down","WT EtOH",1,-1
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PC ether","Up","WT 100",8,8
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PE","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PE","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PE ether","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PE ether","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PG","Down","WT EtOH",2,-2
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PG","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PI","Down","WT EtOH",1,-1
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PI","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PI ether","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PI ether","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PS","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PS","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PS ether","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","PS ether","Up","WT 100",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","SM","Down","WT EtOH",0,0
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","SM","Up","WT 100",2,2
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","TG","Down","WT EtOH",1,-1
"Control_100_vs_Control_Veh","WT 100 vs WT EtOH","Within genotype","TG","Up","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","CE","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","CE","Up","WT 200",1,1
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","Cer","Down","WT 100",1,-1
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","Cer","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","DG","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","DG","Up","WT 200",6,6
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","LPC","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","LPC","Up","WT 200",2,2
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","LPE","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","LPE","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","Other","Down","WT 100",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","Other","Up","WT 200",0,0
"Control_200_vs_Control_100","WT 200 vs WT 100","Dose-to-dose context","Oxidized PC","Down","WT 100",0,0
