"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"[CE 18:1 +NH4]","CE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.009868737,-0.361
"[DG 38:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","Down","WT Veh",0.004028075,-0.379
"DG 32:0 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.145845523,-0.184
"DG 34:0 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.655917302,-0.0504
"DG 40:6 NL 16:1","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.007403724,-0.26
"PC 34:5","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.24155568,0.19
"PC O-30:0","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.00742504,0.415
"PC O-34:4","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.613504833,0.0819
"PC O-36:4","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.000463745,0.782
"PC O-36:5","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.289829758,0.173
"PC O-38:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.000231404,0.789
"PC(20:0/8:0(COOH))","Oxidized PC","WT 100 vs WT Veh","WT 100","WT Veh","Down","WT Veh",0.022085101,-0.507
"PE 32:1","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.115458403,-0.211
"PE 34:1","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.463454636,0.136
"PE 34:4","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.531943783,0.119
"PI 34:1","PI","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.038147556,-0.273
"PI 36:2","PI","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.072624279,-0.305
