"name","RDH12_Veh_centered","RDH12_100_centered","RDH12_200_centered","Control_Veh_centered","Control_100_centered","Control_200_centered","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_Veh_ratio"
"TG 34:1 NL 16:1",-0.0233,-0.0141,-0.631,0.301,0.144,0.224,0.993499102,0.459842841,0.00924,-0.608
"PS 42:1",-0.252,-0.0489,0.0319,0.0282,0.0897,0.151,0.875296476,0.164262785,0.203,0.284
"PS 40:5",-0.169,0.0345,0.102,0.0274,0.103,-0.0972,0.83793856,0.164735414,0.204,0.272
"PI 38:2",0.368,0.0697,-0.206,0.19,-0.0445,-0.377,0.807615346,0.024260003,-0.298,-0.574
"PI 36:4",-0.13,-0.0425,0.207,0.313,-0.065,-0.282,0.953944604,0.188078626,0.0879,0.337
"PI 36:2",0.313,0.136,-0.283,0.283,-0.0222,-0.425,0.953944604,0.056695051,-0.177,-0.596
"PE O-34:1",0.215,0.144,-0.114,-0.11,0.0238,-0.158,0.953944604,0.219424644,-0.0713,-0.33
"PE 38:5",0.405,-0.00361,-0.116,-0.129,0.0919,-0.249,0.582507863,0.065392951,-0.409,-0.521
"PE 36:3",0.208,-0.0427,-0.187,0.261,-0.00396,-0.235,0.931806613,0.205065738,-0.251,-0.395
"PC O-42:7",-0.187,0.194,0.367,-0.0396,-0.168,-0.167,0.189960988,0.005444935,0.381,0.553
"PC O-38:6",-0.0488,0.0813,0.686,-0.634,0.156,-0.24,0.953944604,0.022693952,0.13,0.735
"PC O-36:5",-0.224,0.0544,0.465,-0.19,-0.0165,-0.0896,0.931806613,0.024260003,0.278,0.689
"PC O-30:0",-0.0554,0.439,0.632,-0.516,-0.101,-0.399,0.202209497,0.00955006,0.494,0.688
"DG 40:5 NL 20:0",-0.0188,-0.186,-0.502,0.25,0.119,0.337,0.953944604,0.115968861,-0.167,-0.483
"DG 34:1 NL 18:1",0.297,0.1,-0.189,0.284,-0.252,-0.24,0.931806613,0.064173919,-0.197,-0.486
"DG 34:1 NL 16:0",0.208,0.0813,-0.207,0.219,-0.109,-0.192,0.953944604,0.094651286,-0.126,-0.415
"PS 34:4",-0.222,-0.349,-0.273,0.334,0.225,0.285,0.953944604,0.886845488,-0.127,-0.0517
"PC 36:7",0.438,0.473,0.223,-0.493,-0.184,-0.456,0.981017338,0.57711958,0.0345,-0.216
"PC 34:1",0.383,0.426,0.451,-0.448,-0.0618,-0.751,0.981017338,0.886089998,0.0432,0.0686
