"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"[CE 18:1 +NH4]",-0.119,0.34254236,-0.1,0.34,"-0.1","0.34","NS",NA
"[DG 38:1",0.00734,0.948147352,0,0.95,"0.0","0.95","NS",NA
"DG 32:0 NL 16:0",0.531,0.000536253,0.5,0,"0.5","<0.01","Up","DG 32:0 NL 16:0"
"DG 34:0 NL 16:0",0.395,0.003010291,0.4,0,"0.4","<0.01","Up",NA
"DG 40:6 NL 16:1",0.496,3.23e-05,0.5,0,"0.5","<0.01","Up","DG 40:6 NL 16:1"
"PC 34:5",0.539,0.003588258,0.5,0,"0.5","<0.01","Up",NA
"PC O-30:0",-0.298,0.041758036,-0.3,0.04,"-0.3","0.04","NS",NA
"PC O-34:4",0.588,0.002248031,0.6,0,"0.6","<0.01","Up",NA
"PC O-36:4",-0.57,0.005288698,-0.6,0.01,"-0.6","<0.01","Down",NA
"PC O-36:5",-0.0732,0.650051444,-0.1,0.65,"-0.1","0.65","NS",NA
"PC O-38:6",-0.396,0.028193818,-0.4,0.03,"-0.4","0.03","Down",NA
"PC(20:0/8:0(COOH))",0.505,0.02254113,0.5,0.02,"0.5","0.02","Up",NA
"PE 32:1",-0.45,0.002882505,-0.4,0,"-0.4","<0.01","Down",NA
"PE 34:1",-0.806,0.000501189,-0.8,0,"-0.8","<0.01","Down","PE 34:1"
"PE 34:4",0.468,0.023897298,0.5,0.02,"0.5","0.02","Up",NA
"PI 34:1",-0.397,0.004909597,-0.4,0,"-0.4","<0.01","Down",NA
"PI 36:2",-0.403,0.022130401,-0.4,0.02,"-0.4","0.02","Down",NA
"PI 36:4",-0.217,0.108283698,-0.2,0.11,"-0.2","0.11","NS",NA
"PI 38:3",-0.504,0.007654134,-0.5,0.01,"-0.5","<0.01","Down",NA
"PI 38:5",0.182,0.221903628,0.2,0.22,"0.2","0.22","NS",NA
"[CE 14:0 +NH4]",0.128,0.216598917,0.1,0.22,"0.1","0.22","NS",NA
"[CE 16:0 +H]",0.117,0.50835113,0.1,0.51,"0.1","0.51","NS",NA
"[CE 16:0 +NH4]",-0.0206,0.870128447,0,0.87,"-0.0","0.87","NS",NA
"[CE 16:1 +NH4]",0.00988,0.92447255,0,0.92,"0.0","0.92","NS",NA
"[CE 16:3 +K]",0.258,0.036435048,0.3,0.04,"0.3","0.04","NS",NA
"[CE 18:0 +Na]",0.548,0.0873352,0.5,0.09,"0.5","0.09","Up",NA
"[CE 18:0 +NH4]",0.181,0.130934832,0.2,0.13,"0.2","0.13","NS",NA
"[CE 18:3 +Na]",0.00607,0.955404161,0,0.96,"0.0","0.96","NS",NA
"[CE 20:3 +Na]",0.337,0.005198328,0.3,0.01,"0.3","<0.01","NS",NA
"[CE 20:4 +NH4]",0.0155,0.875768819,0,0.88,"0.0","0.88","NS",NA
"[CE 22:2 +K]",0.02,0.828074786,0,0.83,"0.0","0.83","NS",NA
"[CE 22:6 +NH4]",0.142,0.154566435,0.1,0.15,"0.1","0.15","NS",NA
"[CE 24:1 +Na]",-0.045,0.865581124,0,0.87,"-0.0","0.87","NS",NA
"[TG34:2] NL 20:0",0.367,0.002567815,0.4,0,"0.4","<0.01","NS",NA
"[TG36:0] NL 18:0",-0.101,0.518998621,-0.1,0.52,"-0.1","0.52","NS",NA
"[TG38:0] NL 20:0",0.335,0.394785515,0.3,0.39,"0.3","0.39","NS",NA
"[TG44:4] NL 20:0",0.191,0.591664945,0.2,0.59,"0.2","0.59","NS",NA
"[TG44:5] NL 20:0",0.225,0.592977796,0.2,0.59,"0.2","0.59","NS",NA
"[TG46:0] NL 16:0",0.0114,0.918453872,0,0.92,"0.0","0.92","NS",NA
"[TG48:7",0.0263,0.872388368,0,0.87,"0.0","0.87","NS",NA
"[TG48:8",0.143,0.116948512,0.1,0.12,"0.1","0.12","NS",NA
"[TG50:7",0.245,0.061102382,0.2,0.06,"0.2","0.06","NS",NA
"[TG50:8",0.122,0.222046896,0.1,0.22,"0.1","0.22","NS",NA
"[TG50:8.1",0.21,0.083594051,0.2,0.08,"0.2","0.08","NS",NA
"[TG52:8",0.0959,0.316615723,0.1,0.32,"0.1","0.32","NS",NA
"[TG52:8.1",0.163,0.098212598,0.2,0.1,"0.2","0.10","NS",NA
"Cer(d14:1/20:0)",0.0303,0.913785782,0,0.91,"0.0","0.91","NS",NA
"Cer(d14:1/24:0(2OH))",0.188,0.324872825,0.2,0.32,"0.2","0.32","NS",NA
"Cer(d14:2/20:0)",0.268,0.474942734,0.3,0.47,"0.3","0.47","NS",NA
"Cer(d18:0/20:0(2OH))",0.45,0.175557124,0.4,0.18,"0.4","0.18","NS",NA
"Cer(d18:1/16:0)",-0.485,0.037175998,-0.5,0.04,"-0.5","0.04","Down",NA
"Cer(d18:1/18:0)",0.0243,0.834487303,0,0.83,"0.0","0.83","NS",NA
"Cer(d18:1/22:0)",-0.111,0.586473087,-0.1,0.59,"-0.1","0.59","NS",NA
"Cer(d18:1/24:0)",0.00287,0.981136095,0,0.98,"0.0","0.98","NS",NA
"Cer(d18:1/24:1)",-0.12,0.479813035,-0.1,0.48,"-0.1","0.48","NS",NA
"Cer(d18:2/24:0)",-0.137,0.429598467,-0.1,0.43,"-0.1","0.43","NS",NA
"CerP(d18:1/24:1)",-0.202,0.138005278,-0.2,0.14,"-0.2","0.14","NS",NA
"DG 30:0 NL 14:0",0.23,0.119022983,0.2,0.12,"0.2","0.12","NS",NA
"DG 30:1 NL 14:1",0.161,0.163345815,0.2,0.16,"0.2","0.16","NS",NA
"DG 30:1 NL 16:0",0.236,0.380557661,0.2,0.38,"0.2","0.38","NS",NA
"DG 30:2 NL 16:0",0.341,0.410993126,0.3,0.41,"0.3","0.41","NS",NA
"DG 30:2 NL 16:1",0.325,0.117521948,0.3,0.12,"0.3","0.12","NS",NA
"DG 30:2 NL 20:0",0.426,0.062862468,0.4,0.06,"0.4","0.06","Up",NA
"DG 30:3 NL 16:1",0.317,0.329521011,0.3,0.33,"0.3","0.33","NS",NA
"DG 30:3 NL 20:0",0.444,0.169437211,0.4,0.17,"0.4","0.17","NS",NA
"DG 32:1 NL 16:0",0.0924,0.399817423,0.1,0.4,"0.1","0.40","NS",NA
"DG 32:1 NL 16:1",0.0699,0.620790826,0.1,0.62,"0.1","0.62","NS",NA
"DG 32:5 NL 18:1",0.373,0.138092685,0.4,0.14,"0.4","0.14","NS",NA
"DG 34:0 NL 18:0",0.417,0.016921607,0.4,0.02,"0.4","0.02","Up",NA
"DG 34:0 NL 20:0",0.0512,0.722841892,0.1,0.72,"0.1","0.72","NS",NA
"DG 34:1 NL 16:0",-0.0835,0.515699451,-0.1,0.52,"-0.1","0.52","NS",NA
"DG 34:1 NL 16:1",0.234,0.031776435,0.2,0.03,"0.2","0.03","NS",NA
"DG 34:1 NL 18:1",0.0116,0.932021298,0,0.93,"0.0","0.93","NS",NA
"DG 34:1 NL 20:0",0.0745,0.776522593,0.1,0.78,"0.1","0.78","NS",NA
"DG 34:2 NL 16:1",0.275,0.098611175,0.3,0.1,"0.3","0.10","NS",NA
"DG 34:2 NL 18:1",0.2,0.140833793,0.2,0.14,"0.2","0.14","NS",NA
"DG 34:2 NL 20:0",0.126,0.659961735,0.1,0.66,"0.1","0.66","NS",NA
"DG 34:3 NL 18:1",-0.325,0.286206912,-0.3,0.29,"-0.3","0.29","NS",NA
"DG 36:0 NL 16:0",0.256,0.048767326,0.3,0.05,"0.3","0.05","NS",NA
"DG 36:0 NL 18:0",0.375,0.010292513,0.4,0.01,"0.4","0.01","NS",NA
"DG 36:1 NL 16:1",0.129,0.264274299,0.1,0.26,"0.1","0.26","NS",NA
"DG 36:1 NL 18:0",0.0277,0.763651594,0,0.76,"0.0","0.76","NS",NA
"DG 36:1 NL 18:1",0.157,0.281177905,0.2,0.28,"0.2","0.28","NS",NA
"DG 36:2 NL 18:1",0.182,0.165479137,0.2,0.17,"0.2","0.17","NS",NA
"DG 36:5 NL 16:0",0.298,0.180629715,0.3,0.18,"0.3","0.18","NS",NA
"DG 36:6 NL 16:0",0.167,0.763644031,0.2,0.76,"0.2","0.76","NS",NA
"DG 36:6 NL 22:5",0.135,0.652963351,0.1,0.65,"0.1","0.65","NS",NA
"DG 36:7 NL 16:0",0.0104,0.986631975,0,0.99,"0.0","0.99","NS",NA
"DG 36:7 NL 16:1",0.165,0.606324793,0.2,0.61,"0.2","0.61","NS",NA
"DG 36:7 NL 20:0",0.44,0.00696286,0.4,0.01,"0.4","<0.01","Up",NA
"DG 36:7 NL 22:5",0.257,0.535941223,0.3,0.54,"0.3","0.54","NS",NA
"DG 36:8 NL 22:6",0.323,0.357296606,0.3,0.36,"0.3","0.36","NS",NA
"DG 38:0 NL 18:0",0.0908,0.476618483,0.1,0.48,"0.1","0.48","NS",NA
"DG 38:0 NL 20:0",0.00684,0.977838722,0,0.98,"0.0","0.98","NS",NA
"DG 40:5 NL 20:0",0.218,0.178162448,0.2,0.18,"0.2","0.18","NS",NA
"DG 40:5 NL 22:5",0.189,0.138860255,0.2,0.14,"0.2","0.14","NS",NA
"DG 40:6 NL 20:0",0.0747,0.807795453,0.1,0.81,"0.1","0.81","NS",NA
"DG 40:6 NL 22:6",0.194,0.525753335,0.2,0.53,"0.2","0.53","NS",NA
"DG 40:7 NL 22:6",0.251,0.070310586,0.3,0.07,"0.3","0.07","NS",NA
"DG 42:10 NL 22:5",0.206,0.426583417,0.2,0.43,"0.2","0.43","NS",NA
"DG 42:11 NL 16:0",0.181,0.63697064,0.2,0.64,"0.2","0.64","NS",NA
"DG 42:11 NL 22:5",0.0316,0.954100459,0,0.95,"0.0","0.95","NS",NA
"LPC 16:0",0.591,0.089881012,0.6,0.09,"0.6","0.09","Up",NA
"LPC 16:1",0.299,0.304413158,0.3,0.3,"0.3","0.30","NS",NA
"LPC 18:0",0.289,0.209416073,0.3,0.21,"0.3","0.21","NS",NA
"LPC 18:1",0.536,0.266845476,0.5,0.27,"0.5","0.27","NS",NA
"LPC 18:2",-0.025,0.839825104,0,0.84,"-0.0","0.84","NS",NA
"LPC 20:0",0.272,0.011998226,0.3,0.01,"0.3","0.01","NS",NA
"LPC 24:0",0.0487,0.73080579,0,0.73,"0.0","0.73","NS",NA
"LPC 26:0",0.116,0.65003789,0.1,0.65,"0.1","0.65","NS",NA
"LPC O-18:1",0.351,0.009688923,0.4,0.01,"0.4","<0.01","NS",NA
"LPC O-20:4",0.114,0.542427881,0.1,0.54,"0.1","0.54","NS",NA
"LPC O-20:5",0.619,0.000520116,0.6,0,"0.6","<0.01","Up","LPC O-20:5"
"LPC(14:0)",0.243,0.171751055,0.2,0.17,"0.2","0.17","NS",NA
"LPC(20:1)",0.228,0.137409823,0.2,0.14,"0.2","0.14","NS",NA
"LPE 18:0",0.0715,0.674501696,0.1,0.67,"0.1","0.67","NS",NA
"LPE 18:1",-0.093,0.632530652,-0.1,0.63,"-0.1","0.63","NS",NA
"LPE 20:1",0.0647,0.609835437,0.1,0.61,"0.1","0.61","NS",NA
"LPE(O-20:4)",0.307,0.180444902,0.3,0.18,"0.3","0.18","NS",NA
"LPI O-20:0",0.117,0.597996766,0.1,0.6,"0.1","0.60","NS",NA
"PC 14:0",0.393,0.042878289,0.4,0.04,"0.4","0.04","Up",NA
"PC 18:0",-0.0437,0.788295094,0,0.79,"-0.0","0.79","NS",NA
"PC 22:0",0.152,0.232605281,0.2,0.23,"0.2","0.23","NS",NA
"PC 24:0",0.363,0.039395757,0.4,0.04,"0.4","0.04","NS",NA
"PC 26:0",0.384,0.305373408,0.4,0.31,"0.4","0.31","NS",NA
"PC 26:1",0.318,0.002987178,0.3,0,"0.3","<0.01","NS",NA
"PC 28:0",-0.319,0.041726404,-0.3,0.04,"-0.3","0.04","NS",NA
"PC 28:1",0.0335,0.852736132,0,0.85,"0.0","0.85","NS",NA
"PC 28:2",0.0159,0.860235248,0,0.86,"0.0","0.86","NS",NA
"PC 28:6",0.106,0.392307424,0.1,0.39,"0.1","0.39","NS",NA
"PC 30:0",-0.359,0.039940867,-0.4,0.04,"-0.4","0.04","NS",NA
"PC 30:1",-0.299,0.066068579,-0.3,0.07,"-0.3","0.07","NS",NA
"PC 30:2",-0.0799,0.552843282,-0.1,0.55,"-0.1","0.55","NS",NA
"PC 30:3",0.168,0.185786189,0.2,0.19,"0.2","0.19","NS",NA
"PC 32:0",-0.44,0.016131718,-0.4,0.02,"-0.4","0.02","Down",NA
"PC 32:1",-0.334,0.107216052,-0.3,0.11,"-0.3","0.11","NS",NA
"PC 32:2",-0.0519,0.764566545,-0.1,0.76,"-0.1","0.76","NS",NA
"PC 32:3",0.406,0.00230272,0.4,0,"0.4","<0.01","Up",NA
"PC 32:4",0.176,0.140631156,0.2,0.14,"0.2","0.14","NS",NA
"PC 32:5",0.0548,0.646612984,0.1,0.65,"0.1","0.65","NS",NA
"PC 32:6",0.529,0.356824776,0.5,0.36,"0.5","0.36","NS",NA
"PC 34:0",-0.346,0.046112552,-0.3,0.05,"-0.3","0.05","NS",NA
"PC 34:1",-0.689,0.003151652,-0.7,0,"-0.7","<0.01","Down",NA
"PC 34:2",-0.173,0.282505089,-0.2,0.28,"-0.2","0.28","NS",NA
"PC 34:3",0.348,0.049813794,0.3,0.05,"0.3","0.05","NS",NA
"PC 34:6",-0.314,0.039786214,-0.3,0.04,"-0.3","0.04","NS",NA
"PC 36:1",-0.0915,0.656773824,-0.1,0.66,"-0.1","0.66","NS",NA
"PC 36:2",-0.269,0.142432735,-0.3,0.14,"-0.3","0.14","NS",NA
"PC 36:3",-0.615,0.002476698,-0.6,0,"-0.6","<0.01","Down",NA
"PC 36:4",-0.192,0.157445574,-0.2,0.16,"-0.2","0.16","NS",NA
"PC 36:5",0.0485,0.761144869,0,0.76,"0.0","0.76","NS",NA
"PC 36:6",-0.0669,0.686166022,-0.1,0.69,"-0.1","0.69","NS",NA
"PC 36:7",-0.272,0.1762779,-0.3,0.18,"-0.3","0.18","NS",NA
"PC 38:1",-0.334,0.047924252,-0.3,0.05,"-0.3","0.05","NS",NA
"PC 38:2",-0.446,0.034056616,-0.4,0.03,"-0.4","0.03","Down",NA
"PC 38:3",-0.0709,0.691520159,-0.1,0.69,"-0.1","0.69","NS",NA
"PC 38:4",-0.0934,0.531548911,-0.1,0.53,"-0.1","0.53","NS",NA
"PC 38:5",-0.0983,0.542819029,-0.1,0.54,"-0.1","0.54","NS",NA
"PC 38:6",-0.197,0.218158483,-0.2,0.22,"-0.2","0.22","NS",NA
"PC 38:7",0.0807,0.682002296,0.1,0.68,"0.1","0.68","NS",NA
"PC 40:1",-0.187,0.13550082,-0.2,0.14,"-0.2","0.14","NS",NA
"PC 40:2",-0.0692,0.718098471,-0.1,0.72,"-0.1","0.72","NS",NA
"PC 40:3",0.0383,0.762838224,0,0.76,"0.0","0.76","NS",NA
"PC 40:4",0.0188,0.903813707,0,0.9,"0.0","0.90","NS",NA
"PC 40:5",-0.21,0.146296631,-0.2,0.15,"-0.2","0.15","NS",NA
"PC 40:6",-0.06,0.524461005,-0.1,0.52,"-0.1","0.52","NS",NA
"PC 40:7",0.164,0.220011767,0.2,0.22,"0.2","0.22","NS",NA
"PC 42:0",-0.0741,0.596089609,-0.1,0.6,"-0.1","0.60","NS",NA
"PC 42:1",0.103,0.375823456,0.1,0.38,"0.1","0.38","NS",NA
"PC 42:10",0.222,0.106083128,0.2,0.11,"0.2","0.11","NS",NA
"PC 42:11",-0.14,0.280581011,-0.1,0.28,"-0.1","0.28","NS",NA
"PC 42:2",-0.0289,0.791659094,0,0.79,"-0.0","0.79","NS",NA
"PC 42:3",0.0931,0.46758311,0.1,0.47,"0.1","0.47","NS",NA
"PC 42:4",0.0469,0.661031842,0,0.66,"0.0","0.66","NS",NA
"PC 42:5",0.00382,0.968993257,0,0.97,"0.0","0.97","NS",NA
"PC 42:6",0.11,0.405422591,0.1,0.41,"0.1","0.41","NS",NA
"PC 42:7",-0.0173,0.897060996,0,0.9,"-0.0","0.90","NS",NA
"PC 42:8",-0.0475,0.634381534,0,0.63,"-0.0","0.63","NS",NA
"PC 42:9",0.0587,0.712759341,0.1,0.71,"0.1","0.71","NS",NA
"PC 44:0",-0.0261,0.753722887,0,0.75,"-0.0","0.75","NS",NA
"PC 44:1",-0.00521,0.963890333,0,0.96,"-0.0","0.96","NS",NA
"PC 44:2",0.16,0.106870427,0.2,0.11,"0.2","0.11","NS",NA
"PC 44:5",-0.00389,0.966372891,0,0.97,"-0.0","0.97","NS",NA
"PC 44:8",0.0732,0.347394349,0.1,0.35,"0.1","0.35","NS",NA
"PC 46:1",0.136,0.182253135,0.1,0.18,"0.1","0.18","NS",NA
"PC 46:2",0.115,0.300969117,0.1,0.3,"0.1","0.30","NS",NA
"PC 48:2",-0.0641,0.506597936,-0.1,0.51,"-0.1","0.51","NS",NA
"PC O-24:6",0.873,0.098119127,0.9,0.1,"0.9","0.10","Up",NA
"PC O-28:0",0.00144,0.99210462,0,0.99,"0.0","0.99","NS",NA
"PC O-28:1",-0.0948,0.58054231,-0.1,0.58,"-0.1","0.58","NS",NA
"PC O-30:1",-0.371,0.016676731,-0.4,0.02,"-0.4","0.02","NS",NA
"PC O-30:6",0.368,0.024109019,0.4,0.02,"0.4","0.02","NS",NA
"PC O-32:0",-0.386,0.086055939,-0.4,0.09,"-0.4","0.09","Down",NA
"PC O-32:1",-0.44,0.034920641,-0.4,0.03,"-0.4","0.03","Down",NA
"PC O-32:2",-0.19,0.133187309,-0.2,0.13,"-0.2","0.13","NS",NA
"PC O-32:3",0.215,0.111400687,0.2,0.11,"0.2","0.11","NS",NA
"PC O-32:6",0.881,0.073627812,0.9,0.07,"0.9","0.07","Up",NA
"PC O-34:0",-0.396,0.041652697,-0.4,0.04,"-0.4","0.04","Down",NA
"PC O-34:1",-0.603,0.009023228,-0.6,0.01,"-0.6","<0.01","Down",NA
"PC O-34:2",-0.0415,0.818969019,0,0.82,"-0.0","0.82","NS",NA
"PC O-34:3",0.000662,0.996300257,0,1,"0.0","1.00","NS",NA
"PC O-34:5",2.33,0.035137923,2.3,0.04,"2.3","0.04","Up",NA
"PC O-36:1",-0.327,0.140612544,-0.3,0.14,"-0.3","0.14","NS",NA
"PC O-36:2",-0.0487,0.792211849,0,0.79,"-0.0","0.79","NS",NA
"PC O-36:3",-0.321,0.11393755,-0.3,0.11,"-0.3","0.11","NS",NA
"PC O-36:6",-0.0787,0.639532255,-0.1,0.64,"-0.1","0.64","NS",NA
"PC O-38:1",-0.16,0.417051261,-0.2,0.42,"-0.2","0.42","NS",NA
"PC O-38:2",-0.195,0.171815403,-0.2,0.17,"-0.2","0.17","NS",NA
"PC O-38:3",-0.00915,0.958371629,0,0.96,"-0.0","0.96","NS",NA
"PC O-38:4",-0.273,0.122771962,-0.3,0.12,"-0.3","0.12","NS",NA
"PC O-38:5",-0.276,0.139682892,-0.3,0.14,"-0.3","0.14","NS",NA
"PC O-38:7",-0.0263,0.866676116,0,0.87,"-0.0","0.87","NS",NA
"PC O-40:2",-0.0151,0.93163857,0,0.93,"-0.0","0.93","NS",NA
"PC O-40:3",-0.099,0.392800719,-0.1,0.39,"-0.1","0.39","NS",NA
"PC O-40:4",-0.156,0.389952469,-0.2,0.39,"-0.2","0.39","NS",NA
"PC O-40:5",-0.53,0.000690304,-0.5,0,"-0.5","<0.01","Down","PC O-40:5"
"PC O-40:6",-0.376,0.130766076,-0.4,0.13,"-0.4","0.13","NS",NA
"PC O-40:7",-0.00231,0.987548228,0,0.99,"-0.0","0.99","NS",NA
"PC O-42:5",-0.0821,0.460071606,-0.1,0.46,"-0.1","0.46","NS",NA
"PC O-42:6",-0.23,0.01417849,-0.2,0.01,"-0.2","0.01","NS",NA
"PC O-42:7",0.000746,0.994034422,0,0.99,"0.0","0.99","NS",NA
"PC O-44:2",0.0879,0.315347009,0.1,0.32,"0.1","0.32","NS",NA
"PC O-44:6",0.117,0.247613649,0.1,0.25,"0.1","0.25","NS",NA
"PC(16:0)",0.187,0.29754157,0.2,0.3,"0.2","0.30","NS",NA
"PC(16:0/8:0(COOH))",-0.0357,0.798042245,0,0.8,"-0.0","0.80","NS",NA
"PC(34:4)",1.64,0.008013159,1.6,0.01,"1.6","<0.01","Up",NA
"PC(O-40:1)",0.149,0.641653718,0.1,0.64,"0.1","0.64","NS",NA
"PC(P-30:1)",0.292,0.017015658,0.3,0.02,"0.3","0.02","NS",NA
"PE 32:0",-0.0874,0.415772475,-0.1,0.42,"-0.1","0.42","NS",NA
"PE 32:2",0.225,0.008676514,0.2,0.01,"0.2","<0.01","NS",NA
"PE 34:0",-0.155,0.285092343,-0.2,0.29,"-0.2","0.29","NS",NA
"PE 34:2",-0.622,0.006096782,-0.6,0.01,"-0.6","<0.01","Down",NA
"PE 34:3",0.29,0.044988561,0.3,0.04,"0.3","0.04","NS",NA
"PE 36:0",-0.0294,0.862535429,0,0.86,"-0.0","0.86","NS",NA
"PE 36:1",-0.563,0.002207762,-0.6,0,"-0.6","<0.01","Down",NA
"PE 36:2",-0.611,0.000339661,-0.6,0,"-0.6","<0.01","Down","PE 36:2"
"PE 36:3",-0.231,0.160864078,-0.2,0.16,"-0.2","0.16","NS",NA
"PE 36:4",-0.365,0.024225921,-0.4,0.02,"-0.4","0.02","NS",NA
"PE 36:5",0.141,0.223721908,0.1,0.22,"0.1","0.22","NS",NA
