"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"[CE 18:1 +NH4]",-0.481,0.001372278,-0.5,0,"-0.5","<0.01","Down",NA
"[DG 38:1",-0.372,0.004602954,-0.4,0,"-0.4","<0.01","NS",NA
"DG 32:0 NL 16:0",0.346,0.011594387,0.3,0.01,"0.3","0.01","NS",NA
"DG 34:0 NL 16:0",0.344,0.007527927,0.3,0.01,"0.3","<0.01","NS",NA
"DG 40:6 NL 16:1",0.236,0.013297058,0.2,0.01,"0.2","0.01","NS",NA
"PC 34:5",0.729,0.000319291,0.7,0,"0.7","<0.01","Up","PC 34:5"
"PC O-30:0",0.117,0.394596486,0.1,0.39,"0.1","0.39","NS",NA
"PC O-34:4",0.67,0.000803207,0.7,0,"0.7","<0.01","Up",NA
"PC O-36:4",0.212,0.241649419,0.2,0.24,"0.2","0.24","NS",NA
"PC O-36:5",0.1,0.535018312,0.1,0.54,"0.1","0.54","NS",NA
"PC O-38:6",0.393,0.0290853,0.4,0.03,"0.4","0.03","Up",NA
"PC(20:0/8:0(COOH))",-0.00206,0.991819982,0,0.99,"-0.0","0.99","NS",NA
"PE 32:1",-0.661,0.000110128,-0.7,0,"-0.7","<0.01","Down","PE 32:1"
"PE 34:1",-0.67,0.002233267,-0.7,0,"-0.7","<0.01","Down",NA
"PE 34:4",0.586,0.00668069,0.6,0.01,"0.6","<0.01","Up",NA
"PI 34:1",-0.67,5.87e-05,-0.7,0,"-0.7","<0.01","Down","PI 34:1"
"PI 36:2",-0.708,0.000465094,-0.7,0,"-0.7","<0.01","Down","PI 36:2"
"PI 36:4",-0.595,0.00032014,-0.6,0,"-0.6","<0.01","Down","PI 36:4"
"PI 38:3",-0.674,0.000942547,-0.7,0,"-0.7","<0.01","Down",NA
"PI 38:5",-0.454,0.006479589,-0.5,0.01,"-0.5","<0.01","Down",NA
"[CE 14:0 +NH4]",-0.000395,0.996869299,0,1,"-0.0","1.00","NS",NA
"[CE 16:0 +H]",-0.141,0.42715067,-0.1,0.43,"-0.1","0.43","NS",NA
"[CE 16:0 +NH4]",-0.112,0.379380709,-0.1,0.38,"-0.1","0.38","NS",NA
"[CE 16:1 +NH4]",-0.119,0.262911436,-0.1,0.26,"-0.1","0.26","NS",NA
"[CE 16:3 +K]",-0.0486,0.670386433,0,0.67,"-0.0","0.67","NS",NA
"[CE 18:0 +Na]",0.338,0.275672387,0.3,0.28,"0.3","0.28","NS",NA
"[CE 18:0 +NH4]",-0.079,0.496649352,-0.1,0.5,"-0.1","0.50","NS",NA
"[CE 18:3 +Na]",-0.108,0.325877935,-0.1,0.33,"-0.1","0.33","NS",NA
"[CE 20:3 +Na]",0.24,0.034431634,0.2,0.03,"0.2","0.03","NS",NA
"[CE 20:4 +NH4]",-0.00784,0.936796579,0,0.94,"-0.0","0.94","NS",NA
"[CE 22:2 +K]",0.0719,0.439941341,0.1,0.44,"0.1","0.44","NS",NA
"[CE 22:6 +NH4]",0.0353,0.713886801,0,0.71,"0.0","0.71","NS",NA
"[CE 24:1 +Na]",0.141,0.59793966,0.1,0.6,"0.1","0.60","NS",NA
"[TG34:2] NL 20:0",0.3,0.009832502,0.3,0.01,"0.3","<0.01","NS",NA
"[TG36:0] NL 18:0",0.0648,0.676095713,0.1,0.68,"0.1","0.68","NS",NA
"[TG38:0] NL 20:0",0.251,0.520009231,0.3,0.52,"0.3","0.52","NS",NA
"[TG44:4] NL 20:0",0.218,0.541267174,0.2,0.54,"0.2","0.54","NS",NA
"[TG44:5] NL 20:0",0.102,0.806942497,0.1,0.81,"0.1","0.81","NS",NA
"[TG46:0] NL 16:0",-0.0754,0.503305932,-0.1,0.5,"-0.1","0.50","NS",NA
"[TG48:7",-0.337,0.054383529,-0.3,0.05,"-0.3","0.05","NS",NA
"[TG48:8",0.0798,0.366798913,0.1,0.37,"0.1","0.37","NS",NA
"[TG50:7",-0.0312,0.799141981,0,0.8,"-0.0","0.80","NS",NA
"[TG50:8",-0.0243,0.802368847,0,0.8,"-0.0","0.80","NS",NA
"[TG50:8.1",-0.177,0.138313437,-0.2,0.14,"-0.2","0.14","NS",NA
"[TG52:8",0.0555,0.557514696,0.1,0.56,"0.1","0.56","NS",NA
"[TG52:8.1",-0.0171,0.855483881,0,0.86,"-0.0","0.86","NS",NA
"Cer(d14:1/20:0)",0.145,0.605976418,0.1,0.61,"0.1","0.61","NS",NA
"Cer(d14:1/24:0(2OH))",0.0838,0.656571865,0.1,0.66,"0.1","0.66","NS",NA
"Cer(d14:2/20:0)",0.202,0.589685351,0.2,0.59,"0.2","0.59","NS",NA
"Cer(d18:0/20:0(2OH))",0.0194,0.951920174,0,0.95,"0.0","0.95","NS",NA
"Cer(d18:1/16:0)",-0.467,0.043416399,-0.5,0.04,"-0.5","0.04","Down",NA
"Cer(d18:1/18:0)",-0.0479,0.680683316,0,0.68,"-0.0","0.68","NS",NA
"Cer(d18:1/22:0)",0.0762,0.707139451,0.1,0.71,"0.1","0.71","NS",NA
"Cer(d18:1/24:0)",0.318,0.018136984,0.3,0.02,"0.3","0.02","NS",NA
"Cer(d18:1/24:1)",0.13,0.445359076,0.1,0.45,"0.1","0.45","NS",NA
"Cer(d18:2/24:0)",0.1,0.560405855,0.1,0.56,"0.1","0.56","NS",NA
"CerP(d18:1/24:1)",-0.0721,0.5832578,-0.1,0.58,"-0.1","0.58","NS",NA
"DG 30:0 NL 14:0",-0.13,0.366701734,-0.1,0.37,"-0.1","0.37","NS",NA
"DG 30:1 NL 14:1",-0.0769,0.494266582,-0.1,0.49,"-0.1","0.49","NS",NA
"DG 30:1 NL 16:0",-0.0311,0.906691548,0,0.91,"-0.0","0.91","NS",NA
"DG 30:2 NL 16:0",0.0631,0.877822499,0.1,0.88,"0.1","0.88","NS",NA
"DG 30:2 NL 16:1",0.00827,0.966763906,0,0.97,"0.0","0.97","NS",NA
"DG 30:2 NL 20:0",0.0638,0.766893963,0.1,0.77,"0.1","0.77","NS",NA
"DG 30:3 NL 16:1",0.022,0.945153531,0,0.95,"0.0","0.95","NS",NA
"DG 30:3 NL 20:0",0.0616,0.843913293,0.1,0.84,"0.1","0.84","NS",NA
"DG 32:1 NL 16:0",-0.161,0.151491845,-0.2,0.15,"-0.2","0.15","NS",NA
"DG 32:1 NL 16:1",-0.183,0.207040211,-0.2,0.21,"-0.2","0.21","NS",NA
"DG 32:5 NL 18:1",0.296,0.233114075,0.3,0.23,"0.3","0.23","NS",NA
"DG 34:0 NL 18:0",0.425,0.015359259,0.4,0.02,"0.4","0.02","Up",NA
"DG 34:0 NL 20:0",-0.0609,0.67364611,-0.1,0.67,"-0.1","0.67","NS",NA
"DG 34:1 NL 16:0",-0.411,0.005309073,-0.4,0.01,"-0.4","<0.01","Down",NA
"DG 34:1 NL 16:1",0.0813,0.422350831,0.1,0.42,"0.1","0.42","NS",NA
"DG 34:1 NL 18:1",-0.525,0.001451017,-0.5,0,"-0.5","<0.01","Down",NA
"DG 34:1 NL 20:0",-0.177,0.503669965,-0.2,0.5,"-0.2","0.50","NS",NA
"DG 34:2 NL 16:1",0.0547,0.730027219,0.1,0.73,"0.1","0.73","NS",NA
"DG 34:2 NL 18:1",0.118,0.370666669,0.1,0.37,"0.1","0.37","NS",NA
"DG 34:2 NL 20:0",-0.101,0.722344271,-0.1,0.72,"-0.1","0.72","NS",NA
"DG 34:3 NL 18:1",0.106,0.7230866,0.1,0.72,"0.1","0.72","NS",NA
"DG 36:0 NL 16:0",0.153,0.219351526,0.2,0.22,"0.2","0.22","NS",NA
"DG 36:0 NL 18:0",0.376,0.010173585,0.4,0.01,"0.4","0.01","NS",NA
"DG 36:1 NL 16:1",-0.0525,0.642745863,-0.1,0.64,"-0.1","0.64","NS",NA
"DG 36:1 NL 18:0",-0.0355,0.700127037,0,0.7,"-0.0","0.70","NS",NA
"DG 36:1 NL 18:1",-0.0614,0.668667769,-0.1,0.67,"-0.1","0.67","NS",NA
"DG 36:2 NL 18:1",-0.221,0.096909305,-0.2,0.1,"-0.2","0.10","NS",NA
"DG 36:5 NL 16:0",0.113,0.601670807,0.1,0.6,"0.1","0.60","NS",NA
"DG 36:6 NL 16:0",-0.146,0.791555755,-0.1,0.79,"-0.1","0.79","NS",NA
"DG 36:6 NL 22:5",-0.0241,0.935895473,0,0.94,"-0.0","0.94","NS",NA
"DG 36:7 NL 16:0",-0.108,0.862973401,-0.1,0.86,"-0.1","0.86","NS",NA
"DG 36:7 NL 16:1",-0.0755,0.813224946,-0.1,0.81,"-0.1","0.81","NS",NA
"DG 36:7 NL 20:0",0.048,0.736290825,0,0.74,"0.0","0.74","NS",NA
"DG 36:7 NL 22:5",0.0461,0.911120381,0,0.91,"0.0","0.91","NS",NA
"DG 36:8 NL 22:6",-0.15,0.665749835,-0.1,0.67,"-0.1","0.67","NS",NA
"DG 38:0 NL 18:0",0.0318,0.801596087,0,0.8,"0.0","0.80","NS",NA
"DG 38:0 NL 20:0",0.062,0.801560274,0.1,0.8,"0.1","0.80","NS",NA
"DG 40:5 NL 20:0",0.0874,0.579250013,0.1,0.58,"0.1","0.58","NS",NA
"DG 40:5 NL 22:5",0.0019,0.987693447,0,0.99,"0.0","0.99","NS",NA
"DG 40:6 NL 20:0",-0.248,0.42419157,-0.2,0.42,"-0.2","0.42","NS",NA
"DG 40:6 NL 22:6",-0.0371,0.902625333,0,0.9,"-0.0","0.90","NS",NA
"DG 40:7 NL 22:6",0.0166,0.899121665,0,0.9,"0.0","0.90","NS",NA
"DG 42:10 NL 22:5",0.0411,0.872424315,0,0.87,"0.0","0.87","NS",NA
"DG 42:11 NL 16:0",-0.0222,0.953716421,0,0.95,"-0.0","0.95","NS",NA
"DG 42:11 NL 22:5",-0.0189,0.972572215,0,0.97,"-0.0","0.97","NS",NA
"LPC 16:0",0.598,0.086675987,0.6,0.09,"0.6","0.09","Up",NA
"LPC 16:1",0.574,0.0596479,0.6,0.06,"0.6","0.06","Up",NA
"LPC 18:0",0.615,0.013906822,0.6,0.01,"0.6","0.01","Up",NA
"LPC 18:1",0.691,0.158027524,0.7,0.16,"0.7","0.16","NS",NA
"LPC 18:2",0.0818,0.511771549,0.1,0.51,"0.1","0.51","NS",NA
"LPC 20:0",0.174,0.086802522,0.2,0.09,"0.2","0.09","NS",NA
"LPC 24:0",0.0779,0.582974456,0.1,0.58,"0.1","0.58","NS",NA
"LPC 26:0",0.138,0.588631842,0.1,0.59,"0.1","0.59","NS",NA
"LPC O-18:1",0.177,0.153407189,0.2,0.15,"0.2","0.15","NS",NA
"LPC O-20:4",0.139,0.458757353,0.1,0.46,"0.1","0.46","NS",NA
"LPC O-20:5",0.492,0.003181932,0.5,0,"0.5","<0.01","Up",NA
"LPC(14:0)",0.365,0.047923669,0.4,0.05,"0.4","0.05","NS",NA
"LPC(20:1)",-0.0189,0.898129052,0,0.9,"-0.0","0.90","NS",NA
"LPE 18:0",0.153,0.372503361,0.2,0.37,"0.2","0.37","NS",NA
"LPE 18:1",-0.0147,0.939441456,0,0.94,"-0.0","0.94","NS",NA
"LPE 20:1",-0.00842,0.946842105,0,0.95,"-0.0","0.95","NS",NA
"LPE(O-20:4)",0.211,0.348932735,0.2,0.35,"0.2","0.35","NS",NA
"LPI O-20:0",0.0666,0.762853014,0.1,0.76,"0.1","0.76","NS",NA
"PC 14:0",0.38,0.049078543,0.4,0.05,"0.4","0.05","Up",NA
"PC 18:0",-0.0305,0.851179307,0,0.85,"-0.0","0.85","NS",NA
"PC 22:0",0.187,0.147235186,0.2,0.15,"0.2","0.15","NS",NA
"PC 24:0",0.28,0.101186688,0.3,0.1,"0.3","0.10","NS",NA
"PC 26:0",0.0753,0.837631925,0.1,0.84,"0.1","0.84","NS",NA
"PC 26:1",0.248,0.014501344,0.2,0.01,"0.2","0.01","NS",NA
"PC 28:0",-0.351,0.027144162,-0.4,0.03,"-0.4","0.03","NS",NA
"PC 28:1",0.025,0.889832384,0,0.89,"0.0","0.89","NS",NA
"PC 28:2",0.138,0.141822223,0.1,0.14,"0.1","0.14","NS",NA
"PC 28:6",-0.0797,0.518969937,-0.1,0.52,"-0.1","0.52","NS",NA
"PC 30:0",0.293,0.086007636,0.3,0.09,"0.3","0.09","NS",NA
"PC 30:1",-0.227,0.15289418,-0.2,0.15,"-0.2","0.15","NS",NA
"PC 30:2",0.11,0.417472614,0.1,0.42,"0.1","0.42","NS",NA
"PC 30:3",0.0738,0.551625469,0.1,0.55,"0.1","0.55","NS",NA
"PC 32:0",0.186,0.268780662,0.2,0.27,"0.2","0.27","NS",NA
"PC 32:1",-0.128,0.521716798,-0.1,0.52,"-0.1","0.52","NS",NA
"PC 32:2",0.188,0.287106743,0.2,0.29,"0.2","0.29","NS",NA
"PC 32:3",0.485,0.000554312,0.5,0,"0.5","<0.01","Up","PC 32:3"
"PC 32:4",0.171,0.151121383,0.2,0.15,"0.2","0.15","NS",NA
"PC 32:5",0.199,0.11043087,0.2,0.11,"0.2","0.11","NS",NA
"PC 32:6",-0.216,0.70259095,-0.2,0.7,"-0.2","0.70","NS",NA
"PC 34:0",-0.141,0.387174228,-0.1,0.39,"-0.1","0.39","NS",NA
"PC 34:1",-0.303,0.141590743,-0.3,0.14,"-0.3","0.14","NS",NA
"PC 34:2",-0.189,0.241691526,-0.2,0.24,"-0.2","0.24","NS",NA
"PC 34:3",0.269,0.119548676,0.3,0.12,"0.3","0.12","NS",NA
"PC 34:6",-0.202,0.168204147,-0.2,0.17,"-0.2","0.17","NS",NA
"PC 36:1",0.0764,0.710175192,0.1,0.71,"0.1","0.71","NS",NA
"PC 36:2",-0.0972,0.584362617,-0.1,0.58,"-0.1","0.58","NS",NA
"PC 36:3",-0.522,0.007536547,-0.5,0.01,"-0.5","<0.01","Down",NA
"PC 36:4",0.132,0.321312899,0.1,0.32,"0.1","0.32","NS",NA
"PC 36:5",-0.198,0.225848434,-0.2,0.23,"-0.2","0.23","NS",NA
"PC 36:6",0.163,0.330056504,0.2,0.33,"0.2","0.33","NS",NA
"PC 36:7",0.0373,0.848150125,0,0.85,"0.0","0.85","NS",NA
"PC 38:1",-0.00863,0.956224806,0,0.96,"-0.0","0.96","NS",NA
"PC 38:2",-0.2,0.311305066,-0.2,0.31,"-0.2","0.31","NS",NA
"PC 38:3",0.208,0.253992157,0.2,0.25,"0.2","0.25","NS",NA
"PC 38:4",0.0286,0.847180788,0,0.85,"0.0","0.85","NS",NA
"PC 38:5",-0.0426,0.79071513,0,0.79,"-0.0","0.79","NS",NA
"PC 38:6",0.14,0.375756686,0.1,0.38,"0.1","0.38","NS",NA
"PC 38:7",-0.00536,0.97820684,0,0.98,"-0.0","0.98","NS",NA
"PC 40:1",-0.00859,0.943013155,0,0.94,"-0.0","0.94","NS",NA
"PC 40:2",0.114,0.555007881,0.1,0.56,"0.1","0.56","NS",NA
"PC 40:3",0.164,0.20821891,0.2,0.21,"0.2","0.21","NS",NA
"PC 40:4",0.0228,0.883565112,0,0.88,"0.0","0.88","NS",NA
"PC 40:5",0.106,0.45225589,0.1,0.45,"0.1","0.45","NS",NA
"PC 40:6",0.095,0.318789165,0.1,0.32,"0.1","0.32","NS",NA
"PC 40:7",0.137,0.302963575,0.1,0.3,"0.1","0.30","NS",NA
"PC 42:0",-0.0433,0.756337129,0,0.76,"-0.0","0.76","NS",NA
"PC 42:1",0.316,0.013973879,0.3,0.01,"0.3","0.01","NS",NA
"PC 42:10",0.308,0.030688754,0.3,0.03,"0.3","0.03","NS",NA
"PC 42:11",0.12,0.35064186,0.1,0.35,"0.1","0.35","NS",NA
"PC 42:2",0.27,0.024067875,0.3,0.02,"0.3","0.02","NS",NA
"PC 42:3",0.135,0.296059365,0.1,0.3,"0.1","0.30","NS",NA
"PC 42:4",0.00138,0.989684573,0,0.99,"0.0","0.99","NS",NA
"PC 42:5",0.0889,0.371995987,0.1,0.37,"0.1","0.37","NS",NA
"PC 42:6",0.32,0.025172732,0.3,0.03,"0.3","0.03","NS",NA
"PC 42:7",0.0953,0.480870716,0.1,0.48,"0.1","0.48","NS",NA
"PC 42:8",-0.0925,0.359551632,-0.1,0.36,"-0.1","0.36","NS",NA
"PC 42:9",-0.0133,0.933217961,0,0.93,"-0.0","0.93","NS",NA
"PC 44:0",0.0441,0.596843969,0,0.6,"0.0","0.60","NS",NA
"PC 44:1",0.104,0.372785182,0.1,0.37,"0.1","0.37","NS",NA
"PC 44:2",0.251,0.016698895,0.3,0.02,"0.3","0.02","NS",NA
"PC 44:5",0.0845,0.366809397,0.1,0.37,"0.1","0.37","NS",NA
"PC 44:8",0.187,0.026036327,0.2,0.03,"0.2","0.03","NS",NA
"PC 46:1",0.185,0.075707204,0.2,0.08,"0.2","0.08","NS",NA
"PC 46:2",0.0774,0.48035791,0.1,0.48,"0.1","0.48","NS",NA
"PC 48:2",-0.051,0.59566489,-0.1,0.6,"-0.1","0.60","NS",NA
"PC O-24:6",0.32,0.526776021,0.3,0.53,"0.3","0.53","NS",NA
"PC O-28:0",-0.0435,0.764888553,0,0.76,"-0.0","0.76","NS",NA
"PC O-28:1",-0.0716,0.675818172,-0.1,0.68,"-0.1","0.68","NS",NA
"PC O-30:1",-0.135,0.343003654,-0.1,0.34,"-0.1","0.34","NS",NA
"PC O-30:6",0.0172,0.90789941,0,0.91,"0.0","0.91","NS",NA
"PC O-32:0",-0.018,0.932673462,0,0.93,"-0.0","0.93","NS",NA
"PC O-32:1",-0.163,0.401719515,-0.2,0.4,"-0.2","0.40","NS",NA
"PC O-32:2",0.0692,0.570438662,0.1,0.57,"0.1","0.57","NS",NA
"PC O-32:3",0.317,0.024763778,0.3,0.02,"0.3","0.02","NS",NA
"PC O-32:6",0.212,0.649718298,0.2,0.65,"0.2","0.65","NS",NA
"PC O-34:0",-0.0064,0.971723219,0,0.97,"-0.0","0.97","NS",NA
"PC O-34:1",-0.0495,0.808035191,0,0.81,"-0.0","0.81","NS",NA
"PC O-34:2",0.0511,0.778083838,0.1,0.78,"0.1","0.78","NS",NA
"PC O-34:3",0.305,0.046736042,0.3,0.05,"0.3","0.05","NS",NA
"PC O-34:5",0.345,0.734969425,0.3,0.73,"0.3","0.73","NS",NA
"PC O-36:1",-0.109,0.609787284,-0.1,0.61,"-0.1","0.61","NS",NA
"PC O-36:2",-0.272,0.155638343,-0.3,0.16,"-0.3","0.16","NS",NA
"PC O-36:3",-0.0356,0.854640316,0,0.85,"-0.0","0.85","NS",NA
"PC O-36:6",-0.052,0.756318204,-0.1,0.76,"-0.1","0.76","NS",NA
"PC O-38:1",0.15,0.446807204,0.1,0.45,"0.1","0.45","NS",NA
"PC O-38:2",0.1,0.472219564,0.1,0.47,"0.1","0.47","NS",NA
"PC O-38:3",0.311,0.092411646,0.3,0.09,"0.3","0.09","NS",NA
"PC O-38:4",0.114,0.504049154,0.1,0.5,"0.1","0.50","NS",NA
"PC O-38:5",0.153,0.400304325,0.2,0.4,"0.2","0.40","NS",NA
"PC O-38:7",9.62e-05,0.999509016,0,1,"0.0","1.00","NS",NA
"PC O-40:2",0.351,0.061023632,0.4,0.06,"0.4","0.06","NS",NA
"PC O-40:3",0.157,0.18430656,0.2,0.18,"0.2","0.18","NS",NA
