"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"[CE 18:1 +NH4]",-0.823,0.00278574177933161,-0.8,0,"-0.8","<0.01","Down","[CE 18:1 +NH4]"
"[DG 38:1",-0.506,0.0746773110962197,-0.5,0.07,"-0.5","0.07","NS","[DG 38:1"
"DG 32:0 NL 16:0",0.138,0.953944604452849,0.1,0.95,"0.1","0.95","NS",NA
"DG 34:0 NL 16:0",0.198,0.931806612788177,0.2,0.93,"0.2","0.93","NS",NA
"DG 40:6 NL 16:1",-0.178,0.819262706896905,-0.2,0.82,"-0.2","0.82","NS",NA
"PC 34:5",-0.0459,0.981017337571713,0,0.98,"-0.0","0.98","NS",NA
"PC O-30:0",0.494,0.202209496635609,0.5,0.2,"0.5","0.20","NS","PC O-30:0"
"PC O-34:4",0.219,0.953944604452849,0.2,0.95,"0.2","0.95","NS",NA
"PC O-36:4",0.154,0.953944604452849,0.2,0.95,"0.2","0.95","NS",NA
"PC O-36:5",0.278,0.931806612788177,0.3,0.93,"0.3","0.93","NS",NA
"PC O-38:6",0.13,0.953944604452849,0.1,0.95,"0.1","0.95","NS",NA
"PC(20:0/8:0(COOH))",0.536,0.597770822771147,0.5,0.6,"0.5","0.60","NS","PC(20:0/8:0(COOH))"
"PE 32:1",-0.0439,0.976005796600933,0,0.98,"-0.0","0.98","NS",NA
"PE 34:1",-0.429,0.807615346455729,-0.4,0.81,"-0.4","0.81","NS",NA
"PE 34:4",-0.022,0.986640738443228,0,0.99,"-0.0","0.99","NS",NA
"PI 34:1",0.0819,0.953944604452849,0.1,0.95,"0.1","0.95","NS",NA
"PI 36:2",-0.177,0.953944604452849,-0.2,0.95,"-0.2","0.95","NS",NA
"PI 36:4",0.0879,0.953944604452849,0.1,0.95,"0.1","0.95","NS",NA
"PI 38:3",-0.259,0.931806612788177,-0.3,0.93,"-0.3","0.93","NS",NA
"PI 38:5",-0.0893,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"[CE 14:0 +NH4]",-0.12,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"[CE 16:0 +H]",-0.181,0.953944604452849,-0.2,0.95,"-0.2","0.95","NS",NA
"[CE 16:0 +NH4]",-0.00363,0.990702035694193,0,0.99,"-0.0","0.99","NS",NA
"[CE 16:1 +NH4]",-0.151,0.931806612788177,-0.2,0.93,"-0.2","0.93","NS",NA
"[CE 16:3 +K]",-0.0061,0.988995569714125,0,0.99,"-0.0","0.99","NS",NA
"[CE 18:0 +Na]",0.738,0.807615346455729,0.7,0.81,"0.7","0.81","NS",NA
"[CE 18:0 +NH4]",-0.149,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
"[CE 18:3 +Na]",-0.0866,0.953944604452849,-0.1,0.95,"-0.1","0.95","NS",NA
