"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"[CE 18:1 +NH4]",-0.0747,0.728327790813351,-0.1,0.73,"-0.1","0.73","NS",NA
"[DG 38:1",-0.304,0.0571493285160196,-0.3,0.06,"-0.3","0.06","NS",NA
"DG 32:0 NL 16:0",-0.856,0.000509949366793981,-0.9,0,"-0.9","<0.01","Down","DG 32:0 NL 16:0"
"DG 34:0 NL 16:0",-0.763,0.000579501960541153,-0.8,0,"-0.8","<0.01","Down","DG 34:0 NL 16:0"
"DG 40:6 NL 16:1",-0.691,0.000272020293441612,-0.7,0,"-0.7","<0.01","Down","DG 40:6 NL 16:1"
"PC 34:5",-0.469,0.0370777632101597,-0.5,0.04,"-0.5","0.04","NS",NA
"PC O-30:0",1.03,0.000302932727274895,1,0,"1.0","<0.01","Up","PC O-30:0"
"PC O-34:4",-0.863,0.00102982077849305,-0.9,0,"-0.9","<0.01","Down",NA
"PC O-36:4",0.859,0.00223701167079688,0.9,0,"0.9","<0.01","Up",NA
"PC O-36:5",0.555,0.0177161220383547,0.6,0.02,"0.6","0.02","Up",NA
"PC O-38:6",0.927,0.00101546023390811,0.9,0,"0.9","<0.01","Up",NA
"PC(20:0/8:0(COOH))",0.791,0.00979310428915453,0.8,0.01,"0.8","<0.01","Up",NA
"PE 32:1",0.382,0.0358407976914832,0.4,0.04,"0.4","0.04","NS",NA
"PE 34:1",0.771,0.00709096199616382,0.8,0.01,"0.8","<0.01","Up",NA
"PE 34:4",-0.773,0.00762850531323833,-0.8,0.01,"-0.8","<0.01","Down",NA
"PI 34:1",0.356,0.0392693995881915,0.4,0.04,"0.4","0.04","NS",NA
"PI 36:2",0.142,0.564759287561049,0.1,0.56,"0.1","0.56","NS",NA
"PI 36:4",0.489,0.011535764020034,0.5,0.01,"0.5","0.01","NS",NA
"PI 38:3",0.592,0.0152660271332796,0.6,0.02,"0.6","0.02","Up",NA
"PI 38:5",0.0405,0.870153119705273,0,0.87,"0.0","0.87","NS",NA
"[CE 14:0 +NH4]",-0.0353,0.863618760778813,0,0.86,"-0.0","0.86","NS",NA
"[CE 16:0 +H]",-0.432,0.082713393744882,-0.4,0.08,"-0.4","0.08","NS",NA
"[CE 16:0 +NH4]",-0.0864,0.686387346641812,-0.1,0.69,"-0.1","0.69","NS",NA
"[CE 16:1 +NH4]",-0.0646,0.727707105766106,-0.1,0.73,"-0.1","0.73","NS",NA
"[CE 16:3 +K]",-0.0202,0.909839359213272,0,0.91,"-0.0","0.91","NS",NA
"[CE 18:0 +Na]",-0.35,0.445722611940086,-0.3,0.45,"-0.3","0.45","NS",NA
"[CE 18:0 +NH4]",-0.1,0.571275100186712,-0.1,0.57,"-0.1","0.57","NS",NA
"[CE 18:3 +Na]",-0.158,0.314920243699691,-0.2,0.31,"-0.2","0.31","NS",NA
"[CE 20:3 +Na]",-0.427,0.00762850531323833,-0.4,0.01,"-0.4","<0.01","NS",NA
"[CE 20:4 +NH4]",-0.0525,0.773642595727169,-0.1,0.77,"-0.1","0.77","NS",NA
"[CE 22:2 +K]",-0.0801,0.571275100186712,-0.1,0.57,"-0.1","0.57","NS",NA
"[CE 22:6 +NH4]",-0.152,0.276469417088849,-0.2,0.28,"-0.2","0.28","NS",NA
"[CE 24:1 +Na]",-0.499,0.199234191874711,-0.5,0.2,"-0.5","0.20","NS",NA
"[TG34:2] NL 20:0",-0.42,0.00762850531323833,-0.4,0.01,"-0.4","<0.01","NS",NA
"[TG36:0] NL 18:0",-0.0703,0.816529226427189,-0.1,0.82,"-0.1","0.82","NS",NA
"[TG38:0] NL 20:0",-0.83,0.140124629845859,-0.8,0.14,"-0.8","0.14","NS",NA
"[TG44:4] NL 20:0",-0.724,0.161387691596996,-0.7,0.16,"-0.7","0.16","NS",NA
"[TG44:5] NL 20:0",-0.817,0.182888081707349,-0.8,0.18,"-0.8","0.18","NS",NA
"[TG46:0] NL 16:0",-0.101,0.562783370212395,-0.1,0.56,"-0.1","0.56","NS",NA
"[TG48:7",0.0348,0.891605335934608,0,0.89,"0.0","0.89","NS",NA
"[TG48:8",-0.0976,0.455319614500623,-0.1,0.46,"-0.1","0.46","NS",NA
"[TG50:7",-0.234,0.192192980608361,-0.2,0.19,"-0.2","0.19","NS",NA
"[TG50:8",-0.0383,0.854806084751783,0,0.85,"-0.0","0.85","NS",NA
"[TG50:8.1",-0.139,0.419104670784067,-0.1,0.42,"-0.1","0.42","NS",NA
"[TG52:8",-0.0577,0.728327790813351,-0.1,0.73,"-0.1","0.73","NS",NA
"[TG52:8.1",-0.00164,0.98876327571155,0,0.99,"-0.0","0.99","NS",NA
"Cer(d14:1/20:0)",-0.182,0.705954244004909,-0.2,0.71,"-0.2","0.71","NS",NA
"Cer(d14:1/24:0(2OH))",-0.0427,0.884242797653295,0,0.88,"-0.0","0.88","NS",NA
"Cer(d14:2/20:0)",-0.56,0.298835899936073,-0.6,0.3,"-0.6","0.30","NS",NA
"Cer(d18:0/20:0(2OH))",-0.578,0.217415223010432,-0.6,0.22,"-0.6","0.22","NS",NA
"Cer(d18:1/16:0)",0.324,0.298835899936073,0.3,0.3,"0.3","0.30","NS",NA
"Cer(d18:1/18:0)",0.131,0.453367881076468,0.1,0.45,"0.1","0.45","NS",NA
"Cer(d18:1/22:0)",0.232,0.44641635834384,0.2,0.45,"0.2","0.45","NS",NA
"Cer(d18:1/24:0)",0.0713,0.735637749968608,0.1,0.74,"0.1","0.74","NS",NA
"Cer(d18:1/24:1)",-0.0471,0.870153119705273,0,0.87,"-0.0","0.87","NS",NA
"Cer(d18:2/24:0)",0.29,0.245212917460688,0.3,0.25,"0.3","0.25","NS",NA
"CerP(d18:1/24:1)",0.245,0.199234191874711,0.2,0.2,"0.2","0.20","NS",NA
"DG 30:0 NL 14:0",-0.16,0.453367881076468,-0.2,0.45,"-0.2","0.45","NS",NA
"DG 30:1 NL 14:1",-0.214,0.190277782535093,-0.2,0.19,"-0.2","0.19","NS",NA
"DG 30:1 NL 16:0",-0.405,0.295012590344238,-0.4,0.3,"-0.4","0.30","NS",NA
"DG 30:2 NL 16:0",-0.762,0.203619460604905,-0.8,0.2,"-0.8","0.20","NS",NA
