"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"[CE 18:1 +NH4]",0.0621,0.978014236929333,0.1,0.98,"0.1","0.98","NS",NA
"[DG 38:1",-0.114,0.835442637825686,-0.1,0.84,"-0.1","0.84","NS",NA
"DG 32:0 NL 16:0",-0.0618,0.978014236929333,-0.1,0.98,"-0.1","0.98","NS",NA
"DG 34:0 NL 16:0",0.0212,0.998456697304311,0,1,"0.0","1.00","NS",NA
"DG 40:6 NL 16:1",0.0222,0.998456697304311,0,1,"0.0","1.00","NS",NA
"PC 34:5",0.276,0.703432525559224,0.3,0.7,"0.3","0.70","NS",NA
"PC O-30:0",0.194,0.783852927068135,0.2,0.78,"0.2","0.78","NS",NA
"PC O-34:4",-0.033,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"PC O-36:4",0.369,0.626505494428752,0.4,0.63,"0.4","0.63","NS",NA
"PC O-36:5",0.411,0.497266208322466,0.4,0.5,"0.4","0.50","NS","PC O-36:5"
"PC O-38:6",0.605,0.258821883479312,0.6,0.26,"0.6","0.26","NS","PC O-38:6"
"PC(20:0/8:0(COOH))",0.428,0.626505494428752,0.4,0.63,"0.4","0.63","NS",NA
"PE 32:1",-0.0978,0.897447277843379,-0.1,0.9,"-0.1","0.90","NS",NA
"PE 34:1",0.0557,0.995250348509239,0.1,1,"0.1","1.00","NS",NA
"PE 34:4",0.121,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"PI 34:1",-0.302,0.501802604933202,-0.3,0.5,"-0.3","0.50","NS",NA
"PI 36:2",-0.419,0.497266208322466,-0.4,0.5,"-0.4","0.50","NS","PI 36:2"
"PI 36:4",0.249,0.649923037009257,0.2,0.65,"0.2","0.65","NS",NA
"PI 38:3",0.0896,0.964071504866061,0.1,0.96,"0.1","0.96","NS",NA
"PI 38:5",-0.0282,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"[CE 14:0 +NH4]",0.0977,0.851781189323638,0.1,0.85,"0.1","0.85","NS",NA
"[CE 16:0 +H]",-0.0401,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"[CE 16:0 +NH4]",-0.132,0.819582966663752,-0.1,0.82,"-0.1","0.82","NS",NA
"[CE 16:1 +NH4]",0.13,0.783852927068135,0.1,0.78,"0.1","0.78","NS",NA
"[CE 16:3 +K]",0.139,0.785936800015069,0.1,0.79,"0.1","0.79","NS",NA
"[CE 18:0 +Na]",-0.556,0.681012777213551,-0.6,0.68,"-0.6","0.68","NS",NA
"[CE 18:0 +NH4]",0.0742,0.924067761827192,0.1,0.92,"0.1","0.92","NS",NA
"[CE 18:3 +Na]",-0.0278,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"[CE 20:3 +Na]",-0.048,0.983273573225829,0,0.98,"-0.0","0.98","NS",NA
"[CE 20:4 +NH4]",-0.000191,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"[CE 22:2 +K]",-0.0602,0.924067761827192,-0.1,0.92,"-0.1","0.92","NS",NA
"[CE 22:6 +NH4]",-0.0308,0.995250348509239,0,1,"-0.0","1.00","NS",NA
"[CE 24:1 +Na]",-0.00226,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"[TG34:2] NL 20:0",0.0426,0.983273573225829,0,0.98,"0.0","0.98","NS",NA
"[TG36:0] NL 18:0",-0.0569,0.984532754964246,-0.1,0.98,"-0.1","0.98","NS",NA
"[TG38:0] NL 20:0",-0.0624,0.998456697304311,-0.1,1,"-0.1","1.00","NS",NA
"[TG44:4] NL 20:0",-0.218,0.939981095851859,-0.2,0.94,"-0.2","0.94","NS",NA
"[TG44:5] NL 20:0",-0.157,0.983273573225829,-0.2,0.98,"-0.2","0.98","NS",NA
"[TG46:0] NL 16:0",-0.0864,0.893499778036102,-0.1,0.89,"-0.1","0.89","NS",NA
"[TG48:7",-0.0111,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"[TG48:8",-0.008,0.998456697304311,0,1,"-0.0","1.00","NS",NA
"[TG50:7",-0.245,0.627978789039065,-0.2,0.63,"-0.2","0.63","NS",NA
"[TG50:8",-0.0842,0.871036600300342,-0.1,0.87,"-0.1","0.87","NS",NA
"[TG50:8.1",-0.347,0.484947113196443,-0.3,0.48,"-0.3","0.48","NS","[TG50:8.1"
"[TG52:8",-0.0463,0.978014236929333,0,0.98,"-0.0","0.98","NS",NA
