"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"[CE 18:1 +NH4]",0.206,0.111730586,0.2,0.11,"0.2","0.11","NS",NA
"[DG 38:1",-0.0564,0.619179605,-0.1,0.62,"-0.1","0.62","NS",NA
"DG 32:0 NL 16:0",-0.585,0.000221838,-0.6,0,"-0.6","<0.01","Down","DG 32:0 NL 16:0"
"DG 34:0 NL 16:0",-0.638,4.42e-05,-0.6,0,"-0.6","<0.01","Down","DG 34:0 NL 16:0"
"DG 40:6 NL 16:1",-0.299,0.002882162,-0.3,0,"-0.3","<0.01","NS",NA
"PC 34:5",0.0302,0.848443659,0,0.85,"0.0","0.85","NS",NA
"PC O-30:0",0.46,0.003734526,0.5,0,"0.5","<0.01","Up",NA
"PC O-34:4",-0.379,0.031256508,-0.4,0.03,"-0.4","0.03","Down",NA
"PC O-36:4",0.548,0.006827195,0.5,0.01,"0.5","<0.01","Up",NA
"PC O-36:5",-0.0338,0.833711091,0,0.83,"-0.0","0.83","NS",NA
"PC O-38:6",0.585,0.002759166,0.6,0,"0.6","<0.01","Up",NA
"PC(20:0/8:0(COOH))",-0.175,0.391038522,-0.2,0.39,"-0.2","0.39","NS",NA
"PE 32:1",-0.137,0.294379718,-0.1,0.29,"-0.1","0.29","NS",NA
"PE 34:1",0.474,0.019650143,0.5,0.02,"0.5","0.02","Up",NA
"PE 34:4",-0.286,0.144175677,-0.3,0.14,"-0.3","0.14","NS",NA
"PI 34:1",-0.093,0.449449583,-0.1,0.45,"-0.1","0.45","NS",NA
"PI 36:2",0.0305,0.848972961,0,0.85,"0.0","0.85","NS",NA
"PI 36:4",-0.443,0.003430732,-0.4,0,"-0.4","<0.01","Down",NA
"PI 38:3",0.087,0.600919743,0.1,0.6,"0.1","0.60","NS",NA
"PI 38:5",-0.296,0.056513807,-0.3,0.06,"-0.3","0.06","NS",NA
"[CE 14:0 +NH4]",-0.0138,0.890912716,0,0.89,"-0.0","0.89","NS",NA
"[CE 16:0 +H]",-0.353,0.06004817,-0.4,0.06,"-0.4","0.06","NS",NA
"[CE 16:0 +NH4]",-0.0631,0.617538314,-0.1,0.62,"-0.1","0.62","NS",NA
"[CE 16:1 +NH4]",-0.163,0.133443592,-0.2,0.13,"-0.2","0.13","NS",NA
"[CE 16:3 +K]",-0.202,0.092110744,-0.2,0.09,"-0.2","0.09","NS",NA
"[CE 18:0 +Na]",-0.194,0.526298344,-0.2,0.53,"-0.2","0.53","NS",NA
"[CE 18:0 +NH4]",-0.105,0.370261222,-0.1,0.37,"-0.1","0.37","NS",NA
"[CE 18:3 +Na]",-0.152,0.174381584,-0.2,0.17,"-0.2","0.17","NS",NA
"[CE 20:3 +Na]",0.00234,0.982099206,0,0.98,"0.0","0.98","NS",NA
"[CE 20:4 +NH4]",0.0992,0.324297281,0.1,0.32,"0.1","0.32","NS",NA
"[CE 22:2 +K]",-0.00404,0.964963481,0,0.96,"-0.0","0.96","NS",NA
"[CE 22:6 +NH4]",-0.0814,0.40307109,-0.1,0.4,"-0.1","0.40","NS",NA
"[CE 24:1 +Na]",-0.209,0.436118268,-0.2,0.44,"-0.2","0.44","NS",NA
"[TG34:2] NL 20:0",-0.0905,0.384858685,-0.1,0.38,"-0.1","0.38","NS",NA
"[TG36:0] NL 18:0",0.0128,0.93402317,0,0.93,"0.0","0.93","NS",NA
"[TG38:0] NL 20:0",-0.578,0.151037784,-0.6,0.15,"-0.6","0.15","NS",NA
"[TG44:4] NL 20:0",-0.512,0.162637892,-0.5,0.16,"-0.5","0.16","NS",NA
"[TG44:5] NL 20:0",-0.606,0.161934693,-0.6,0.16,"-0.6","0.16","NS",NA
"[TG46:0] NL 16:0",-0.0968,0.392357391,-0.1,0.39,"-0.1","0.39","NS",NA
"[TG48:7",-0.338,0.053683559,-0.3,0.05,"-0.3","0.05","NS",NA
"[TG48:8",0.0509,0.561572712,0.1,0.56,"0.1","0.56","NS",NA
"[TG50:7",-0.108,0.38517744,-0.1,0.39,"-0.1","0.39","NS",NA
"[TG50:8",-0.0748,0.444974558,-0.1,0.44,"-0.1","0.44","NS",NA
"[TG50:8.1",-0.0741,0.522852986,-0.1,0.52,"-0.1","0.52","NS",NA
"[TG52:8",-0.0234,0.804165252,0,0.8,"-0.0","0.80","NS",NA
"[TG52:8.1",0.00774,0.934140383,0,0.93,"0.0","0.93","NS",NA
"Cer(d14:1/20:0)",-0.285,0.316521369,-0.3,0.32,"-0.3","0.32","NS",NA
"Cer(d14:1/24:0(2OH))",-0.0906,0.630780885,-0.1,0.63,"-0.1","0.63","NS",NA
"Cer(d14:2/20:0)",-0.49,0.200553907,-0.5,0.2,"-0.5","0.20","NS",NA
"Cer(d18:0/20:0(2OH))",-0.774,0.027648225,-0.8,0.03,"-0.8","0.03","Down",NA
"Cer(d18:1/16:0)",-0.139,0.519890562,-0.1,0.52,"-0.1","0.52","NS",NA
"Cer(d18:1/18:0)",0.109,0.355937629,0.1,0.36,"0.1","0.36","NS",NA
"Cer(d18:1/22:0)",0.127,0.533146424,0.1,0.53,"0.1","0.53","NS",NA
"Cer(d18:1/24:0)",0.11,0.371129375,0.1,0.37,"0.1","0.37","NS",NA
"Cer(d18:1/24:1)",0.208,0.22979365,0.2,0.23,"0.2","0.23","NS",NA
"Cer(d18:2/24:0)",0.418,0.026090028,0.4,0.03,"0.4","0.03","Up",NA
"CerP(d18:1/24:1)",0.245,0.076295332,0.2,0.08,"0.2","0.08","NS",NA
"DG 30:0 NL 14:0",-0.244,0.100735343,-0.2,0.1,"-0.2","0.10","NS",NA
"DG 30:1 NL 14:1",-0.308,0.013729989,-0.3,0.01,"-0.3","0.01","NS",NA
"DG 30:1 NL 16:0",-0.404,0.14333224,-0.4,0.14,"-0.4","0.14","NS",NA
"DG 30:2 NL 16:0",-0.609,0.152520246,-0.6,0.15,"-0.6","0.15","NS",NA
"DG 30:2 NL 16:1",-0.323,0.11912895,-0.3,0.12,"-0.3","0.12","NS",NA
"DG 30:2 NL 20:0",-0.33,0.13949655,-0.3,0.14,"-0.3","0.14","NS",NA
"DG 30:3 NL 16:1",-0.377,0.24973703,-0.4,0.25,"-0.4","0.25","NS",NA
"DG 30:3 NL 20:0",-0.237,0.453479117,-0.2,0.45,"-0.2","0.45","NS",NA
"DG 32:1 NL 16:0",-0.244,0.037188011,-0.2,0.04,"-0.2","0.04","NS",NA
"DG 32:1 NL 16:1",-0.221,0.132333964,-0.2,0.13,"-0.2","0.13","NS",NA
"DG 32:5 NL 18:1",-0.478,0.063216065,-0.5,0.06,"-0.5","0.06","Down",NA
"DG 34:0 NL 18:0",-0.491,0.006463918,-0.5,0.01,"-0.5","<0.01","Down",NA
"DG 34:0 NL 20:0",-0.321,0.039554145,-0.3,0.04,"-0.3","0.04","NS",NA
"DG 34:1 NL 16:0",-0.0111,0.930498456,0,0.93,"-0.0","0.93","NS",NA
"DG 34:1 NL 16:1",-0.338,0.003856896,-0.3,0,"-0.3","<0.01","NS",NA
"DG 34:1 NL 18:1",0.0125,0.926655058,0,0.93,"0.0","0.93","NS",NA
"DG 34:1 NL 20:0",-0.494,0.075395167,-0.5,0.08,"-0.5","0.08","Down",NA
"DG 34:2 NL 16:1",-0.419,0.017201821,-0.4,0.02,"-0.4","0.02","Down",NA
"DG 34:2 NL 18:1",-0.166,0.214591399,-0.2,0.21,"-0.2","0.21","NS",NA
"DG 34:2 NL 20:0",-0.582,0.055871115,-0.6,0.06,"-0.6","0.06","Down",NA
"DG 34:3 NL 18:1",-0.314,0.302233845,-0.3,0.3,"-0.3","0.30","NS",NA
"DG 36:0 NL 16:0",-0.133,0.280023731,-0.1,0.28,"-0.1","0.28","NS",NA
"DG 36:0 NL 18:0",-0.448,0.003258741,-0.4,0,"-0.4","<0.01","Down",NA
"DG 36:1 NL 16:1",-0.211,0.076532926,-0.2,0.08,"-0.2","0.08","NS",NA
"DG 36:1 NL 18:0",-0.102,0.274763471,-0.1,0.27,"-0.1","0.27","NS",NA
"DG 36:1 NL 18:1",-0.167,0.25318026,-0.2,0.25,"-0.2","0.25","NS",NA
"DG 36:2 NL 18:1",-0.154,0.234407277,-0.2,0.23,"-0.2","0.23","NS",NA
"DG 36:5 NL 16:0",-0.258,0.243407639,-0.3,0.24,"-0.3","0.24","NS",NA
"DG 36:6 NL 16:0",-0.356,0.523290084,-0.4,0.52,"-0.4","0.52","NS",NA
"DG 36:6 NL 22:5",-0.52,0.098926583,-0.5,0.1,"-0.5","0.10","Down",NA
"DG 36:7 NL 16:0",-0.243,0.697062278,-0.2,0.7,"-0.2","0.70","NS",NA
"DG 36:7 NL 16:1",-0.497,0.134945972,-0.5,0.13,"-0.5","0.13","NS",NA
"DG 36:7 NL 20:0",-0.273,0.070388116,-0.3,0.07,"-0.3","0.07","NS",NA
"DG 36:7 NL 22:5",-0.452,0.283530156,-0.5,0.28,"-0.5","0.28","NS",NA
"DG 36:8 NL 22:6",-0.431,0.224555466,-0.4,0.22,"-0.4","0.22","NS",NA
"DG 38:0 NL 18:0",-0.203,0.12319342,-0.2,0.12,"-0.2","0.12","NS",NA
"DG 38:0 NL 20:0",-0.379,0.138806748,-0.4,0.14,"-0.4","0.14","NS",NA
"DG 40:5 NL 20:0",-0.269,0.102427199,-0.3,0.1,"-0.3","0.10","NS",NA
"DG 40:5 NL 22:5",-0.482,0.001268167,-0.5,0,"-0.5","<0.01","Down",NA
"DG 40:6 NL 20:0",-0.478,0.134599651,-0.5,0.13,"-0.5","0.13","NS",NA
"DG 40:6 NL 22:6",-0.54,0.090795549,-0.5,0.09,"-0.5","0.09","Down",NA
"DG 40:7 NL 22:6",-0.541,0.00083597,-0.5,0,"-0.5","<0.01","Down",NA
"DG 42:10 NL 22:5",-0.538,0.049678199,-0.5,0.05,"-0.5","0.05","Down",NA
"DG 42:11 NL 16:0",-0.411,0.291934777,-0.4,0.29,"-0.4","0.29","NS",NA
"DG 42:11 NL 22:5",-0.354,0.522050236,-0.4,0.52,"-0.4","0.52","NS",NA
"LPC 16:0",-0.0989,0.765390455,-0.1,0.77,"-0.1","0.77","NS",NA
"LPC 16:1",0.0803,0.779052871,0.1,0.78,"0.1","0.78","NS",NA
"LPC 18:0",-0.442,0.063115327,-0.4,0.06,"-0.4","0.06","Down",NA
"LPC 18:1",0.137,0.772441362,0.1,0.77,"0.1","0.77","NS",NA
"LPC 18:2",-0.0688,0.580488332,-0.1,0.58,"-0.1","0.58","NS",NA
"LPC 20:0",-0.217,0.03742121,-0.2,0.04,"-0.2","0.04","NS",NA
"LPC 24:0",-0.233,0.114445946,-0.2,0.11,"-0.2","0.11","NS",NA
"LPC 26:0",-0.268,0.300817618,-0.3,0.3,"-0.3","0.30","NS",NA
"LPC O-18:1",-0.09,0.456529642,-0.1,0.46,"-0.1","0.46","NS",NA
"LPC O-20:4",-0.575,0.006848631,-0.6,0.01,"-0.6","<0.01","Down",NA
"LPC O-20:5",-0.179,0.219843395,-0.2,0.22,"-0.2","0.22","NS",NA
"LPC(14:0)",0.111,0.520179204,0.1,0.52,"0.1","0.52","NS",NA
"LPC(20:1)",-0.176,0.243198327,-0.2,0.24,"-0.2","0.24","NS",NA
"LPE 18:0",-0.184,0.286752315,-0.2,0.29,"-0.2","0.29","NS",NA
