sample,Treatment,Rep,Genetype,Experiment
s1_Acute,Veh,1,RDH12,Acute
s2_Acute,Veh,2,RDH12,Acute
s3_Acute,Veh,3,RDH12,Acute
s4_Acute,100,1,RDH12,Acute
s5_Acute,100,2,RDH12,Acute
s6_Acute,100,3,RDH12,Acute
s7_Acute,200,1,RDH12,Acute
s8_Acute,200,2,RDH12,Acute
s9_Acute,200,3,RDH12,Acute
s1_Recovery,Veh,1,Control,Recovery
s2_Recovery,Veh,2,Control,Recovery
s3_Recovery,Veh,3,Control,Recovery
s4_Recovery,100,1,Control,Recovery
s5_Recovery,100,2,Control,Recovery
s6_Recovery,100,3,Control,Recovery
s7_Recovery,200,1,Control,Recovery
s8_Recovery,200,2,Control,Recovery
s9_Recovery,200,3,Control,Recovery
s10_Recovery,Veh,1,RDH12 ,Recovery
s11_Recovery,Veh,2,RDH12 ,Recovery
s12_Recovery,Veh,3,RDH12 ,Recovery
s13_Recovery,100,1,RDH12 ,Recovery
s14_Recovery,100,2,RDH12 ,Recovery
s15_Recovery,100,3,RDH12 ,Recovery
s16_Recovery,200,1,RDH12 ,Recovery
s17_Recovery,200,2,RDH12 ,Recovery
s18_Recovery,200,3,RDH12 ,Recovery
