"","lipid_class","distinct_precursor","percent","label"
"1","CAR",2,0.00884955752212389,"CAR (1%)"
"2","CE",9,0.0398230088495575,"CE (4%)"
"3","Cer",11,0.0486725663716814,"Cer (5%)"
"4","DG",25,0.110619469026549,"DG (11%)"
"5","LPC",8,0.0353982300884956,"LPC (4%)"
"6","LPE",1,0.00442477876106195,"LPE (0%)"
"7","PC",84,0.371681415929204,"PC (37%)"
"8","PE",25,0.110619469026549,"PE (11%)"
"9","PG",1,0.00442477876106195,"PG (0%)"
"10","PI",14,0.0619469026548673,"PI (6%)"
"11","PS",8,0.0353982300884956,"PS (4%)"
"12","SM",21,0.0929203539823009,"SM (9%)"
"13","TG",17,0.0752212389380531,"TG (8%)"
