"","name","ID","Control_100_vs_Control_Veh_p.val","Control_200_vs_Control_100_p.val","Control_200_vs_Control_Veh_p.val","RDH12._100_vs_Control_100_p.val","RDH12._100_vs_RDH12._Veh_p.val","RDH12._200_vs_Control_200_p.val","RDH12._200_vs_RDH12._100_p.val","RDH12._200_vs_RDH12._Veh_p.val","RDH12._Veh_vs_Control_Veh_p.val","Control_100_vs_Control_Veh_p.adj","Control_200_vs_Control_100_p.adj","Control_200_vs_Control_Veh_p.adj","RDH12._100_vs_Control_100_p.adj","RDH12._100_vs_RDH12._Veh_p.adj","RDH12._200_vs_Control_200_p.adj","RDH12._200_vs_RDH12._100_p.adj","RDH12._200_vs_RDH12._Veh_p.adj","RDH12._Veh_vs_Control_Veh_p.adj","Control_100_vs_Control_Veh_significant","Control_200_vs_Control_100_significant","Control_200_vs_Control_Veh_significant","RDH12._100_vs_Control_100_significant","RDH12._100_vs_RDH12._Veh_significant","RDH12._200_vs_Control_200_significant","RDH12._200_vs_RDH12._100_significant","RDH12._200_vs_RDH12._Veh_significant","RDH12._Veh_vs_Control_Veh_significant","significant","Control_100_vs_Control_Veh_ratio","Control_200_vs_Control_100_ratio","Control_200_vs_Control_Veh_ratio","RDH12._100_vs_Control_100_ratio","RDH12._100_vs_RDH12._Veh_ratio","RDH12._200_vs_Control_200_ratio","RDH12._200_vs_RDH12._100_ratio","RDH12._200_vs_RDH12._Veh_ratio","RDH12._Veh_vs_Control_Veh_ratio","Control_100_centered","Control_200_centered","Control_Veh_centered","RDH12._100_centered","RDH12._200_centered","RDH12._Veh_centered"
"1","[CE 18:1 +NH4]","668.63457 -> 369.2",0.0098687365740919,0.34254235989195,0.00137227846775699,0.0531434227539709,7.73817160925447e-06,0.548853110623671,0.617090475426501,1.83053780409285e-05,0.111730586344892,0.463,0.931,0.0169,0.687,1.29e-09,0.916,0.966,0.00405,0.806,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,-0.361,-0.119,-0.481,-0.256,-0.823,-0.0747,0.0621,-0.761,0.206,-0.0598,-0.179,0.301,-0.316,-0.254,0.507
"2","[DG 38:1","668.56177 -> 369.26177",0.00402807459537847,0.948147351727663,0.00460295422499529,0.12029987562885,0.000414873950534554,0.0155677650645748,0.322573685160473,6.0499276062537e-05,0.619179605066671,0.354,0.962,0.0665,0.797,0.000504,0.738,0.941,0.00796,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-0.379,0.00734,-0.372,-0.183,-0.506,-0.304,-0.114,-0.619,-0.0564,-0.0381,-0.0308,0.341,-0.221,-0.335,0.284
"3","DG 32:0 NL 16:0","586.54107 -> 313.274291",0.145845522602985,0.00053625292949746,0.0115943871341237,0.0448673538876736,0.268685024739356,4.24957805661651e-06,0.613794549855097,0.535618821036525,0.00022183789502538,0.878,0.196,0.134,0.659,0.875,0.087,0.966,0.903,0.148,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-0.184,0.531,0.346,-0.263,0.138,-0.856,-0.0618,0.076,-0.585,0.0458,0.576,0.23,-0.217,-0.279,-0.355
"4","DG 34:0 NL 16:0","614.57237 -> 341.305591",0.655917302305703,0.00301029143826855,0.00752792674078366,0.003303914333335,0.094782256258636,6.43891067267948e-06,0.850893668229373,0.0671773864946002,4.42320996352128e-05,0.955,0.366,0.0969,0.195,0.662,0.0999,0.975,0.703,0.148,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-0.0504,0.395,0.344,-0.39,0.198,-0.763,0.0212,0.219,-0.638,0.15,0.545,0.201,-0.239,-0.218,-0.438
"5","DG 40:6 NL 16:1","686.57237 -> 415.321241",0.00740372404512915,3.22671556617781e-05,0.0132970578490735,0.0205555184810487,0.0505938479638358,7.55611926226699e-07,0.794270824852828,0.0823658934671461,0.00288216217562531,0.434,0.0217,0.145,0.511,0.461,0.0384,0.973,0.732,0.328,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-0.26,0.496,0.236,-0.217,-0.178,-0.691,0.0222,-0.156,-0.299,-0.0507,0.445,0.209,-0.268,-0.246,-0.0899
"6","PC 34:5","752.523025 -> 184.07",0.241555679949603,0.00358825752663997,0.000319291445783721,0.206713861789142,0.771915294185536,0.00896045944245525,0.0967244483512628,0.160057885122369,0.848443659372838,0.912,0.391,0.00369,0.851,0.957,0.691,0.831,0.811,0.923,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.19,0.539,0.729,-0.205,-0.0459,-0.469,0.276,0.23,0.0302,-0.00924,0.53,-0.199,-0.215,0.0613,-0.169
"7","PC O-30:0","692.559425 -> 184.07",0.00742503962213139,0.041758035644312,0.394596486220913,0.00113586911772498,0.0022467721848401,1.68295959597164e-06,0.168080627735841,0.000132639720901382,0.00373452594900846,0.434,0.777,0.834,0.131,0.0125,0.0519,0.895,0.0209,0.348,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.415,-0.298,0.117,0.54,0.494,1.03,0.194,0.688,0.46,-0.101,-0.399,-0.516,0.439,0.632,-0.0554
"8","PC O-34:4","740.559425 -> 184.07",0.613504832795294,0.00224803055427937,0.000803207077405077,0.148954579210674,0.189411286757148,7.88197484495419e-05,0.838112228074306,0.261245133436658,0.0312565080006011,0.953,0.344,0.00986,0.82,0.822,0.137,0.974,0.855,0.673,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0819,0.588,0.67,-0.242,0.219,-0.863,-0.033,0.186,-0.379,0.0786,0.666,-0.00336,-0.163,-0.196,-0.382
"9","PC O-36:4","768.627125 -> 184.07",0.000463744942968309,0.00528869788816622,0.241649419355747,0.651379754685197,0.389933033543329,0.000198845481848612,0.0515269695817683,0.00912563040510233,0.00682719549820617,0.0914,0.451,0.765,0.924,0.914,0.229,0.715,0.451,0.445,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.782,-0.57,0.212,-0.0802,0.154,0.859,0.369,0.523,0.548,0.23,-0.34,-0.553,0.149,0.518,-0.00455
"10","PC O-36:5","766.575025 -> 184.07",0.289829758345357,0.650051443722717,0.535018312411378,0.66019078546341,0.0993282749102515,0.00329716715713824,0.0204841433658959,0.000606500066129241,0.833711090911757,0.922,0.952,0.868,0.925,0.675,0.586,0.465,0.0851,0.923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.173,-0.0732,0.1,0.0709,0.278,0.555,0.411,0.689,-0.0338,-0.0165,-0.0896,-0.19,0.0544,0.465,-0.224
"11","PC O-38:6","792.590725 -> 184.07",0.000231403605976945,0.0281938180940729,0.0290852996404737,0.654028028542031,0.436012286509471,4.83459534847387e-05,0.00215684902899427,0.000441271292448297,0.00275916572696065,0.0871,0.726,0.284,0.925,0.924,0.133,0.096,0.0681,0.325,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.789,-0.396,0.393,-0.0743,0.13,0.927,0.605,0.735,0.585,0.156,-0.24,-0.634,0.0813,0.686,-0.0488
