"","lipid_class","unsat_class","distinct_precursor","group","proportion"
"1","CE","MUFA",2,"RDH12_Veh",0.181818181818182
"2","CE","PUFA",5,"RDH12_Veh",0.454545454545455
"3","CE","SFA",4,"RDH12_Veh",0.363636363636364
"4","Cer","MUFA",3,"RDH12_Veh",0.5
"5","Cer","PUFA",2,"RDH12_Veh",0.333333333333333
"6","Cer","SFA",1,"RDH12_Veh",0.166666666666667
"7","DG","MUFA",6,"RDH12_Veh",0.285714285714286
"8","DG","PUFA",11,"RDH12_Veh",0.523809523809524
"9","DG","SFA",4,"RDH12_Veh",0.19047619047619
"10","LPC","MUFA",3,"RDH12_Veh",0.333333333333333
"11","LPC","PUFA",2,"RDH12_Veh",0.222222222222222
"12","LPC","SFA",4,"RDH12_Veh",0.444444444444444
"13","LPE","MUFA",1,"RDH12_Veh",1
"14","PC","MUFA",18,"RDH12_Veh",0.174757281553398
"15","PC","PUFA",71,"RDH12_Veh",0.689320388349515
"16","PC","SFA",14,"RDH12_Veh",0.135922330097087
"17","PE","MUFA",8,"RDH12_Veh",0.205128205128205
"18","PE","PUFA",28,"RDH12_Veh",0.717948717948718
"19","PE","SFA",3,"RDH12_Veh",0.0769230769230769
"20","PG","MUFA",2,"RDH12_Veh",0.666666666666667
"21","PG","PUFA",1,"RDH12_Veh",0.333333333333333
"22","PI","MUFA",5,"RDH12_Veh",0.238095238095238
"23","PI","PUFA",14,"RDH12_Veh",0.666666666666667
"24","PI","SFA",2,"RDH12_Veh",0.0952380952380952
"25","PS","MUFA",4,"RDH12_Veh",0.235294117647059
"26","PS","PUFA",11,"RDH12_Veh",0.647058823529412
"27","PS","SFA",2,"RDH12_Veh",0.117647058823529
"28","SM","MUFA",7,"RDH12_Veh",0.333333333333333
"29","SM","PUFA",8,"RDH12_Veh",0.380952380952381
"30","SM","SFA",6,"RDH12_Veh",0.285714285714286
"31","TG","MUFA",3,"RDH12_Veh",0.166666666666667
"32","TG","PUFA",12,"RDH12_Veh",0.666666666666667
"33","TG","SFA",3,"RDH12_Veh",0.166666666666667
