"","lipid_class","unsat_class","RDH12_Veh","RDH12_100","RDH12_200","Ctrl_Veh","Ctrl_100","Ctrl_200"
"1","CE","MUFA",2,2,3,2,2,1
"2","CE","PUFA",5,2,1,1,1,1
"3","CE","SFA",4,2,NA,1,2,1
"4","Cer","MUFA",3,3,3,3,3,3
"5","Cer","PUFA",2,2,2,2,2,2
"6","Cer","SFA",1,1,1,1,1,1
"7","DG","MUFA",6,6,5,6,3,2
"8","DG","PUFA",11,12,8,10,11,8
"9","DG","SFA",4,5,2,2,3,3
"10","LPC","MUFA",3,3,3,3,3,3
"11","LPC","PUFA",2,2,2,1,3,1
"12","LPC","SFA",4,4,3,2,3,3
"13","LPE","MUFA",1,1,2,1,1,NA
"14","PC","MUFA",18,20,19,15,16,14
"15","PC","PUFA",71,68,74,62,67,62
"16","PC","SFA",14,18,19,14,15,13
"17","PE","MUFA",8,9,9,6,7,5
"18","PE","PUFA",28,31,30,22,23,17
"19","PE","SFA",3,4,5,2,3,2
"20","PG","MUFA",2,2,2,1,2,NA
"21","PG","PUFA",1,1,1,1,1,1
"22","PI","MUFA",5,6,5,4,6,2
"23","PI","PUFA",14,13,13,13,14,6
"24","PI","SFA",2,3,2,2,2,NA
"25","PS","MUFA",4,6,5,4,6,4
"26","PS","PUFA",11,10,11,10,11,5
"27","PS","SFA",2,1,2,1,2,1
"28","SM","MUFA",7,7,7,7,8,5
"29","SM","PUFA",8,7,3,8,9,4
"30","SM","SFA",6,5,5,4,6,3
"31","TG","MUFA",3,3,3,2,2,1
"32","TG","PUFA",12,10,8,5,3,4
"33","TG","SFA",3,5,3,2,3,1
"34","LPE","SFA",NA,NA,NA,NA,1,NA
"35","LPE","PUFA",NA,NA,NA,NA,NA,1
"36","PG","SFA",NA,NA,NA,NA,NA,1
