"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"CAR 20:1","454.389625 -> 85.1","454","85","CAR","4351.800289","4108.960293","3929.80027","3932.260273","3834.88026","3802.060268","10874.96076","4090.260311","4004.900291"
"CAR 22:0","484.436625 -> 85.1","484","85","CAR","3966.140266","3795.68029","3467.00024","3900.680271","3580.560272","3979.420292","6332.680439","3695.520245","3905.780273"
"[CE 16:0 +H]","625.592325 -> 369.2","625","369","CE","2008.340134","1887.880131","2082.420151","2446.16016","2028.040146","3168.420254","2073.220154","2692.30019","1958.320133"
"[CE 16:1 +NH4]","640.60327 -> 369.2","640","369","CE","2082.740158","1799.42012","1971.400127","1882.420113","2243.080166","1747.920143","1892.480145","1939.600117","1915.660137"
"[CE 16:0 +NH4]","642.61887 -> 369.2","642","369","CE","2400.500156","1781.180115","2295.440178","1824.260151","1786.800125","1957.980145","1742.060116","1909.980141","2131.22015"
"[CE 18:2 +NH4]","666.61887 -> 369.2","666","369","CE","2189.66016","1806.640121","1866.56012","1651.160114","1888.760124","1894.780132","2003.360153","1823.10014","1919.96014"
"[CE 18:1 +NH4]","668.63457 -> 369.2","668","369","CE","4017.800278","2750.420216","3683.580254","3551.140259","3071.12022","3536.240231","3498.16024","2293.720142","4051.200268"
"[CE 18:3 +Na]","669.55867 -> 369.2","669","369","CE","2582.980217","1862.660137","2053.16013","1706.600113","2113.360153","1835.080139","2226.920162","1635.380104","2285.720173"
"[CE 20:1 +Na]","701.623625 -> 369.2","701","369","CE","1605.700104","1523.680096","1809.920124","1942.28014","1529.800098","2683.220196","1691.560116","2205.460152","1943.980145"
"[CE 22:6 +NH4]","714.61887 -> 369.2","714","369","CE","2146.400173","2040.600143","2199.660172","1818.00013","2012.680145","2387.14019","1851.240143","1989.920124","2536.700161"
"[CE 24:1 +Na]","757.68387 -> 369.2","757","369","CE","2280.280155","2488.14019","2074.140141","2876.040192","2291.660156","3213.300232","2030.380138","4235.720276","2340.680172"
"Cer(d14:2/16:0)","480.441625 -> 206.3","480","206","Cer","1428.640095","1513.30011","1485.900101","1772.66013","1650.400116","3184.140232","1620.460121","1597.880112","1564.340107"
"Cer(d14:1/16:0)","482.457325 -> 208.3","482","208","Cer","1297.260086","1395.400093","1357.060089","1504.900101","1491.340111","2003.800152","1433.180096","1443.3801","1388.100105"
"Cer(d14:2/20:0)","536.504225 -> 206.3","536","206","Cer","2461.360146","3336.380234","4738.760368","5479.520401","3264.080223","5469.800293","3308.900234","6684.240421","3025.320232"
"Cer(d14:1/20:0)","538.519925 -> 208.3","538","208","Cer","1727.920113","2254.580147","2671.100151","3869.500271","1917.580139","3480.020237","2751.54018","4552.920246","2198.500168"
"Cer(d18:1/16:0)","538.519925 -> 264.3","538","264","Cer","2794.480221","2207.42017","2965.960201","2979.740189","2419.020164","3230.620239","3604.140293","3547.760231","3167.26022"
"Cer(d18:1/18:0)","566.551225 -> 264.3","566","264","Cer","1912.70013","1447.540115","1534.100124","1383.240097","1618.220127","1794.800133","1871.400112","1661.180122","1914.620129"
"Cer(d18:0/20:0)","596.598125 -> 266.3","596","266","Cer","1388.280106","1332.720085","1442.520103","1907.080124","1331.7201","1352.600101","1256.000088","1589.600117","1289.760098"
"Cer(d14:1/24:0(2OH))","610.577425 -> 208.3","610","208","Cer","1393.180092","1496.640099","1612.360107","2204.460159","1477.020107","1767.560127","1653.42012","2113.120159","1450.340099"
"Cer(d18:1/20:0(OH)","610.577425 -> 264.3","610","264","Cer","1357.400085","1495.500103","1870.920116","1691.440121","1461.82011","1624.560112","1517.740112","2248.340179","1317.700096"
"Cer(d18:0/20:0(2OH))","612.593125 -> 266.3","612","266","Cer","2969.200218","3598.760231","4247.660244","7648.920708","4042.180237","5753.980354","2852.440136","8075.880585","2987.340218"
"Cer(d18:1/22:0)","622.613825 -> 264.3","622","264","Cer","1725.020134","1655.080101","1638.240131","1400.920101","1859.020119","1530.880112","1675.720135","1624.680111","2305.500175"
"Cer(d18:1/24:1)","648.629425 -> 264.3","648","264","Cer","2156.180157","1765.760132","2114.360149","2004.30014","1890.840137","1852.220116","2111.780167","1802.440136","2540.440166"
"Cer(d18:1/24:0)","650.645125 -> 264.3","650","264","Cer","2385.020153","2251.100147","2533.720184","2210.440144","2381.540161","2066.760166","2849.320213","2904.840221","3330.600212"
"DG 30:3 NL 16:1","552.46277 -> 281.211641","552","281","DG","38204.36261","30330.68191","51477.96352","23022.46171","36838.94279","60928.62384","42796.98297","31466.56229","18561.22122"
"DG 30:2 NL 16:0","554.47847 -> 281.211691","554","281","DG","27647.92189","17990.54107","24848.76162","14704.78126","15233.20086","84284.22599","10091.86067","12061.40083","14195.16096"
"DG 30:2 NL 16:1","554.47847 -> 283.227341","554","283","DG","7639.040604","5658.380398","10310.66065","5811.100452","8230.500526","12094.70091","8027.200603","6496.860466","5157.660385"
"DG 30:1 NL 16:0","556.49407 -> 283.227291","556","283","DG","6778.940441","5290.420376","6298.280392","5525.080387","4843.120342","16228.20115","3782.420254","4294.780262","3702.76025"
"DG 32:5 NL 18:1","576.46277 -> 277.16277","576","277","DG","5041.100349","3734.120258","5201.480354","3222.700226","3892.700249","7684.600563","4665.120323","3283.660225","3281.900227"
"DG 32:0 NL 16:0","586.54107 -> 313.274291","586","313","DG","5373.000393","4621.100327","4665.360313","3195.140202","3070.980213","3618.340279","3832.6203","3452.980259","3315.54023"
"DG 34:5 NL 20:4","604.49407 -> 283.22727","604","283","DG","4839.540352","4536.620323","4795.460346","4807.200352","4494.900333","4650.000309","7669.300514","4448.880299","4616.560341"
"DG 34:2 NL 20:0","610.54107 -> 281.21167","610","281","DG","142190.41","233344.5383","0","375617.0716","246224.6204","273900.503","156300.0507","566794.1025","203600.6518"
"DG 34:2 NL 16:1","610.54107 -> 339.289941","610","339","DG","5551.360416","6682.22044","10228.22075","9046.060612","6595.500454","8069.640537","6121.660431","12563.38098","6014.020443"
"DG 34:1 NL 20:0","612.55667 -> 283.22727","612","283","DG","23148.18161","38914.12292","0","58245.00442","39910.06286","43074.60287","26553.40182","89680.3474","35262.7425"
"DG 34:1 NL 18:1","612.55667 -> 313.25667","612","313","DG","4438.280308","3947.320309","3732.860275","2691.240189","2991.820217","2710.160191","2921.920208","3093.52021","2880.800205"
"DG 34:1 NL 16:0","612.55667 -> 339.289891","612","339","DG","4557.120354","4015.620274","4901.080357","3026.76022","3145.400211","4024.640293","2890.200195","4018.220299","3624.140263"
"DG 34:1 NL 16:1","612.55667 -> 341.305541","612","341","DG","4665.060318","4992.780342","7698.260506","6194.56041","4993.180363","5822.880424","4314.680294","8203.380585","4381.440311"
"DG 34:0 NL 20:0","614.57237 -> 285.24297","614","285","DG","3716.700275","4262.760296","0","5657.140434","4863.940315","4280.280289","3544.480236","6655.840446","3994.780319"
