Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
LPC 18:1,522.355925 -> 184.07,RDH12_100_vs_RDH12_Veh,0.278,0.060254717,0.482615795
LPC 18:1,522.355925 -> 184.07,RDH12_200_vs_RDH12_100,0.816,0.00016422,0.040562393
LPC 18:1,522.355925 -> 184.07,RDH12_200_vs_RDH12_Veh,1.09,1.81E-05,0.004469334
PC 32:0,734.606325 -> 184.07,RDH12_100_vs_RDH12_Veh,0.434,0.010076601,0.278089447
PC 32:0,734.606325 -> 184.07,RDH12_200_vs_RDH12_100,0.422,0.011606339,0.154719225
PC 32:0,734.606325 -> 184.07,RDH12_200_vs_RDH12_Veh,0.856,0.000140338,0.017331795
PC O-32:0,720.590725 -> 184.07,RDH12_100_vs_RDH12_Veh,0.149,0.437381915,0.79364526
PC O-32:0,720.590725 -> 184.07,RDH12_200_vs_RDH12_100,0.525,0.0192238,0.179872799
PC O-32:0,720.590725 -> 184.07,RDH12_200_vs_RDH12_Veh,0.674,0.005420526,0.119934186
[CE 16:0 +H],625.592325 -> 369.2,RDH12_100_vs_RDH12_Veh,0.478,0.021618279,0.333732188
[CE 16:0 +H],625.592325 -> 369.2,RDH12_200_vs_RDH12_100,-0.341,0.078423886,0.303090773
[CE 16:0 +H],625.592325 -> 369.2,RDH12_200_vs_RDH12_Veh,0.137,0.443334897,0.70194692
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.0602,0.524570746,0.814162794
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_200_vs_RDH12_100,-0.115,0.236945118,0.546966768
[CE 16:0 +NH4],642.61887 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.176,0.086569698,0.390902632
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_100_vs_RDH12_Veh,0.146,0.249647318,0.636967614
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_200_vs_RDH12_100,-0.189,0.145961089,0.417844176
[CE 16:1 +NH4],640.60327 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.0431,0.724704295,0.838959097
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_100_vs_RDH12_Veh,0.121,0.535533453,0.814162794
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_200_vs_RDH12_100,-0.248,0.218791835,0.519630609
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.127,0.513645267,0.761140205
[CE 18:2 +NH4],666.61887 -> 369.2,RDH12_100_vs_RDH12_Veh,0.0396,0.628733573,0.834931143
[CE 18:2 +NH4],666.61887 -> 369.2,RDH12_200_vs_RDH12_100,-0.0838,0.31788357,0.62243324
[CE 18:2 +NH4],666.61887 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.0442,0.590431634,0.793971778
[CE 18:3 +Na],669.55867 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.0458,0.749490027,0.88576094
[CE 18:3 +Na],669.55867 -> 369.2,RDH12_200_vs_RDH12_100,-0.0558,0.69787455,0.850701003
[CE 18:3 +Na],669.55867 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.102,0.484106872,0.747339984
[CE 20:1 +Na],701.623625 -> 369.2,RDH12_100_vs_RDH12_Veh,0.43,0.042259307,0.482615795
[CE 20:1 +Na],701.623625 -> 369.2,RDH12_200_vs_RDH12_100,-0.212,0.271906883,0.584008697
[CE 20:1 +Na],701.623625 -> 369.2,RDH12_200_vs_RDH12_Veh,0.218,0.258848797,0.548280079
