Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
[CE 18:1 +NH4],668.63457 -> 369.2,WT_100_vs_WT_Veh,-0.361,0.009868737,0.186986588
[CE 18:1 +NH4],668.63457 -> 369.2,WT_200_vs_WT_100,-0.119,0.34254236,0.645629579
[CE 18:1 +NH4],668.63457 -> 369.2,WT_200_vs_WT_Veh,-0.481,0.001372278,0.043530516
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_100_vs_WT_100,-0.256,0.053143423,0.277270032
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_100_vs_RDH12_Veh,-0.823,7.74E-06,0.002785742
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_200_vs_WT_200,-0.0747,0.548853111,0.728327791
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_200_vs_RDH12_100,0.0621,0.617090475,0.978014237
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_200_vs_RDH12_Veh,-0.761,1.83E-05,0.004955814
[CE 18:1 +NH4],668.63457 -> 369.2,RDH12_Veh_vs_WT_Veh,0.206,0.111730586,0.304719781
[DG 38:1,668.56177 -> 369.26177,WT_100_vs_WT_Veh,-0.379,0.004028075,0.161122984
[DG 38:1,668.56177 -> 369.26177,WT_200_vs_WT_100,0.00734,0.948147352,0.997868493
[DG 38:1,668.56177 -> 369.26177,WT_200_vs_WT_Veh,-0.372,0.004602954,0.097474325
[DG 38:1,668.56177 -> 369.26177,RDH12_100_vs_WT_100,-0.183,0.120299876,0.441354972
[DG 38:1,668.56177 -> 369.26177,RDH12_100_vs_RDH12_Veh,-0.506,0.000414874,0.074677311
[DG 38:1,668.56177 -> 369.26177,RDH12_200_vs_WT_200,-0.304,0.015567765,0.057149329
[DG 38:1,668.56177 -> 369.26177,RDH12_200_vs_RDH12_100,-0.114,0.322573685,0.835442638
[DG 38:1,668.56177 -> 369.26177,RDH12_200_vs_RDH12_Veh,-0.619,6.05E-05,0.005444935
[DG 38:1,668.56177 -> 369.26177,RDH12_Veh_vs_WT_Veh,-0.0564,0.619179605,0.780764364
DG 32:0 NL 16:0,586.54107 -> 313.274291,WT_100_vs_WT_Veh,-0.184,0.145845523,0.516053985
DG 32:0 NL 16:0,586.54107 -> 313.274291,WT_200_vs_WT_100,0.531,0.000536253,0.038610211
DG 32:0 NL 16:0,586.54107 -> 313.274291,WT_200_vs_WT_Veh,0.346,0.011594387,0.149051501
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_100_vs_WT_100,-0.263,0.044867354,0.244361466
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_100_vs_RDH12_Veh,0.138,0.268685025,0.953944604
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_200_vs_WT_200,-0.856,4.25E-06,0.000509949
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_200_vs_RDH12_100,-0.0618,0.61379455,0.978014237
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_200_vs_RDH12_Veh,0.076,0.535618821,0.785467471
DG 32:0 NL 16:0,586.54107 -> 313.274291,RDH12_Veh_vs_WT_Veh,-0.585,0.000221838,0.009672047
DG 34:0 NL 16:0,614.57237 -> 341.305591,WT_100_vs_WT_Veh,-0.0504,0.655917302,0.864948034
DG 34:0 NL 16:0,614.57237 -> 341.305591,WT_200_vs_WT_100,0.395,0.003010291,0.070912168
DG 34:0 NL 16:0,614.57237 -> 341.305591,WT_200_vs_WT_Veh,0.344,0.007527927,0.115594618
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_100_vs_WT_100,-0.39,0.003303914,0.060425571
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_100_vs_RDH12_Veh,0.198,0.094782256,0.931806613
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_200_vs_WT_200,-0.763,6.44E-06,0.000579502
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_200_vs_RDH12_100,0.0212,0.850893668,0.998456697
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_200_vs_RDH12_Veh,0.219,0.067177386,0.306124799
DG 34:0 NL 16:0,614.57237 -> 341.305591,RDH12_Veh_vs_WT_Veh,-0.638,4.42E-05,0.009672047
DG 40:6 NL 16:1,686.57237 -> 415.321241,WT_100_vs_WT_Veh,-0.26,0.007403724,0.186986588
DG 40:6 NL 16:1,686.57237 -> 415.321241,WT_200_vs_WT_100,0.496,3.23E-05,0.011616176
DG 40:6 NL 16:1,686.57237 -> 415.321241,WT_200_vs_WT_Veh,0.236,0.013297058,0.153543646
