"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","WT_Veh_rep1","WT_Veh_rep2","WT_Veh_rep3","WT_100_rep1","WT_100_rep2","WT_100_rep3","WT_200_rep1","WT_200_rep2","WT_200_rep3","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"[CE 14:0 +NH4]","614.58757 -> 369.2","614","369","CE","1579.720097","1671.740128","1756.600113","1549.660107","1546.700115","1573.140121","1693.140129","1445.560104","1609.360107","1946.020145","1782.020107","1603.800114","1460.680103","1646.960094","1735.800129","1663.200115","1723.060112","1622.620113"
"[CE 16:0 +H]","625.592325 -> 369.2","625","369","CE","2250.900158","3054.340214","2248.940155","2097.000141","2502.120155","2215.40015","1984.18013","2494.820179","1995.660152","2315.460155","2583.640198","2259.020168","1806.820114","2202.580158","2093.480156","1847.820137","1726.060131","2279.960167"
"[CE 16:1 +NH4]","640.60327 -> 369.2","640","369","CE","1922.840137","1775.980125","2086.360153","1750.880154","1990.760143","1773.820129","1612.880108","1769.900131","1715.820122","1778.880123","2094.540138","1966.460144","1659.780113","1544.760101","1968.620148","1787.100132","1645.060116","2127.460144"
"[CE 16:0 +NH4]","642.61887 -> 369.2","642","369","CE","1998.800144","2007.30014","2065.320141","1883.060131","1720.540115","2611.060169","1779.560135","1626.360123","2002.400139","2241.660145","2401.760155","2136.500137","2189.800148","1931.260155","2543.180183","1799.540142","2195.380173","1907.76012"
"[CE 16:3 +K]","657.501308 -> 369.2","657","369","CE","1955.820145","2018.080143","1916.200146","1642.500118","1630.980125","1810.060127","1684.240131","1733.620121","2016.10014","1706.740112","1816.760128","2322.160172","1999.740139","1840.480133","1764.920116","1931.12014","2099.160145","2241.440163"
"[CE 18:1 +NH4]","668.63457 -> 369.2","668","369","CE","2662.540218","2575.520164","3109.400192","2171.740154","2489.120171","2538.500183","2050.040134","1973.460136","1866.460129","3433.52026","4760.380379","4389.260319","2331.860165","1769.820133","2499.440166","2223.220161","2305.620163","2167.38015"
"[CE 18:3 +Na]","669.55867 -> 369.2","669","369","CE","2327.540176","2060.100132","2107.900162","2029.74012","2175.200172","2199.920158","1968.000134","1930.68013","1843.560123","2020.840153","2382.140171","2548.620167","2143.600151","2005.620152","2143.760139","2091.92017","1964.300129","1969.240135"
"[CE 18:0 +NH4]","670.65017 -> 369.2","670","369","CE","1832.360126","1799.200127","1885.980133","1678.900112","1638.720116","1452.940109","1596.000118","1523.580116","1917.140141","2140.900158","1957.720135","1655.780109","1661.260113","1755.06012","1538.500111","1732.080128","1771.860115","1649.760098"
"[CE 18:0 +Na]","675.608025 -> 369.2","675","369","CE","3251.420231","2540.500172","3103.020237","2545.320164","2709.620197","3352.600269","3253.740208","3321.940254","3518.840214","3111.420219","3189.800198","3698.620274","3196.480228","3781.780258","15148.02118","3725.840248","3524.02026","3710.480274"
"[CE 20:4 +NH4]","690.61887 -> 369.2","690","369","CE","1612.660103","1539.680099","1674.360123","1545.2001","1571.160122","1705.520126","1501.860115","1634.300117","1421.080105","1659.260117","2171.120155","1755.660126","1641.660118","1560.840122","1569.300114","1557.560108","1494.060101","1624.380104"
"[CE 20:3 +Na]","697.592325 -> 369.2","697","369","CE","1892.980133","1852.560139","1749.900131","1670.340111","1947.00013","1727.020126","1991.120148","1772.64011","2187.160164","1951.700138","2200.840157","2067.000134","1836.940128","1808.840126","1756.68013","1696.36013","1672.840126","1758.880131"
"[CE 22:6 +NH4]","714.61887 -> 369.2","714","369","CE","1620.400116","1690.860104","1885.100132","1676.100117","1568.780102","1686.620113","1695.500126","1531.780102","1774.02013","1711.380119","1914.880146","1697.120117","1817.520119","1758.080128","1536.340111","1547.940109","1724.800117","1746.460129"
"[CE 22:2 +K]","743.610808 -> 369.2","743","369","CE","1534.840118","1589.380104","1803.840141","1747.320114","1741.24012","1590.180107","1510.680099","1641.06012","1674.220131","1822.060131","1608.060123","1763.260139","1672.180126","1710.220112","2072.720161","1691.120121","1599.000114","1673.540104"
"[CE 24:1 +Na]","757.68387 -> 369.2","757","369","CE","1735.740112","3257.060242","3586.540257","3186.340179","2651.500168","4394.120285","2329.180164","3455.020233","2483.180157","2949.720177","3434.060234","2470.000172","2516.820187","2136.440151","3101.5602","2424.640167","2345.70015","2766.540188"
"Cer(d14:2/20:0)","536.504225 -> 206.3","536","206","Cer","1675.680107","2556.400169","3084.740208","3372.060265","1815.280125","2099.580158","1573.400097","3554.300259","2710.620228","1766.880138","2540.960144","1693.820126","1714.660133","2172.080158","2451.900162","2663.400211","1800.320133","1622.74012"
"Cer(d14:1/20:0)","538.519925 -> 208.3","538","208","Cer","1453.360123","1904.180145","1679.800106","2137.640129","1627.80011","1628.280125","1307.900089","2434.360218","1567.200108","1379.980095","1852.180153","1145.240086","1504.800087","1524.280098","2501.980209","1719.560143","1620.220112","1618.340126"
"Cer(d18:1/16:0)","538.519925 -> 264.3","538","264","Cer","1998.000134","1924.66013","2115.36018","2153.640156","1890.96014","2412.300175","1516.760105","1770.96014","1202.800079","2288.160175","1442.240105","2666.480156","1860.10014","2064.020187","2081.080151","2312.68018","2071.660164","1525.700108"
"Cer(d18:1/18:0)","566.551225 -> 264.3","566","264","Cer","1345.3801","1356.660099","1295.440083","1181.100079","1195.66008","1411.500099","1238.460087","1298.900105","1203.960079","1370.100098","1507.320095","1295.180088","1352.100094","1234.100079","1337.220097","1360.380093","1269.940098","1250.240089"
"Cer(d14:1/24:0(2OH))","610.577425 -> 208.3","610","208","Cer","1067.540081","1452.340099","1372.740101","1085.860081","1119.680069","1304.260101","1205.260094","1413.060101","1191.840084","1094.700073","1034.520069","1086.260071","1208.44009","1111.580074","1203.420067","1145.920074","1163.580086","1226.240089"
"Cer(d18:0/20:0(2OH))","612.593125 -> 266.3","612","266","Cer","2013.540127","2873.42017","2727.520206","2709.540203","1315.100094","2353.680119","1903.920132","3193.000263","2168.140148","2056.440125","1842.660133","1324.040089","1805.700138","2039.740158","3608.560242","2032.140137","1682.040134","2120.060146"
"Cer(d18:1/22:0)","622.613825 -> 264.3","622","264","Cer","1356.980087","1208.800079","1158.00008","1325.980083","1186.220085","1558.320114","1082.84008","1090.26009","1680.220119","1281.760094","1144.220066","1298.820095","1172.960091","1080.260082","1212.060093","1392.620102","1273.440086","1564.260109"
"Cer(d18:2/24:0)","648.629425 -> 262.3","648","262","Cer","1137.120083","1038.04007","1152.700085","1226.840088","1091.88007","1223.500088","1203.100082","1045.040073","1117.960079","1094.220081","1653.520115","1227.760086","1133.200081","1238.480091","1489.640118","1176.200085","1122.26009","1469.340107"
"Cer(d18:1/24:1)","648.629425 -> 264.3","648","264","Cer","1442.780102","1369.680092","1490.140114","1437.120102","1830.960125","1784.540154","1278.700089","1523.340103","1597.500107","1538.040096","1713.84013","1805.220135","1319.960106","1488.220093","1848.080147","1241.620087","1602.480118","1790.640129"
"Cer(d18:1/24:0)","650.645125 -> 264.3","650","264","Cer","1781.540123","1882.26012","1783.300125","2207.98016","2341.100178","2354.900196","2131.260159","1849.940128","2159.320175","2085.140144","2336.920166","2246.50016","1934.320141","2266.66016","3491.620232","2481.060192","2752.740166","2731.580177"
"CerP(d18:1/24:1)","728.595825 -> 264.3","728","264","Cer","1209.640091","1068.620068","1105.120071","1179.78009","1072.120071","1141.860088","1060.760071","1021.960064","1092.50008","1114.920074","1232.060093","1141.720089","1198.020084","1342.48008","1146.720085","1039.140072","1074.000072","1110.360073"
"DG 30:3 NL 20:0","552.46277 -> 223.13337","552","223","DG","47413.06347","55952.68431","50494.88478","38054.12298","44134.86245","64160.40451","41886.30298","45464.48335","60216.26376","74179.94506","64793.88503","67800.82402","57526.5444","43205.34312","71054.56526","15284.92085","49918.48337","77219.6849"
