Protein.Group,Genes,mean_log2_abundance_RDH,mean_log2_abundance_GFP,n_replicates_RDH,n_replicates_GFP,highlight_gene,is_highlight,abundance_difference_RDH_minus_GFP
A0A024RBG1,NUDT4B,15.116917218608036,14.888470050380922,3,3,NA,FALSE,0.2284471682271132
A0A096LP01,SMIM26,12.607244041720044,12.19225952149926,3,3,NA,FALSE,0.41498452022078425
A0A0B4J2F0,PIGBOS1,12.655389861555086,12.8301445394135,2,2,NA,FALSE,-0.17475467785841303
A0A1W2PQ72,MSANTD7,13.811493737966673,13.538234820002337,3,3,NA,FALSE,0.2732589179643359
A0A3B3IRV3,MCTS2,13.02256868496375,13.74348011294288,3,3,NA,FALSE,-0.7209114279791304
A0AAG2UWQ9,NKRF,20.40495717144991,20.31470465955801,3,3,NA,FALSE,0.09025251189190087
A0AV96,RBM47,14.27946490989761,14.52992246542948,3,3,NA,FALSE,-0.2504575555318702
A0AVF1,IFT56,15.824630356285622,15.71219004015546,3,3,NA,FALSE,0.11244031613016148
A0AVT1,UBA6,17.905732242043474,18.04545130269159,3,3,NA,FALSE,-0.13971906064811535
A0FGR8,ESYT2,17.689586662197083,17.582938574977252,3,3,NA,FALSE,0.10664808721983121
A0JNW5,BLTP3B,14.95914832599645,14.96565116453366,3,3,NA,FALSE,-0.006502838537210565
A0MZ66,SHTN1,17.03130558237001,17.218106051373383,3,3,NA,FALSE,-0.18680046900337288
A0PJW6,TMEM223,15.157487130354324,14.921158247481815,3,3,NA,FALSE,0.23632888287250964
A0PJZ3,GXYLT2,13.306949043432025,12.898327143794646,3,3,NA,FALSE,0.4086218996373798
A0PK00,TMEM120B,13.851712435198074,14.109844539326433,3,3,NA,FALSE,-0.2581321041283591
A1A4S6,ARHGAP10,14.44681030833636,14.692383460520627,3,3,NA,FALSE,-0.24557315218426723
A1A5C7,SLC22A23,12.649133457382316,12.821368701225344,3,3,NA,FALSE,-0.17223524384302813
A1L020,MEX3A,14.868418656304952,15.10779187480228,3,3,NA,FALSE,-0.2393732184973274
A1L0T0,ILVBL,17.28213060984674,17.45475689745656,3,3,NA,FALSE,-0.17262628760981968
A1L170,C1orf226,16.150902655044987,16.342978558944388,3,3,NA,FALSE,-0.19207590389940066
A1L390,PLEKHG3,13.913942506379497,13.738451454472433,3,3,NA,FALSE,0.1754910519070645
A1L3X0,ELOVL7,14.450026026304613,14.233600063496347,3,3,NA,FALSE,0.2164259628082661
A1X283,SH3PXD2B,18.139756783813006,18.066577749151286,3,3,NA,FALSE,0.07317903466172027
A1XBS5,CIBAR1,13.032795095849682,12.866341570739264,3,3,NA,FALSE,0.166453525110418
A2A3K4,PTPDC1,12.81205496346245,13.136668907971588,1,3,NA,FALSE,-0.3246139445091387
A2AJT9,BCLAF3,13.963947412465597,14.098948914094128,3,3,NA,FALSE,-0.13500150162853153
A2RRP1,NBAS,16.318926041055676,16.529121696069346,3,3,NA,FALSE,-0.21019565501367055
A2RTX5,TARS3,17.82540441334459,17.807879230743108,3,3,NA,FALSE,0.017525182601481504
A2RU67,FAM234B,14.76441766445267,14.635057048531182,3,3,NA,FALSE,0.12936061592148818
A2RUC4,TYW5,14.949425800818725,14.88360938125412,3,3,NA,FALSE,0.06581641956460516
A2VDF0,FUOM,14.096926913786524,14.166054252483173,3,3,NA,FALSE,-0.06912733869664933
