"ProteinLabel","GFP1","GFP2","GFP3","RDH1","RDH2","RDH3"
"CDC42EP2_O14613",1,1,1,1,1,1
"RNF187_Q5TA31",1,1,1,1,1,1
"BCL9L_Q86UU0",1,1,1,1,1,1
"WIPF3_A6NGB9",1,1,1,1,0,1
"CCDC175_P0C221",1,1,1,1,1,0
"HLA-G_P17693",1,1,1,0,1,1
"PEX2_P28328",1,1,1,0,1,1
"NKX2-1_P43699",0,1,1,1,1,1
"COMP_P49747",1,1,1,1,1,0
"MMP15_P51511",1,1,1,0,1,1
"LRRC24_Q50LG9",0,1,1,1,1,1
"CCDC122_Q5T0U0",1,1,1,1,0,1
"CERCAM_Q5T4B2",1,1,1,1,1,0
"IER5_Q5VY09",1,1,1,1,0,1
"BORA_Q6PGQ7",1,0,1,1,1,1
"CYP4V2_Q6ZWL3",1,1,1,0,1,1
"CHSY3_Q70JA7",1,1,1,0,1,1
"EFCAB3_Q8N7B9",1,1,1,1,1,0
"TBC1D16_Q8TBP0",1,1,0,1,1,1
"SNX29_Q8TEQ0",1,1,1,0,1,1
"GIPC2_Q8TF65",1,1,1,1,0,1
"KIAA0232_Q92628",1,1,0,1,1,1
"MAL2_Q969L2",0,1,1,1,1,1
"ARHGAP39_Q9C0H5",1,1,1,1,0,1
"SPO11_Q9Y5K1",1,1,1,0,1,1
"SCN10A_Q9Y5Y9",0,1,1,1,1,1
"XRCC2_O43543",1,0,0,1,1,1
"CYTH3_O43739",1,0,0,1,1,1
"EDIL3_O43854",0,1,1,0,1,1
"NRP2_O60462",0,1,1,0,1,1
"LRP4_O75096",0,1,1,0,1,1
"ACTL6B_O94805",0,1,1,0,1,1
"TMCC1_O94876",0,1,1,0,1,1
"PTTG1_O95997",1,0,0,1,1,1
"HLA-DRB1_P01911",0,1,1,0,1,1
"CPM_P14384",0,1,0,1,1,1
"ZFX_P17010",0,1,1,0,1,1
"FGFR2_P21802",0,1,1,0,1,1
"PTPN4_P29074",1,0,1,1,1,0
"SDC4_P31431",0,1,1,0,1,1
"TRIM23_P36406",1,1,1,1,0,0
"TNFSF9_P41273",0,1,1,0,1,1
"DNASE1L1_P49184",0,1,1,0,1,1
"CAV2_P51636",1,1,0,0,1,1
"EFNA3_P52797",0,1,1,0,1,1
"EFNB2_P52799",0,1,1,0,1,1
"NR1H2_P55055",1,1,0,0,1,1
"DLG4_P78352",0,1,1,0,1,1
"ATP11A_P98196",1,1,0,0,1,1
"MST1R_Q04912",1,0,0,1,1,1
"GPR50_Q13585",0,1,1,0,1,1
"ENOX2_Q16206",0,1,1,0,1,1
"SWI5_Q1ZZU3",1,0,0,1,1,1
"EGFLAM_Q63HQ2",0,1,1,0,1,1
"GRAMD4_Q6IC98",0,1,1,0,1,1
"TMEM132E_Q6IEE7",0,1,1,0,1,1
"CAVIN1_Q6NZI2",1,1,1,0,0,1
"DENND1B_Q6P3S1",1,1,0,1,1,0
"TBC1D9_Q6ZT07",0,1,0,1,1,1
"TFAP2D_Q7Z6R9",1,1,0,0,1,1
"ZNF410_Q86VK4",1,1,0,1,0,1
"KCNMB4_Q86W47",1,1,1,0,1,0
"DCBLD1_Q8N8Z6",0,1,1,0,1,1
"SETD9_Q8NE22",0,1,0,1,1,1
"CEP70_Q8NHQ1",0,1,1,0,1,1
"TPCN2_Q8NHX9",0,1,1,0,1,1
"IGDCC4_Q8TDY8",0,1,1,0,1,1
"CYB5D2_Q8WUJ1",0,1,1,0,1,1
"SARAF_Q96BY9",1,1,0,0,1,1
"FAR2_Q96K12",1,1,0,0,1,1
"ZNF597_Q96LX8",1,1,0,0,1,1
"TGIF2_Q9GZN2",1,1,0,0,1,1
"BTBD1_Q9H0C5",1,0,1,1,0,1
"EPN3_Q9H201",1,1,1,0,1,0
"NKX2-4_Q9H2Z4",0,1,1,0,1,1
"KIAA1586_Q9HCI6",0,1,1,1,1,0
"STAP2_Q9UGK3",0,1,1,1,1,0
"SS18L2_Q9UHA2",0,1,1,0,1,1
"EPOP_A6NHQ4",0,1,0,0,1,1
"ITGB1BP1_O14713",0,0,1,0,1,1
"TRDMT1_O14717",1,0,0,0,1,1
"RASA4_O43374",0,1,0,1,1,0
"SSNA1_O43805",1,1,0,1,0,0
"KIAA0513_O60268",1,0,0,1,1,0
"ICOSLG_O75144",0,0,1,0,1,1
"LRP5_O75197",0,1,1,0,1,0
"ENTPD6_O75354",0,1,1,0,0,1
"CEP152_O94986",0,1,0,0,1,1
"NXPH4_O95158",0,1,0,0,1,1
"ESRRB_O95718",0,1,1,0,0,1
"CLDN1_O95832",0,1,0,0,1,1
"CP_P00450",1,1,1,0,0,0
"PRNP_P04156",0,1,0,0,1,1
"FURIN_P09958",0,0,1,1,0,1
"TMEM276_P0DTL5",0,0,1,0,1,1
"TFPI_P10646",0,1,0,0,1,1
"ENO3_P13929",0,0,1,1,0,1
"SDC1_P18827",0,0,1,0,1,1
"ACHE_P22303",0,1,1,0,0,1
"PTPRM_P28827",0,1,1,0,1,0
"MSX2_P35548",0,1,1,0,1,0
"ACTN2_P35609",0,0,1,0,1,1
"SOX5_P35711",0,0,0,1,1,1
"ABCG1_P45844",0,1,1,0,0,1
"PLTP_P55058",1,1,1,0,0,0
"INHBE_P58166",0,1,0,0,1,1
"MLF1_P58340",1,1,1,0,0,0
"SIRPA_P78324",0,0,1,0,1,1
"ABHD18_Q0P651",0,1,1,0,1,0
"COX10_Q12887",0,1,1,0,1,0
"EIF4EBP2_Q13542",0,0,0,1,1,1
"PIGH_Q14442",0,0,1,0,1,1
"LAPTM4A_Q15012",0,1,1,0,0,1
"TESK1_Q15569",1,0,0,0,1,1
"LAMA4_Q16363",0,1,1,0,0,1
"CRY1_Q16526",1,1,0,1,0,0
"ORMDL2_Q53FV1",1,1,0,0,1,0
"CCDC18_Q5T9S5",1,1,0,0,0,1
"FAM171A1_Q5VUB5",1,1,0,0,1,0
"SYPL2_Q5VXT5",0,1,0,0,1,1
"KDM4D_Q6B0I6",0,1,1,0,1,0
"NIPAL1_Q6NVV3",0,1,1,0,0,1
"NEK5_Q6P3R8",0,0,1,1,1,0
"FAM199X_Q6PEV8",1,0,0,1,1,0
"KDM7A_Q6ZMT4",0,1,0,0,1,1
"ABHD13_Q7L211",0,1,0,0,1,1
"RTN4RL2_Q86UN3",0,1,1,0,0,1
"FHIP2B_Q86V87",0,1,1,0,0,1
"ZSCAN29_Q8IWY8",0,1,0,0,1,1
"ZDHHC14_Q8IZN3",0,1,0,0,1,1
"CA13_Q8N1Q1",1,0,0,0,1,1
"PLD6_Q8N2A8",0,1,0,0,1,1
"ZNF664_Q8N3J9",0,1,1,0,1,0
"ST6GALNAC3_Q8NDV1",0,0,0,1,1,1
"ZNF397_Q8NF99",0,0,1,0,1,1
"RFESD_Q8TAC1",1,1,0,1,0,0
"GABPB2_Q8TAK5",0,0,0,1,1,1
"MAPK15_Q8TD08",0,0,1,1,1,0
"ABHD17A_Q96GS6",0,1,1,0,1,0
"REXO5_Q96IC2",1,1,0,0,1,0
"AKR1E2_Q96JD6",1,0,1,0,0,1
"HSPA12B_Q96MM6",1,0,1,1,0,0
"ZFP3_Q96NJ6",0,0,1,1,1,0
"RDH12_Q96NR8",1,1,1,0,0,0
"PIGQ_Q9BRB3",0,0,1,0,1,1
"ULBP3_Q9BZM4",0,1,0,0,1,1
"ATP13A3_Q9H7F0",0,0,1,0,1,1
"TMEM185B_Q9H7F4",1,1,0,0,1,0
"DCLRE1B_Q9H816",0,1,0,0,1,1
"MANSC1_Q9H8J5",0,1,0,1,0,1
"TRIM39_Q9HCM9",0,1,0,0,1,1
"JADE2_Q9NQC1",1,1,1,0,0,0
"MANBAL_Q9NQG1",0,1,0,0,1,1
"C2orf42_Q9NWW7",0,1,0,0,1,1
"CNTLN_Q9NXG0",1,1,0,0,0,1
"FAM53C_Q9NYF3",0,0,1,1,0,1
"PODXL2_Q9NZ53",1,1,0,1,0,0
"BFAR_Q9NZS9",0,1,1,0,0,1
"GMIP_Q9P107",0,1,0,1,1,0
"ZNF282_Q9UDV7",0,1,0,0,1,1
"CRLS1_Q9UJA2",0,0,1,0,1,1
"ING1_Q9UK53",0,1,0,0,1,1
"GRID1_Q9ULK0",0,1,0,0,1,1
"TRAK1_Q9UPV9",1,1,0,0,0,1
"PIGBOS1_A0A0B4J2F0",0,1,0,0,1,0
"PTPDC1_A2A3K4",0,0,0,1,1,0
"MBLAC1_A4D2B0",0,0,0,1,1,0
"TMEM150C_B9EJG8",0,0,0,0,1,1
"HMGN4_O00479",0,0,0,0,1,1
"ZBTB5_O15062",0,1,0,1,0,0
"LEPROT_O15243",0,0,0,0,1,1
"CHST10_O43529",0,0,1,0,1,0
"BNIP3L_O60238",0,0,0,0,1,1
"TBC1D12_O60347",1,0,0,1,0,0
"STK16_O75716",0,1,0,0,1,0
"FAM13A_O94988",0,0,0,1,1,0
"S1PR2_O95136",0,1,0,0,0,1
"COL1A1_P02452",0,1,1,0,0,0
"C4A_P0C0L4",0,1,1,0,0,0
"SMIM13_P0DJ93",0,0,1,0,1,0
"SKI_P12755",1,0,1,0,0,0
"VCAN_P13611",0,1,0,0,1,0
"ATP1A3_P13637",0,0,0,0,1,1
"ZNF14_P17017",0,0,1,0,1,0
"DES_P17661",1,0,0,0,0,1
"XBP1_P17861",0,0,0,0,1,1
"POU3F2_P20265",0,0,0,0,1,1
"COL5A1_P20908",0,1,1,0,0,0
"EDNRA_P25101",0,0,1,0,1,0
"S100P_P25815",0,0,0,0,1,1
"CD82_P27701",0,1,0,0,0,1
"PTPN6_P29350",1,0,0,1,0,0
"HOXC13_P31276",0,0,1,0,1,0
"L1CAM_P32004",0,1,0,0,0,1
"CDKN1A_P38936",0,0,0,1,0,1
"IL6ST_P40189",0,1,0,0,1,0
"PRPH_P41219",0,1,0,0,0,1
"RFX3_P48380",0,0,0,1,0,1
"GNG4_P50150",0,1,0,0,1,0
"LUM_P51884",0,1,1,0,0,0
"ZNF142_P52746",0,1,0,0,1,0
"EFNA5_P52803",0,1,0,0,1,0
"PRMT2_P55345",1,1,0,0,0,0
"NCALD_P61601",0,1,0,0,1,0
"ATP8B2_P98198",0,1,0,0,0,1
"FANCC_Q00597",0,0,1,0,0,1
"FLI1_Q01543",0,0,0,0,1,1
"SOS2_Q07890",1,0,0,0,0,1
"PDE4D_Q08499",1,0,0,1,0,0
"TEF_Q10587",0,1,0,0,0,1
"TCIRG1_Q13488",0,0,0,1,0,1
"ALKBH1_Q13686",0,0,0,0,1,1
"COX17_Q14061",0,1,0,1,0,0
"POSTN_Q15063",0,1,1,0,0,0
"PGM5_Q15124",0,1,0,0,0,1
"SHROOM1_Q2M3G4",1,0,0,0,0,1
"PROSER3_Q2NL68",1,0,0,1,0,0
"HLA-DRB5_Q30154",1,0,0,0,0,1
"AMER1_Q5JTC6",1,0,0,1,0,0
"PXDC1_Q5TGL8",0,0,1,0,1,0
"UQCC6_Q69YU5",0,1,0,0,1,0
"TRIM68_Q6AZZ1",1,1,0,0,0,0
"PLEKHM3_Q6ZWE6",0,0,0,1,1,0
"ADCK1_Q86TW2",0,0,0,0,1,1
"LRRTM4_Q86VH4",0,0,0,0,1,1
"SGMS1_Q86VZ5",0,1,0,0,1,0
"GRAMD1C_Q8IYS0",0,0,1,0,0,1
"KMT2E_Q8IZD2",0,0,1,0,1,0
"ARHGEF28_Q8N1W1",0,0,0,1,1,0
"TCAIM_Q8N3R3",0,0,0,0,1,1
"PAQR4_Q8N4S7",0,0,0,0,1,1
"COX18_Q8N8Q8",0,1,0,0,0,1
"ZBTB38_Q8NAP3",0,0,0,0,1,1
"CAMKV_Q8NCB2",1,1,0,0,0,0
"ZBTB44_Q8NCP5",0,1,1,0,0,0
"STXBP6_Q8NFX7",1,1,0,0,0,0
"NLGN2_Q8NFZ4",0,0,0,0,1,1
"SGMS2_Q8NHU3",0,0,0,1,1,0
"FAT3_Q8TDW7",0,0,0,0,1,1
"FBLIM1_Q8WUP2",0,0,0,1,0,1
"PTCD2_Q8WV60",0,1,0,0,1,0
"ABCA5_Q8WWZ7",0,0,0,0,1,1
"LPIN2_Q92539",1,0,0,1,0,0
"FAM168A_Q92567",1,0,0,1,0,0
"NABP1_Q96AH0",0,1,0,0,1,0
"TMEM143_Q96AN5",0,0,0,0,1,1
"ZNF653_Q96CK0",0,1,0,0,1,0
"SLC41A3_Q96GZ6",0,1,0,0,0,1
"PEX11G_Q96HA9",0,1,0,0,1,0
"CRELD1_Q96HD1",0,0,0,1,0,1
"ZNF594_Q96JF6",0,0,0,0,1,1
"PRELID3A_Q96N28",0,0,0,0,1,1
"ZNF714_Q96N38",1,0,1,0,0,0
"SERPINB12_Q96P63",0,1,0,0,0,1
"OR4K3_Q96R72",0,0,0,1,0,1
"CYTH2_Q99418",1,0,0,1,0,0
"BCL7B_Q9BQE9",0,0,0,0,1,1
"ZKSCAN3_Q9BRR0",0,0,0,1,1,0
"TRAF4_Q9BUZ4",0,1,0,0,1,0
"KIAA0586_Q9BVV6",0,0,0,1,0,1
"GON7_Q9BXV9",0,0,0,1,1,0
"RNF26_Q9BY78",0,1,0,0,1,0
"ACE2_Q9BYF1",0,0,0,0,1,1
"BACH2_Q9BYV9",0,0,0,0,1,1
"ULBP1_Q9BZM6",0,0,0,0,1,1
"SELENOI_Q9C0D9",0,0,0,0,1,1
"DEF6_Q9H4E7",0,1,0,0,0,1
"THAP9_Q9H5L6",0,0,0,0,1,1
"NMRAL1_Q9HBL8",0,0,0,1,1,0
"PCDH9_Q9HC56",0,0,0,0,1,1
"GPR108_Q9NPR9",0,0,1,0,0,1
"TRIM36_Q9NQ86",1,0,0,1,0,0
"WASH6P_Q9NQA3",0,0,0,0,1,1
"MAN1C1_Q9NR34",0,0,1,0,1,0
"YAE1_Q9NRH1",1,0,0,1,0,0
"CNNM1_Q9NRU3",0,0,0,0,1,1
"GLRX2_Q9NS18",0,0,0,0,1,1
"CTNNBIP1_Q9NSA3",0,0,0,1,1,0
"RNF146_Q9NTX7",1,0,0,0,0,1
"PCMTD2_Q9NV79",0,0,1,0,1,0
"SMOX_Q9NWM0",0,1,0,0,1,0
"GRHL1_Q9NZI5",1,0,0,1,0,0
"CNIH4_Q9P003",0,0,0,0,1,1
"KCMF1_Q9P0J7",1,0,0,1,0,0
"MYT1L_Q9UL68",1,0,0,1,0,0
"TTC7A_Q9ULT0",0,1,0,0,0,1
"MAPK8IP3_Q9UPT6",1,0,0,1,0,0
"POMP_Q9Y244",1,0,1,0,0,0
"PRELID1_Q9Y255",0,1,1,0,0,0
"SLC27A6_Q9Y2P4",0,0,0,0,1,1
"PPP2R3B_Q9Y5P8",1,0,0,0,1,0
"HEMK1_Q9Y5R4",0,0,0,0,1,1
"CSAD_Q9Y600",0,1,0,0,1,0
"GPC6_Q9Y625",0,0,0,0,1,1
"CPQ_Q9Y646",0,1,0,0,0,1
"OAS3_Q9Y6K5",0,0,0,0,1,1
"SLC4A4_Q9Y6R1",0,1,0,0,1,0
"ARHGAP42_A6NI28",0,0,0,0,1,0
"HACD1_B0YJ81",0,1,0,0,0,0
"UMAD1_C9J7I0",0,0,0,0,0,1
"USP9Y_O00507",0,0,0,0,1,0
"BCL9_O00512",0,0,0,0,0,1
"PEX12_O00623",0,0,1,0,0,0
"KIF3C_O14782",1,0,0,0,0,0
"KDM6B_O15054",0,0,0,0,0,1
"NDUFA1_O15239",0,0,0,0,0,1
"PPM1D_O15297",0,0,0,0,1,0
"SLC31A1_O15431",0,0,0,0,0,1
"PJA2_O43164",1,0,0,0,0,0
"SEPTIN4_O43236",1,0,0,0,0,0
"LYRM1_O43325",0,0,0,0,1,0
"COCH_O43405",0,1,0,0,0,0
"NDUFC1_O43677",0,0,0,0,0,1
"GNG7_O60262",0,0,0,0,1,0
"FZD6_O60353",0,0,0,0,0,1
"TRIM13_O60858",0,0,0,0,0,1
"ADAM11_O75078",0,1,0,0,0,0
"SLC43A1_O75387",0,0,0,0,1,0
"GPC4_O75487",0,1,0,0,0,0
"JRK_O75564",0,0,1,0,0,0
"CRCP_O75575",0,0,0,0,1,0
"ADAP1_O75689",0,0,0,1,0,0
"BCAR3_O75815",0,0,0,1,0,0
"PPP1R37_O75864",0,0,0,0,0,1
"SLC22A5_O76082",0,0,1,0,0,0
"GABARAP_O95166",0,0,0,1,0,0
"CSPG5_O95196",0,0,1,0,0,0
"LEPROTL1_O95214",0,0,0,0,0,1
"DNAL4_O96015",1,0,0,0,0,0
"MT-ND3_P03897",0,0,0,0,0,1
"CLEC3B_P05452",0,1,0,0,0,0
"SERPIND1_P05546",0,0,1,0,0,0
"SYP_P08247",0,0,0,0,0,1
"NUDT7_P0C024",0,1,0,0,0,0
"CISD3_P0C7P0",0,0,0,0,1,0
"MGST1_P10620",0,0,0,0,0,1
"RARB_P10826",0,0,0,1,0,0
"TCF3_P15923",0,0,0,0,0,1
"TIMP2_P16035",0,0,0,0,0,1
"ANK1_P16157",0,0,0,1,0,0
"SLC25A16_P16260",0,1,0,0,0,0
"HSPA6_P17066",1,0,0,0,0,0
