Protein.Group,Genes,protein_label,n_samples,n_missing,percent_missing
Q86UU0,BCL9L,BCL9L | Q86UU0,6,6,100
O14613,CDC42EP2,CDC42EP2 | O14613,6,6,100
Q5TA31,RNF187,RNF187 | Q5TA31,6,6,100
Q9C0H5,ARHGAP39,ARHGAP39 | Q9C0H5,6,5,83.33333333333333
Q6PGQ7,BORA,BORA | Q6PGQ7,6,5,83.33333333333333
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,6,5,83.33333333333333
P0C221,CCDC175,CCDC175 | P0C221,6,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,6,5,83.33333333333333
Q70JA7,CHSY3,CHSY3 | Q70JA7,6,5,83.33333333333333
P49747,COMP,COMP | P49747,6,5,83.33333333333333
Q6ZWL3,CYP4V2,CYP4V2 | Q6ZWL3,6,5,83.33333333333333
Q8N7B9,EFCAB3,EFCAB3 | Q8N7B9,6,5,83.33333333333333
Q8TF65,GIPC2,GIPC2 | Q8TF65,6,5,83.33333333333333
P17693,HLA-G,HLA-G | P17693,6,5,83.33333333333333
Q5VY09,IER5,IER5 | Q5VY09,6,5,83.33333333333333
Q92628,KIAA0232,KIAA0232 | Q92628,6,5,83.33333333333333
Q50LG9,LRRC24,LRRC24 | Q50LG9,6,5,83.33333333333333
Q969L2,MAL2,MAL2 | Q969L2,6,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,6,5,83.33333333333333
P43699,NKX2-1,NKX2-1 | P43699,6,5,83.33333333333333
P28328,PEX2,PEX2 | P28328,6,5,83.33333333333333
Q9Y5Y9,SCN10A,SCN10A | Q9Y5Y9,6,5,83.33333333333333
Q8TEQ0,SNX29,SNX29 | Q8TEQ0,6,5,83.33333333333333
Q9Y5K1,SPO11,SPO11 | Q9Y5K1,6,5,83.33333333333333
Q8TBP0,TBC1D16,TBC1D16 | Q8TBP0,6,5,83.33333333333333
A6NGB9,WIPF3,WIPF3 | A6NGB9,6,5,83.33333333333333
O94805,ACTL6B,ACTL6B | O94805,6,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,6,4,66.66666666666667
Q9H0C5,BTBD1,BTBD1 | Q9H0C5,6,4,66.66666666666667
P51636,CAV2,CAV2 | P51636,6,4,66.66666666666667
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,6,4,66.66666666666667
Q8NHQ1,CEP70,CEP70 | Q8NHQ1,6,4,66.66666666666667
P14384,CPM,CPM | P14384,6,4,66.66666666666667
Q8WUJ1,CYB5D2,CYB5D2 | Q8WUJ1,6,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,6,4,66.66666666666667
Q8N8Z6,DCBLD1,DCBLD1 | Q8N8Z6,6,4,66.66666666666667
Q6P3S1,DENND1B,DENND1B | Q6P3S1,6,4,66.66666666666667
P78352,DLG4,DLG4 | P78352,6,4,66.66666666666667
P49184,DNASE1L1,DNASE1L1 | P49184,6,4,66.66666666666667
O43854,EDIL3,EDIL3 | O43854,6,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,6,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,6,4,66.66666666666667
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,6,4,66.66666666666667
Q16206,ENOX2,ENOX2 | Q16206,6,4,66.66666666666667
Q9H201,EPN3,EPN3 | Q9H201,6,4,66.66666666666667
Q96K12,FAR2,FAR2 | Q96K12,6,4,66.66666666666667
P21802,FGFR2,FGFR2 | P21802,6,4,66.66666666666667
Q13585,GPR50,GPR50 | Q13585,6,4,66.66666666666667
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,6,4,66.66666666666667
P01911,HLA-DRB1,HLA-DRB1 | P01911,6,4,66.66666666666667
Q8TDY8,IGDCC4,IGDCC4 | Q8TDY8,6,4,66.66666666666667
Q86W47,KCNMB4,KCNMB4 | Q86W47,6,4,66.66666666666667
Q9HCI6,KIAA1586,KIAA1586 | Q9HCI6,6,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,6,4,66.66666666666667
