Protein.Group,Genes,protein_label,sample_label,PG.MaxLFQ,missing_status,n_missing,percent_missing
A6NGB9,WIPF3,WIPF3 | A6NGB9,GFP1,NA,Missing,5,83.33333333333333
A6NGB9,WIPF3,WIPF3 | A6NGB9,GFP2,NA,Missing,5,83.33333333333333
A6NGB9,WIPF3,WIPF3 | A6NGB9,GFP3,NA,Missing,5,83.33333333333333
A6NGB9,WIPF3,WIPF3 | A6NGB9,RDH1,NA,Missing,5,83.33333333333333
A6NGB9,WIPF3,WIPF3 | A6NGB9,RDH2,9591.060546875,Detected,5,83.33333333333333
A6NGB9,WIPF3,WIPF3 | A6NGB9,RDH3,NA,Missing,5,83.33333333333333
A6NHQ4,EPOP,EPOP | A6NHQ4,GFP1,327085.4375,Detected,3,50
A6NHQ4,EPOP,EPOP | A6NHQ4,GFP2,NA,Missing,3,50
A6NHQ4,EPOP,EPOP | A6NHQ4,GFP3,122337.3125,Detected,3,50
A6NHQ4,EPOP,EPOP | A6NHQ4,RDH1,149079.9375,Detected,3,50
A6NHQ4,EPOP,EPOP | A6NHQ4,RDH2,NA,Missing,3,50
A6NHQ4,EPOP,EPOP | A6NHQ4,RDH3,NA,Missing,3,50
O14613,CDC42EP2,CDC42EP2 | O14613,GFP1,NA,Missing,6,100
O14613,CDC42EP2,CDC42EP2 | O14613,GFP2,0,Missing,6,100
O14613,CDC42EP2,CDC42EP2 | O14613,GFP3,0,Missing,6,100
O14613,CDC42EP2,CDC42EP2 | O14613,RDH1,NA,Missing,6,100
O14613,CDC42EP2,CDC42EP2 | O14613,RDH2,0,Missing,6,100
O14613,CDC42EP2,CDC42EP2 | O14613,RDH3,0,Missing,6,100
O14713,ITGB1BP1,ITGB1BP1 | O14713,GFP1,10217.9228515625,Detected,3,50
O14713,ITGB1BP1,ITGB1BP1 | O14713,GFP2,3986.05712890625,Detected,3,50
O14713,ITGB1BP1,ITGB1BP1 | O14713,GFP3,NA,Missing,3,50
O14713,ITGB1BP1,ITGB1BP1 | O14713,RDH1,10784.796875,Detected,3,50
O14713,ITGB1BP1,ITGB1BP1 | O14713,RDH2,NA,Missing,3,50
O14713,ITGB1BP1,ITGB1BP1 | O14713,RDH3,NA,Missing,3,50
O14717,TRDMT1,TRDMT1 | O14717,GFP1,NA,Missing,3,50
O14717,TRDMT1,TRDMT1 | O14717,GFP2,4042.019287109375,Detected,3,50
