"ProteinID","Gene","present_GFP","present_RDH","n_replicates_GFP","n_replicates_RDH","n_detected_replicates_GFP","n_detected_replicates_RDH","membership"
"O43543","XRCC2",TRUE,FALSE,3,1,2,0,"GFP_only"
"O43739","CYTH3",TRUE,FALSE,3,3,2,0,"GFP_only"
"O95997","PTTG1",TRUE,FALSE,2,0,2,0,"GFP_only"
"P14384","CPM",TRUE,FALSE,3,0,2,0,"GFP_only"
"P35711","SOX5",TRUE,FALSE,3,0,3,0,"GFP_only"
"P43699","NKX2-1",TRUE,FALSE,1,0,1,0,"GFP_only"
"Q04912","MST1R",TRUE,FALSE,2,0,2,0,"GFP_only"
"Q13542","EIF4EBP2",TRUE,FALSE,3,1,3,0,"GFP_only"
"Q1ZZU3","SWI5",TRUE,FALSE,2,0,2,0,"GFP_only"
"Q50LG9","LRRC24",TRUE,FALSE,1,0,1,0,"GFP_only"
"Q6PGQ7","BORA",TRUE,FALSE,1,0,1,0,"GFP_only"
"Q6ZT07","TBC1D9",TRUE,FALSE,3,2,2,0,"GFP_only"
"Q8NDV1","ST6GALNAC3",TRUE,FALSE,3,0,3,0,"GFP_only"
"Q8NE22","SETD9",TRUE,FALSE,2,0,2,0,"GFP_only"
"Q8TAK5","GABPB2",TRUE,FALSE,3,0,3,0,"GFP_only"
"Q8TBP0","TBC1D16",TRUE,FALSE,1,0,1,0,"GFP_only"
"Q92628","KIAA0232",TRUE,FALSE,1,2,1,0,"GFP_only"
"Q969L2","MAL2",TRUE,FALSE,1,0,1,0,"GFP_only"
"Q9Y5Y9","SCN10A",TRUE,FALSE,1,0,1,0,"GFP_only"
