"ProteinID","Gene","present_GFP","present_RDH","n_replicates_GFP","n_replicates_RDH","n_detected_replicates_GFP","n_detected_replicates_RDH","membership"
"A0A024RBG1","NUDT4B",TRUE,TRUE,3,3,3,3,"Shared"
"A0A096LP01","SMIM26",TRUE,TRUE,3,3,3,3,"Shared"
"A0A0B4J2F0","PIGBOS1",TRUE,TRUE,2,2,2,2,"Shared"
"A0A1W2PQ72","MSANTD7",TRUE,TRUE,3,3,3,3,"Shared"
"A0A3B3IRV3","MCTS2",TRUE,TRUE,3,3,3,3,"Shared"
"A0AAG2UWQ9","NKRF",TRUE,TRUE,3,3,3,3,"Shared"
"A0AV96","RBM47",TRUE,TRUE,3,3,3,3,"Shared"
"A0AVF1","IFT56",TRUE,TRUE,3,3,3,3,"Shared"
"A0AVT1","UBA6",TRUE,TRUE,3,3,3,3,"Shared"
"A0FGR8","ESYT2",TRUE,TRUE,3,3,3,3,"Shared"
"A0JNW5","BLTP3B",TRUE,TRUE,3,3,3,3,"Shared"
"A0MZ66","SHTN1",TRUE,TRUE,3,3,3,3,"Shared"
"A0PJW6","TMEM223",TRUE,TRUE,3,3,3,3,"Shared"
"A0PJZ3","GXYLT2",TRUE,TRUE,3,3,3,3,"Shared"
"A0PK00","TMEM120B",TRUE,TRUE,3,3,3,3,"Shared"
"A1A4S6","ARHGAP10",TRUE,TRUE,3,3,3,3,"Shared"
"A1A5C7","SLC22A23",TRUE,TRUE,3,3,3,3,"Shared"
"A1L020","MEX3A",TRUE,TRUE,3,3,3,3,"Shared"
"A1L0T0","ILVBL",TRUE,TRUE,3,3,3,3,"Shared"
"A1L170","C1orf226",TRUE,TRUE,3,3,3,3,"Shared"
"A1L390","PLEKHG3",TRUE,TRUE,3,3,3,3,"Shared"
"A1L3X0","ELOVL7",TRUE,TRUE,3,3,3,3,"Shared"
"A1X283","SH3PXD2B",TRUE,TRUE,3,3,3,3,"Shared"
"A1XBS5","CIBAR1",TRUE,TRUE,3,3,3,3,"Shared"
"A2A3K4","PTPDC1",TRUE,TRUE,3,3,3,1,"Shared"
"A2AJT9","BCLAF3",TRUE,TRUE,3,3,3,3,"Shared"
"A2RRP1","NBAS",TRUE,TRUE,3,3,3,3,"Shared"
"A2RTX5","TARS3",TRUE,TRUE,3,3,3,3,"Shared"
"A2RU67","FAM234B",TRUE,TRUE,3,3,3,3,"Shared"
"A2RUC4","TYW5",TRUE,TRUE,3,3,3,3,"Shared"
"A2VDF0","FUOM",TRUE,TRUE,3,3,3,3,"Shared"
"A2VDJ0","TMEM131L",TRUE,TRUE,3,3,3,3,"Shared"
"A3KMH1","VWA8",TRUE,TRUE,3,3,3,3,"Shared"
"A3KN83","SBNO1",TRUE,TRUE,3,3,3,3,"Shared"
"A4D161","FAM221A",TRUE,TRUE,3,3,3,3,"Shared"
"A4D1E9","GTPBP10",TRUE,TRUE,3,3,3,3,"Shared"
"A4D1P6","WDR91",TRUE,TRUE,3,3,3,3,"Shared"
"A4D1S0","KLRG2",TRUE,TRUE,3,3,3,3,"Shared"
"A4D1U4","DENND11",TRUE,TRUE,3,3,3,3,"Shared"
"A4D2B0","MBLAC1",TRUE,TRUE,3,1,3,1,"Shared"
"A4D2P6","GRID2IP",TRUE,TRUE,3,3,3,3,"Shared"
"A5D8V6","VPS37C",TRUE,TRUE,3,3,3,3,"Shared"
"A5PLL7","PEDS1",TRUE,TRUE,3,3,3,3,"Shared"
"A5PLN9","TRAPPC13",TRUE,TRUE,3,3,3,3,"Shared"
"A5YKK6","CNOT1",TRUE,TRUE,3,3,3,3,"Shared"
"A6H8Y1","BDP1",TRUE,TRUE,3,3,3,3,"Shared"
"A6NDB9","PALM3",TRUE,TRUE,3,3,3,3,"Shared"
"A6NDG6","PGP",TRUE,TRUE,3,3,3,3,"Shared"
"A6NDU8","RIMOC1",TRUE,TRUE,3,3,3,3,"Shared"
"A6NED2","RCCD1",TRUE,TRUE,3,3,3,3,"Shared"
"A6NFI3","ZNF316",TRUE,TRUE,3,3,3,3,"Shared"
"A6NFY4","NEMP2",TRUE,TRUE,3,3,3,3,"Shared"
"A6NGB9","WIPF3",FALSE,TRUE,0,1,0,1,"RDH_only"
"A6NHL2","TUBAL3",TRUE,TRUE,3,3,3,3,"Shared"
"A6NHQ4","EPOP",TRUE,TRUE,2,1,2,1,"Shared"
"A6NHR9","SMCHD1",TRUE,TRUE,3,3,3,3,"Shared"
"A6NHX0","CASTOR2",TRUE,TRUE,3,3,3,3,"Shared"
"A6NI28","ARHGAP42",TRUE,TRUE,3,2,3,2,"Shared"
"A6NIH7","UNC119B",TRUE,TRUE,3,3,3,3,"Shared"
"A6NJ78","METTL15",TRUE,TRUE,3,3,3,3,"Shared"
"A6NJT0","UNCX",TRUE,TRUE,3,3,3,3,"Shared"
"A6NK58","LIPT2",TRUE,TRUE,3,3,3,3,"Shared"
"A6NKD9","CCDC85C",TRUE,TRUE,3,3,3,3,"Shared"
"A6NNL5","C15orf61",TRUE,TRUE,3,3,3,3,"Shared"
"A6QL63","ABTB3",TRUE,TRUE,3,3,3,3,"Shared"
"A7E2V4","ZSWIM8",TRUE,TRUE,3,3,3,3,"Shared"
