"ProteinID","Gene","present_GFP","present_RDH","n_replicates_GFP","n_replicates_RDH","n_detected_replicates_GFP","n_detected_replicates_RDH","membership"
"A6NGB9","WIPF3",FALSE,TRUE,0,1,0,1,"RDH_only"
"P00450","CP",FALSE,TRUE,0,3,0,3,"RDH_only"
"P0C221","CCDC175",FALSE,TRUE,0,1,0,1,"RDH_only"
"P17693","HLA-G",FALSE,TRUE,0,1,0,1,"RDH_only"
"P28328","PEX2",FALSE,TRUE,0,1,0,1,"RDH_only"
"P36406","TRIM23",FALSE,TRUE,0,2,0,2,"RDH_only"
"P49747","COMP",FALSE,TRUE,0,1,0,1,"RDH_only"
"P51511","MMP15",FALSE,TRUE,0,1,0,1,"RDH_only"
"P55058","PLTP",FALSE,TRUE,0,3,0,3,"RDH_only"
"P58340","MLF1",FALSE,TRUE,0,3,0,3,"RDH_only"
"Q5T0U0","CCDC122",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q5T4B2","CERCAM",FALSE,TRUE,1,1,0,1,"RDH_only"
"Q5VY09","IER5",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q6NZI2","CAVIN1",FALSE,TRUE,0,2,0,2,"RDH_only"
"Q6ZWL3","CYP4V2",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q70JA7","CHSY3",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q86W47","KCNMB4",FALSE,TRUE,0,2,0,2,"RDH_only"
"Q8N7B9","EFCAB3",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q8TEQ0","SNX29",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q8TF65","GIPC2",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q96NR8","RDH12",FALSE,TRUE,0,3,0,3,"RDH_only"
"Q9C0H5","ARHGAP39",FALSE,TRUE,0,1,0,1,"RDH_only"
"Q9H201","EPN3",FALSE,TRUE,0,2,0,2,"RDH_only"
"Q9NQC1","JADE2",FALSE,TRUE,0,3,0,3,"RDH_only"
"Q9Y5K1","SPO11",FALSE,TRUE,0,1,0,1,"RDH_only"
