"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","22/244","148/3974",0.148648648648649,2.42102348249889,4.50567030091751,7.58207480938423e-05,0.0135480915481253,0.0129189232099771,"PXN/TNFRSF1A/UBE2D1/WASF1/WASF2/ARPC3/BAX/BCL10/CAST/CTTN/FNBP1/FNBP1L/FOXO1/FOXO3/MAP3K7/RHOA/RIPK1/SQSTM1/TAB2/TAB3/TNIP1/UBE2N",22
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","25/244","185/3974",0.135135135135135,2.20093043863536,4.27800407474336,0.000121678995917165,0.0135480915481253,0.0129189232099771,"ARF3/KIF5B/RUFY2/VPS25/VPS37B/AMPH/ARPC3/BIN1/CHMP4A/EPN1/HLA-E/IST1/KIF5A/RAB11FIP2/RHOA/SH3GL1/SH3GL2/SH3GL3/SH3KBP1/VPS28/WASHC2A/WASHC2C/WIPF1/WIPF2/WIPF3",25
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","18/244","114/3974",0.157894736842105,2.57161345987921,4.35415908717822,0.000159389312330886,0.0135480915481253,0.0129189232099771,"TNFRSF1A/WASF1/WASF2/ARPC3/BAIAP2/BAX/CTTN/FADD/MAP3K7/MYH9/RHOA/RIPK1/TAB2/TAB3/WASF3/WIPF1/WIPF2/WIPF3",18
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","9/244","42/3974",0.214285714285714,3.49004683840749,4.14882567221483,0.000796802361465646,0.0456194578729656,0.0435009071977505,"TNFRSF1A/BCL10/EDARADD/ERC1/MAP3K7/RIPK1/TAB2/TAB3/TRAF3",9
"Cellular Processes","Cell motility","hsa04814","Motor proteins","14/244","89/3974",0.157303370786517,2.56198194879352,3.81131884422273,0.000894499173979717,0.0456194578729656,0.0435009071977505,"DNAL4/KIF5B/KLC4/CENPE/DCTN3/DNAL1/DYNC1I1/DYNLRB1/HOOK3/KIF5A/KLC1/KLC2/KLC3/MYH9",14
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","21/244","168/3974",0.125,2.03586065573771,3.50849907693386,0.00123111422162571,0.0523223544190928,0.0498925237185158,"KIF5B/KLC4/TNFRSF1A/ARPC3/BAX/DCTN3/DYNC1I1/DYNLRB1/FADD/FLNA/GCC2/KIF5A/KLC1/KLC2/KLC3/MAP3K7/RHOA/RIPK1/TAB2/TAB3/WASF3",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","3/244","5/3974",0.6,9.77213114754098,5.01937159306948,0.00208474753567688,0.0708297782925129,0.0675404697030774,"IL6ST/TNFRSF10D/TNFRSF1A",3
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","7/244","31/3974",0.225806451612903,3.6776837652036,3.82759980375758,0.00222211069152982,0.0708297782925129,0.0675404697030774,"BMP4/BMPR2/IFNAR1/IFNAR2/IL6ST/TNFRSF10D/TNFRSF1A",7
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","7/244","33/3974",0.212121212121212,3.45479384003974,3.621333791066,0.00324926081917777,0.0920623898767035,0.0877870466935748,"AZI2/FADD/MAP3K1/MAP3K7/PIN1/RIPK1/TRAF3",7
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","14/244","104/3974",0.134615384615385,2.19246532156368,3.15142317912294,0.00407281956546691,0.103856898919406,0.0990338231181953,"FHL1/PDLIM2/SDC4/CSRP2/DAG1/FHL2/FLNC/LMOD1/MYH9/PDLIM1/PDLIM3/PDLIM5/SDC2/ZYX",14
