"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","10/140","31/3974",0.32258064516129,9.15668202764977,8.71120505851358,5.03532277851148e-08,1.17323020739318e-05,1.14487338964051e-05,"BMP4/IFNAR1/IL13RA1/RELL1/TNFRSF10B/ACVR1B/ACVR2A/BMPR1A/IL10RB/RELT",10
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","8/140","19/3974",0.421052631578947,11.9518796992481,9.14301573759678,1.05896154037537e-07,1.23369019453731e-05,1.20387206695306e-05,"C4A/C4BPA/CLU/F5/PROS1/SERPIND1/SERPINF2/VTN",8
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","10/140","54/3974",0.185185185185185,5.25661375661376,6.01748943927718,1.35584512694107e-05,0.00105303971525756,0.00102758788568165,"BMP4/NEO1/THBS1/ACVR1B/ACVR2A/BAMBI/BMPR1A/RBX1/RGMA/TFRC",10
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","10/140","78/3974",0.128205128205128,3.63919413919414,4.49786494998331,0.000345739860644071,0.0201393468825171,0.0196525815523998,"BNIP3/CALCOCO2/MAPK8/NBR1/TAX1BP1/TOMM40L/GABARAP/GABARAPL2/OPTN/SQSTM1",10
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","5/140","22/3974",0.227272727272727,6.4512987012987,4.89891718850344,0.000819551312288409,0.0276355114723223,0.0269675648431064,"APOA1/APOC3/APOE/APOH/LDLR",5
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","4/140","13/3974",0.307692307692308,8.73406593406594,5.33671943246719,0.000823403951335281,0.0276355114723223,0.0269675648431064,"B4GALT5/GCNT1/C1GALT1C1/GALNT1",4
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","9/140","72/3974",0.125,3.54821428571429,4.16922955635683,0.000830251417623415,0.0276355114723223,0.0269675648431064,"BMP4/GSTA4/HMOX1/MAPK8/ACVR2A/BMPR1A/CAV1/MGST1/SQSTM1",9
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","10/140","93/3974",0.10752688172043,3.05222734254992,3.8264176275208,0.00141387349144923,0.0411790654384588,0.0401837729148728,"EPHA4/EPHA7/NEO1/NTN1/SEMA3C/SLIT2/UNC5B/NTN3/RGMA/ROBO1",10
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","5/140","30/3974",0.166666666666667,4.73095238095238,3.91930558512231,0.00353505962201728,0.0915187657700028,0.0893067693983312,"B4GALT5/B4GALT6/NEU1/PLPP3/UGCG",5
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","3/140","11/3974",0.272727272727273,7.74155844155844,4.27801059889678,0.00573564903641349,0.133640622548434,0.130410546512138,"NRP2/PCDH7/TFRC",3
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","3/140","13/3974",0.230769230769231,6.55054945054945,3.83003265890761,0.00944084571727333,0.199974277465881,0.195140925830722,"GSTA4/PTGS2/MGST1",3
