"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","6/286","26/3974",0.230769230769231,3.20656266810113,3.14312180243716,0.00887836208133149,0.110979526016644,0.0961822558810911,"PRKACG/ATP1A1/GNA11/PRKACA/PRKACB/SLC2A1",6,"insulin secretion",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","5/286","19/3974",0.263157894736842,3.65660655134339,3.23204678540951,0.00936352672396875,0.112362320687625,0.097380677929275,"ORAI1/PRKACG/GNAI3/PRKACA/PRKACB",5,"renin secretion",FALSE,FALSE,FALSE,TRUE
"Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","3/286","7/3974",0.428571428571429,5.95504495504496,3.65352734071915,0.010383538697887,0.119810061898696,0.10383538697887,"COQ5/GGCX/VKORC1",3,"ubiquinone and other terpenoid-quinone biosynthesis",FALSE,FALSE,FALSE,TRUE
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","10/286","62/3974",0.161290322580645,2.24114595082337,2.74262303541361,0.0120057658779465,0.13339739864385,0.11561107882467,"MAPK8/TRIB3/G6PC3/MAPK9/OGT/PRKAG1/PRKCE/PTEN/SLC2A1/STAT3",10,"insulin resistance",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","5/286","21/3974",0.238095238095238,3.30835830835831,2.95322342736087,0.0145558314407631,0.153931779956651,0.133407542629098,"ORAI1/PRKACG/GNA11/PRKACA/PRKACB",5,"cortisol synthesis and secretion",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","10/286","64/3974",0.15625,2.17111013986014,2.62994213120721,0.0148951790908956,0.153931779956651,0.133407542629098,"GNB2/MAPK8/PRKACG/DAGLB/GNAI3/GNB1/GNB4/MAPK9/PRKACA/PRKACB",10,"retrograde endocannabinoid signaling",FALSE,FALSE,FALSE,TRUE
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","13/286","94/3974",0.138297872340426,1.92166344294004,2.51806692622974,0.0160158015777302,0.153931779956651,0.133407542629098,"CASTOR2/STRADA/WNT5A/DVL3/PTEN/RRAGA/SESN2/SKP2/SLC38A9/SLC7A5/TSC2/ULK1/WDR59",13,"mtor signaling pathway",FALSE,FALSE,FALSE,TRUE
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","16/286","125/3974",0.128,1.77857342657343,2.46279050540955,0.0162440042961284,0.153931779956651,0.133407542629098,"ANAPC16/ANAPC4/ATR/MAPK8/PRKACG/CDC16/FDPS/KAT5/MAPK9/PRKACA/PRKACB/PTEN/SLC2A1/TGFBR1/VAC14/XPO1",16,"human t-cell leukemia virus 1 infection",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","10/286","65/3974",0.153846153846154,2.13770844540075,2.57514488046006,0.0165208439482497,0.153931779956651,0.133407542629098,"GNB2/MAPK8/PRKACG/GNAI3/GNB1/GNB4/MAPK9/PRKACA/PRKACB/TGFBR1",10,"relaxin signaling pathway",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","7/286","38/3974",0.184210526315789,2.55962458594038,2.68986924336672,0.0169324957952316,0.153931779956651,0.133407542629098,"MAPK8/NFKBIE/G6PC3/MAPK9/PRKAG1/SLC2A1/STAT3",7,"adipocytokine signaling pathway",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","5/286","22/3974",0.227272727272727,3.15797838525111,2.82616039317925,0.0177570296964038,0.154035984218977,0.13349785298978,"PRKACG/ATP1A1/GNAI3/PRKACA/PRKACB",5,"gastric acid secretion",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","6/286","30/3974",0.2,2.77902097902098,2.72345426550168,0.0179708648255473,0.154035984218977,0.13349785298978,"MAPK8/PRKACG/MAPK9/PRKACA/PRKACB/PRKCE",6,"inflammatory mediator regulation of trp channels",FALSE,FALSE,FALSE,TRUE
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","5/286","23/3974",0.217391304347826,3.02067497719672,2.70616149000866,0.0213914085414619,0.178261737845515,0.15449350613278,"PRKACG/ATP1A1/PRKACA/PRKACB/SLC12A2",5,"salivary secretion",FALSE,FALSE,FALSE,TRUE
